species,longitude,latitude
Caulerpa_taxifolia,150.43,-35.42
Caulerpa_taxifolia,150.424852,-35.385027
Caulerpa_taxifolia,150.437907,-35.381694
Caulerpa_taxifolia,150.434444,-35.365
Caulerpa_taxifolia,150.4739,-35.3019
Caulerpa_taxifolia,150.484444,-35.298333
Caulerpa_taxifolia,150.463333,-35.263056
Caulerpa_taxifolia,150.495278,-35.260556
Caulerpa_taxifolia,150.47,-35.25
Caulerpa_taxifolia,150.48,-35.25
Caulerpa_taxifolia,138.6,-34.933333
Caulerpa_taxifolia,138.6,-34.9333
Caulerpa_taxifolia,138.6011,-34.932059
Caulerpa_taxifolia,138.6,-34.93
Caulerpa_taxifolia,138.490267,-34.874838
Caulerpa_taxifolia,138.491111,-34.860833
Caulerpa_taxifolia,138.499711,-34.840948
Caulerpa_taxifolia,138.4822,-34.8314
Caulerpa_taxifolia,138.493878,-34.827059
Caulerpa_taxifolia,138.530266,-34.812615
Caulerpa_taxifolia,138.483321,-34.807893
Caulerpa_taxifolia,138.520266,-34.775948
Caulerpa_taxifolia,138.470266,-34.775393
Caulerpa_taxifolia,138.487488,-34.769282
Caulerpa_taxifolia,138.493599,-34.765115
Caulerpa_taxifolia,138.511099,-34.760948
Caulerpa_taxifolia,138.6,-34.6
Caulerpa_taxifolia,119.366667,-34.383333
Caulerpa_taxifolia,151.13,-34.07
Caulerpa_taxifolia,151.12,-34.07
Caulerpa_taxifolia,151.1,-34.07
Caulerpa_taxifolia,151.133333,-34.066667
Caulerpa_taxifolia,151.148996,-34.054463
Caulerpa_taxifolia,151.15,-34.05
Caulerpa_taxifolia,151.22,-34.02
Caulerpa_taxifolia,151.12,-34.02
Caulerpa_taxifolia,151.196217,-34.005574
Caulerpa_taxifolia,151.25,-33.85
Caulerpa_taxifolia,151.225659,-33.839185
Caulerpa_taxifolia,151.304823,-33.66085
Caulerpa_taxifolia,151.296767,-33.637239
Caulerpa_taxifolia,151.2783,-33.635
Caulerpa_taxifolia,151.3272,-33.6206
Caulerpa_taxifolia,151.317778,-33.615
Caulerpa_taxifolia,151.29987,-33.596046
Caulerpa_taxifolia,115.60338,-33.3922
Caulerpa_taxifolia,115.6188,-33.34718
Caulerpa_taxifolia,115.58687,-33.32287
Caulerpa_taxifolia,151.5897,-33.0942
Caulerpa_taxifolia,151.586944,-33.089444
Caulerpa_taxifolia,115.683333,-32.266667
Caulerpa_taxifolia,115.683333,-32.266389
Caulerpa_taxifolia,115.6850556,-32.26625
Caulerpa_taxifolia,115.716667,-32.2
