Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.73858E-14,0.000000001,0,0.98294283,0,0
6.14155E-14,0.000000003,0,0.959325211,0,0
3.5241E-13,0.00000001,0.000000002,0.898594189,0,0
1.37768E-12,0.000000025,0.000000008,0.881068416,0,0
7.65933E-12,0.0000001,0.000000045,0.862043112,0,0
2.17789E-11,0.000000251,0.000000128,0.851546392,0,0
9.67865E-11,0.000001002,0.000000569,0.837675726,0,0
2.14163E-10,0.000002508,0.00000126,0.828022493,0,0
8.30126E-10,0.00001001,0.000004884,0.811152765,0,0
1.88316E-9,0.000025041,0.00001108,0.800843486,0,0
3.40208E-9,0.000050032,0.000020017,0.791846298,0,0
6.3854E-9,0.000100202,0.00003757,0.781911903,0,0
1.69781E-8,0.000250639,0.000099893,0.768509841,0,0
3.64557E-8,0.000500093,0.000214479,0.759418932,0,0
6.83585E-8,0.001001746,0.000402134,0.750328022,0,0
1.37322E-7,0.002500421,0.00080766,0.735801312,0,0
2.80607E-7,0.005015727,0.0016497,0.723898782,0,0
6.25348E-7,0.010003248,0.003672724,0.713027179,0,0
1.71251E-6,0.025045125,0.010025659,0.699437676,0,0
3.58901E-6,0.050249698,0.020895962,0.690159325,0,0
7.44945E-6,0.100233195,0.042885088,0.681349578,0,0
1.22946E-5,0.200257388,0.069785773,0.671977507,0,0
1.54573E-5,0.300163511,0.086935797,0.665135895,0.007331378,0.023391813
1.80645E-5,0.400549749,0.100836063,0.659512652,0.007331378,0.023391813
2.09053E-5,0.500632328,0.115740324,0.654639175,0.01026393,0.023391813
2.36666E-5,0.600827936,0.129991004,0.650421743,0.01026393,0.023391813
2.50492E-5,0.701019987,0.137039881,0.646579194,0.01026393,0.023391813
2.62473E-5,0.752141503,0.143102144,0.64470478,0.01026393,0.023391813
2.69491E-5,0.800090357,0.146633308,0.643017807,0.01026393,0.023391813
2.81621E-5,0.90209502,0.152702044,0.639550141,0.01026393,0.023391813
2.94236E-5,1.002642979,0.158967962,0.636269916,0.01026393,0.023391813
3.02735E-5,1.101362061,0.163163097,0.633177132,0.01026393,0.023391813
3.11092E-5,1.202916338,0.167268247,0.630084349,0.01026393,0.023391813
3.16402E-5,1.300160503,0.169865591,0.627179007,0.01026393,0.023391813
3.22408E-5,1.402230925,0.172794042,0.624179944,0.01026393,0.023391813
3.30306E-5,1.500049692,0.176629328,0.621368322,0.01026393,0.023391813
3.49344E-5,1.75123131,0.185801197,0.61443299,0.01026393,0.023391813
3.66517E-5,2.00133263,0.193986609,0.60787254,0.01026393,0.023391813
3.81237E-5,2.251987746,0.200937366,0.601593252,0.01026393,0.023391813
3.90825E-5,2.502729754,0.205432587,0.595501406,0.01026393,0.023391813
4.04921E-5,2.753245004,0.211995403,0.589597001,0.01026393,0.023391813
4.19142E-5,3.000999942,0.218561601,0.583973758,0.013196481,0.023391813
4.32297E-5,3.25229599,0.224587047,0.578444236,0.013196481,0.023391813
4.4235E-5,3.501707466,0.22915984,0.573102156,0.013196481,0.023391813
4.55671E-5,3.758005279,0.235178399,0.567760075,0.013196481,0.023391813
4.69812E-5,4.003409796,0.24151532,0.562792877,0.017595308,0.029239766
4.82686E-5,4.251191009,0.247239373,0.5579194,0.024926686,0.046783626
4.94863E-5,4.500279861,0.25261321,0.553139644,0.027859238,0.046783626
5.05119E-5,4.75017985,0.257109809,0.548453608,0.029325513,0.046783626
5.20596E-5,5.001352023,0.263844321,0.543861293,0.030791789,0.046783626
5.31579E-5,5.253580128,0.268586223,0.539362699,0.032258065,0.046783626
5.42743E-5,5.500754939,0.273374785,0.535051546,0.036656891,0.046783626
5.54103E-5,5.753449891,0.278215627,0.530740394,0.036656891,0.046783626
5.68161E-5,6.006111382,0.284161373,0.526522962,0.039589443,0.046783626
5.79269E-5,6.252421106,0.288824811,0.522492971,0.041055718,0.046783626
5.87894E-5,6.503417579,0.292424492,0.51846298,0.042521994,0.046783626
5.9618E-5,6.752183501,0.295866166,0.51452671,0.042521994,0.046783626
