Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.32412E-14,0.000000001,0,0.981128442,0,0
5.70071E-14,0.000000003,0,0.954939341,0,0
3.83205E-13,0.00000001,0.000000002,0.893510495,0,0
1.50324E-12,0.000000025,0.000000009,0.876083189,0,0
7.30967E-12,0.000000101,0.000000042,0.85663393,0,0
2.21461E-11,0.000000251,0.000000128,0.845946466,0,0
8.92869E-11,0.000001005,0.000000515,0.831600231,0,0
1.97416E-10,0.000002508,0.000001138,0.821394184,0,0
8.7293E-10,0.000010028,0.000005032,0.803966878,0,0
1.83548E-9,0.000025052,0.00001058,0.792990564,0,0
3.24069E-9,0.000050115,0.000018679,0.783362218,0,0
6.14974E-9,0.000100323,0.000035446,0.772963605,0,0
1.76632E-8,0.000251052,0.000101805,0.759387637,0,0
3.54616E-8,0.000500285,0.000204377,0.750144425,0,0
6.34239E-8,0.001006341,0.000365505,0.740419796,0,0
1.33738E-7,0.002505069,0.000770563,0.724821876,0,0
2.70414E-7,0.005006613,0.001557434,0.71269016,0,0
6.30764E-7,0.010054112,0.003629085,0.701810129,0,0
1.73021E-6,0.025159062,0.009923287,0.688137878,0,0
3.66954E-6,0.050087579,0.020928911,0.678894666,0,0
7.63275E-6,0.100330271,0.043040987,0.670036588,0,0
1.1257E-5,0.200909245,0.062824612,0.659637974,0.00255102,0
1.44072E-5,0.301103044,0.07968752,0.652127864,0.00255102,0.01010101
1.70819E-5,0.400655927,0.093767003,0.645965723,0.007653061,0.01010101
1.99868E-5,0.500974338,0.108814335,0.640766416,0.007653061,0.01010101
2.27295E-5,0.602050346,0.122792452,0.636241094,0.007653061,0.01010101
2.59962E-5,0.701727899,0.139154499,0.632293472,0.007653061,0.01010101
2.7085E-5,0.752192974,0.144540087,0.630464086,0.007653061,0.01010101
2.85837E-5,0.802547371,0.151898288,0.628730984,0.007653061,0.01010101
3.0888E-5,0.900369358,0.16308821,0.62555363,0.007653061,0.01010101
3.28222E-5,1.002687376,0.172366549,0.622472559,0.007653061,0.01010101
3.38132E-5,1.102936431,0.177080583,0.619584055,0.007653061,0.01010101
3.56017E-5,1.20027968,0.185520511,0.616888119,0.007653061,0.01010101
3.72042E-5,1.302679189,0.193009122,0.614192182,0.007653061,0.01010101
3.80625E-5,1.400670361,0.196991659,0.611688812,0.007653061,0.01010101
3.92216E-5,1.501018708,0.202338234,0.609185442,0.007653061,0.01010101
4.14942E-5,1.751737165,0.212718969,0.603215868,0.007653061,0.01010101
4.27583E-5,2.004208734,0.218434414,0.59743886,0.010204082,0.01010101
4.43148E-5,2.252465485,0.225414886,0.591950703,0.010204082,0.01010101
4.62203E-5,2.50158765,0.233875974,0.586655113,0.010204082,0.01010101
4.77069E-5,2.750671762,0.240412268,0.581552089,0.010204082,0.01010101
4.92649E-5,3.003374123,0.247202982,0.57654535,0.010204082,0.01010101
5.0412E-5,3.253205745,0.252164209,0.571731177,0.010204082,0.01010101
5.13234E-5,3.502392392,0.256082466,0.567013287,0.010204082,0.01010101
5.27145E-5,3.752048027,0.26202348,0.562391681,0.010204082,0.01010101
5.40682E-5,4.003439808,0.267758925,0.557866359,0.012755102,0.01010101
5.53101E-5,4.254982026,0.27298217,0.553437319,0.012755102,0.01010101
5.63352E-5,4.500702261,0.277264903,0.549200847,0.012755102,0.01010101
5.72733E-5,4.750604353,0.281162505,0.544964375,0.012755102,0.01010101
5.83834E-5,5.005251987,0.285747038,0.540727903,0.012755102,0.01010101
5.94699E-5,5.252341327,0.290206101,0.536683998,0.015306122,0.01010101
6.0932E-5,5.504745758,0.296162914,0.532640092,0.025510204,0.01010101
6.18977E-5,5.75036597,0.300069679,0.528788754,0.035714286,0.03030303
6.28014E-5,6.006277427,0.303705933,0.524841132,0.038265306,0.03030303
6.39451E-5,6.253681756,0.30828124,0.521086077,0.038265306,0.03030303
6.50952E-5,6.505117127,0.312851378,0.517331023,0.038265306,0.04040404
6.62258E-5,6.754499787,0.317314774,0.513672251,0.040816327,0.04040404
6.72164E-5,7.001273294,0.321201692,0.510109763,0.040816327,0.04040404
6.82396E-5,7.251949173,0.325193344,0.506547275,0.045918367,0.04040404
6.96083E-5,7.506883995,0.330495856,0.502984787,0.048469388,0.04040404
