X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.957752003798818E-5,17.047605171581857,0.386679897056591
3.0,3.0,train,9.116482427388013E-5,17.58503536335129,0.39196995567957205
4.0,4.0,train,1.4278505016897226E-5,0.3306496860046497,0.07496599263015036
7.0,7.0,train,1.6153088545387348E-4,39.20618467067839,0.5858607277604133
8.0,8.0,train,1.6768426521745932E-4,40.9078542843606,0.5995374219280539
9.0,9.0,train,1.7685033923217644E-4,43.468438699816204,0.6190772570036858
10.0,10.0,train,1.7022786567232889E-4,41.50028459468941,0.6050581046104967
13.0,13.0,train,2.2044139503754514E-4,52.45608357796793,0.6997249484828318
14.0,14.0,train,2.1744437640972602E-4,51.765987711136155,0.694773205805371
15.0,15.0,train,3.6870892929297567E-4,79.96302043251971,0.8663090858573496
16.0,16.0,train,3.636499876067538E-4,79.24229433208988,0.8625665718437305
17.0,17.0,train,3.6578063230511E-4,79.65512290332529,0.8641553882318656
18.0,18.0,train,3.79840081471633E-4,82.2451463246051,0.874188797628688
20.0,20.0,train,3.863943697113138E-4,83.84374658822125,0.8786095225081187
22.0,22.0,train,4.050909358118921E-4,87.53342696676316,0.8903847901042212
24.0,24.0,train,2.5756498718873815E-4,60.44343428571138,0.7547943332605812
25.0,25.0,train,2.5596184543934394E-4,60.17434435378339,0.7526395852275323
26.0,26.0,train,4.92451725410076E-4,97.55105633377195,0.9319525242950806
27.0,27.0,train,5.119976647585741E-4,98.03197049373036,0.9388375221903459
28.0,28.0,train,5.112791659192999E-4,98.0157023707153,0.9385972211063611
29.0,29.0,train,6.000045803583624E-4,99.41842082943815,0.9621649031118134
30.0,30.0,train,6.050177201996674E-4,99.47826732905067,0.9631860073578409
32.0,32.0,train,6.072675366559673E-4,99.50512547463256,0.9636352586770187
34.0,34.0,train,5.233166063962787E-4,98.29158451928824,0.9425013827554309
36.0,36.0,train,4.6553826364803666E-4,94.88798315856656,0.9211864022156543
37.0,37.0,train,3.43319773321258E-4,75.68852722818771,0.8464399720156182
38.0,38.0,train,6.251655688574218E-4,99.90976481607572,0.9670193391544316
39.0,39.0,train,6.311901933564187E-4,100.0,0.9680860877448332
40.0,40.0,train,3.547777422907106E-4,77.76225918577009,0.8557482815826604
41.0,41.0,train,4.2241208650300446E-4,89.87708814096615,0.9002720319192496
42.0,42.0,train,3.6495590741223073E-4,79.52282277603665,0.8635425835389394
43.0,43.0,train,3.635323450996416E-4,79.2083865159126,0.8624783067663879
44.0,44.0,train,4.2118637100271763E-4,89.7299875289377,0.8996026825482204
45.0,45.0,train,4.125125939279427E-4,88.75045599724095,0.8947358898004528
49.0,49.0,train,3.897243200260147E-4,84.93355037594162,0.8807956471962907
50.0,50.0,train,3.7373926372690717E-4,81.23871311861964,0.8699293801920426
51.0,51.0,train,3.857236888328781E-4,83.62066891490737,0.8781643909059262
52.0,52.0,train,3.8302278424354625E-4,82.89639150779497,0.8763552140245995
55.0,55.0,train,4.092070739489262E-4,88.31826200552594,0.8928197105546407
56.0,56.0,train,4.207627786687715E-4,89.69924895707483,0.8993703205409045
57.0,57.0,train,3.6537432705344825E-4,79.59050604895315,0.8638538313268389
58.0,58.0,train,3.865531704779068E-4,83.97962911977314,0.8787146803993678
59.0,59.0,train,3.8633936172928664E-4,83.79667739571184,0.8785730749568739
61.0,61.0,train,3.7836471331193254E-4,81.90200251552726,0.8731717011473544
62.0,62.0,train,3.1902822408769286E-4,72.15573248139975,0.824671316492178
63.0,63.0,train,3.885843365219975E-4,84.71930029717181,0.8800517118672473
64.0,64.0,train,4.082725258457519E-4,88.12663732834213,0.8922716640634873
65.0,65.0,train,4.1385470383900407E-4,89.059343659042,0.8955040852040927
66.0,66.0,train,4.0872674798601415E-4,88.26589577987234,0.8925383824191292
68.0,68.0,train,4.1370887457262763E-4,89.03879585170061,0.895420887821044
69.0,69.0,train,3.930537232983324E-4,85.4658422025638,0.8829420524271475
71.0,71.0,train,3.676474993259385E-4,79.87322718328515,0.8655324015065091
72.0,72.0,train,3.584116536002825E-4,78.36549189979834,0.8585809047166839
73.0,73.0,train,3.8373208465903734E-4,83.12294712165071,0.8768329176616241
75.0,75.0,train,4.12993795924942E-4,88.87457146599957,0.8950119669354074
76.0,76.0,train,4.084844558781864E-4,88.19161225037595,0.8923961912449623
78.0,78.0,train,3.9555646988302065E-4,85.79016668791573,0.8845300434359309
79.0,79.0,train,3.335812025668576E-4,74.222145120562,0.8380577661278991
81.0,81.0,train,2.892187787827066E-4,67.36034999507054,0.793696763189709
83.0,83.0,train,4.0565544141023854E-4,87.77672675739426,0.8907219711034478
84.0,84.0,train,3.904483647114266E-4,85.0710726104483,0.8812657496835118
85.0,85.0,train,3.043804849581388E-4,70.07470348698659,0.8100801251008339
86.0,86.0,train,3.8438881377350024E-4,83.28332908201872,0.877273569628158
87.0,87.0,train,3.856238151466802E-4,83.59347623085694,0.8780979651487254
88.0,88.0,train,3.859413476294371E-4,83.67993104000708,0.8783090298948191
89.0,89.0,train,3.0798116428247313E-4,70.53153365719892,0.8137757475118732
91.0,91.0,train,4.285843774016951E-4,90.73319699260895,0.903575438819815
92.0,92.0,train,3.946893490105939E-4,85.67211520089623,0.8839823097056275
93.0,93.0,train,4.960556011998637E-4,97.77373838212125,0.9332778138937274
94.0,94.0,train,4.954400852421932E-4,97.75772793691597,0.9330533057727927
95.0,95.0,train,4.955567605543568E-4,97.76579707020876,0.933095920790987
96.0,96.0,train,3.995687607716819E-4,86.52764097895532,0.8870310109034527
97.0,97.0,train,4.934597705253152E-4,97.62077159957393,0.9323258524601074
98.0,98.0,train,4.719255462889787E-4,95.75888731990916,0.9238863954491416
100.0,100.0,train,4.562988843952167E-4,94.09940730767802,0.9171104209617716
101.0,101.0,train,3.866227740742138E-4,84.02582113348032,0.8787607431921152
102.0,102.0,train,4.825843141715445E-4,96.63806618552677,0.9281876176438397
103.0,103.0,train,4.919819900601805E-4,97.51857003598084,0.9317778556756449
104.0,104.0,train,4.8770088395872445E-4,97.22653787793176,0.9301651410881122
105.0,105.0,train,4.880317575814605E-4,97.27333818119489,0.930291130830053
106.0,106.0,train,4.7926040168497946E-4,96.28775653787851,0.9268730383127295
107.0,107.0,train,3.856688376572966E-4,83.60573454386164,0.8781279139981404
108.0,108.0,train,4.8330935010850763E-4,96.78692107795071,0.9284712088492326
109.0,109.0,train,4.906587475662284E-4,97.43642911061744,0.9312834007279039
111.0,111.0,train,4.664161983640669E-4,95.09464885722916,0.9215631200680274
112.0,112.0,train,4.6099338266116673E-4,94.46367004493429,0.9192070928748678
113.0,113.0,train,4.660305991305179E-4,95.03070383194853,0.9213978834302311
114.0,114.0,train,4.8506396989070257E-4,96.92887569417105,0.9291528864690058
