x,y,species cloglog values
1.0,1.0,0.44542634
2.0,2.0,0.63038677
3.0,3.0,1.8430812E-10
4.0,4.0,0.61970085
5.0,5.0,0.6144378
6.0,6.0,3.917533E-12
7.0,7.0,0.31524888
8.0,8.0,0.21578524
9.0,9.0,0.18950433
10.0,10.0,1.628531E-7
11.0,11.0,0.54622096
12.0,12.0,0.3055705
13.0,13.0,0.31183806
14.0,14.0,3.958278E-12
15.0,15.0,0.61757874
16.0,16.0,0.08434775
17.0,17.0,6.153839E-5
18.0,18.0,0.6734601
19.0,19.0,0.3626254
20.0,20.0,0.55284506
21.0,21.0,0.27262324
22.0,22.0,0.869413
23.0,23.0,0.2508932
24.0,24.0,0.42330718
25.0,25.0,0.3316609
26.0,26.0,0.82408917
27.0,27.0,0.14254622
28.0,28.0,0.77884436
29.0,29.0,0.08938451
30.0,30.0,0.25293833
31.0,31.0,0.16272038
32.0,32.0,0.5449838
33.0,33.0,3.4734835E-8
34.0,34.0,5.848655E-13
35.0,35.0,2.3516527E-7
36.0,36.0,0.4332516
37.0,37.0,1.304512E-13
38.0,38.0,0.25218064
39.0,39.0,0.11152813
40.0,40.0,6.5317695E-6
41.0,41.0,2.1896374E-11
42.0,42.0,0.5685744
43.0,43.0,0.53519285
44.0,44.0,0.5086906
45.0,45.0,0.033146713
46.0,46.0,0.6395575
47.0,47.0,0.26548684
48.0,48.0,0.40018642
49.0,49.0,0.032097757
50.0,50.0,2.4107067E-9
51.0,51.0,5.282111E-7
52.0,52.0,0.6182841
53.0,53.0,0.3953096
54.0,54.0,0.23676433
55.0,55.0,0.5104713
56.0,56.0,0.2781297
57.0,57.0,5.6875615E-12
58.0,58.0,0.91080713
59.0,59.0,0.2940211
60.0,60.0,2.725864E-11
61.0,61.0,0.4704538
62.0,62.0,8.889556E-13
63.0,63.0,0.15132053
64.0,64.0,0.2663792
65.0,65.0,0.470783
66.0,66.0,0.4356395
67.0,67.0,5.8328817E-7
68.0,68.0,0.75729233
69.0,69.0,0.41291294
70.0,70.0,0.4520264
71.0,71.0,9.782101E-8
72.0,72.0,0.6892924
73.0,73.0,0.31803423
74.0,74.0,0.29785854
75.0,75.0,0.14489661
76.0,76.0,4.3292148E-11
77.0,77.0,0.25953138
78.0,78.0,0.17569986
79.0,79.0,0.15988208
80.0,80.0,0.26830333
81.0,81.0,1.6942031E-4
82.0,82.0,0.7953499
83.0,83.0,0.025527053
84.0,84.0,0.097710125
85.0,85.0,0.7888141
86.0,86.0,2.8900105E-11
87.0,87.0,0.57680225
88.0,88.0,5.650145E-4
89.0,89.0,0.92661
90.0,90.0,0.46849862
91.0,91.0,0.029392112
92.0,92.0,2.8433922E-11
93.0,93.0,0.05464776
94.0,94.0,0.6128793
95.0,95.0,1.7790163E-6
96.0,96.0,1.4097357E-10
97.0,97.0,1.0769163E-14
98.0,98.0,0.822419
99.0,99.0,0.7445744
100.0,100.0,0.7907833
101.0,101.0,0.3075661
102.0,102.0,9.665193E-9
103.0,103.0,0.0064529534
104.0,104.0,0.53602517
105.0,105.0,0.39059305
106.0,106.0,2.6607636E-6
107.0,107.0,0.026386056
108.0,108.0,0.8190581
109.0,109.0,0.3726356
110.0,110.0,1.9626943E-6
111.0,111.0,0.35619435
112.0,112.0,0.5776021
113.0,113.0,2.4979145E-5
114.0,114.0,0.82243896
115.0,115.0,2.0923566E-5
116.0,116.0,0.5436138
117.0,117.0,3.4416914E-15
118.0,118.0,0.319086
119.0,119.0,2.8820255E-5
120.0,120.0,0.6712834
121.0,121.0,0.14079086
122.0,122.0,3.7933637E-7
123.0,123.0,0.3514467
124.0,124.0,0.33593443
125.0,125.0,0.0089875115
126.0,126.0,2.4424907E-15
127.0,127.0,0.22622661
128.0,128.0,0.7011896
129.0,129.0,5.2106386E-4
130.0,130.0,0.3247485
131.0,131.0,0.78787184
132.0,132.0,8.2852525E-9
133.0,133.0,0.6022236
134.0,134.0,0.24448885
135.0,135.0,0.49658963
136.0,136.0,0.43415025
137.0,137.0,0.19448757
138.0,138.0,2.0199242E-9
139.0,139.0,0.87609696
140.0,140.0,0.0048124087
141.0,141.0,0.5663519
142.0,142.0,0.70275694
143.0,143.0,0.21401171
144.0,144.0,3.5060843E-13
145.0,145.0,0.13958241
146.0,146.0,0.0748092
147.0,147.0,0.16932051
148.0,148.0,0.70222706
149.0,149.0,0.45695773
150.0,150.0,0.84360665
151.0,151.0,2.7467029E-11
152.0,152.0,0.15500383
153.0,153.0,1.0182921E-10
154.0,154.0,0.6869199
155.0,155.0,0.7484998
156.0,156.0,1.5826922E-7
157.0,157.0,0.58457536
158.0,158.0,0.585957
159.0,159.0,0.38519338
160.0,160.0,0.04767911
161.0,161.0,0.21992931
162.0,162.0,2.498756E-8
163.0,163.0,0.32099605
164.0,164.0,0.7259775
165.0,165.0,0.859475
166.0,166.0,0.11700709
167.0,167.0,0.4594587
168.0,168.0,0.67277694
169.0,169.0,2.6156854E-13
170.0,170.0,0.22290201
171.0,171.0,0.6534561
172.0,172.0,0.185565
173.0,173.0,0.08557049
174.0,174.0,0.11004833
175.0,175.0,0.43596953
176.0,176.0,1.8065104E-5
177.0,177.0,0.7823825
178.0,178.0,0.41940057
179.0,179.0,0.72794735
180.0,180.0,0.44235635
181.0,181.0,2.9140246E-11
182.0,182.0,1.8839768E-9
183.0,183.0,0.8700297
184.0,184.0,2.4196322E-7
185.0,185.0,1.00586206E-13
186.0,186.0,0.33890092
187.0,187.0,0.5623009
188.0,188.0,0.47537225
189.0,189.0,1.4299673E-13
190.0,190.0,7.486288E-9
191.0,191.0,0.2428877
192.0,192.0,0.32871535
193.0,193.0,1.1804484E-4
194.0,194.0,0.5045615
195.0,195.0,1.7964075E-11
196.0,196.0,0.48169023
197.0,197.0,0.47450033
198.0,198.0,0.0019308585
199.0,199.0,0.4557079
200.0,200.0,0.22270708
201.0,201.0,0.77747166
202.0,202.0,3.907745E-8
203.0,203.0,0.7669187
204.0,204.0,0.016344639
205.0,205.0,3.8730104E-8
206.0,206.0,0.6226895
207.0,207.0,0.24764736
208.0,208.0,0.80226356
209.0,209.0,1.5219327E-5
210.0,210.0,2.3413271E-11
211.0,211.0,0.39625278
212.0,212.0,0.39565942
213.0,213.0,0.31971532
214.0,214.0,1.5766166E-11
215.0,215.0,0.20157781
216.0,216.0,0.5111835
217.0,217.0,0.6102877
218.0,218.0,0.21263932
219.0,219.0,0.14226675
220.0,220.0,0.48913434
221.0,221.0,0.07177755
222.0,222.0,8.276933E-5
