Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.29244E-13,0.000000001,0.000000001,0.899845321,0,0
4.25177E-13,0.000000003,0.000000002,0.893948183,0,0
1.26371E-12,0.00000001,0.000000007,0.884570766,0,0
2.68267E-12,0.000000025,0.000000015,0.876740139,0,0
1.17703E-11,0.0000001,0.000000065,0.863882444,0,0
3.12119E-11,0.000000253,0.000000174,0.856631864,0,0
1.31435E-10,0.000001013,0.000000731,0.844740913,0,0
3.00652E-10,0.000002516,0.000001672,0.837296984,0,0
1.25909E-9,0.000010009,0.000007001,0.826856148,0,0
2.82114E-9,0.00002507,0.000015687,0.81941222,0,0
5.60687E-9,0.000050097,0.000031177,0.813611756,0,0
1.217E-8,0.000101038,0.00006767,0.807907966,0,0
2.74556E-8,0.000250814,0.000152657,0.800367363,0,0
5.45172E-8,0.000500161,0.0003031,0.793986852,0,0
1.01725E-7,0.001001727,0.000565488,0.787896365,0,0
2.01648E-7,0.002511119,0.001120645,0.777938902,0,0
3.34935E-7,0.005026033,0.001860691,0.768464811,0,0
6.20495E-7,0.010038159,0.003444354,0.757733952,0,0
1.69844E-6,0.025086807,0.009399821,0.744199536,0,0
3.85993E-6,0.05033684,0.021234681,0.735112142,0,0
6.78813E-6,0.100056871,0.037042303,0.725928074,0,0
1.07554E-5,0.200439529,0.058052557,0.714907193,0,0
1.39757E-5,0.300877863,0.074769954,0.706979892,0.00872093,0.013605442
1.55469E-5,0.400045042,0.082818313,0.700502707,0.011627907,0.013605442
1.65579E-5,0.501316175,0.087960045,0.69441222,0.011627907,0.013605442
1.77561E-5,0.600602203,0.094016027,0.688805104,0.011627907,0.013605442
1.87392E-5,0.700983085,0.098955364,0.683488012,0.011627907,0.013605442
1.91758E-5,0.750302435,0.101140193,0.680974478,0.011627907,0.013605442
1.97028E-5,0.800912811,0.103770199,0.678460944,0.011627907,0.013605442
2.1076E-5,0.900778313,0.110587631,0.673723898,0.011627907,0.013605442
2.22195E-5,1.000731998,0.116225158,0.669276875,0.011627907,0.013605442
2.34995E-5,1.101887695,0.122493228,0.665023202,0.011627907,0.013605442
2.48296E-5,1.200953343,0.12895923,0.661059551,0.014534884,0.013605442
2.60354E-5,1.302516818,0.134779792,0.657192575,0.014534884,0.013605442
2.68691E-5,1.400517445,0.138781882,0.653615623,0.014534884,0.020408163
2.74991E-5,1.500903102,0.141793487,0.65003867,0.014534884,0.020408163
2.92881E-5,1.751751402,0.150288283,0.641531323,0.014534884,0.020408163
3.06743E-5,2.003037871,0.156812941,0.633410673,0.014534884,0.020408163
3.27228E-5,2.250170979,0.166362746,0.62587007,0.01744186,0.027210884
3.42579E-5,2.500867169,0.173448621,0.61861949,0.01744186,0.027210884
3.57071E-5,2.75313937,0.180082629,0.611658933,0.01744186,0.027210884
3.73124E-5,3.001569217,0.187368573,0.605085073,0.01744186,0.027210884
3.88819E-5,3.253462317,0.19442996,0.598704563,0.023255814,0.034013605
4.03768E-5,3.502822489,0.201098439,0.592614076,0.023255814,0.034013605
4.17268E-5,3.752659578,0.207073433,0.586716937,0.023255814,0.034013605
4.31555E-5,4.003112538,0.21334772,0.581013148,0.023255814,0.047619048
4.42419E-5,4.251991435,0.218085652,0.575502707,0.026162791,0.047619048
4.52128E-5,4.502476797,0.222295535,0.57008894,0.029069767,0.054421769
4.63554E-5,4.754127476,0.227220852,0.564771848,0.034883721,0.06122449
4.72094E-5,5.002520364,0.230881883,0.559648105,0.034883721,0.06122449
4.8069E-5,5.250340179,0.234549317,0.554621036,0.034883721,0.068027211
4.89527E-5,5.502511977,0.238301682,0.549593968,0.034883721,0.074829932
4.95257E-5,5.753597425,0.240724578,0.544663573,0.034883721,0.074829932
5.03984E-5,6.003366292,0.244400296,0.539829853,0.037790698,0.081632653
5.1532E-5,6.253018936,0.249148163,0.535092807,0.037790698,0.081632653
5.25566E-5,6.50323323,0.253413824,0.530452436,0.037790698,0.095238095
5.33816E-5,6.752265261,0.256831004,0.525908739,0.037790698,0.095238095
5.41975E-5,7.005125998,0.260194832,0.521365043,0.040697674,0.102040816
5.5368E-5,7.251464524,0.264994342,0.517014695,0.043604651,0.102040816
5.64808E-5,7.503078596,0.269528561,0.512664346,0.046511628,0.115646259
5.78587E-5,7.754725649,0.275103659,0.508410673,0.049418605,0.115646259
5.89091E-5,8.000034963,0.279325477,0.504350348,0.049418605,0.12244898
5.97201E-5,8.255183369,0.282568191,0.500193349,0.055232558,0.12244898
6.06946E-5,8.502015653,0.286445345,0.496229698,0.055232558,0.12244898
6.1616E-5,8.752826729,0.290091702,0.492266048,0.055232558,0.12244898
6.27141E-5,9.001619006,0.294413468,0.488399072,0.055232558,0.12244898
6.39552E-5,9.255263696,0.299265812,0.484532096,0.061046512,0.129251701
6.49031E-5,9.500219456,0.302949669,0.480858469,0.063953488,0.129251701
6.59273E-5,9.755493593,0.306908241,0.477088167,0.066860465,0.129251701
6.70825E-5,10.001705613,0.311346189,0.473511214,0.069767442,0.136054422
6.79788E-5,10.25180382,0.314769876,0.469934261,0.072674419,0.136054422
6.90754E-5,10.505520646,0.318935221,0.466357309,0.075581395,0.142857143
6.98499E-5,10.75559512,0.321862165,0.46287703,0.075581395,0.149659864
7.08296E-5,11.002105852,0.325546351,0.459493426,0.075581395,0.149659864
7.16214E-5,11.251498283,0.328509213,0.456109822,0.075581395,0.149659864
7.26063E-5,11.503966268,0.332176638,0.452726218,0.075581395,0.149659864
7.35555E-5,11.752639014,0.335692315,0.449439288,0.081395349,0.149659864
7.44787E-5,12.004525391,0.339093968,0.446152359,0.081395349,0.149659864
7.55471E-5,12.25200039,0.343008482,0.442962104,0.081395349,0.149659864
7.64692E-5,12.502760451,0.346368771,0.439771848,0.081395349,0.149659864
7.74767E-5,12.756811464,0.350020148,0.436581593,0.081395349,0.156462585
7.8306E-5,13.006077167,0.353010574,0.433488012,0.084302326,0.156462585
7.90912E-5,13.250093877,0.355829361,0.430491106,0.084302326,0.156462585
7.98106E-5,13.504234604,0.358401051,0.427397525,0.084302326,0.156462585
8.08433E-5,13.753038493,0.362074568,0.424400619,0.087209302,0.156462585
8.1919E-5,14.005240411,0.365878912,0.421403712,0.087209302,0.156462585
8.26594E-5,14.25235829,0.368484374,0.41850348,0.087209302,0.163265306
8.35451E-5,14.501944365,0.371586856,0.415603248,0.093023256,0.163265306
8.43233E-5,14.753900072,0.374300261,0.412703016,0.101744186,0.163265306
8.53472E-5,15.000144826,0.377852638,0.409899459,0.10755814,0.163265306
8.60006E-5,15.257125159,0.380108881,0.406999227,0.10755814,0.163265306
8.66032E-5,15.507576172,0.382182614,0.404195669,0.10755814,0.170068027
8.73137E-5,15.751121064,0.384618631,0.401488786,0.10755814,0.170068027
8.80091E-5,16.005429357,0.386993767,0.398685228,0.10755814,0.170068027
8.85707E-5,16.252672292,0.388905124,0.395978345,0.10755814,0.170068027
8.95984E-5,16.501983238,0.392387116,0.393271462,0.10755814,0.183673469
9.04294E-5,16.754229577,0.395188404,0.390564578,0.110465116,0.183673469
9.11161E-5,17.008484123,0.397493401,0.387857695,0.122093023,0.183673469
9.20023E-5,17.255694101,0.400455037,0.385247486,0.125,0.197278912
9.26966E-5,17.504983593,0.402765304,0.382637278,0.125,0.197278912
9.35215E-5,17.75633104,0.405498617,0.380027069,0.136627907,0.204081633
9.45622E-5,18.000793792,0.408928969,0.377513534,0.136627907,0.204081633
9.52899E-5,18.257145262,0.411315628,0.374903326,0.136627907,0.204081633
9.60625E-5,18.506143344,0.413839336,0.372389791,0.139534884,0.204081633
9.67787E-5,18.756750848,0.416169139,0.369876257,0.139534884,0.204081633
9.78119E-5,19.009529778,0.419513813,0.367362722,0.14244186,0.204081633
9.89602E-5,19.255298811,0.423208476,0.364945862,0.14244186,0.204081633
9.96239E-5,19.503548449,0.425333146,0.362529002,0.14244186,0.204081633
1.00869E-4,19.753882761,0.429298546,0.360112142,0.14244186,0.204081633
1.0192E-4,20.007330509,0.432624337,0.357695282,0.14244186,0.204081633
1.02887E-4,20.253043386,0.435664825,0.355375097,0.145348837,0.204081633
1.03701E-4,20.501103969,0.438215601,0.353054911,0.151162791,0.204081633
1.04563E-4,20.751066172,0.440901414,0.350734725,0.151162791,0.204081633
1.0548E-4,21.003285001,0.443745255,0.34841454,0.154069767,0.210884354
1.0611E-4,21.257393708,0.445689268,0.346094354,0.156976744,0.210884354
1.06972E-4,21.502200555,0.448339521,0.343870843,0.156976744,0.210884354
1.07863E-4,21.760171017,0.451067913,0.341550657,0.162790698,0.210884354
1.08746E-4,22.009578839,0.453756652,0.339327146,0.165697674,0.210884354
1.09601E-4,22.260915073,0.456346102,0.337103635,0.171511628,0.210884354
1.1042E-4,22.503205435,0.458816826,0.334976798,0.171511628,0.217687075
1.11067E-4,22.757878285,0.460761349,0.332753287,0.171511628,0.217687075
1.11634E-4,23.000507545,0.462457881,0.33062645,0.171511628,0.217687075
1.12191E-4,23.260285777,0.464120426,0.328402939,0.171511628,0.224489796
1.12877E-4,23.507895768,0.466159954,0.326276102,0.171511628,0.231292517
1.13539E-4,23.757091941,0.468120775,0.324149265,0.174418605,0.231292517
1.14096E-4,24.007505694,0.469767539,0.322022428,0.177325581,0.231292517
1.14728E-4,24.259220653,0.471626957,0.319895592,0.180232558,0.238095238
1.15342E-4,24.500746039,0.473428416,0.317865429,0.183139535,0.238095238
1.15933E-4,24.755161524,0.475154368,0.315738592,0.186046512,0.238095238
1.16756E-4,25.010959563,0.477551961,0.313611756,0.188953488,0.238095238
1.1757E-4,25.257012729,0.479910842,0.311581593,0.191860465,0.238095238
1.18362E-4,25.504723622,0.482195595,0.309551431,0.191860465,0.238095238
1.19458E-4,25.75449293,0.485343601,0.307521268,0.194767442,0.244897959
1.20558E-4,26.006630438,0.48848005,0.305491106,0.197674419,0.25170068
1.21246E-4,26.260595128,0.490433331,0.303460944,0.203488372,0.25170068
1.22086E-4,26.504057524,0.49280935,0.301527456,0.212209302,0.258503401
1.22869E-4,26.761213117,0.495010937,0.299497293,0.212209302,0.265306122
1.2368E-4,27.007731204,0.497284365,0.297563805,0.215116279,0.265306122
1.24309E-4,27.255744303,0.499040054,0.295630317,0.223837209,0.265306122
1.25153E-4,27.505380654,0.501384926,0.293696829,0.223837209,0.272108844
1.25786E-4,27.756213004,0.50313814,0.291763341,0.229651163,0.272108844
1.26583E-4,28.008547338,0.505333244,0.289829853,0.23255814,0.272108844
1.27501E-4,28.262705312,0.507852437,0.287896365,0.235465116,0.272108844
1.28263E-4,28.505686301,0.509934289,0.286059551,0.235465116,0.278911565
1.29061E-4,28.750135766,0.51210223,0.284222738,0.238372093,0.278911565
1.29662E-4,29.008960279,0.513731137,0.28228925,0.247093023,0.278911565
1.30649E-4,29.256367334,0.516392733,0.280452436,0.252906977,0.278911565
1.31292E-4,29.505182571,0.518118515,0.278615623,0.255813953,0.278911565
1.3222E-4,29.755572313,0.52059753,0.276778809,0.261627907,0.278911565
1.32823E-4,30.007256649,0.522202493,0.274941995,0.264534884,0.278911565
1.34021E-4,30.260728053,0.525374597,0.273105182,0.264534884,0.278911565
1.34627E-4,30.502533391,0.526973185,0.271365043,0.264534884,0.278911565
1.35475E-4,30.759173703,0.529197585,0.269528229,0.264534884,0.278911565
1.36157E-4,31.003513954,0.53097968,0.26778809,0.264534884,0.278911565
1.36743E-4,31.262788842,0.532504444,0.265951276,0.264534884,0.278911565
1.37854E-4,31.50980066,0.535383476,0.264211137,0.264534884,0.278911565
1.38485E-4,31.758549489,0.537013353,0.262470998,0.264534884,0.278911565
1.39147E-4,32.008549805,0.538712442,0.260730858,0.270348837,0.285714286
1.39471E-4,32.259313841,0.539543104,0.258990719,0.276162791,0.285714286
1.40274E-4,32.511177835,0.541594555,0.25725058,0.279069767,0.285714286
1.41047E-4,32.750367655,0.543561566,0.255607115,0.281976744,0.292517007
1.41877E-4,33.005104249,0.545662988,0.253866976,0.284883721,0.292517007
1.42644E-4,33.261209202,0.547596667,0.252126837,0.296511628,0.299319728
1.43053E-4,33.504092943,0.548623087,0.250483372,0.299418605,0.299319728
