x,y,species cloglog values
1.0,1.0,5.2483462E-11
2.0,2.0,0.39792067
3.0,3.0,0.58270955
4.0,4.0,0.75346774
5.0,5.0,0.52164966
6.0,6.0,0.39549804
7.0,7.0,0.75006336
8.0,8.0,0.5558068
9.0,9.0,5.335754E-11
10.0,10.0,0.82541525
11.0,11.0,0.3700533
12.0,12.0,0.6077378
13.0,13.0,0.6172091
14.0,14.0,0.7990157
15.0,15.0,5.272982E-11
16.0,16.0,0.1429436
17.0,17.0,0.055633098
18.0,18.0,0.32089502
19.0,19.0,0.086819746
20.0,20.0,0.32132503
21.0,21.0,0.74928993
22.0,22.0,0.492218
23.0,23.0,2.1652054E-8
24.0,24.0,0.27567053
25.0,25.0,0.18519436
26.0,26.0,0.58456594
27.0,27.0,0.79811054
28.0,28.0,4.6513127E-11
29.0,29.0,0.5369652
30.0,30.0,0.6286823
31.0,31.0,0.38024518
32.0,32.0,0.14800355
33.0,33.0,9.963724E-5
34.0,34.0,0.840116
35.0,35.0,0.47437072
36.0,36.0,0.26751414
37.0,37.0,0.59422076
38.0,38.0,1.7639874E-7
39.0,39.0,0.2495605
40.0,40.0,0.77508396
41.0,41.0,0.8056881
42.0,42.0,0.8290133
43.0,43.0,0.5808227
44.0,44.0,0.6503341
45.0,45.0,2.055023E-8
46.0,46.0,0.48870862
47.0,47.0,0.82124454
48.0,48.0,0.31271508
49.0,49.0,0.4172546
50.0,50.0,0.73496985
51.0,51.0,0.5094205
52.0,52.0,4.7138456E-4
53.0,53.0,0.2818609
54.0,54.0,0.6178019
55.0,55.0,0.5032083
56.0,56.0,0.79911494
57.0,57.0,0.00226854
58.0,58.0,0.27489966
59.0,59.0,4.124815E-9
60.0,60.0,0.29958975
61.0,61.0,0.22888172
62.0,62.0,0.82789636
63.0,63.0,1.7519224E-6
64.0,64.0,0.8302323
65.0,65.0,0.6108149
66.0,66.0,0.8147986
67.0,67.0,0.772732
68.0,68.0,0.7866547
69.0,69.0,0.267635
70.0,70.0,0.14167103
71.0,71.0,0.30404183
72.0,72.0,0.7419822
73.0,73.0,3.6465213E-8
74.0,74.0,0.69057804
75.0,75.0,0.61017627
76.0,76.0,0.82254833
77.0,77.0,0.69765985
78.0,78.0,0.22608835
79.0,79.0,0.58933026
80.0,80.0,0.22657754
81.0,81.0,0.11340109
82.0,82.0,5.0629057E-11
83.0,83.0,5.5136007E-11
84.0,84.0,0.05861789
85.0,85.0,0.054016437
86.0,86.0,4.3995097E-8
87.0,87.0,0.077212
88.0,88.0,0.09172566
89.0,89.0,0.82744205
90.0,90.0,0.75965714
91.0,91.0,1.5829812E-8
92.0,92.0,0.24323273
93.0,93.0,0.7826429
94.0,94.0,0.8272555
95.0,95.0,0.111309335
96.0,96.0,0.20352732
97.0,97.0,0.40221095
98.0,98.0,5.3049343E-11
99.0,99.0,0.56793654
100.0,100.0,0.22109503
101.0,101.0,0.7678443
102.0,102.0,0.59321266
103.0,103.0,0.67038167
104.0,104.0,0.7514528
105.0,105.0,0.8046498
106.0,106.0,0.58272666
107.0,107.0,0.09849162
108.0,108.0,4.6215365E-11
109.0,109.0,0.46451175
110.0,110.0,0.7802422
111.0,111.0,0.69675183
112.0,112.0,0.4750266
113.0,113.0,0.15297836
114.0,114.0,0.84063214
115.0,115.0,0.016371857
116.0,116.0,0.4371495
117.0,117.0,0.2695702
118.0,118.0,0.5034635
119.0,119.0,0.8160148
120.0,120.0,2.5027415E-5
121.0,121.0,0.42647082
122.0,122.0,0.33103642
123.0,123.0,0.2817611
124.0,124.0,0.56568414
125.0,125.0,0.34044212
126.0,126.0,0.18582915
127.0,127.0,6.1002098E-5
128.0,128.0,0.30739638
129.0,129.0,2.8895784E-5
130.0,130.0,0.223172
131.0,131.0,0.092184864
132.0,132.0,0.35942423
133.0,133.0,0.56509346
134.0,134.0,0.66484565
135.0,135.0,6.9610095E-11
136.0,136.0,0.31713757
137.0,137.0,0.7536073
138.0,138.0,0.15894963
139.0,139.0,4.6381232E-11
140.0,140.0,0.38848186
141.0,141.0,0.5127516
142.0,142.0,0.6553507
143.0,143.0,0.23529929
144.0,144.0,0.8023443
145.0,145.0,5.3781757E-11
146.0,146.0,2.3972387E-5
147.0,147.0,0.44886437
148.0,148.0,0.14814056
149.0,149.0,9.543738E-4
150.0,150.0,0.2949865
151.0,151.0,0.0059062
152.0,152.0,7.167622E-11
153.0,153.0,0.19315165
154.0,154.0,0.692953
155.0,155.0,5.4009575E-11
156.0,156.0,0.75165087
157.0,157.0,5.255607E-11
158.0,158.0,0.15229337
159.0,159.0,2.5978418E-6
160.0,160.0,1.05105006E-4
161.0,161.0,0.8275342
162.0,162.0,0.7862351
163.0,163.0,0.82637215
164.0,164.0,5.4575264E-9
165.0,165.0,0.7054113
166.0,166.0,2.4636582E-10
167.0,167.0,0.13051963
168.0,168.0,0.7105529
169.0,169.0,0.28332967
170.0,170.0,3.0908825E-5
171.0,171.0,0.35806248
172.0,172.0,0.83093464
173.0,173.0,0.29741907
174.0,174.0,0.0019324692
175.0,175.0,0.5626299
176.0,176.0,2.2512364E-4
