Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.21156E-14,0.000000001,0.000000001,0.92575406,0,0
2.97516E-13,0.000000003,0.000000002,0.916569992,0,0
1.28384E-12,0.00000001,0.000000008,0.905452436,0,0
3.40061E-12,0.000000025,0.000000021,0.899071926,0,0
1.33562E-11,0.0000001,0.000000083,0.889114462,0,0
2.84898E-11,0.000000251,0.000000177,0.882153906,0,0
9.75656E-11,0.000001003,0.000000606,0.869006187,0,0
3.09468E-10,0.000002519,0.000001921,0.860788863,0,0
1.12723E-9,0.000010056,0.000006999,0.849381284,0,0
2.63002E-9,0.000025225,0.000016329,0.841067285,0,0
5.51579E-9,0.000050338,0.000034247,0.835073473,0,0
1.08982E-8,0.000100684,0.000067664,0.828886311,0,0
2.5215E-8,0.00025093,0.000156546,0.820378964,0,0
4.324E-8,0.000501369,0.000268439,0.813418407,0,0
8.43945E-8,0.001002168,0.000523864,0.805394432,0,0
2.35659E-7,0.002515248,0.001462125,0.795146945,0,0
4.32582E-7,0.005022199,0.002682272,0.787703016,0,0
9.01983E-7,0.010004642,0.005584707,0.780259087,0,0
2.34625E-6,0.02519605,0.01446216,0.770881671,0,0
5.22621E-6,0.050245112,0.031928428,0.76450116,0,0
7.81378E-6,0.100545674,0.047357245,0.757057231,0,0
1.20541E-5,0.200031792,0.072110919,0.747389791,0.002906977,0.006802721
1.5233E-5,0.301173371,0.090246026,0.740139211,0.005813953,0.013605442
1.86394E-5,0.401195267,0.109284941,0.734435422,0.005813953,0.013605442
2.05091E-5,0.500040903,0.119565374,0.729601701,0.005813953,0.013605442
2.21793E-5,0.600546681,0.128648751,0.725058005,0.005813953,0.013605442
2.36785E-5,0.701517046,0.136722177,0.720804331,0.005813953,0.013605442
2.40466E-5,0.751689618,0.138692751,0.718774169,0.005813953,0.013605442
2.46503E-5,0.800569388,0.141915436,0.716840681,0.005813953,0.013605442
2.55849E-5,0.901034737,0.146880099,0.712973705,0.005813953,0.013605442
2.62245E-5,1.002260282,0.150261121,0.709203403,0.005813953,0.013605442
2.65993E-5,1.102648608,0.152236711,0.705529776,0.005813953,0.013605442
2.69883E-5,1.201714158,0.15428148,0.701952823,0.005813953,0.013605442
2.75482E-5,1.302563199,0.157216587,0.69837587,0.005813953,0.013605442
2.8166E-5,1.400223533,0.160443342,0.694992266,0.005813953,0.013605442
2.90702E-5,1.500345674,0.165143518,0.691608662,0.005813953,0.013605442
3.08509E-5,1.752509952,0.174322767,0.683488012,0.005813953,0.013605442
3.2371E-5,2.001906884,0.182079277,0.675850735,0.005813953,0.013605442
3.35939E-5,2.253043032,0.188266086,0.66850348,0.005813953,0.013605442
3.49072E-5,2.500237848,0.194858085,0.661542923,0.005813953,0.013605442
3.62482E-5,2.750113821,0.201534193,0.654775715,0.00872093,0.013605442
3.73909E-5,3.000301998,0.207179365,0.648201856,0.00872093,0.013605442
3.84948E-5,3.250751611,0.212594743,0.641821346,0.00872093,0.013605442
3.98048E-5,3.501441382,0.218973002,0.635634184,0.00872093,0.020408163
4.09284E-5,3.75165044,0.224402943,0.629640371,0.011627907,0.027210884
4.17299E-5,4.00380713,0.228253243,0.623743233,0.020348837,0.054421769
4.27189E-5,4.25274192,0.232977438,0.618039443,0.026162791,0.06122449
4.3987E-5,4.503902372,0.238992947,0.612432328,0.026162791,0.06122449
4.49764E-5,4.753029942,0.243653792,0.607018561,0.029069767,0.06122449
4.61059E-5,5.00345669,0.248939598,0.601701469,0.031976744,0.06122449
4.719E-5,5.250369816,0.253977763,0.596577726,0.034883721,0.06122449
4.83548E-5,5.503283194,0.259353811,0.591453983,0.034883721,0.074829932
4.92678E-5,5.752511794,0.263540578,0.586523589,0.034883721,0.074829932
5.02642E-5,6.001582389,0.268082643,0.581689869,0.034883721,0.081632653
5.13484E-5,6.250479332,0.272992988,0.576952823,0.037790698,0.088435374
5.2289E-5,6.504480519,0.277226771,0.572215777,0.037790698,0.088435374
5.29869E-5,6.751950977,0.280351698,0.56767208,0.040697674,0.088435374
5.41241E-5,7.003653346,0.285414913,0.563128384,0.040697674,0.088435374
5.50583E-5,7.254756335,0.289547966,0.558681361,0.040697674,0.088435374
5.57102E-5,7.503941488,0.292417629,0.554331013,0.043604651,0.088435374
5.68364E-5,7.751731388,0.297348225,0.55007734,0.043604651,0.088435374
5.79813E-5,8.004528577,0.302325404,0.545823666,0.049418605,0.102040816
5.89646E-5,8.250408116,0.306572179,0.541763341,0.052325581,0.102040816
6.03311E-5,8.501290363,0.312430492,0.537703016,0.052325581,0.108843537
6.13785E-5,8.750987177,0.316887477,0.533739366,0.055232558,0.108843537
