X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,7.87091533772715E-5,13.617284877251818,0.3865771103829768
3.0,3.0,train,7.931626163340806E-5,13.808429547770576,0.38888505598082024
4.0,4.0,train,9.494182309344788E-6,0.13997116604657858,0.0572450051112926
7.0,7.0,train,1.2411165912129635E-4,28.93448382372182,0.5372657296642327
8.0,8.0,train,1.2918960040214577E-4,30.54865630001021,0.5516275238327496
9.0,9.0,train,1.315408120805807E-4,31.25624578488535,0.558125561576684
10.0,10.0,train,1.2639172264726503E-4,29.554303348911887,0.5437704085584774
13.0,13.0,train,9.504236926744745E-5,19.006574873888056,0.4457352021725415
14.0,14.0,train,1.3444045263246246E-4,32.12178324448107,0.5660097534552564
15.0,15.0,train,1.6284942961437553E-4,41.70474012422023,0.6361897945071358
16.0,16.0,train,1.6238439871202605E-4,41.489380433801024,0.6351378288711363
17.0,17.0,train,1.635900770028114E-4,41.92585511818882,0.6378589850110304
18.0,18.0,train,1.6874621088584847E-4,43.19352444658413,0.6492690046941607
20.0,20.0,train,1.7024113144976038E-4,43.53411142899013,0.6525093852636872
22.0,22.0,train,1.759218526087945E-4,44.93499079522913,0.6645521924597333
24.0,24.0,train,2.193303982904828E-4,56.1988891294316,0.7438033903031382
25.0,25.0,train,2.1777635847605367E-4,55.521729881046774,0.7413193983932291
26.0,26.0,train,2.0356946965248204E-4,51.25176481948175,0.7174645930910692
27.0,27.0,train,2.1000371559185829E-4,52.93626799994964,0.7285293568100049
28.0,28.0,train,2.089018808501813E-4,52.665487711905904,0.7266657964424417
29.0,29.0,train,2.4595874840047956E-4,64.92573771928998,0.7828450343068646
30.0,30.0,train,2.4757991446461357E-4,65.47046586685903,0.7850198932153902
32.0,32.0,train,2.4774254575595975E-4,65.52295127646059,0.7852368638031724
34.0,34.0,train,2.2699666637494376E-4,58.573242864474636,0.7557125200113288
36.0,36.0,train,2.119199658250199E-4,53.565558663249526,0.731740145991596
37.0,37.0,train,2.141904471572271E-4,54.139436483645504,0.7354953519256082
38.0,38.0,train,2.7882604165310867E-4,80.19510287115277,0.8229309005568911
39.0,39.0,train,2.8155968384433464E-4,81.51796598418744,0.8259109381607892
40.0,40.0,train,3.0020879223894025E-4,95.36989108720171,0.844945642116792
41.0,41.0,train,2.838904996979438E-4,82.6324963711048,0.8284121958386108
42.0,42.0,train,2.960311720671431E-4,90.97345413292169,0.8408711326486928
43.0,43.0,train,2.9616507308597546E-4,91.10996398949563,0.8410033748480942
44.0,44.0,train,2.8421143208380323E-4,82.74799463461099,0.8287537700428259
45.0,45.0,train,2.834634992013872E-4,82.45329513769273,0.8279566748837806
49.0,49.0,train,2.697636825149022E-4,75.51123441177563,0.8126819962131626
50.0,50.0,train,2.641098455884118E-4,73.12342021528484,0.8059895383880586
51.0,51.0,train,2.965716956944133E-4,91.60627219757102,0.8414042868366649
52.0,52.0,train,2.6979026436704866E-4,75.5251639997718,0.8127129096044587
55.0,55.0,train,2.8829436226571556E-4,85.03272515021867,0.8330404148731294
56.0,56.0,train,2.9597052087512407E-4,90.9155522048997,0.8408111966399616
57.0,57.0,train,2.61909222106185E-4,71.83660439493445,0.8033204742958183
58.0,58.0,train,2.75855043229494E-4,78.50096003622625,0.8196342360540414
59.0,59.0,train,2.9651624301180006E-4,91.53805689044195,0.8413496725202476
61.0,61.0,train,2.6991490248301503E-4,75.59056957452304,0.8128577895973291
62.0,62.0,train,2.3405520701285995E-4,60.76700831231254,0.7661874686677133
63.0,63.0,train,2.678182094428522E-4,74.39018503555428,0.810405598661393
64.0,64.0,train,2.758123895981814E-4,78.48168335951196,0.8195864627414384
65.0,65.0,train,2.7807359917673947E-4,79.76160268118386,0.8221017207966914
66.0,66.0,train,2.7352554858116015E-4,77.15512903374001,0.8170065220724594
68.0,68.0,train,2.845306560539133E-4,82.85574664158722,0.8290928514058085
69.0,69.0,train,2.78334255698085E-4,80.00154541660771,0.8223893988219622
71.0,71.0,train,2.801631140281186E-4,80.80739047313071,0.8243948091427091
72.0,72.0,train,2.762896838305696E-4,78.68887434098271,0.8201203255701839
73.0,73.0,train,2.8880820703762727E-4,85.36211306122689,0.8335722394708449
75.0,75.0,train,3.0183433609033943E-4,98.31757639990829,0.8465027209213662
76.0,76.0,train,3.0112697758639695E-4,96.70615339980802,0.8458270860758004
78.0,78.0,train,2.947288150708854E-4,89.63607445900602,0.8395791584450742
79.0,79.0,train,2.6699042802711016E-4,74.00830866880179,0.8094286416595373
81.0,81.0,train,2.4915775407319713E-4,66.04472721865102,0.7871157097657502
83.0,83.0,train,2.998029764522655E-4,95.02814488765735,0.844554460981102
84.0,84.0,train,2.9510745101005235E-4,89.96915947417125,0.8399558535329315
85.0,85.0,train,2.658591351436585E-4,73.68434378178648,0.8080853306332842
86.0,86.0,train,2.772395680082683E-4,79.20394575399968,0.8211780935608652
87.0,87.0,train,2.7779073168034265E-4,79.51168559247077,0.8217890020204172
88.0,88.0,train,2.779742686298842E-4,79.67381032467142,0.8219919703657421
89.0,89.0,train,2.6828499004171553E-4,74.66024375939726,0.8109542884135319
91.0,91.0,train,2.9587862689289747E-4,90.82782369425695,0.8407203432318271
92.0,92.0,train,2.986722149518944E-4,93.72707599553199,0.8434592634547755
93.0,93.0,train,2.955637677897071E-4,90.37057162389384,0.8404086560978281
94.0,94.0,train,2.9565445350185343E-4,90.46631627249937,0.8404984907041121
95.0,95.0,train,2.956885246134089E-4,90.50228805378966,0.840532228980716
96.0,96.0,train,2.9360525766008246E-4,88.38489895572896,0.8384561332177258
97.0,97.0,train,2.9606481181758187E-4,91.00556902372169,0.8409043659980844
