X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.054939477450211E-5,13.878538519733826,0.3552715492605104
3.0,3.0,train,8.211749896702537E-5,14.30937816529048,0.36075718121489364
4.0,4.0,train,1.4469386890128133E-5,0.371391005782172,0.07581768627472918
7.0,7.0,train,1.4786940532757046E-4,34.53587804725535,0.5532531441589106
8.0,8.0,train,1.5358246715029846E-4,36.5351581054207,0.5669467228144699
9.0,9.0,train,1.624364284028131E-4,38.992907779210945,0.5873440627734439
10.0,10.0,train,1.5622585536455562E-4,37.40835691940617,0.5731398111859219
13.0,13.0,train,2.175165310125267E-4,51.3807987758326,0.6943397466259547
14.0,14.0,train,2.0223602280954045E-4,48.29776756184918,0.6677990540952325
15.0,15.0,train,3.587687710174179E-4,79.48647550741293,0.8584335819924493
16.0,16.0,train,3.5390501786330275E-4,78.32046795281548,0.8546314368695054
17.0,17.0,train,3.558529109980098E-4,78.75738058298256,0.8561662724725664
18.0,18.0,train,3.694192932216513E-4,81.51330704122408,0.866415711063843
20.0,20.0,train,3.7597622729372804E-4,82.90504518005866,0.8711043821549412
22.0,22.0,train,3.942203086215523E-4,86.50447509258483,0.8833021513886034
24.0,24.0,train,2.3630270221557361E-4,55.7292557843347,0.7240815194069846
25.0,25.0,train,2.348652352152584E-4,55.30361785434805,0.7219117690133676
26.0,26.0,train,4.798471556568176E-4,97.60633655535312,0.9268147259070941
27.0,27.0,train,4.991689414660018E-4,98.40789942980224,0.9341284363670532
28.0,28.0,train,4.990655011286625E-4,98.40634216115099,0.9340912965819232
29.0,29.0,train,5.85704760312083E-4,99.46260423180416,0.958893764045972
30.0,30.0,train,5.905726907159543E-4,99.50959715430383,0.9599698174271929
32.0,32.0,train,5.928993995660548E-4,99.53487112744209,0.9604741400871067
34.0,34.0,train,5.136712130972529E-4,98.6192078391493,0.9391335737898155
36.0,36.0,train,4.582015757448194E-4,95.50522311714849,0.9176528106348565
37.0,37.0,train,3.2146853186374753E-4,72.44046098410941,0.8265266925706981
38.0,38.0,train,6.128019576076543E-4,99.75106670350455,0.9645365341669528
39.0,39.0,train,6.187599437324424E-4,99.87001237452573,0.9656694011541763
40.0,40.0,train,3.4269337110093186E-4,76.24250262581634,0.84547338883342
41.0,41.0,train,4.139065062684846E-4,89.40489261285929,0.89517262169987
42.0,42.0,train,3.566704499630815E-4,78.91085422669434,0.8568056115791005
43.0,43.0,train,3.548685289513819E-4,78.4798928747521,0.8553926682856221
44.0,44.0,train,4.1282561527824715E-4,89.2519471067344,0.8945533726969918
45.0,45.0,train,4.0459316341030874E-4,88.02264804263187,0.8897153422803387
49.0,49.0,train,3.831950835135492E-4,84.63544920210155,0.8760762752307213
50.0,50.0,train,3.6802959953251236E-4,81.17153980612065,0.865400283449717
51.0,51.0,train,3.7904767053607933E-4,83.54485630553546,0.8732437253277937
52.0,52.0,train,3.7632454039685E-4,82.94829571727742,0.8713487955280276
55.0,55.0,train,4.0139589121305195E-4,87.49870026937967,0.8877770801155079
56.0,56.0,train,4.115981869849794E-4,89.07066864759318,0.8938457347840989
57.0,57.0,train,3.605241466402934E-4,79.70159351085724,0.8597812532418113
58.0,58.0,train,3.8019515874540826E-4,83.89759689392167,0.8740338392270497
