x,y,species cloglog values
1.0,1.0,5.9051963E-5
2.0,2.0,0.14906517
3.0,3.0,0.8548864
4.0,4.0,2.7049737E-8
5.0,5.0,0.3993897
6.0,6.0,0.73094505
7.0,7.0,0.33006564
8.0,8.0,0.865839
9.0,9.0,1.3103041E-10
10.0,10.0,0.45351803
11.0,11.0,0.77095044
12.0,12.0,6.0727914E-5
13.0,13.0,0.28767905
14.0,14.0,0.49255648
15.0,15.0,2.268229E-10
16.0,16.0,8.7379604E-8
17.0,17.0,3.50372E-7
18.0,18.0,9.404246E-8
19.0,19.0,6.19901E-4
20.0,20.0,0.8648649
21.0,21.0,0.42943338
22.0,22.0,3.0888305E-7
23.0,23.0,1.44329E-14
24.0,24.0,1.1829882E-10
25.0,25.0,2.1165514E-11
26.0,26.0,0.082594514
27.0,27.0,0.5298991
28.0,28.0,0.85609347
29.0,29.0,0.4388184
30.0,30.0,0.39256227
31.0,31.0,0.38185367
32.0,32.0,0.30469695
33.0,33.0,0.28282216
34.0,34.0,0.50310427
35.0,35.0,0.5328476
36.0,36.0,0.35080886
37.0,37.0,0.17628191
38.0,38.0,0.14877509
39.0,39.0,4.492522E-7
40.0,40.0,0.1358372
41.0,41.0,5.6112E-5
42.0,42.0,1.1742274E-11
43.0,43.0,0.3184894
44.0,44.0,0.3882116
45.0,45.0,0.2119345
46.0,46.0,0.73355293
47.0,47.0,0.49568442
48.0,48.0,1.0712331E-10
49.0,49.0,4.6074256E-14
50.0,50.0,0.070283964
51.0,51.0,0.28871244
52.0,52.0,0.40917742
53.0,53.0,6.2531576E-4
54.0,54.0,0.3604571
55.0,55.0,0.58966726
56.0,56.0,1.011935E-11
57.0,57.0,0.3042423
58.0,58.0,0.26575565
59.0,59.0,0.3611871
60.0,60.0,0.3173486
61.0,61.0,0.47450894
62.0,62.0,0.23426701
63.0,63.0,5.6564753E-12
64.0,64.0,0.66867095
65.0,65.0,0.44089308
66.0,66.0,0.57202965
67.0,67.0,0.32604006
68.0,68.0,1.4252932E-10
69.0,69.0,0.39145318
70.0,70.0,9.638412E-11
71.0,71.0,1.3939318E-8
72.0,72.0,5.1503246E-12
73.0,73.0,3.6649084E-9
74.0,74.0,0.7672095
75.0,75.0,4.730122E-10
76.0,76.0,0.6014966
77.0,77.0,0.36464784
78.0,78.0,0.8485357
79.0,79.0,0.7729175
80.0,80.0,1.9982904E-12
81.0,81.0,0.001886962
82.0,82.0,0.78446007
83.0,83.0,0.5252466
84.0,84.0,0.3700692
85.0,85.0,0.0023250272
86.0,86.0,3.2098347E-7
87.0,87.0,0.4718322
88.0,88.0,0.8667489
89.0,89.0,0.12318923
90.0,90.0,0.3768741
91.0,91.0,0.05868487
92.0,92.0,0.043387555
93.0,93.0,0.7666394
94.0,94.0,1.3132828E-12
95.0,95.0,7.718505E-6
96.0,96.0,0.27238154
97.0,97.0,0.4040452
98.0,98.0,0.11580372
99.0,99.0,0.5221977
100.0,100.0,0.2756756
101.0,101.0,0.30944628
102.0,102.0,0.49595636
103.0,103.0,0.38267177
104.0,104.0,0.10894421
105.0,105.0,0.3922509
106.0,106.0,0.35148332
107.0,107.0,0.65190965
108.0,108.0,0.4305321
109.0,109.0,0.026365258
110.0,110.0,3.2913754E-8
111.0,111.0,0.81508493
112.0,112.0,1.36227145E-8
113.0,113.0,0.85234344
114.0,114.0,0.0017033315
115.0,115.0,0.11181306
116.0,116.0,0.65558326
117.0,117.0,0.36137778
118.0,118.0,1.6411396E-9
119.0,119.0,0.51456374
120.0,120.0,0.6773551
121.0,121.0,0.7747494
122.0,122.0,1.5803503E-10
123.0,123.0,0.7900156
124.0,124.0,1.483047E-11
125.0,125.0,0.013853946
126.0,126.0,4.9071858E-14
127.0,127.0,0.39032507
128.0,128.0,0.2351667
129.0,129.0,0.46295065
130.0,130.0,0.14603436
131.0,131.0,0.57962716
132.0,132.0,0.15915102
133.0,133.0,0.27371025
134.0,134.0,0.6698374
135.0,135.0,0.82609504
136.0,136.0,5.4293237E-12
137.0,137.0,0.37895578
138.0,138.0,0.8698768
139.0,139.0,7.4553164E-10
140.0,140.0,0.30251712
141.0,141.0,0.0016255735
142.0,142.0,4.7764636E-4
143.0,143.0,0.85150355
144.0,144.0,0.7327484
145.0,145.0,8.829382E-12
146.0,146.0,0.8479521
147.0,147.0,0.5614461
148.0,148.0,0.15781352
149.0,149.0,2.6627871E-8
150.0,150.0,6.5464882E-9
151.0,151.0,0.29215488
152.0,152.0,1.7315708E-4
153.0,153.0,0.8175336
154.0,154.0,0.35899916
155.0,155.0,8.9772634E-13
156.0,156.0,0.8530444
157.0,157.0,0.56433713
158.0,158.0,3.4279715E-8
159.0,159.0,0.016901562
160.0,160.0,4.743101E-8
161.0,161.0,0.4484254
162.0,162.0,0.2972191
163.0,163.0,0.5188327
164.0,164.0,0.7812353
165.0,165.0,5.2164384E-11
166.0,166.0,0.34259295
167.0,167.0,0.20865196
168.0,168.0,0.07170256
169.0,169.0,0.52272975
170.0,170.0,0.0487642
171.0,171.0,0.63479096
172.0,172.0,0.5010694
173.0,173.0,0.39994445
174.0,174.0,1.9805059E-4
175.0,175.0,0.6855742
176.0,176.0,0.20686585
177.0,177.0,0.599421
178.0,178.0,4.1668986E-6
179.0,179.0,0.009145574
180.0,180.0,0.37396145
181.0,181.0,0.13117543
182.0,182.0,0.689274
183.0,183.0,0.09529672
184.0,184.0,0.34621173
185.0,185.0,0.22080584
186.0,186.0,0.5998652
187.0,187.0,0.5739727
188.0,188.0,0.058249686
189.0,189.0,0.25107035
190.0,190.0,1.7499224E-10
191.0,191.0,1.9966234E-5
192.0,192.0,2.2542267E-4
193.0,193.0,0.0010654618
194.0,194.0,0.47862765
195.0,195.0,0.112542704
196.0,196.0,0.006290552
197.0,197.0,0.62787324
198.0,198.0,4.767674E-9
199.0,199.0,0.591274
200.0,200.0,0.8184041
201.0,201.0,0.71104074
202.0,202.0,0.22893773
203.0,203.0,3.1059267E-7
204.0,204.0,1.2991237E-6
205.0,205.0,0.0036684938
206.0,206.0,2.4468561E-6
207.0,207.0,1.5144941E-10
208.0,208.0,0.527689
209.0,209.0,0.048988543
210.0,210.0,0.6603776
211.0,211.0,0.86762893
212.0,212.0,0.284381
213.0,213.0,0.13692342
214.0,214.0,0.2736989
215.0,215.0,2.9408542E-10
216.0,216.0,0.8092319
217.0,217.0,0.78673065
218.0,218.0,0.5609675
219.0,219.0,0.33915916
220.0,220.0,0.8530476
221.0,221.0,6.6654347E-6
222.0,222.0,1.5818957E-10
223.0,223.0,1.12830465E-8
224.0,224.0,0.70040643
225.0,225.0,0.43048945
226.0,226.0,0.59069496
227.0,227.0,0.6874838
228.0,228.0,0.84794676
229.0,229.0,0.5086513
230.0,230.0,0.33770725
231.0,231.0,0.2444765
232.0,232.0,0.8208054
233.0,233.0,1.2049861E-10
234.0,234.0,0.87119
235.0,235.0,0.8163839
236.0,236.0,3.8146365E-5
237.0,237.0,0.60532963
238.0,238.0,0.13617527
239.0,239.0,0.49359292
240.0,240.0,0.75010383
241.0,241.0,0.82953835
242.0,242.0,0.41139027
243.0,243.0,1.3624235E-10
244.0,244.0,0.4881376
245.0,245.0,0.4782109
246.0,246.0,0.84022224
247.0,247.0,0.56594086
248.0,248.0,0.21125855
249.0,249.0,0.034707773
250.0,250.0,0.0069939746
251.0,251.0,1.085424E-6
252.0,252.0,1.09282694E-10
253.0,253.0,3.8342667E-5
254.0,254.0,0.045569032
255.0,255.0,0.4808963
256.0,256.0,0.69008404
257.0,257.0,0.691035
258.0,258.0,0.2053529
259.0,259.0,0.8560895
260.0,260.0,0.11671194
261.0,261.0,0.58132523
262.0,262.0,0.4944944
263.0,263.0,0.7554646
264.0,264.0,0.73436743
265.0,265.0,0.6574486
266.0,266.0,1.7102986E-12
267.0,267.0,0.14919177
268.0,268.0,0.6646363
269.0,269.0,0.3433042
270.0,270.0,5.779488E-12
271.0,271.0,0.3060343
272.0,272.0,1.591347E-10
273.0,273.0,1.0058621E-12
274.0,274.0,0.43506026
275.0,275.0,0.51174295
276.0,276.0,0.24374077
277.0,277.0,0.5397282
278.0,278.0,0.6398307
279.0,279.0,7.483076E-6
280.0,280.0,0.8460651
281.0,281.0,3.2744474E-11
282.0,282.0,0.23781008
283.0,283.0,1.4703294E-6
284.0,284.0,0.25479308
285.0,285.0,1.2679324E-10
286.0,286.0,0.8135643
287.0,287.0,0.82778186
288.0,288.0,0.80755615
289.0,289.0,0.39924315
290.0,290.0,0.8393219
291.0,291.0,0.30419362
292.0,292.0,0.14549546
293.0,293.0,0.3360809
294.0,294.0,0.20739599
295.0,295.0,0.11052346
296.0,296.0,0.17206728
297.0,297.0,0.67871433
298.0,298.0,0.28918234
299.0,299.0,0.6242188
300.0,300.0,0.17291564
301.0,301.0,0.024499547
302.0,302.0,0.11989266
303.0,303.0,0.25269777
304.0,304.0,0.32822978
305.0,305.0,0.6916956
306.0,306.0,1.3378565E-10
307.0,307.0,0.11565611
308.0,308.0,0.37306005
309.0,309.0,0.40656793
310.0,310.0,1.47371315E-8
311.0,311.0,6.6723704E-5
312.0,312.0,0.7905123
313.0,313.0,0.38506907
314.0,314.0,0.26015806
315.0,315.0,0.8573158
316.0,316.0,0.4453277
317.0,317.0,0.23927905
318.0,318.0,4.0710214E-4
319.0,319.0,0.22097726
320.0,320.0,2.4761828E-9
321.0,321.0,1.0868811E-7
322.0,322.0,0.68173254
323.0,323.0,0.1205451
324.0,324.0,0.52075726
325.0,325.0,0.6846622
326.0,326.0,0.084855124
327.0,327.0,0.7756441
328.0,328.0,1.1848057E-4
329.0,329.0,0.79366654
330.0,330.0,0.21956636
331.0,331.0,0.323843
332.0,332.0,0.51996946
333.0,333.0,0.81971604
334.0,334.0,0.15598114
335.0,335.0,1.3771691E-8
336.0,336.0,5.3206594E-7
337.0,337.0,0.31234333
338.0,338.0,0.703885
339.0,339.0,0.57113445
340.0,340.0,0.3255289
341.0,341.0,0.8672148
342.0,342.0,1.7564748E-6
343.0,343.0,2.3064083E-4
344.0,344.0,1.3058712E-5
345.0,345.0,4.2057298E-5
346.0,346.0,0.8066332
347.0,347.0,0.16351755
348.0,348.0,0.26611242
349.0,349.0,0.46127433
350.0,350.0,0.28560206
351.0,351.0,0.08344353
352.0,352.0,0.14431363
353.0,353.0,0.70140254
354.0,354.0,0.18482229
