Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.4208E-14,0.000000001,0,0.912799691,0,0
2.97335E-13,0.000000003,0.000000002,0.901875483,0,0
1.15842E-12,0.00000001,0.000000007,0.890757927,0,0
2.57518E-12,0.000000025,0.000000015,0.882830626,0,0
1.22754E-11,0.0000001,0.000000071,0.871229698,0,0
3.2812E-11,0.000000251,0.000000189,0.86378577,0,0
1.12815E-10,0.000001006,0.000000651,0.85237819,0,0
3.38609E-10,0.000002527,0.000001954,0.845610982,0,0
1.33604E-9,0.000010003,0.000007709,0.836136891,0,0
2.75034E-9,0.000025035,0.00001587,0.828692962,0,0
6.41078E-9,0.000050422,0.000036992,0.822989172,0,0
1.08515E-8,0.000100615,0.000062616,0.817285383,0,0
2.30534E-8,0.000251458,0.000133019,0.807907966,0,0
3.97052E-8,0.000501508,0.000229089,0.800174014,0,0
7.13027E-8,0.001001116,0.000411361,0.791860015,0,0
1.57208E-7,0.002509117,0.00090674,0.778132251,0,0
3.14297E-7,0.005002925,0.001811975,0.767401392,0,0
7.56435E-7,0.010008408,0.004355427,0.757540603,0,0
1.86545E-6,0.025070925,0.01070668,0.745552978,0,0
4.30758E-6,0.050013496,0.024550078,0.737625677,0,0
8.14161E-6,0.100646555,0.04589387,0.729601701,0,0
1.18453E-5,0.200281019,0.066068679,0.719837587,0,0
1.53668E-5,0.30093604,0.084855121,0.712683681,0,0
1.76262E-5,0.400527014,0.096708605,0.706883217,0.005813953,0.006802721
1.89647E-5,0.501498654,0.103658575,0.701566125,0.005813953,0.006802721
1.97758E-5,0.600500982,0.107843847,0.696635731,0.011627907,0.006802721
2.10438E-5,0.700283739,0.114348194,0.691898685,0.011627907,0.006802721
2.13257E-5,0.751151984,0.115787499,0.6895785,0.011627907,0.006802721
2.17662E-5,0.800796081,0.118032415,0.687354988,0.011627907,0.006802721
2.28304E-5,0.901037495,0.123431619,0.68300464,0.011627907,0.006802721
2.36957E-5,1.000892635,0.127797746,0.678847641,0.01744186,0.013605442
2.46951E-5,1.100110425,0.13281306,0.674883991,0.01744186,0.020408163
2.55393E-5,1.200884733,0.137027305,0.671017015,0.01744186,0.020408163
2.62064E-5,1.30197275,0.140342674,0.667246713,0.01744186,0.020408163
2.6818E-5,1.400066196,0.143371512,0.66366976,0.01744186,0.020408163
2.73017E-5,1.500299123,0.145759203,0.660092807,0.01744186,0.020408163
2.88668E-5,1.75047651,0.153439126,0.651488786,0.020348837,0.040816327
3.02044E-5,2.001583974,0.159948008,0.643271462,0.020348837,0.040816327
3.21185E-5,2.251039046,0.169175363,0.63553751,0.023255814,0.040816327
3.34665E-5,2.500381943,0.175613186,0.628190255,0.023255814,0.054421769
3.47721E-5,2.753277598,0.181800535,0.62103635,0.026162791,0.054421769
3.61713E-5,3.002540322,0.188380122,0.614269142,0.026162791,0.054421769
3.78002E-5,3.25007974,0.195972824,0.607791957,0.026162791,0.054421769
3.9074E-5,3.503708303,0.201861196,0.601411446,0.026162791,0.06122449
