x,y,species cloglog values
1.0,1.0,0.25362152
2.0,2.0,0.51961666
3.0,3.0,0.5866095
4.0,4.0,1.1773399E-7
5.0,5.0,0.87818646
6.0,6.0,3.1238352E-4
7.0,7.0,0.72438055
8.0,8.0,0.47307962
9.0,9.0,0.50847656
10.0,10.0,0.32289407
11.0,11.0,0.39992234
12.0,12.0,0.2805067
13.0,13.0,0.7509638
14.0,14.0,0.36899814
15.0,15.0,0.12365323
16.0,16.0,0.5885415
17.0,17.0,2.3606824E-4
18.0,18.0,0.005279302
19.0,19.0,0.6841432
20.0,20.0,8.903173E-6
21.0,21.0,5.8355694E-9
22.0,22.0,0.056766883
23.0,23.0,0.13923252
24.0,24.0,1.5607848E-11
25.0,25.0,0.3163324
26.0,26.0,0.5537322
27.0,27.0,0.7898551
28.0,28.0,0.4743969
29.0,29.0,0.3718528
30.0,30.0,1.3324897E-12
31.0,31.0,2.8910208E-12
32.0,32.0,1.1005494E-8
33.0,33.0,0.60768396
34.0,34.0,0.38991067
35.0,35.0,0.61354274
36.0,36.0,0.0013102228
37.0,37.0,0.22599714
38.0,38.0,0.73877823
39.0,39.0,0.4423167
40.0,40.0,0.19386883
41.0,41.0,0.69770837
42.0,42.0,0.58662593
43.0,43.0,0.5828797
44.0,44.0,0.36533964
45.0,45.0,0.6530048
46.0,46.0,0.32597077
47.0,47.0,0.6494604
48.0,48.0,0.35064614
49.0,49.0,0.22660409
50.0,50.0,0.5683378
51.0,51.0,0.01947582
52.0,52.0,0.20695727
53.0,53.0,1.720309E-8
54.0,54.0,0.461577
55.0,55.0,6.2505556E-14
56.0,56.0,2.6212366E-13
57.0,57.0,0.45090494
58.0,58.0,1.5155821E-8
59.0,59.0,0.005411333
60.0,60.0,0.16225737
61.0,61.0,0.38873017
62.0,62.0,0.585021
63.0,63.0,1.4848085E-8
64.0,64.0,0.58131117
65.0,65.0,0.17010674
66.0,66.0,1.9016786E-4
67.0,67.0,0.37498954
68.0,68.0,0.64802665
69.0,69.0,0.0010322676
70.0,70.0,0.2708164
71.0,71.0,3.1721993E-5
72.0,72.0,0.6265514
73.0,73.0,0.25043383
74.0,74.0,0.8724322
75.0,75.0,0.11682784
76.0,76.0,8.059013E-5
77.0,77.0,0.55719686
78.0,78.0,2.1409005E-7
79.0,79.0,0.7045438
80.0,80.0,1.442674E-4
81.0,81.0,0.52596253
82.0,82.0,3.1177616E-11
83.0,83.0,0.4395197
84.0,84.0,0.4295624
85.0,85.0,2.9571345E-11
86.0,86.0,0.54930484
87.0,87.0,0.6339831
88.0,88.0,0.445764
89.0,89.0,1.3942529E-9
90.0,90.0,0.22937386
91.0,91.0,0.35368165
92.0,92.0,0.067843154
93.0,93.0,0.044260696
94.0,94.0,8.022673E-5
95.0,95.0,2.6577873E-10
96.0,96.0,1.2332398E-6
97.0,97.0,0.3427685
98.0,98.0,9.055201E-12
99.0,99.0,0.9077398
100.0,100.0,0.530212
101.0,101.0,0.4646892
102.0,102.0,0.45258933
103.0,103.0,6.305812E-8
104.0,104.0,0.4909881
105.0,105.0,0.74684477
106.0,106.0,0.74369687
107.0,107.0,0.63763624
108.0,108.0,0.53706545
109.0,109.0,0.40886652
110.0,110.0,0.9172763
111.0,111.0,5.526808E-6
112.0,112.0,0.21738356
113.0,113.0,0.10914404
114.0,114.0,0.35003954
115.0,115.0,0.5896385
116.0,116.0,0.14965205
117.0,117.0,0.5952699
118.0,118.0,0.33288172
119.0,119.0,0.0052115656
120.0,120.0,0.19222961
121.0,121.0,0.14175953
122.0,122.0,0.027610742
123.0,123.0,0.438334
124.0,124.0,0.038841974
125.0,125.0,0.41922197
126.0,126.0,0.29219317
127.0,127.0,0.19628961
128.0,128.0,3.1374348E-11
129.0,129.0,3.3757441E-12
130.0,130.0,0.92494446
131.0,131.0,0.19574283
132.0,132.0,0.0015715517
133.0,133.0,0.008389383
134.0,134.0,0.26101667
135.0,135.0,0.52861553
136.0,136.0,0.21160574
137.0,137.0,0.1905196
138.0,138.0,0.22890395
139.0,139.0,0.43978485
140.0,140.0,5.161882E-7
141.0,141.0,0.27335402
142.0,142.0,0.48117667
143.0,143.0,0.1764469
144.0,144.0,1.1679546E-13
145.0,145.0,0.22965157
146.0,146.0,0.17950848
147.0,147.0,0.43548515
148.0,148.0,1.4359881E-9
149.0,149.0,0.21359263
150.0,150.0,5.8876394E-5
151.0,151.0,0.55148935
152.0,152.0,0.6135919
153.0,153.0,7.1054274E-15
154.0,154.0,0.77729994
155.0,155.0,0.7839636
156.0,156.0,0.34859118
157.0,157.0,0.5250921
158.0,158.0,0.4709705
159.0,159.0,6.571077E-11
160.0,160.0,0.46957788
161.0,161.0,5.3672622E-11
162.0,162.0,4.214551E-11
163.0,163.0,0.2279259
164.0,164.0,0.52226025
165.0,165.0,0.55822283
166.0,166.0,0.468128
167.0,167.0,3.2017063E-4
168.0,168.0,0.5757591
169.0,169.0,4.006053E-8
170.0,170.0,0.2679248
171.0,171.0,1.4754054E-9
172.0,172.0,0.17198728
173.0,173.0,0.52521056
174.0,174.0,0.073250614
175.0,175.0,0.7213445
176.0,176.0,0.43367693
177.0,177.0,0.36929014
178.0,178.0,0.12389945
179.0,179.0,0.3354089
180.0,180.0,6.043792E-4
181.0,181.0,0.3815831
182.0,182.0,0.34418106
183.0,183.0,0.24338332
184.0,184.0,0.3322858
185.0,185.0,0.62530595
186.0,186.0,0.30182302
187.0,187.0,0.0033375607
188.0,188.0,0.250246
189.0,189.0,6.04269E-6
190.0,190.0,0.08455928
191.0,191.0,0.51791257
192.0,192.0,0.017297698
193.0,193.0,0.6308018
194.0,194.0,0.12946068
195.0,195.0,0.88040227
196.0,196.0,4.1092685E-12
197.0,197.0,1.2044747E-8
198.0,198.0,0.18367901
199.0,199.0,0.83817965
200.0,200.0,0.5215669
201.0,201.0,0.027964827
202.0,202.0,6.1877614E-11
203.0,203.0,0.27193874
204.0,204.0,0.34590918
205.0,205.0,0.678761
206.0,206.0,0.18671423
207.0,207.0,1.297003E-6
208.0,208.0,3.6668698E-7
209.0,209.0,1.9449173E-9
210.0,210.0,0.68307096
211.0,211.0,0.33494228
212.0,212.0,2.4280578E-13
213.0,213.0,0.8641603
214.0,214.0,0.80759674
215.0,215.0,0.8764739
216.0,216.0,0.39579067
217.0,217.0,0.60417724
218.0,218.0,0.3989486
219.0,219.0,3.9424663E-6
220.0,220.0,0.15631692
221.0,221.0,0.42212
222.0,222.0,4.0900616E-13
223.0,223.0,0.95602936
224.0,224.0,0.018099846
225.0,225.0,4.32987E-15
226.0,226.0,0.6354664
227.0,227.0,0.27993986
228.0,228.0,6.030398E-9
229.0,229.0,0.16392365
230.0,230.0,9.017863E-6
231.0,231.0,0.31053206
232.0,232.0,6.2256516E-4
233.0,233.0,0.010024015
234.0,234.0,0.6101149
235.0,235.0,0.45912164
236.0,236.0,0.3141421
237.0,237.0,0.5389212
238.0,238.0,0.30387104
239.0,239.0,0.49367934
240.0,240.0,0.19890347
241.0,241.0,0.1845401
242.0,242.0,0.5265203
243.0,243.0,1.6679957E-10
244.0,244.0,0.21968862
245.0,245.0,0.56855994
246.0,246.0,8.5462093E-10
247.0,247.0,0.5655052
248.0,248.0,0.6028565
249.0,249.0,0.2652368
250.0,250.0,1.9883916E-7
251.0,251.0,0.70895463
252.0,252.0,0.0042452686
253.0,253.0,0.41415092
254.0,254.0,0.13505466
255.0,255.0,0.5566038
256.0,256.0,0.06937178
257.0,257.0,0.41532126
258.0,258.0,0.18168171
259.0,259.0,3.1807224E-11
260.0,260.0,3.5729192E-4
261.0,261.0,4.1808967E-10
262.0,262.0,0.77638394
263.0,263.0,5.480061E-13
264.0,264.0,0.7028522
265.0,265.0,0.26849517
266.0,266.0,8.7485574E-14
267.0,267.0,0.40510398
268.0,268.0,0.17174627
269.0,269.0,0.83691233
270.0,270.0,0.21526809
271.0,271.0,0.49210042
272.0,272.0,0.30560863
273.0,273.0,5.8332347E-7
274.0,274.0,0.072634205
275.0,275.0,0.31685027
276.0,276.0,2.5398947E-8
277.0,277.0,0.61637187
278.0,278.0,0.25006
279.0,279.0,2.7716082E-8
280.0,280.0,0.6055907
281.0,281.0,1.6943048E-6
282.0,282.0,9.222878E-11
283.0,283.0,9.0747517E-7
284.0,284.0,0.32308358
285.0,285.0,4.5484285E-8
286.0,286.0,0.42401505
287.0,287.0,0.8424748
288.0,288.0,0.09836062
289.0,289.0,1.1234347E-12
290.0,290.0,1.4398269E-8
291.0,291.0,0.5065546
292.0,292.0,2.7572378E-10
293.0,293.0,0.0069635967
294.0,294.0,0.58447754
295.0,295.0,0.7403979
296.0,296.0,0.21495102
297.0,297.0,2.989062E-6
298.0,298.0,0.0016846999
299.0,299.0,2.5535558E-4
300.0,300.0,0.7250558
301.0,301.0,0.4076451
302.0,302.0,0.22624752
303.0,303.0,8.724421E-11
304.0,304.0,0.043049503
305.0,305.0,0.45840985
306.0,306.0,0.0035156626
307.0,307.0,0.17535768
308.0,308.0,0.068632655
309.0,309.0,0.18253209
310.0,310.0,0.14276849
311.0,311.0,0.017955331
312.0,312.0,0.78809935
313.0,313.0,0.60558945
314.0,314.0,1.2258265E-8
315.0,315.0,0.2553433
316.0,316.0,1.6204239E-4
317.0,317.0,0.3677867
318.0,318.0,1.5864522E-8
319.0,319.0,0.30173594
320.0,320.0,3.3614077E-5
321.0,321.0,0.52329767
322.0,322.0,0.07002375
323.0,323.0,6.0267294E-6
324.0,324.0,2.5852653E-11
325.0,325.0,0.6678957
326.0,326.0,0.8191242
327.0,327.0,0.011849634
328.0,328.0,0.360111
329.0,329.0,0.7320543
330.0,330.0,0.8702637
331.0,331.0,0.8319584
