Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.60385E-13,0.000000001,0.000000001,0.896075019,0,0
3.55005E-13,0.000000003,0.000000002,0.890177881,0,0
1.22416E-12,0.00000001,0.000000007,0.87983372,0,0
2.64549E-12,0.000000025,0.000000014,0.872196442,0,0
9.31215E-12,0.0000001,0.000000051,0.857985305,0,0
2.51572E-11,0.000000252,0.000000138,0.848317865,0,0
1.43856E-10,0.000001008,0.000000788,0.83787703,0,0
3.68542E-10,0.0000025,0.000002019,0.831883217,0,0
1.2302E-9,0.000010031,0.00000674,0.822022428,0,0
2.95197E-9,0.000025237,0.000016172,0.8145785,0,0
6.59959E-9,0.00005017,0.000036156,0.809358082,0,0
1.12592E-8,0.000100415,0.000061683,0.803944316,0,0
2.52647E-8,0.00025113,0.000138405,0.795243619,0,0
4.59523E-8,0.00050284,0.000251721,0.788379737,0,0
9.62497E-8,0.001008349,0.000527171,0.781322506,0,0
1.88517E-7,0.002503066,0.001032268,0.770881671,0,0
3.51438E-7,0.005026477,0.001923525,0.761504254,0,0
6.95329E-7,0.010021788,0.003802159,0.752223511,0,0
1.83831E-6,0.025082419,0.01002076,0.740235886,0,0
3.88767E-6,0.050176782,0.021073637,0.731341841,0,0
6.87108E-6,0.100014498,0.036943958,0.722351121,0,0
1.11708E-5,0.200744054,0.059364777,0.711813612,0,0
1.39327E-5,0.301122947,0.073490633,0.704176334,0,0.006802721
1.60688E-5,0.400193157,0.084270164,0.697795824,0.005813953,0.013605442
1.80898E-5,0.500965636,0.094353394,0.692092034,0.00872093,0.013605442
1.93855E-5,0.600355858,0.100759275,0.686968291,0.014534884,0.013605442
2.04875E-5,0.700160422,0.106172415,0.682134571,0.014534884,0.013605442
2.10057E-5,0.752030683,0.108706408,0.679717711,0.014534884,0.013605442
2.15212E-5,0.801026134,0.111219855,0.6774942,0.014534884,0.013605442
2.25331E-5,0.90024063,0.116133381,0.673143852,0.014534884,0.013605442
2.36635E-5,1.001726953,0.121590191,0.668890178,0.014534884,0.013605442
2.49142E-5,1.101134765,0.127588676,0.664926527,0.014534884,0.013605442
2.59423E-5,1.200219179,0.132488384,0.661156226,0.01744186,0.013605442
2.66834E-5,1.300335097,0.13600365,0.657482599,0.020348837,0.013605442
2.73751E-5,1.400636057,0.139271402,0.653905646,0.020348837,0.027210884
2.8099E-5,1.500699392,0.142678346,0.650425367,0.020348837,0.027210884
2.9946E-5,1.752577307,0.151309739,0.642014695,0.020348837,0.027210884
3.13519E-5,2.001206907,0.157821812,0.634184068,0.020348837,0.040816327
3.3246E-5,2.250930972,0.166515853,0.626740139,0.020348837,0.047619048
3.4437E-5,2.501297751,0.171936567,0.619586234,0.023255814,0.047619048
3.59719E-5,2.751727972,0.178870418,0.612722351,0.023255814,0.054421769
3.72662E-5,3.000466967,0.184672276,0.606148492,0.026162791,0.054421769
3.86991E-5,3.251681329,0.191047797,0.599767981,0.026162791,0.054421769
3.98889E-5,3.503373756,0.196303997,0.59358082,0.026162791,0.06122449
4.09969E-5,3.750235677,0.201167736,0.587683681,0.026162791,0.06122449
4.20558E-5,4.003782994,0.205788623,0.581786543,0.029069767,0.068027211
4.28528E-5,4.250235491,0.209248805,0.576179428,0.029069767,0.068027211
4.38442E-5,4.501855637,0.213531932,0.570572312,0.029069767,0.068027211
4.48749E-5,4.750545587,0.217960377,0.565158546,0.034883721,0.068027211
4.59736E-5,5.000433304,0.222653896,0.559841454,0.034883721,0.068027211
4.6817E-5,5.250893821,0.226237374,0.554621036,0.034883721,0.074829932
4.78148E-5,5.501638949,0.230455402,0.549497293,0.034883721,0.074829932
4.87222E-5,5.752896445,0.234271655,0.544470224,0.034883721,0.074829932
4.96161E-5,6.003693194,0.238012298,0.53953983,0.034883721,0.074829932
