X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.934565134830613E-5,16.428962728780327,0.3870587040801472
3.0,3.0,train,9.069244680675294E-5,16.75874712868883,0.39156465278550623
4.0,4.0,train,1.4125818157034901E-5,0.3100795765455553,0.0744704671991796
7.0,7.0,train,1.5609260411048127E-4,35.966102814136946,0.5747864422813124
8.0,8.0,train,1.6181484032953253E-4,38.08254241813645,0.5879099561500079
9.0,9.0,train,1.705109646207438E-4,41.02989763622381,0.6070825333494114
10.0,10.0,train,1.639626534425164E-4,38.782153447928756,0.5927305763339614
13.0,13.0,train,2.0609193429019327E-4,50.184374428951934,0.6766721368228834
14.0,14.0,train,2.0756886651002965E-4,50.56875403837801,0.6792777791273679
15.0,15.0,train,3.499019055406072E-4,77.38986937151756,0.8529468125250719
16.0,16.0,train,3.4498490327589863E-4,76.57786825315232,0.848931637536586
17.0,17.0,train,3.4716057524203055E-4,77.01983067714094,0.8507216174754255
18.0,18.0,train,3.6015621383789686E-4,79.0486542305635,0.860980330734163
20.0,20.0,train,3.661394178830201E-4,80.69726715503302,0.8654634316118011
22.0,22.0,train,3.8341801149575797E-4,84.57154997829866,0.8776147179785183
24.0,24.0,train,2.5781366470967854E-4,62.93273256557084,0.7564539812828608
25.0,25.0,train,2.561694155345505E-4,62.60653495563056,0.75425017619393
26.0,26.0,train,4.6669943842223824E-4,95.68366527565375,0.9224509016216755
27.0,27.0,train,4.8481344051510666E-4,97.06216336331892,0.929777238664035
28.0,28.0,train,4.827589459080737E-4,96.93763010436696,0.9289823683129032
29.0,29.0,train,5.696457888164735E-4,99.08404935706167,0.9558800168226468
30.0,30.0,train,5.744802367150895E-4,99.26273054515813,0.9570332325160109
32.0,32.0,train,5.75386336051836E-4,99.29622662572902,0.9572459964195409
34.0,34.0,train,4.841306162275616E-4,97.01769416929555,0.9295140504736477
36.0,36.0,train,4.2818462522020527E-4,90.08553747667605,0.9042330881616807
37.0,37.0,train,3.4167730429414227E-4,75.93043486258425,0.8461691891483697
38.0,38.0,train,5.927637230335837E-4,99.83056246846397,0.9611285647770981
39.0,39.0,train,5.984389748950817E-4,99.9058329043837,0.9623185691835914
40.0,40.0,train,3.516614163953418E-4,77.73460864181361,0.8543575357561823
41.0,41.0,train,3.881056098596137E-4,85.71285701487808,0.8807177185055224
42.0,42.0,train,3.6221665884531853E-4,79.75801915902967,0.8625408003624482
43.0,43.0,train,3.6010842364101744E-4,79.03582788840296,0.8609439275911804
44.0,44.0,train,3.867154575246147E-4,85.30456282289676,0.8798057913704839
45.0,45.0,train,3.7828452047254223E-4,83.47812173258689,0.8741238746712037
49.0,49.0,train,3.544488574891067E-4,78.22478145630278,0.8565647718918458
50.0,50.0,train,3.3857012953332624E-4,75.18960557209186,0.8435281327393321
51.0,51.0,train,3.779956739665543E-4,83.37383282481484,0.8739245224341223
52.0,52.0,train,3.482893847416683E-4,77.21348982746662,0.851641944827728
55.0,55.0,train,3.76161335662055E-4,82.90078224122759,0.8726511335009544
56.0,56.0,train,3.902271876074379E-4,86.03208389649879,0.8820961346222252
57.0,57.0,train,3.298924999407962E-4,74.01064602405148,0.8359096477159393
58.0,58.0,train,3.5170709898545616E-4,77.75443369120902,0.8543939818801801
59.0,59.0,train,3.779588720965627E-4,83.36054539794338,0.8738991003444255
61.0,61.0,train,3.429527030598312E-4,76.17111438749417,0.8472403134568313
62.0,62.0,train,2.846096676831403E-4,68.0234038394132,0.7897069103086354
63.0,63.0,train,3.515441960733938E-4,77.68365837263093,0.8542639742201072
64.0,64.0,train,3.7120717934531407E-4,81.98551131855353,0.8691473374761562
65.0,65.0,train,3.7684306382495685E-4,83.04896185637578,0.873125880803361
66.0,66.0,train,3.7139395275841613E-4,82.0481295711291,0.8692811640617502
68.0,68.0,train,3.7844162229142686E-4,83.53484382117314,0.8742321687350683
69.0,69.0,train,3.6097248916043236E-4,79.28215455628734,0.861600641258018
71.0,71.0,train,3.3545450992270026E-4,74.74787204039032,0.8408343694103267
72.0,72.0,train,3.2833160866428327E-4,73.8372746719787,0.8345004208861562
73.0,73.0,train,3.5142099375450915E-4,77.6301080051964,0.8541655732598561
75.0,75.0,train,3.8329553893725037E-4,84.53895639693845,0.8775325730705181
76.0,76.0,train,3.776478697830279E-4,83.25470109348318,0.8736840605685783
78.0,78.0,train,3.653676394826904E-4,80.5219249593334,0.8648933744639253
79.0,79.0,train,3.0687052204935643E-4,70.262619687332,0.8138515177730874
81.0,81.0,train,2.653693455160524E-4,64.57283070281838,0.7663295915076282
83.0,83.0,train,3.775953444801404E-4,83.2412736136832,0.8736477062368286
84.0,84.0,train,3.619391828638546E-4,79.671479422658,0.8623316800084017
85.0,85.0,train,2.8425132274408505E-4,67.97137088316713,0.7892936538881329
86.0,86.0,train,4.022669332396389E-4,87.34278207530312,0.889622198265135
87.0,87.0,train,4.0347998914805176E-4,87.50094285710016,0.8903533157900724
88.0,88.0,train,4.0382883733147766E-4,87.53322951051462,0.8905626711003758
89.0,89.0,train,2.8817062565676427E-4,68.52108614717419,0.7937697471235844
91.0,91.0,train,3.9832759257110955E-4,87.01907163816074,0.8872141392660603
92.0,92.0,train,3.6753665417186594E-4,80.99473787642047,0.8664893574991026
93.0,93.0,train,4.6858111726742345E-4,95.84088479777965,0.9232462411807315
94.0,94.0,train,4.67525886097438E-4,95.78212690483439,0.9228012307542419
95.0,95.0,train,4.674503091638463E-4,95.77312279213226,0.9227692597327022
96.0,96.0,train,3.708071397753864E-4,81.82687112222563,0.8688602405996676
97.0,97.0,train,4.6567284798311855E-4,95.56135896374772,0.9220135177290762
98.0,98.0,train,4.4472043901247076E-4,92.83700136941725,0.9125274807666949
100.0,100.0,train,4.3049849807336377E-4,90.45329790980432,0.9054394348206052
101.0,101.0,train,3.6166536650201965E-4,79.58608105541038,0.8621250058622889
102.0,102.0,train,4.5586881722985443E-4,94.56001891915469,0.9177101686508405
103.0,103.0,train,4.6282896524161714E-4,95.36455011001961,0.920788942116125
104.0,104.0,train,4.600348011376777E-4,95.03959989996676,0.9195670495805018
105.0,105.0,train,4.599606228606541E-4,95.03192700544172,0.9195343557394771
106.0,106.0,train,4.5089533990242406E-4,93.64778278987141,0.9154371477433264
107.0,107.0,train,3.6091362683955756E-4,79.2519352160059,0.8615560028761418
108.0,108.0,train,4.549065197061477E-4,94.36183686615928,0.9172751901402886
109.0,109.0,train,4.603635029268819E-4,95.1038327812321,0.9197117640777576
111.0,111.0,train,4.3808631933800083E-4,91.77583950214408,0.9092897695212941
112.0,112.0,train,4.3309915629714075E-4,90.97799965647091,0.9067771697962846
113.0,113.0,train,4.4032644802236866E-4,92.16809325367483,0.9103962249833972
114.0,114.0,train,4.5573521344851567E-4,94.54187154171136,0.9176499139644853
117.0,117.0,train,4.46011105104288E-4,92.94724231852804,0.9131438173510977
121.0,121.0,train,4.330447791098197E-4,90.96392092829623,0.9067493937344037
122.0,122.0,train,4.381313567855411E-4,91.78325779833355,0.9093121486625453
124.0,124.0,train,4.387451033834894E-4,91.88435042896707,0.9096165700936795
125.0,125.0,train,4.326557992026044E-4,90.86321063692418,0.9065504599142722
127.0,127.0,train,4.2810458547741135E-4,90.0731130435373,0.9041910848680431
128.0,128.0,train,4.3658283126896054E-4,91.555530792309,0.9085395073094791
129.0,129.0,train,4.1993791640093826E-4,89.38449431277934,0.8998070945784213
130.0,130.0,train,2.813838919824464E-4,67.47632359518062,0.7859574450182181
131.0,131.0,train,4.1612743722878423E-4,89.0344847310789,0.8976934860012952
132.0,132.0,train,4.1838324402184205E-4,89.29976601937904,0.8989500692708572
133.0,133.0,train,4.1762828857284197E-4,89.2423500144945,0.8985312537705493
134.0,134.0,train,4.1480558489162073E-4,88.87003438937397,0.8969499077412999
137.0,137.0,train,4.1086836087961975E-4,88.42058064181298,0.8947029348855855
138.0,138.0,train,3.600040394794803E-4,79.02216525265283,0.8608643820742112
139.0,139.0,train,4.011390938179683E-4,87.22383006719923,0.8889380686385913
140.0,140.0,train,4.058822842647245E-4,87.72327804613485,0.8917869357783444
141.0,141.0,train,3.246307160482028E-4,73.0974611348564,0.8311105702697823
142.0,142.0,train,2.593645382761209E-4,63.2717933459741,0.758514519552147
143.0,143.0,train,2.4740578108088874E-4,60.8909095915704,0.7421633620316729
145.0,145.0,train,3.5598642920389587E-4,78.48593550071647,0.8577679509615618
146.0,146.0,train,2.639052095314391E-4,64.26723188276506,0.7644476978870917
147.0,147.0,train,2.517414424160186E-4,61.765457271040475,0.7482156446898635
148.0,148.0,train,3.22231859253367E-4,72.6298920841653,0.8288763258261851
149.0,149.0,train,2.5579409001686966E-4,62.50304101811666,0.7537443342383634
154.0,154.0,train,2.705821271765354E-4,65.49412506704712,0.7729084955440304
155.0,155.0,train,3.1932557432647285E-4,71.98001551201267,0.8261298403458468
156.0,156.0,train,3.1956329110656114E-4,72.01988918434083,0.8263561322814672
157.0,157.0,train,2.66131053383123E-4,64.71864308103025,0.7673026820680499
158.0,158.0,train,2.4786375880064316E-4,61.03606956514303,0.7428094791000908
159.0,159.0,train,2.7868086446786937E-4,66.85066698604349,0.7827641636362528
161.0,161.0,train,3.190567936472978E-4,71.93493072596542,0.825873622219297
162.0,162.0,train,2.5890077747469883E-4,63.15407628520935,0.757900186545505
