FID,Id,gridcode,area,areas
0,1,0,1628,1628.215913250000085
1,2,0,23826,23825.946260400000028
2,3,0,60562,60562.033235800001421
3,4,0,83870,83870.102209499993478
4,5,0,51426,51426.497846400001436
5,6,0,52172,52171.976800800002820
6,7,0,65195,65194.727786900002684
7,8,0,95,95.244757047799993
8,9,0,39472,39471.952394799998729
9,10,0,95,95.113932443899998
10,11,0,258652,258651.780961999989813
11,12,0,44002,44001.525450100001763
12,13,0,39753,39753.214962899997772
13,14,0,95,94.665147958299997
14,15,0,95,94.602180250700002
15,16,0,97888,97887.979623499995796
16,17,0,39221,39220.508761500001128
17,18,0,38443,38442.629904599998554
18,19,0,94,94.291578737899997
19,20,0,94,94.169300159299993
20,21,0,188,188.217156160999991
21,22,0,564,564.470133485000019
22,23,0,94,93.809108177400006
23,24,0,39378,39378.134939900002792
24,25,0,166955,166954.594833999988623
25,26,0,38029,38028.633090199997241
26,27,0,93,93.062214980400000
27,28,0,4564,4564.033567499999663
28,29,0,37128,37128.166091500002949
29,30,0,186,185.902603892999991
30,31,0,588017,588016.623890000046231
31,32,0,279,278.688717139000005
32,33,0,128278,128277.711687000002712
33,34,0,455431,455431.044565999996848
34,35,0,92,92.412357075399996
35,36,0,20092,20091.823492899999110
36,37,0,4908,4907.509333859999970
37,38,0,3045,3044.602612239999871
38,39,0,265065,265065.031001000024844
39,40,0,147964,147964.472046999988379
40,41,0,92,91.554425139499997
41,42,0,92,91.506190572799994
42,43,0,101418,101417.789103999995859
43,44,0,7317,7316.533000059999722
44,45,0,125178,125177.883201999997254
45,46,0,220399,220398.996765999996569
46,47,0,53348,53347.691682299999229
47,48,0,37535,37535.048531200001889
48,49,0,118515,118515.460550999996485
49,50,0,15870,15870.026756299999761
50,51,0,176608,176607.593537999986438
51,52,0,88,87.964728482599995
52,53,0,88,87.910939303600003
53,54,0,88,87.884348127199999
54,55,0,38281,38280.544759900003555
55,56,0,63604,63603.950529499998083
56,57,0,88,87.703846276400000
57,58,0,88,87.556929562099995
58,59,0,263,262.670788685999980
59,60,0,88,87.556929562099995
60,61,0,22423,22423.180116899999121
61,62,0,12344,12343.809710800000175
62,63,0,87,87.394543695500005
63,64,0,87,87.372133597200005
64,65,0,86,86.056333626599994
65,66,0,86,86.059610528400000
66,67,0,86,86.065800799399995
67,68,0,7659,7659.400376409999808
68,69,0,33401,33401.195549700001720
69,70,0,30050,30049.910471800001687
70,71,0,44102,44102.039403900002071
71,72,0,36233,36233.265853800003242
72,73,0,88,87.857958831199994
73,74,0,88,88.019328764600004
74,75,0,88,88.364102856100004
75,76,0,88,88.454937292599993
76,77,0,27402,27401.850965099998575
77,78,0,39116,39116.328871199999412
78,79,0,138224,138223.730719999992289
79,80,0,90,90.294303374600005
80,81,0,90,90.336140947499999
81,82,0,10366,10366.260875199999646
82,83,0,90,90.420506782499999
83,84,0,181,180.926072094999995
84,85,0,271,271.261751413000013
85,86,0,181,180.968832931000009
86,87,0,91,90.548789802700000
87,88,0,453,452.960309688999985
88,89,0,1541,1540.890908739999986
89,90,0,181,181.358332388000008
90,91,0,545,544.603522139000006
91,92,0,272,272.301996280000026
92,93,0,3813,3813.470578630000091
93,94,0,91,90.856282028300001
94,95,0,182,181.847405837999986
95,96,0,91,90.991597993699997
96,97,0,273,273.249230871999998
97,98,0,274,273.619133132999991
98,99,0,24178,24178.392967600000702
99,100,0,50409,50408.547727600001963
100,101,0,40315,40314.614957400001003
101,102,0,78026,78025.777015999992727
102,103,0,47881,47881.126389400000335
103,104,0,93564,93564.296249399994849
104,105,0,112711,112710.516919000001508
105,106,0,37971,37970.680005800000799
106,107,0,170467,170467.207437000004575
107,108,0,122776,122775.843055000004824
108,109,0,152738,152738.411155999987386
109,110,0,64935,64935.329294000002847
110,111,0,39672,39671.717909400002100
111,112,0,228861,228861.172235000005458
112,113,0,94,93.928071172900005
113,114,0,458814,458813.969648999976926
114,115,0,78245,78245.093110300003900
115,116,0,38164,38163.826170100001036
116,117,0,111376,111375.900997999997344
117,118,0,295530,295530.410776000004262
118,119,0,39413,39413.027488400002767
119,120,0,47382,47381.599385699999402
120,121,0,43116,43116.408283199998550
121,122,0,44393,44392.535984200003440
122,123,0,45079,45079.243775800001458
123,124,0,296456,296455.690858000016306
124,125,0,46257,46257.476970299998356
125,126,0,333199,333199.181808000023011
126,127,0,78470,78470.244562699997914
127,128,0,609395,609395.283355999970809
128,129,0,779072,779071.945158999995328
129,130,0,108,107.576902048999997
