source,sourceID,scientificName,year,latitude,longitude
MHP,94934,Codium fragile subsp. tomentosoides,1998,-51.69974,-57.777536
GBIF,1057535490,Codium fragile subsp. fragile,2003,-51.563611,-60.403611
GBIF,1057068834,Codium fragile subsp. fragile,2002,-51.521389,-48.033333
GBIF,2439348166,Codium fragile subsp. fragile,2000,-43.116667,147.25
GBIF,2439174671,Codium fragile subsp. fragile,2000,-43.11,147.27
GBIF,2438809325,Codium fragile subsp. fragile,2000,-43.11,147.27
GBIF,2437556145,Codium fragile subsp. fragile,2000,-43.11,147.27
GBIF,2437956178,Codium fragile subsp. fragile,2000,-43.05,147.316667
GBIF,2435860734,Codium fragile subsp. fragile,2000,-43.05,147.316667
GBIF,2435266737,Codium fragile subsp. fragile,2000,-43.05,147.316667
GBIF,2437130133,Codium fragile subsp. fragile,2000,-43.016667,147.283333
GBIF,2436267957,Codium fragile subsp. fragile,2000,-43.016667,147.283333
MHP,1003083,Codium fragile subsp. tomentosoides,1974,-41.066667,174.85
MHP,1003084,Codium fragile subsp. tomentosoides,1974,-41.066667,174.85
MHP,1003085,Codium fragile subsp. tomentosoides,1974,-41.066667,174.85
GBIF,2437272245,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,-38.270912,145.29551
GBIF,2436680874,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2006,-38.270912,145.29551
GBIF,2436212880,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,-38.270912,145.29551
GBIF,2438348065,Codium fragile subsp. fragile,2008,-38.263056,144.663889
MHP,474842,Codium fragile subsp. tomentosoides,2011,-37.91443,144.99567
GBIF,2439037414,Codium fragile subsp. fragile,2008,-37.872,144.906
GBIF,1897788638,Codium fragile subsp. fragile,2008,-37.679444,174.684444
GBIF,2304949281,Codium fragile subsp. fragile,,-37.61,149.71
GBIF,1897721898,Codium fragile subsp. fragile,1993,-37.6,176.033333
GBIF,1897829444,Codium fragile subsp. fragile,2015,-37.561639,175.946139
GBIF,2305993920,Codium fragile subsp. fragile,,-37.52,149.78
GBIF,2305155549,Codium fragile subsp. fragile,,-37.52,149.78
MHP,595335,Codium fragile subsp. fragile,1969,-37.32882,139.848404
GBIF,2439402695,Codium fragile subsp. fragile,2000,-37.1,149.916667
GBIF,1843420822,Codium fragile subsp. fragile,2008,-37.0475,174.503889
GBIF,1843470836,Codium fragile subsp. fragile,2013,-37.045889,174.614111
