Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.15804E-13,0.000000001,0.000000001,0.995538966,0,0
6.42081E-13,0.000000003,0.000000002,0.992352513,0,0
2.69946E-12,0.00000001,0.000000007,0.987345229,0,0
6.525E-12,0.000000025,0.000000017,0.984522942,0,0
5.53507E-11,0.000000102,0.000000143,0.981700655,0,0
1.2289E-10,0.000000261,0.000000317,0.979970867,0,0
5.90969E-10,0.000001045,0.000001525,0.977876912,0,0
2.07843E-9,0.000002529,0.000005363,0.976784414,0,0
5.07333E-9,0.000010243,0.000013091,0.9747815,0,0
8.24623E-9,0.000025204,0.000021278,0.972778587,0,0
1.13649E-8,0.000050918,0.000029325,0.970411508,0,0
1.73074E-8,0.000100986,0.000044659,0.967225055,0,0
2.44284E-8,0.000251721,0.000063033,0.961034232,0,0
3.22024E-8,0.000503145,0.000083091,0.952931537,0,0
4.03164E-8,0.001002284,0.000104027,0.940549891,0,0
5.66293E-8,0.002504739,0.000146115,0.912053897,0,0
7.22769E-8,0.005003265,0.000186485,0.876547706,0,0
1.06398E-7,0.010008415,0.00027451,0.82574654,0,0
2.03337E-7,0.025006471,0.000524552,0.733430444,0,0
3.56712E-7,0.050023527,0.000920033,0.651402039,0.001007049,0
6.8621E-7,0.100030236,0.001769121,0.558084487,0.001007049,0
1.80775E-6,0.200056313,0.004653833,0.477603787,0.002014099,0
3.02201E-6,0.300101131,0.007767623,0.438182811,0.003021148,0
4.46377E-6,0.400312616,0.011452176,0.413419519,0.003021148,0.004032258
5.80711E-6,0.500490882,0.014872883,0.395666424,0.003021148,0.004032258
7.31318E-6,0.600063704,0.018693906,0.381828114,0.003021148,0.004032258
9.1893E-6,0.700469178,0.023433036,0.370721049,0.008056395,0.008064516
1.01217E-5,0.750646721,0.025779723,0.36598689,0.010070493,0.008064516
1.10456E-5,0.800309107,0.028099467,0.361707939,0.010070493,0.008064516
1.30389E-5,0.900191518,0.033085828,0.354151493,0.010070493,0.008064516
1.49685E-5,1.001004657,0.037888233,0.347596504,0.011077543,0.008064516
1.67549E-5,1.1010487,0.04231291,0.341860889,0.011077543,0.008064516
1.77889E-5,1.201378401,0.044864683,0.336580481,0.011077543,0.008064516
1.87851E-5,1.301871181,0.047316748,0.331573197,0.011077543,0.008064516
1.97347E-5,1.401807437,0.049648309,0.326839039,0.011077543,0.008064516
2.09605E-5,1.501581236,0.052649689,0.322378004,0.011077543,0.012096774
2.39465E-5,1.751925893,0.059921019,0.312181355,0.011077543,0.012096774
2.83826E-5,2.002303232,0.070620502,0.303441369,0.011077543,0.016129032
3.37994E-5,2.251221471,0.083520427,0.296158048,0.011077543,0.02016129
3.75838E-5,2.502111462,0.092426612,0.289785142,0.026183283,0.028225806
4.19044E-5,2.751994978,0.102488748,0.284049527,0.027190332,0.028225806
4.5327E-5,3.000211468,0.110380381,0.27886016,0.027190332,0.028225806
4.87962E-5,3.254634141,0.118308593,0.273943918,0.035246727,0.032258065
5.2395E-5,3.502349287,0.126458259,0.269482884,0.035246727,0.032258065
5.53806E-5,3.754987107,0.133162166,0.265203933,0.036253776,0.032258065
5.81459E-5,4.004468748,0.139325633,0.261198106,0.041289023,0.036290323
6.17991E-5,4.250574458,0.147400819,0.257465404,0.041289023,0.036290323
6.50637E-5,4.504298404,0.15455292,0.253823744,0.041289023,0.036290323
6.80597E-5,4.751319633,0.16106359,0.250455208,0.041289023,0.036290323
7.0718E-5,5.001803808,0.166798675,0.247177713,0.041289023,0.036290323
7.395E-5,5.255024203,0.173718384,0.24399126,0.042296073,0.036290323
7.67693E-5,5.504260915,0.179707671,0.24098689,0.042296073,0.036290323
8.00248E-5,5.755263607,0.186569778,0.238073562,0.042296073,0.036290323
8.30102E-5,6.000033773,0.192811892,0.235342316,0.042296073,0.036290323
8.51781E-5,6.251862538,0.197314761,0.232611071,0.044310171,0.036290323
8.68789E-5,6.501452935,0.200829661,0.229970867,0.04632427,0.036290323
8.94216E-5,6.756794414,0.206056056,0.227330663,0.04632427,0.040322581
9.2479E-5,7.00157093,0.212295027,0.224872542,0.049345418,0.044354839
9.51058E-5,7.254766322,0.217616142,0.222414421,0.049345418,0.044354839
9.83166E-5,7.506980134,0.224071628,0.220047342,0.049345418,0.044354839
1.0057E-4,7.756106086,0.228570684,0.217771304,0.057401813,0.048387097
1.0267E-4,8.000129032,0.232738303,0.215586307,0.057401813,0.052419355
1.05101E-4,8.259669776,0.237537471,0.213310269,0.06143001,0.052419355
1.07487E-4,8.504261662,0.242217746,0.211216315,0.064451158,0.052419355
1.09319E-4,8.753511629,0.245791184,0.20912236,0.064451158,0.052419355
