Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.37755E-13,0.000000001,0.000000001,0.995173481,0,0
6.06246E-13,0.000000003,0.000000002,0.992350423,0,0
2.2267E-12,0.00000001,0.000000006,0.987523905,0,0
5.80602E-12,0.000000025,0.000000016,0.984063382,0,0
9.53588E-11,0.000000104,0.000000261,0.982150988,0,0
1.41305E-10,0.000000256,0.000000387,0.980967125,0,0
7.31153E-10,0.000001022,0.000002001,0.978872598,0,0
1.30499E-9,0.000002579,0.000003572,0.977506602,0,0
3.27969E-9,0.000010287,0.000008977,0.974592478,0,0
3.83309E-9,0.000025254,0.000010492,0.97076769,0,0
5.06158E-9,0.000050328,0.000013854,0.965667972,0,0
6.26687E-9,0.000100081,0.000017153,0.957745196,0,0
8.34922E-9,0.000250456,0.000022853,0.93925872,0,0
1.06402E-8,0.000500129,0.000029123,0.915217193,0,0
1.39001E-8,0.001000818,0.000038046,0.877971041,0,0
2.62624E-8,0.002500502,0.000071881,0.806939259,0,0
5.03697E-8,0.005001572,0.00013786,0.745924779,0,0
8.80634E-8,0.010007685,0.000241013,0.677807121,0,0
2.53236E-7,0.025020831,0.000692904,0.583098078,0,0
5.46818E-7,0.050024522,0.001495601,0.524178126,0.001008065,0
1.1426E-6,0.100002737,0.00312258,0.466988435,0.001008065,0
2.76425E-6,0.200200349,0.007537605,0.415444859,0.003024194,0
4.70432E-6,0.300266827,0.012793847,0.390037337,0.003024194,0
6.74581E-6,0.400584616,0.01829484,0.374009653,0.007056452,0.004016064
9.51323E-6,0.500088643,0.025703,0.362899554,0.012096774,0.004016064
1.19294E-5,0.600030064,0.032125051,0.35443038,0.012096774,0.004016064
1.40992E-5,0.700904689,0.037856249,0.347327202,0.012096774,0.004016064
1.52928E-5,0.751029499,0.040994528,0.344230944,0.012096774,0.004016064
1.62605E-5,0.800172281,0.043531493,0.341407886,0.012096774,0.004016064
1.83731E-5,0.9005947,0.049046319,0.336126036,0.013104839,0.004016064
2.04994E-5,1.001784972,0.054564718,0.331390584,0.014112903,0.004016064
2.27488E-5,1.100722308,0.060367771,0.32720153,0.014112903,0.004016064
2.51972E-5,1.201299715,0.066643859,0.323376742,0.015120968,0.004016064
2.84388E-5,1.325279989,0.074888599,0.319187688,0.024193548,0.02811245
2.9793E-5,1.400511979,0.078311372,0.316819962,0.024193548,0.02811245
3.21466E-5,1.503128742,0.084229751,0.313814771,0.024193548,0.032128514
3.60622E-5,1.750037238,0.093992245,0.307257991,0.024193548,0.032128514
4.04662E-5,2.002207566,0.104848164,0.30124761,0.025201613,0.032128514
4.3263E-5,2.253258846,0.11167462,0.295783626,0.03125,0.040160643
4.66091E-5,2.501947042,0.119773246,0.290774975,0.032258065,0.040160643
4.91688E-5,2.751774555,0.125918892,0.286039523,0.038306452,0.048192771
5.43353E-5,3.003997148,0.138192754,0.28157727,0.038306452,0.048192771
5.94997E-5,3.255047995,0.150289315,0.277570349,0.038306452,0.048192771
6.30829E-5,3.500374546,0.158582169,0.273927693,0.038306452,0.048192771
6.57416E-5,3.751954039,0.164683234,0.270376104,0.038306452,0.048192771
6.81117E-5,4.005903673,0.170084666,0.266915581,0.039314516,0.048192771
7.11158E-5,4.256788154,0.176880664,0.263637192,0.039314516,0.048192771
7.29323E-5,4.501594852,0.180963067,0.260540934,0.041330645,0.048192771
7.64762E-5,4.755215389,0.188869626,0.257444677,0.041330645,0.048192771
8.03251E-5,5.006739613,0.197369974,0.254530553,0.041330645,0.048192771
8.26623E-5,5.251202074,0.202488129,0.251798561,0.041330645,0.048192771
8.46545E-5,5.502938443,0.206825082,0.24906657,0.041330645,0.048192771
8.66778E-5,5.751776539,0.211205658,0.246425644,0.043346774,0.0562249
8.92232E-5,6.006724959,0.216682223,0.243784719,0.043346774,0.0562249
9.11465E-5,6.258900292,0.220795102,0.24123486,0.045362903,0.0562249
9.28032E-5,6.506960052,0.224320351,0.238776068,0.050403226,0.068273092
9.41715E-5,6.750060181,0.227220056,0.236408342,0.05141129,0.068273092
9.61597E-5,7.006956775,0.231414064,0.233949549,0.053427419,0.068273092
9.79518E-5,7.25971522,0.235174945,0.231581823,0.059475806,0.072289157
1.00437E-4,7.508172146,0.240360447,0.229305163,0.059475806,0.072289157
1.03006E-4,7.752493025,0.245682601,0.22711957,0.059475806,0.072289157
1.05661E-4,8.002442289,0.251143812,0.224933977,0.059475806,0.072289157
1.0808E-4,8.259106739,0.256085985,0.222748384,0.059475806,0.072289157
1.10577E-4,8.510598601,0.261154296,0.220653857,0.059475806,0.072289157
1.13421E-4,8.757223388,0.26688375,0.218650396,0.059475806,0.076305221
1.15385E-4,9.009230818,0.270813179,0.216646936,0.065524194,0.076305221
1.18497E-4,9.254398307,0.27699812,0.214734541,0.065524194,0.076305221
1.20767E-4,9.506175291,0.28147584,0.212822147,0.065524194,0.076305221
1.22211E-4,9.761224832,0.284309848,0.210909753,0.065524194,0.076305221
1.24777E-4,10.008081191,0.28931912,0.209088425,0.065524194,0.076305221
1.26304E-4,10.259031217,0.292283948,0.207267098,0.065524194,0.076305221
1.28293E-4,10.500705748,0.29612572,0.205536836,0.065524194,0.076305221
1.30776E-4,10.759581542,0.300894015,0.203715509,0.067540323,0.076305221
1.32799E-4,11.009974887,0.304753999,0.201985247,0.069556452,0.076305221
1.35334E-4,11.251607376,0.309562602,0.200346052,0.070564516,0.076305221
1.37842E-4,11.511064608,0.31428595,0.198615791,0.070564516,0.076305221
1.40327E-4,11.761683238,0.318933615,0.196976596,0.071572581,0.080321285
1.4292E-4,12.002223727,0.323750898,0.195428467,0.07358871,0.080321285
1.45807E-4,12.262358944,0.329072775,0.193789272,0.074596774,0.084337349
1.47821E-4,12.512002649,0.332760851,0.192241144,0.075604839,0.084337349
1.50373E-4,12.750420318,0.337406009,0.190784082,0.077620968,0.088353414
1.5226E-4,13.007563726,0.340819465,0.189235953,0.083669355,0.088353414
1.54539E-4,13.252853027,0.344917642,0.187778891,0.086693548,0.088353414
1.56181E-4,13.501184344,0.347855597,0.186321829,0.091733871,0.088353414
1.58197E-4,13.752560683,0.351444078,0.184864766,0.09375,0.088353414
1.61291E-4,14.00782705,0.356914474,0.183407704,0.094758065,0.088353414
1.61968E-4,14.363966604,0.358103727,0.181313177,0.095766129,0.088353414
1.62661E-4,14.51003224,0.359321557,0.180584646,0.11391129,0.092369478
1.64789E-4,14.756014229,0.363041791,0.17921865,0.114919355,0.100401606
1.67084E-4,15.005154995,0.367030817,0.177852655,0.117943548,0.116465863
1.69381E-4,15.274616415,0.370998051,0.176304526,0.118951613,0.120481928
1.71232E-4,15.512963327,0.374177082,0.175120663,0.128024194,0.128514056
1.73137E-4,15.753975211,0.377430306,0.173845734,0.129032258,0.128514056
1.75043E-4,16.015263103,0.380669918,0.172479738,0.131048387,0.128514056
1.76714E-4,16.331822607,0.383497224,0.170840543,0.143145161,0.13253012
1.77442E-4,16.562304634,0.38472453,0.169565613,0.143145161,0.13253012
1.78764E-4,16.776300023,0.386945592,0.168472817,0.152217742,0.140562249
1.80544E-4,17.028110706,0.389926456,0.167197887,0.161290323,0.168674699
1.82932E-4,17.319626416,0.393901233,0.165831891,0.169354839,0.172690763
1.84641E-4,17.503538144,0.396729526,0.164921228,0.169354839,0.172690763
1.86009E-4,17.781463743,0.398983297,0.163555232,0.172379032,0.176706827
1.87846E-4,18.00586075,0.401999041,0.162462435,0.172379032,0.176706827
1.89107E-4,18.251052858,0.404058802,0.161278572,0.172379032,0.176706827
1.90466E-4,18.554987237,0.406271666,0.159730443,0.17641129,0.18875502
