Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.25665E-12,0.000000001,0.000000005,0.999510236,0,0
3.38553E-12,0.000000003,0.000000008,0.999020472,0,0
7.76392E-12,0.00000001,0.000000019,0.997355275,0,0
1.31421E-11,0.000000025,0.000000032,0.995983936,0,0
2.60547E-11,0.000000102,0.000000063,0.991771966,0,0
6.38208E-11,0.000000253,0.000000155,0.988539524,0,0
9.63997E-10,0.000001065,0.000002336,0.983739837,0,0
1.69688E-9,0.000002552,0.000004113,0.98276031,0,0
2.16364E-9,0.000010013,0.000005244,0.979136056,0,0
2.78415E-9,0.00002526,0.000006748,0.973160936,0,0
3.52604E-9,0.000050255,0.000008546,0.965422666,0,0
4.61925E-9,0.000100202,0.000011196,0.953472426,0,0
6.39652E-9,0.000250162,0.000015503,0.926437457,0,0
8.29342E-9,0.000500597,0.0000201,0.893231462,0,0
1.24891E-8,0.001001241,0.000030269,0.845038691,0,0
2.86713E-8,0.002500632,0.000069488,0.766872368,0,0
5.29621E-8,0.00500516,0.000128355,0.706239593,0,0
9.4427E-8,0.010005915,0.000228835,0.638260359,0,0
3.1136E-7,0.025008361,0.000754355,0.552257812,0,0
7.29828E-7,0.05003055,0.001767311,0.502791654,0,0
1.50365E-6,0.100054811,0.00363774,0.457341561,0,0
3.25973E-6,0.200312405,0.007869447,0.413654618,0,0
4.73184E-6,0.300158506,0.011402989,0.388970516,0.004672897,0
6.41986E-6,0.400114918,0.015439309,0.371143109,0.009345794,0
7.94435E-6,0.500320493,0.019070435,0.357429719,0.014018692,0
1.00119E-5,0.600043935,0.023973566,0.346459007,0.014018692,0
1.26612E-5,0.700911515,0.030220742,0.337643256,0.014018692,0.018867925
1.37772E-5,0.750011967,0.032840268,0.334019003,0.014018692,0.018867925
1.49922E-5,0.800672232,0.035684201,0.330590655,0.014018692,0.018867925
1.72326E-5,0.90050737,0.04090622,0.324517583,0.014018692,0.018867925
1.92188E-5,1.000843759,0.045512052,0.319130179,0.014018692,0.018867925
2.16215E-5,1.102016529,0.05105447,0.31423254,0.014018692,0.018867925
2.40533E-5,1.201956928,0.056631048,0.309922617,0.014018692,0.018867925
2.63317E-5,1.300129368,0.061826042,0.306102459,0.014018692,0.018867925
2.89193E-5,1.400240657,0.067691379,0.302576158,0.014018692,0.018867925
3.24547E-5,1.500987381,0.075645972,0.299343716,0.014018692,0.018867925
3.8717E-5,1.751883906,0.089569609,0.292487021,0.023364486,0.018867925
4.41692E-5,2.003295519,0.10152145,0.286511901,0.023364486,0.037735849
4.89671E-5,2.250386193,0.111908933,0.281320404,0.028037383,0.037735849
5.47007E-5,2.504811302,0.124164954,0.276520717,0.03271028,0.075471698
5.92862E-5,2.750162966,0.13384497,0.272308747,0.037383178,0.075471698
6.16717E-5,3.004745256,0.13883824,0.26819473,0.037383178,0.075471698
6.52936E-5,3.252294226,0.146364873,0.264374571,0.037383178,0.075471698
6.94121E-5,3.502577305,0.154843442,0.260750318,0.037383178,0.075471698
7.24501E-5,3.750070567,0.16104357,0.257321971,0.042056075,0.075471698
7.54841E-5,4.002179362,0.167190073,0.253991576,0.042056075,0.075471698
8.062E-5,4.252476855,0.177492642,0.250857087,0.046728972,0.094339623
8.34942E-5,4.506753054,0.183202432,0.24782055,0.051401869,0.094339623
8.67896E-5,4.753905691,0.189700076,0.24497992,0.056074766,0.094339623
8.96984E-5,5.000712391,0.195392651,0.242237242,0.056074766,0.094339623
9.38072E-5,5.258095114,0.20336549,0.239494564,0.056074766,0.094339623
9.69464E-5,5.506372125,0.209403772,0.236947791,0.056074766,0.094339623
9.96586E-5,5.75200048,0.214583763,0.234498971,0.056074766,0.094339623
1.03457E-4,6.006596851,0.221780915,0.232050152,0.056074766,0.094339623
1.06923E-4,6.259130572,0.228290509,0.229699285,0.056074766,0.094339623
1.10249E-4,6.509005073,0.234487585,0.227446371,0.056074766,0.094339623
1.12371E-4,6.754031512,0.238414389,0.22529141,0.056074766,0.094339623
1.1552E-4,7.005377458,0.24420367,0.223136448,0.060747664,0.094339623
1.17528E-4,7.250654348,0.247873955,0.22107944,0.060747664,0.094339623
1.20757E-4,7.5009451,0.253736401,0.219022431,0.060747664,0.094339623
1.22881E-4,7.756890503,0.25756979,0.216965423,0.060747664,0.113207547
1.25997E-4,8.005932747,0.263154218,0.215006367,0.060747664,0.113207547
1.2813E-4,8.260211389,0.266953931,0.213047311,0.060747664,0.113207547
1.32299E-4,8.507089019,0.274324676,0.211186208,0.060747664,0.113207547
1.34633E-4,8.761119684,0.278417576,0.209325105,0.060747664,0.113207547
1.37136E-4,9.006063754,0.2827809,0.207561955,0.060747664,0.113207547
1.41075E-4,9.256897434,0.289596805,0.205798805,0.060747664,0.113207547
1.43221E-4,9.513025588,0.293281396,0.204035655,0.060747664,0.113207547
1.47556E-4,9.759933258,0.300667556,0.202370457,0.060747664,0.113207547
1.5048E-4,10.013738493,0.30560733,0.20070526,0.065420561,0.113207547
1.53581E-4,10.257366615,0.310806803,0.199138015,0.065420561,0.113207547
1.55152E-4,10.504181303,0.313425466,0.197570771,0.065420561,0.113207547
1.58526E-4,10.755843398,0.319017097,0.196003526,0.065420561,0.113207547
1.61128E-4,11.011593008,0.323298079,0.194436282,0.070093458,0.113207547
1.62925E-4,11.255103654,0.326238693,0.19296699,0.070093458,0.113207547
1.65027E-4,11.501219516,0.32966203,0.191497698,0.070093458,0.113207547
1.67452E-4,11.750608638,0.333590849,0.190028406,0.074766355,0.113207547
1.70267E-4,12.00475248,0.33812196,0.188559115,0.074766355,0.113207547
1.72941E-4,12.262182151,0.342398405,0.187089823,0.074766355,0.113207547
1.7478E-4,12.50555413,0.345323012,0.185718484,0.074766355,0.113207547
1.77577E-4,12.752320223,0.349745268,0.184347145,0.074766355,0.113207547
1.78901E-4,13.002071177,0.351827982,0.182975806,0.079439252,0.113207547
1.81632E-4,13.254821511,0.356105116,0.181604467,0.08411215,0.132075472
1.84335E-4,13.510842363,0.360308863,0.180233128,0.088785047,0.132075472
1.87604E-4,13.752554953,0.365356895,0.178959741,0.093457944,0.132075472
1.90998E-4,14.017332143,0.370557423,0.177588402,0.102803738,0.132075472
1.92729E-4,14.266858728,0.373191502,0.176315016,0.112149533,0.132075472
1.94902E-4,14.519198842,0.376484765,0.17504163,0.121495327,0.132075472
1.97389E-4,14.754507637,0.380231813,0.173866196,0.126168224,0.132075472
2.00103E-4,15.012918201,0.384295128,0.17259281,0.126168224,0.132075472
2.0167E-4,15.253882499,0.386629232,0.171417377,0.126168224,0.132075472
2.04509E-4,15.51852483,0.390834961,0.170143991,0.126168224,0.150943396
2.06662E-4,15.765556517,0.394006006,0.168968557,0.126168224,0.150943396
2.09344E-4,16.015334538,0.397931264,0.167793124,0.126168224,0.169811321
2.1129E-4,16.267649186,0.400764317,0.16661769,0.126168224,0.169811321
2.13085E-4,16.501047901,0.403365997,0.16554021,0.126168224,0.169811321
2.14567E-4,16.757543609,0.405504922,0.164364776,0.126168224,0.169811321
2.16304E-4,17.015996609,0.40800261,0.163189343,0.126168224,0.169811321
2.17689E-4,17.254946739,0.409987075,0.162111862,0.126168224,0.169811321
2.19093E-4,17.517146884,0.411991574,0.160936429,0.126168224,0.169811321
2.21496E-4,17.759486681,0.415405971,0.159858948,0.126168224,0.169811321
2.23963E-4,18.004448508,0.418891036,0.158781467,0.126168224,0.169811321
2.25647E-4,18.251956354,0.421258127,0.157703987,0.126168224,0.169811321
2.28103E-4,18.501730099,0.424692529,0.156626506,0.126168224,0.169811321
2.30364E-4,18.754128903,0.427836958,0.155549025,0.126168224,0.169811321
2.32225E-4,19.008513365,0.43041119,0.154471545,0.126168224,0.169811321
2.34212E-4,19.265421429,0.433148393,0.153394064,0.126168224,0.169811321
