X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,4.754559125235943E-4,34.50089691495246,0.5825963717213056
3.0,3.0,train,4.923543736179907E-4,36.000448906661006,0.5953587226137003
4.0,4.0,train,6.621749343286864E-4,53.11643274131106,0.7038289030232765
5.0,5.0,train,9.79822880788214E-4,69.16139315840341,0.8347887582923886
6.0,6.0,train,9.541004677416277E-4,68.25513778896297,0.8267920977613922
8.0,8.0,train,9.162461078350645E-4,66.7901115889058,0.8143145533839029
9.0,9.0,train,7.314473390960168E-4,58.231209701909485,0.7392292178888002
10.0,10.0,train,6.334454254146486E-4,50.69532917468544,0.687772873265055
11.0,11.0,train,6.297439209147438E-4,50.177462902856504,0.6856418919445786
12.0,12.0,train,6.314803081491281E-4,50.47581541470752,0.6866433469376431
13.0,13.0,train,6.019115826094708E-4,48.22090127668077,0.6691458197358899
14.0,14.0,train,6.972540137541033E-4,55.46305820907286,0.7223182370392367
15.0,15.0,train,4.829505122133062E-4,35.25973826363404,0.5883055076854804
17.0,17.0,train,7.080590806519965E-4,56.109756386161536,0.7277773648770204
18.0,18.0,train,6.677435360797494E-4,53.540330860704444,0.7068441407289039
19.0,19.0,train,3.583987047398867E-4,21.910983216709788,0.48242266713128334
20.0,20.0,train,7.532634134900461E-4,59.28788458539844,0.7494765825456187
21.0,21.0,train,3.431695434864794E-4,20.60826330235356,0.4677335668708076
22.0,22.0,train,4.2219240009268717E-4,27.628566537667542,0.5396757446471274
25.0,25.0,train,4.615736730948814E-4,33.28510410212196,0.5718113791146449
27.0,27.0,train,4.4053967408442293E-4,30.027684480476257,0.5549369103979671
28.0,28.0,train,5.883889181245834E-4,47.56533333482051,0.6608213051898482
29.0,29.0,train,4.3317281793850816E-4,28.877962688261487,0.5488709500609756
31.0,31.0,train,4.3228216765668094E-4,28.69047906079521,0.5481319978990293
33.0,33.0,train,5.749312244667813E-4,45.470376101952546,0.6523288514911777
34.0,34.0,train,5.830101579726836E-4,46.947280432961115,0.6574522224204565
35.0,35.0,train,5.205091082144413E-4,39.388577829021706,0.6157614537007652
38.0,38.0,train,7.523319671618363E-4,59.195923596615565,0.7490474111519874
39.0,39.0,train,5.455845899902008E-4,42.532081186076795,0.633065019339774
41.0,41.0,train,7.199110830692642E-4,57.00956020605376,0.7336420959261563
42.0,42.0,train,5.112364395354008E-4,38.2669595714135,0.6091581102179013
43.0,43.0,train,7.54709864696971E-4,59.514024042605136,0.750141592181729
46.0,46.0,train,4.6705582016629265E-4,33.92121031572926,0.5761033124299983
47.0,47.0,train,4.5361113445282456E-4,32.175203773569066,0.5655000514609638
48.0,48.0,train,3.7876708015909254E-4,23.21235608148665,0.5014370502765118
50.0,50.0,train,4.219915374565491E-4,27.608251726178764,0.539505804478476
51.0,51.0,train,5.268528848250832E-4,40.546572942396104,0.6202146596314483
52.0,52.0,train,5.477670205990931E-4,42.640039926556874,0.6345336475528476
53.0,53.0,train,5.11767941808665E-4,38.34209608357563,0.6095396563335038
54.0,54.0,train,4.3997628696104164E-4,29.822679517019044,0.5544759048008476
55.0,55.0,train,4.7567845634379874E-4,34.5523946916748,0.5827670333297028
56.0,56.0,train,4.969039686283415E-4,36.6129704177892,0.5987275722671096
57.0,57.0,train,4.510577545912021E-4,31.62375707433798,0.5634565389069071
58.0,58.0,train,5.077837318579607E-4,37.79874486239758,0.6066704431490632
59.0,59.0,train,4.52140221841357E-4,32.004971739200634,0.5643240264770712
60.0,60.0,train,4.96680499362063E-4,36.58232220087728,0.5985627563424115
61.0,61.0,train,5.183424037467042E-4,39.12917647571503,0.6142285377117144
65.0,65.0,train,5.155316136117705E-4,38.76972371016435,0.6122308229948721
66.0,66.0,train,3.9754432911125556E-4,25.09604871150603,0.518346663365489
67.0,67.0,train,4.1387294109634053E-4,26.644124896185822,0.5325842827296324
69.0,69.0,train,5.535663918885678E-4,43.13461710628007,0.6384077322454684
70.0,70.0,train,2.858782459212907E-4,16.073283862798984,0.408641090318991
71.0,71.0,train,5.703979601062899E-4,45.05027675116297,0.6494205277815557
72.0,72.0,train,1.874648489468706E-4,10.234923360006867,0.2914161707026628
73.0,73.0,train,3.3728630815643224E-4,20.17320286170455,0.4619479737904948
74.0,74.0,train,5.868443259347436E-4,47.45850661227148,0.6598572281045825
75.0,75.0,train,3.6832977441400263E-4,22.59878389186996,0.4917824843648946
76.0,76.0,train,5.627318318847395E-4,44.093840204995516,0.644446845328295
78.0,78.0,train,5.213206647363272E-4,39.547578584892484,0.6163340503218623
79.0,79.0,train,4.512838761720457E-4,31.687655920726165,0.563637894998781
80.0,80.0,train,4.7586125234480564E-4,34.59470765361099,0.5829071614323319
81.0,81.0,train,2.1711433734045157E-4,11.96997687809728,0.3289898696424919
82.0,82.0,train,2.588730400264622E-4,14.199305724307601,0.378554567234585
83.0,83.0,train,2.7520252288467265E-5,1.6175828056594823,0.04931398692019573
84.0,84.0,train,1.854813246285756E-5,1.1682026771028193,0.033509874094395875
85.0,85.0,train,2.699070923850806E-4,15.040442429871199,0.3910282708461612
86.0,86.0,train,2.600221782746114E-4,14.255806230663435,0.3798654676269696
87.0,87.0,train,1.6480096406233238E-5,1.069158735168884,0.029829992241426795
