x,y,species cloglog values
1.0,1.0,0.21452393
2.0,2.0,0.0033742224
3.0,3.0,0.001313778
4.0,4.0,0.0010344916
5.0,5.0,0.016767127
6.0,6.0,0.019429218
7.0,7.0,0.0012338614
8.0,8.0,0.0050485837
9.0,9.0,0.32859197
10.0,10.0,0.0022390713
11.0,11.0,0.15713207
12.0,12.0,0.30440363
13.0,13.0,9.873864E-4
14.0,14.0,0.014469794
15.0,15.0,0.002953971
16.0,16.0,0.04207666
17.0,17.0,4.0358226E-4
18.0,18.0,0.035628244
19.0,19.0,0.25194898
20.0,20.0,0.29120773
21.0,21.0,0.0010250475
22.0,22.0,0.86823106
23.0,23.0,0.015808089
24.0,24.0,0.04773056
25.0,25.0,0.17047405
26.0,26.0,0.071968876
27.0,27.0,2.9066985E-5
28.0,28.0,0.5789806
29.0,29.0,2.7588353E-4
30.0,30.0,1.4374978E-4
31.0,31.0,0.0010371146
32.0,32.0,0.5654534
33.0,33.0,1.5567061E-4
34.0,34.0,0.6433177
35.0,35.0,4.364153E-6
36.0,36.0,8.186114E-6
37.0,37.0,4.818868E-4
38.0,38.0,5.192332E-4
39.0,39.0,7.243244E-5
40.0,40.0,5.191441E-4
41.0,41.0,0.23188339
42.0,42.0,0.0019414771
43.0,43.0,2.6200403E-4
44.0,44.0,0.12493933
45.0,45.0,1.3986959E-4
46.0,46.0,0.036291786
47.0,47.0,0.60737497
48.0,48.0,2.2550207E-4
49.0,49.0,7.1417E-5
50.0,50.0,1.7607558E-4
51.0,51.0,7.4759725E-4
52.0,52.0,0.022392308
53.0,53.0,0.005740227
54.0,54.0,5.386082E-4
55.0,55.0,2.3412272E-4
56.0,56.0,9.51284E-5
57.0,57.0,0.03484794
58.0,58.0,1.5089297E-7
59.0,59.0,1.6049454E-4
60.0,60.0,1.5201862E-4
61.0,61.0,8.850795E-4
62.0,62.0,0.66514033
63.0,63.0,0.012262961
64.0,64.0,3.2334437E-4
65.0,65.0,0.0013192905
66.0,66.0,0.17987226
67.0,67.0,2.8852155E-4
68.0,68.0,1.4244331E-4
69.0,69.0,0.026699606
70.0,70.0,0.070197284
71.0,71.0,1.8006204E-4
72.0,72.0,0.0010462343
73.0,73.0,3.6240726E-5
74.0,74.0,2.4616803E-4
75.0,75.0,9.908112E-4
76.0,76.0,4.0212832E-4
77.0,77.0,1.9447641E-4
78.0,78.0,0.008822284
79.0,79.0,5.44889E-4
80.0,80.0,1.6717301E-4
81.0,81.0,6.9619017E-4
82.0,82.0,7.662394E-4
83.0,83.0,2.3700148E-4
84.0,84.0,1.3747753E-4
85.0,85.0,0.0018397091
86.0,86.0,3.795232E-4
87.0,87.0,0.09261002
88.0,88.0,0.0015221428
89.0,89.0,0.52556235
90.0,90.0,1.9838121E-4
