x,y,species cloglog values
1.0,1.0,2.3049701E-4
2.0,2.0,0.86160487
3.0,3.0,0.002186196
4.0,4.0,2.8385728E-4
5.0,5.0,2.9374877E-4
6.0,6.0,8.3335304E-5
7.0,7.0,0.0071882852
8.0,8.0,0.595462
9.0,9.0,0.16820672
10.0,10.0,0.0019652783
11.0,11.0,4.3600684E-4
12.0,12.0,1.7691568E-4
13.0,13.0,5.4044533E-5
14.0,14.0,4.2749984E-5
15.0,15.0,2.6701498E-4
16.0,16.0,0.24686061
17.0,17.0,0.21466298
18.0,18.0,0.021540217
19.0,19.0,4.4037052E-4
20.0,20.0,0.6553166
21.0,21.0,0.25299752
22.0,22.0,0.22981372
23.0,23.0,0.0045534708
24.0,24.0,0.0058783595
25.0,25.0,5.251104E-5
26.0,26.0,3.7202137E-4
27.0,27.0,4.0014225E-4
28.0,28.0,0.0043490087
29.0,29.0,0.0037438616
30.0,30.0,4.980588E-4
31.0,31.0,0.081968755
32.0,32.0,0.64081085
33.0,33.0,0.0018010956
34.0,34.0,6.328335E-5
35.0,35.0,0.0016607456
36.0,36.0,0.045622446
37.0,37.0,4.8355472E-5
38.0,38.0,1.3746273E-7
39.0,39.0,4.3209648E-4
40.0,40.0,0.03457307
41.0,41.0,6.799438E-5
42.0,42.0,2.4051494E-4
43.0,43.0,0.036027763
44.0,44.0,1.5820655E-5
45.0,45.0,2.9011677E-5
46.0,46.0,0.3972067
47.0,47.0,4.840306E-5
48.0,48.0,0.0070029637
49.0,49.0,1.9530291E-4
50.0,50.0,3.7949177E-4
51.0,51.0,5.16081E-5
52.0,52.0,0.0024894096
53.0,53.0,0.038536444
54.0,54.0,0.32451767
55.0,55.0,0.7304768
56.0,56.0,5.9379272E-5
57.0,57.0,4.766236E-5
58.0,58.0,0.6660836
59.0,59.0,0.007853176
60.0,60.0,0.033494662
61.0,61.0,1.3781809E-4
62.0,62.0,6.992072E-5
63.0,63.0,5.0323248E-5
64.0,64.0,2.0466893E-4
65.0,65.0,0.73518646
66.0,66.0,6.020844E-5
67.0,67.0,0.31270224
68.0,68.0,0.012596613
69.0,69.0,3.73454E-4
70.0,70.0,0.16308208
71.0,71.0,0.26182196
72.0,72.0,7.070786E-5
73.0,73.0,0.56207573
74.0,74.0,2.3812187E-4
75.0,75.0,0.77987707
76.0,76.0,8.764824E-5
77.0,77.0,0.001343309
78.0,78.0,3.8698578E-10
79.0,79.0,3.8993382E-4
80.0,80.0,4.7794855E-4
81.0,81.0,0.67464924
82.0,82.0,0.31804943
83.0,83.0,0.008520594
84.0,84.0,2.5396452E-5
85.0,85.0,8.700394E-5
86.0,86.0,8.97358E-5
87.0,87.0,1.0754198E-4
88.0,88.0,1.682396E-5
89.0,89.0,0.01013621
90.0,90.0,3.512516E-4
91.0,91.0,0.0066350205
92.0,92.0,8.6002314E-4
93.0,93.0,3.2753134E-5
94.0,94.0,9.726117E-5
95.0,95.0,0.0010800033
96.0,96.0,3.222939E-4
97.0,97.0,0.0017385723
98.0,98.0,8.053286E-4
99.0,99.0,0.003677803
100.0,100.0,2.3719771E-5
101.0,101.0,4.0354466E-4
102.0,102.0,7.0871596E-5
103.0,103.0,2.668124E-4
104.0,104.0,0.008741353
105.0,105.0,5.861381E-5
106.0,106.0,0.47940812
107.0,107.0,0.63734406
108.0,108.0,0.0012057531
109.0,109.0,2.9583787E-5
110.0,110.0,2.9311448E-4
111.0,111.0,0.0047453553
112.0,112.0,2.9072101E-4
113.0,113.0,0.0010513157
114.0,114.0,1.8267595E-4
115.0,115.0,2.8884312E-4
116.0,116.0,3.661313E-5
117.0,117.0,0.005482106
118.0,118.0,0.21898164
119.0,119.0,0.1418092
120.0,120.0,0.0034675165
121.0,121.0,1.8660798E-4
122.0,122.0,8.0635236E-4
123.0,123.0,0.7060056
124.0,124.0,1.5265096E-4
125.0,125.0,2.0027945E-4
126.0,126.0,8.518452E-5
127.0,127.0,4.0859337E-5
128.0,128.0,0.15848951
129.0,129.0,0.0012365913
130.0,130.0,3.085602E-4
131.0,131.0,0.40476245
132.0,132.0,0.7214775
133.0,133.0,9.945318E-4
134.0,134.0,0.2034614
135.0,135.0,2.1990533E-4
136.0,136.0,0.54486257
137.0,137.0,7.67369E-5
138.0,138.0,0.034936443
139.0,139.0,1.6266738E-5
140.0,140.0,5.7178084E-5
141.0,141.0,0.0011441205
142.0,142.0,0.0025312928
143.0,143.0,9.316938E-4
144.0,144.0,0.013215732
145.0,145.0,9.484913E-5
146.0,146.0,1.8282318E-4
147.0,147.0,3.360778E-4
148.0,148.0,0.1862359
149.0,149.0,0.47741693
150.0,150.0,0.0024075422
151.0,151.0,9.1420085E-4
152.0,152.0,0.8544949
153.0,153.0,5.1708164E-5
154.0,154.0,0.0030505324
155.0,155.0,0.5915261
156.0,156.0,6.218937E-4
157.0,157.0,3.710889E-4
158.0,158.0,1.2658574E-4
159.0,159.0,2.6259143E-4
160.0,160.0,0.19287859
161.0,161.0,4.2274815E-4
162.0,162.0,0.004438591
163.0,163.0,0.3057555
164.0,164.0,2.2860279E-4
165.0,165.0,5.6870573E-5
166.0,166.0,1.9966616E-4
167.0,167.0,2.741771E-6
168.0,168.0,3.1908485E-4
169.0,169.0,1.3915687E-4
170.0,170.0,3.6050955E-5
171.0,171.0,0.007689484
172.0,172.0,3.0750327E-4
173.0,173.0,0.033810146
174.0,174.0,5.795531E-5
175.0,175.0,0.3574914
176.0,176.0,0.023106785
177.0,177.0,0.0024384316
178.0,178.0,7.074467E-6
179.0,179.0,0.10421294
180.0,180.0,6.524163E-5
181.0,181.0,0.03348066
182.0,182.0,0.0035551107
183.0,183.0,5.6153673E-5
184.0,184.0,1.740531E-5
185.0,185.0,4.802292E-4
186.0,186.0,5.7434856E-5
187.0,187.0,0.0014554816
188.0,188.0,2.3917829E-4
189.0,189.0,4.3493546E-5
190.0,190.0,6.642466E-5
191.0,191.0,1.5547423E-4
192.0,192.0,7.595028E-4
193.0,193.0,1.19594224E-4
194.0,194.0,8.888518E-4
195.0,195.0,4.904723E-4
196.0,196.0,7.6569105E-4
197.0,197.0,0.028730419
198.0,198.0,0.0010817007
199.0,199.0,0.0020139746
200.0,200.0,0.0048901336
201.0,201.0,2.5074062E-4
202.0,202.0,1.0551545E-4
203.0,203.0,1.4132603E-5
204.0,204.0,0.0021499423
205.0,205.0,1.0470294E-4
206.0,206.0,0.011796119
207.0,207.0,0.7660336
208.0,208.0,2.0734029E-4
209.0,209.0,0.008066703
210.0,210.0,0.0026521434
211.0,211.0,0.15424821
212.0,212.0,0.016196439
213.0,213.0,1.5404189E-4
214.0,214.0,4.0367627E-4
215.0,215.0,0.003186095
216.0,216.0,0.0043843216
217.0,217.0,0.0017248832
218.0,218.0,2.5235708E-5
219.0,219.0,0.004414039
220.0,220.0,6.3016E-5
221.0,221.0,1.7361059E-4
222.0,222.0,0.108505756
223.0,223.0,6.7385554E-4
224.0,224.0,2.129604E-4
225.0,225.0,0.9470791
226.0,226.0,1.19202916E-4
227.0,227.0,0.5545192
228.0,228.0,1.2548671E-4
229.0,229.0,0.0016214153
230.0,230.0,3.8879475E-4
231.0,231.0,0.84145355
232.0,232.0,0.045331854
233.0,233.0,0.12441557
234.0,234.0,0.0069839843
235.0,235.0,0.034795705
236.0,236.0,0.8053319
237.0,237.0,0.0040716883
238.0,238.0,0.34588206
239.0,239.0,0.07318829
240.0,240.0,0.72274333
241.0,241.0,0.61894155
242.0,242.0,6.227484E-5
243.0,243.0,5.0499377E-5
244.0,244.0,0.3245291
245.0,245.0,0.08594839
246.0,246.0,2.1677937E-4
247.0,247.0,0.0011900729
248.0,248.0,0.62624395
249.0,249.0,0.54060656
250.0,250.0,2.8415609E-5
251.0,251.0,0.15527931
252.0,252.0,0.0046173604
253.0,253.0,0.0014103939
254.0,254.0,0.7959086
255.0,255.0,0.0014410315
256.0,256.0,7.2578747E-9
257.0,257.0,0.021655256
258.0,258.0,3.1609286E-4
259.0,259.0,0.006936498
260.0,260.0,2.2759612E-4
261.0,261.0,2.632748E-4
262.0,262.0,0.0636754
263.0,263.0,0.0010663202
