Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.44827E-13,0.000000001,0.000000001,0.995778934,0,0
1.02371E-12,0.000000003,0.000000002,0.993717483,0,0
3.39555E-12,0.00000001,0.000000007,0.990085403,0,0
4.86749E-11,0.000000029,0.000000098,0.98753313,0,0
1.33028E-10,0.000000104,0.000000268,0.986747816,0,0
2.26937E-10,0.000000271,0.000000458,0.985864337,0,0
9.68978E-10,0.000001094,0.000001953,0.984588201,0,0
2.46752E-9,0.000002535,0.000004974,0.983704722,0,0
8.48153E-9,0.000010701,0.000017098,0.982232257,0,0
1.05166E-8,0.000025342,0.000021201,0.980759792,0,0
1.19933E-8,0.000050119,0.000024178,0.978600177,0,0
1.32521E-8,0.00010043,0.000026716,0.974673604,0,0
1.82073E-8,0.000250116,0.000036705,0.965446157,0,0
2.28395E-8,0.000500607,0.000046043,0.953470109,0,0
2.8076E-8,0.001002678,0.000056599,0.934131737,0,0
3.72944E-8,0.002502792,0.000075182,0.889663296,0,0
4.9044E-8,0.005002751,0.000098867,0.832237165,0,0
8.26615E-8,0.010006165,0.00016663,0.754785511,0,0
1.87404E-7,0.025000135,0.000377732,0.642976342,0,0
3.38525E-7,0.050033477,0.000682228,0.546578973,0,0
8.29485E-7,0.100065989,0.001670831,0.455678806,0,0
2.17944E-6,0.20009049,0.004384087,0.385294984,0,0.0125
3.81613E-6,0.300321305,0.007663739,0.351231962,0,0.0375
5.34296E-6,0.400040683,0.010713524,0.329439482,0,0.0375
7.47037E-6,0.500401781,0.014947307,0.314027682,0,0.0375
9.61673E-6,0.600788593,0.019200451,0.302444292,0,0.0375
1.19425E-5,0.700280039,0.023788417,0.293216845,0,0.0375
1.31333E-5,0.751134175,0.026129128,0.289192108,0.010695187,0.0375
1.42031E-5,0.800598773,0.028227139,0.285658192,0.016042781,0.0375
1.6076E-5,0.901592935,0.031889494,0.279081182,0.016042781,0.0375
1.8643E-5,1.000311494,0.036886518,0.273485815,0.021390374,0.05
2.14131E-5,1.100625601,0.042249923,0.268577599,0.026737968,0.05
2.54695E-5,1.20015376,0.050050225,0.264454697,0.026737968,0.05
2.77885E-5,1.301901181,0.054480837,0.260724453,0.026737968,0.05
3.0164E-5,1.400406329,0.058998047,0.257386866,0.026737968,0.05
3.35799E-5,1.502450188,0.065455971,0.254245607,0.026737968,0.0625
3.88652E-5,1.750262919,0.075360721,0.247570433,0.032085561,0.0625
4.49012E-5,2.002155212,0.086544113,0.241680573,0.037433155,0.0625
5.06525E-5,2.252151694,0.097074023,0.236576028,0.048128342,0.075
5.83521E-5,2.500192465,0.110981259,0.232158634,0.048128342,0.075
6.68687E-5,2.751275776,0.126114749,0.22823206,0.048128342,0.0875
7.23608E-5,3.002129063,0.135737062,0.224698145,0.053475936,0.1
