X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,4.4215173043221927E-4,30.429898373049998,0.5539580445154516
3.0,3.0,train,4.5763841619883436E-4,31.926813722594265,0.566394441859655
4.0,4.0,train,6.392511806135861E-4,49.296333342484125,0.6887733675712195
5.0,5.0,train,9.408962456826139E-4,67.84663605003142,0.8205788631382468
6.0,6.0,train,9.189974766070911E-4,66.50310090240657,0.81325919469872
8.0,8.0,train,8.621617735465917E-4,63.80488064760868,0.7928381987635995
9.0,9.0,train,7.221544344376807E-4,55.046493058988965,0.732493182567619
10.0,10.0,train,6.203549647219193E-4,47.795679434876384,0.6778476039187793
11.0,11.0,train,6.253413058408022E-4,48.117528895113246,0.6807674108562876
12.0,12.0,train,6.306107024666034E-4,48.64243424512022,0.683824209544329
13.0,13.0,train,5.899109875964797E-4,45.8014678875971,0.6594324228545292
14.0,14.0,train,6.967984254697876E-4,53.060512879888144,0.7198168245590665
15.0,15.0,train,4.7584308545739625E-4,33.830876375254725,0.5805708391568584
17.0,17.0,train,6.934776627562171E-4,52.51109303605184,0.7181127696114503
18.0,18.0,train,6.487842870522562E-4,49.84857958273244,0.6941439721919345
19.0,19.0,train,3.380233411494788E-4,20.218711864695244,0.46055267363567165
20.0,20.0,train,7.471652754314053E-4,56.84290237650314,0.7444350021514725
21.0,21.0,train,3.230730296053723E-4,19.020622789165902,0.4456238050812046
22.0,22.0,train,3.9836200798519316E-4,24.8617826644429,0.5168291116110381
25.0,25.0,train,4.384758412031206E-4,30.122333295015196,0.5509541631199901
27.0,27.0,train,4.1730245607646277E-4,27.214085919359025,0.5332534984568325
28.0,28.0,train,5.657985065023385E-4,43.61568075743378,0.6441029515218398
29.0,29.0,train,4.0995423676107464E-4,26.264209887074088,0.5269487705508158
31.0,31.0,train,4.0936512370341494E-4,26.10434795555874,0.5264396427821182
33.0,33.0,train,5.658556782010169E-4,43.623540456016855,0.6441401024075021
34.0,34.0,train,5.618617270651828E-4,42.986219113414975,0.6415354324019884
35.0,35.0,train,4.989516768306215E-4,36.480879364310994,0.5979004242846783
38.0,38.0,train,7.465184954008916E-4,56.77329045096021,0.7441330064199343
39.0,39.0,train,5.400396384568641E-4,41.32336902739652,0.626963738342976
41.0,41.0,train,7.168456569074606E-4,54.68667418359947,0.729887494905813
42.0,42.0,train,5.07796492456161E-4,37.45564803232147,0.6043422137566457
43.0,43.0,train,7.503259458197188E-4,57.16749144512831,0.745905669132488
46.0,46.0,train,4.6560318249483715E-4,32.81660693468149,0.5726548125700262
47.0,47.0,train,4.531371936816408E-4,31.422056433376685,0.5628159698260291
48.0,48.0,train,4.071287280100386E-4,25.710527263799904,0.5245018944502783
50.0,50.0,train,4.19365231055687E-4,27.53953588669013,0.53500819352304
51.0,51.0,train,4.996117432370903E-4,36.54802753265981,0.5983847593515502
52.0,52.0,train,5.518103344460685E-4,42.19039113495963,0.6348957045566028
53.0,53.0,train,4.8426029648099994E-4,34.693057978975986,0.586967893850965
54.0,54.0,train,4.373138386241313E-4,29.977232358880173,0.5500003903119677
55.0,55.0,train,4.7337873173610004E-4,33.668665217790306,0.5786792557293668
56.0,56.0,train,4.92382233203081E-4,35.64205764589397,0.5930480316411186
57.0,57.0,train,4.4873412712381696E-4,31.00973485910631,0.5592869599596793
58.0,58.0,train,5.039151238412333E-4,37.098328831616286,0.6015281701267985
59.0,59.0,train,4.503876014052901E-4,31.16815446039625,0.5606155294307028
60.0,60.0,train,4.918253708146492E-4,35.50864081826186,0.5926340336726286
61.0,61.0,train,5.116933482957102E-4,37.8367132448303,0.6071474938875949
65.0,65.0,train,5.086989890496464E-4,37.52500652552554,0.6049936829097438
66.0,66.0,train,4.0762707722760016E-4,25.77445025561058,0.52493437974954
67.0,67.0,train,4.2486125751930846E-4,28.410327269663753,0.539651241096321
69.0,69.0,train,5.523237642909787E-4,42.27185896117148,0.6352378264382785
70.0,70.0,train,2.967034505076384E-4,17.246813113185834,0.4182779469035366
71.0,71.0,train,5.675111620851736E-4,43.98310292129737,0.645214176234894
72.0,72.0,train,1.9429890657896747E-4,11.357542412108689,0.2986708978636159
73.0,73.0,train,3.589558789174696E-4,21.812408830934782,0.4807821209704255
74.0,74.0,train,6.005827383159274E-4,46.60635822413366,0.6660044731061032
75.0,75.0,train,3.815998784717221E-4,23.454342010043067,0.5018122421326101
76.0,76.0,train,5.730436626796799E-4,44.78750612435664,0.6487801841921731
78.0,78.0,train,5.189334432916925E-4,38.78671304208184,0.6123068158619785
79.0,79.0,train,4.4918126410651356E-4,31.05318592367845,0.5596466310847245
80.0,80.0,train,4.750214800957059E-4,33.76721796006759,0.5799411386410003
81.0,81.0,train,2.34554815872778E-4,13.7842493523097,0.3483729417986452
82.0,82.0,train,2.522524274482872E-4,14.751351868604228,0.3690935242858455
83.0,83.0,train,3.154110050367265E-5,1.8735082652958484,0.055965094922208025
84.0,84.0,train,2.1581279384067058E-5,1.3944644949202414,0.03863978631568332
85.0,85.0,train,2.6130992966553476E-4,15.162380265748288,0.379441930360951
86.0,86.0,train,2.5152711683918625E-4,14.710128519056363,0.36825741511275234
87.0,87.0,train,1.9372892978649504E-5,1.2869262141366353,0.034755390465259994
88.0,88.0,train,9.676249434162725E-5,5.08671487338641,0.16195413614302678
89.0,89.0,train,8.2330853144061E-6,0.7073265044603986,0.014920681615892661
95.0,95.0,train,6.550306087311452E-5,3.53821468660198,0.1127288224513513
96.0,96.0,train,4.533426705302657E-5,2.4519987882124608,0.07944416593477988
97.0,97.0,train,4.081105636901986E-5,2.228399807776652,0.07180971187464313
98.0,98.0,train,4.716056441572578E-5,2.541035609094555,0.08250883837335599
100.0,100.0,train,3.4213382951224486E-4,20.622212569332603,0.4645863406680828
101.0,101.0,train,5.082046404562227E-4,37.484473968329475,0.6046369692632176
103.0,103.0,train,3.650308615467646E-4,22.195513758133675,0.4865097455822247
104.0,104.0,train,1.0712844179731425E-4,5.755897240747572,0.177667152260512
105.0,105.0,train,3.726199163502049E-4,22.763019629431103,0.49357618571455575
106.0,106.0,train,6.961503511682977E-4,52.83152463066188,0.7194850751207678
107.0,107.0,train,6.793984474162967E-4,51.760897817795325,0.7107721191108358
110.0,110.0,train,0.0010418383596312428,71.05535546660766,0.850780021868025
111.0,111.0,train,0.001055265057773218,71.48058554639779,0.854393868986646
113.0,113.0,train,0.0011469725268196899,76.26523370868945,0.8768438621912402
114.0,114.0,train,0.0014509614285671691,92.26152684854449,0.9293040947680214
116.0,116.0,train,0.0011705806929216914,78.86828767332578,0.8820399647207161
117.0,117.0,train,0.0013636046271433711,87.8665919129568,0.9170783755133474
118.0,118.0,train,0.0012983396017185104,84.7962986484121,0.906583698984899
119.0,119.0,train,7.809533017426478E-4,59.4063650877305,0.7597255326525189
121.0,121.0,train,0.0013459504404249067,86.9994496411906,0.9143618078767098
123.0,123.0,train,0.001466216590962039,92.831127308711,0.9312461557187073
124.0,124.0,train,0.0015659421806676558,97.83899994192194,0.9426920263976291
125.0,125.0,train,0.0015430785756471385,97.05862234529509,0.940248916388778
127.0,127.0,train,0.001586343281446818,98.37002562134806,0.9447875431222481
128.0,128.0,train,0.0015583302008474911,97.36977208312904,0.9418899408960864
130.0,130.0,train,0.001347879813444344,87.05147570147676,0.914662973419535
132.0,132.0,train,0.0013190302705018593,85.33514885089937,0.9100471223140524
133.0,133.0,train,0.0014990195295761298,94.6137462059894,0.9352433450731826
136.0,136.0,train,0.0013481440845609961,87.06026455671828,0.9147041422742175
138.0,138.0,train,0.001324303814024961,86.10736436983278,0.9109091370369281
140.0,140.0,train,0.001429869430319482,90.89041983831666,0.9265282951464281
143.0,143.0,train,0.0013997322827543196,89.26471597182638,0.9223719392869832
144.0,144.0,train,0.001279179819268011,83.78726609489456,0.9032577272455444
145.0,145.0,train,0.0013610372902226413,87.59377069985835,0.9166887428417698
146.0,146.0,train,0.0011806169593834442,79.38729339999847,0.8841819681159749
147.0,147.0,train,0.0011797890589313187,79.26816015515847,0.8840067540532571
149.0,149.0,train,0.0012631794926394038,83.42911902014674,0.9003896487714879
150.0,150.0,train,0.0012828516772846776,84.02065382235861,0.9039041750326944
151.0,151.0,train,0.001222851496733818,82.51131456796261,0.8927778807738971
154.0,154.0,train,0.0014341556702677245,91.3804587733367,0.9271010708383559
155.0,155.0,train,0.0013871656869524432,89.10639944644268,0.92057010480187
157.0,157.0,train,0.0012048781312118547,81.05475319938306,0.8892006575767156
158.0,158.0,train,0.001330531076461803,86.51504952675207,0.9119164163995943
