x,y,species cloglog values
1.0,1.0,1.4786705E-4
2.0,2.0,4.3344474E-4
3.0,3.0,1.2555133E-4
4.0,4.0,0.0012109398
5.0,5.0,0.82277614
6.0,6.0,5.2600257E-8
7.0,7.0,0.0057039764
8.0,8.0,0.0025550656
9.0,9.0,0.07532261
10.0,10.0,0.0026774101
11.0,11.0,0.16947307
12.0,12.0,0.016247552
13.0,13.0,0.0065082023
14.0,14.0,0.006531008
15.0,15.0,0.022306718
16.0,16.0,0.011670855
17.0,17.0,1.731398E-4
18.0,18.0,8.0641964E-4
19.0,19.0,0.017102769
20.0,20.0,0.03412824
21.0,21.0,0.13816653
22.0,22.0,0.0017754777
23.0,23.0,0.012601392
24.0,24.0,9.6011034E-4
25.0,25.0,1.78657E-4
26.0,26.0,2.0886563E-4
27.0,27.0,0.13430192
28.0,28.0,0.0015709373
29.0,29.0,0.0013614193
30.0,30.0,7.992429E-4
31.0,31.0,0.18671112
32.0,32.0,3.8538882E-4
33.0,33.0,2.5367716E-4
34.0,34.0,0.010466835
35.0,35.0,0.33010525
36.0,36.0,0.057042923
37.0,37.0,9.300034E-4
38.0,38.0,0.0048047896
39.0,39.0,0.16793123
40.0,40.0,0.55620676
41.0,41.0,0.0015168815
42.0,42.0,0.44831252
43.0,43.0,2.2698518E-4
44.0,44.0,0.0047030794
45.0,45.0,0.35889313
46.0,46.0,5.299519E-4
47.0,47.0,6.2324427E-4
48.0,48.0,1.4248867E-4
49.0,49.0,5.8299623E-4
50.0,50.0,3.6982866E-4
51.0,51.0,1.6118662E-4
52.0,52.0,9.933737E-4
53.0,53.0,0.53634495
54.0,54.0,2.1288611E-4
55.0,55.0,1.6673126E-4
56.0,56.0,0.11217418
57.0,57.0,0.4610598
58.0,58.0,0.0021201747
59.0,59.0,0.0015759091
60.0,60.0,4.614633E-4
61.0,61.0,0.691278
62.0,62.0,0.70470566
63.0,63.0,2.58504E-4
64.0,64.0,0.04858073
65.0,65.0,0.0020248771
66.0,66.0,0.0014796833
67.0,67.0,8.7735645E-4
68.0,68.0,0.021621794
69.0,69.0,0.7375745
70.0,70.0,0.38949677
71.0,71.0,0.001208322
72.0,72.0,0.0018168403
73.0,73.0,3.0567517E-4
74.0,74.0,5.749643E-4
75.0,75.0,5.1358994E-4
76.0,76.0,0.01179979
77.0,77.0,5.325403E-4
78.0,78.0,0.109584995
79.0,79.0,2.5046797E-4
80.0,80.0,0.006666834
81.0,81.0,5.596203E-4
82.0,82.0,0.028953865
83.0,83.0,0.5578816
84.0,84.0,0.007802134
85.0,85.0,0.0053215614
86.0,86.0,3.0720177E-5
87.0,87.0,5.100951E-4
88.0,88.0,0.0045678457
89.0,89.0,0.47206548
90.0,90.0,3.8185215E-4
91.0,91.0,0.008851987
92.0,92.0,3.6176492E-4
93.0,93.0,0.42879346
94.0,94.0,0.08761846
95.0,95.0,7.067074E-4
96.0,96.0,0.5300427
97.0,97.0,0.17594059
98.0,98.0,1.1657621E-4
99.0,99.0,0.0018312894
100.0,100.0,3.6649193E-4
101.0,101.0,2.2455122E-4
102.0,102.0,2.5095042E-5
103.0,103.0,0.09139226
104.0,104.0,5.519291E-4
105.0,105.0,2.9944795E-5
106.0,106.0,0.00508025
107.0,107.0,0.57016075
108.0,108.0,0.0060193674
109.0,109.0,2.342951E-4
110.0,110.0,0.9471044
111.0,111.0,0.124295406
112.0,112.0,0.005542272
113.0,113.0,0.64991945
114.0,114.0,0.4886078
115.0,115.0,4.6127834E-4
116.0,116.0,6.5856165E-4
117.0,117.0,0.9042577
118.0,118.0,0.67805856
119.0,119.0,0.0752109
120.0,120.0,0.0054542874
121.0,121.0,3.8966586E-4
122.0,122.0,4.8843684E-4
123.0,123.0,2.4511392E-4
124.0,124.0,2.438567E-4
125.0,125.0,0.00629219
126.0,126.0,7.905443E-4
127.0,127.0,0.010052984
128.0,128.0,0.078343004
129.0,129.0,0.25618955
130.0,130.0,5.3503097E-4
131.0,131.0,0.6816965
132.0,132.0,5.7689915E-4
133.0,133.0,5.634432E-4
134.0,134.0,0.046663295
135.0,135.0,0.021592041
136.0,136.0,0.03910221
137.0,137.0,7.5602275E-4
138.0,138.0,5.0356E-4
139.0,139.0,4.1806194E-5
140.0,140.0,0.10613654
141.0,141.0,0.0028451937
142.0,142.0,3.8766164E-5
143.0,143.0,0.008153287
144.0,144.0,1.18320626E-4
145.0,145.0,0.22368383
146.0,146.0,0.0017553301
147.0,147.0,3.530125E-5
148.0,148.0,1.4929484E-4
149.0,149.0,0.026250958
150.0,150.0,3.7298753E-4
151.0,151.0,5.1785504E-5
152.0,152.0,0.0015667551
153.0,153.0,0.14602195
154.0,154.0,0.033028577
155.0,155.0,0.042813092
156.0,156.0,0.8342126
157.0,157.0,0.7877038
158.0,158.0,0.620193
159.0,159.0,5.4545904E-4
160.0,160.0,1.567049E-4
161.0,161.0,2.8516402E-4
162.0,162.0,2.217387E-4
163.0,163.0,0.017529763
164.0,164.0,0.5152451
165.0,165.0,2.5770726E-4
166.0,166.0,0.35756224
167.0,167.0,5.2355515E-4
168.0,168.0,0.21016322
169.0,169.0,0.008835558
170.0,170.0,6.051243E-5
171.0,171.0,0.6426804
172.0,172.0,0.0766913
173.0,173.0,0.08265702
174.0,174.0,7.2921877E-4
175.0,175.0,1.16967436E-4
176.0,176.0,0.004686429
177.0,177.0,0.008455213
178.0,178.0,5.0937E-4
179.0,179.0,3.183106E-10
180.0,180.0,1.4950334E-4
181.0,181.0,0.26142088
182.0,182.0,0.017381866
183.0,183.0,0.001567094
184.0,184.0,0.0014475015
185.0,185.0,1.1856485E-4
186.0,186.0,1.4316758E-4
187.0,187.0,1.4800302E-4
188.0,188.0,0.05721876
189.0,189.0,3.007472E-4
190.0,190.0,7.784912E-4
191.0,191.0,9.795593E-4
192.0,192.0,1.5018573E-4
193.0,193.0,1.2054409E-4
194.0,194.0,2.6828036E-4
