Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.04805E-13,0.000000001,0.000000001,0.994600962,0,0
1.17882E-12,0.000000003,0.000000002,0.992637675,0,0
4.12811E-12,0.00000001,0.000000008,0.989496417,0,0
6.26945E-11,0.000000031,0.000000128,0.988809267,0,0
9.53135E-11,0.000000109,0.000000195,0.987925788,0,0
1.79458E-10,0.000000251,0.000000367,0.98684598,0,0
8.82567E-10,0.000001072,0.000001807,0.984882694,0,0
3.01002E-9,0.000002509,0.000006163,0.984293708,0,0
8.75266E-9,0.000010124,0.000017921,0.982919407,0,0
1.14046E-8,0.000025077,0.00002335,0.981446942,0,0
1.29616E-8,0.000051006,0.000026538,0.979385491,0,0
1.44639E-8,0.000100468,0.000029614,0.975851576,0,0
1.91281E-8,0.000250281,0.000039164,0.967213115,0,0
2.41043E-8,0.000501476,0.000049352,0.955826053,0,0
2.94377E-8,0.001000773,0.000060271,0.937665652,0,0
3.99035E-8,0.002502529,0.000081698,0.895847649,0,0
5.12446E-8,0.005003396,0.000104917,0.841268283,0,0
8.32761E-8,0.010000194,0.000170491,0.765976244,0,0
1.90976E-7,0.025004389,0.000390943,0.655934034,0,0
3.31908E-7,0.050006012,0.000679342,0.560420143,0,0
7.91397E-7,0.100033836,0.001619054,0.464317267,0,0.0125
2.1659E-6,0.200009121,0.004424808,0.390694022,0,0.0125
3.65713E-6,0.300022077,0.007459923,0.356042014,0,0.0375
5.21551E-6,0.400298264,0.010621812,0.333464219,0,0.0375
7.03973E-6,0.500028599,0.014310297,0.317267105,0,0.0375
9.14062E-6,0.600794784,0.018541167,0.305094729,0,0.0375
1.19174E-5,0.700856975,0.024105285,0.295769118,0.005347594,0.0375
1.30778E-5,0.750856847,0.026421173,0.291842544,0.005347594,0.0375
1.43618E-5,0.800304118,0.028977274,0.288308629,0.010695187,0.0375
1.70966E-5,0.900022161,0.034399208,0.282124276,0.021390374,0.05
1.95381E-5,1.000650202,0.039214305,0.276725238,0.021390374,0.05
2.23839E-5,1.10117448,0.044796199,0.27201335,0.021390374,0.05
2.57458E-5,1.202170534,0.051348571,0.267890449,0.026737968,0.05
2.82301E-5,1.302388438,0.056161752,0.264258369,0.026737968,0.05
3.08089E-5,1.402115665,0.061132123,0.260920781,0.026737968,0.05
3.28429E-5,1.500814515,0.065034017,0.257877687,0.026737968,0.05
3.90975E-5,1.753606148,0.076930936,0.251104349,0.032085561,0.0625
4.36683E-5,2.001076041,0.085529315,0.245214489,0.037433155,0.0625
5.01178E-5,2.251321904,0.097525688,0.24001178,0.048128342,0.075
5.67049E-5,2.500953695,0.109615539,0.235398056,0.048128342,0.075
6.34814E-5,2.750014408,0.12188403,0.231373319,0.048128342,0.0875
6.78937E-5,3.000322548,0.129781269,0.227643075,0.048128342,0.0875
7.17422E-5,3.252940434,0.136611478,0.224109159,0.053475936,0.0875
7.51938E-5,3.503350618,0.142691516,0.220771572,0.053475936,0.1
7.92953E-5,3.750621609,0.14986093,0.217630313,0.053475936,0.1
8.44856E-5,4.003935478,0.158847458,0.214587219,0.053475936,0.1
8.86696E-5,4.254635987,0.166022526,0.211740454,0.053475936,0.1
9.27592E-5,4.508477511,0.172976636,0.208991852,0.053475936,0.1
9.64075E-5,4.755683361,0.179131287,0.20643958,0.053475936,0.1
9.98229E-5,5.00107658,0.184851631,0.203985472,0.053475936,0.1
1.02578E-4,5.254259204,0.189437539,0.201531364,0.053475936,0.1
1.05387E-4,5.503372811,0.19408573,0.19917542,0.053475936,0.1
1.10898E-4,5.751561572,0.203127314,0.19691764,0.053475936,0.1
1.14398E-4,6.010846914,0.208817448,0.194659861,0.053475936,0.1
1.17695E-4,6.255704256,0.214140808,0.19259841,0.058823529,0.1
1.22828E-4,6.50836133,0.222356303,0.190536959,0.058823529,0.1
1.25367E-4,6.757201892,0.226388833,0.188573672,0.058823529,0.1
1.28949E-4,7.01200133,0.232042258,0.186610386,0.058823529,0.1
1.32225E-4,7.260217833,0.2371755,0.184745264,0.058823529,0.1
1.35889E-4,7.501093985,0.242877718,0.182978306,0.058823529,0.1
1.38472E-4,7.761470775,0.246870707,0.181113183,0.058823529,0.1
1.42047E-4,8.013978224,0.252363149,0.179346226,0.058823529,0.1
1.45564E-4,8.258573066,0.257726921,0.177677432,0.064171123,0.1
1.4932E-4,8.509659845,0.26341466,0.176008638,0.064171123,0.1
1.52164E-4,8.751712306,0.267689949,0.174438009,0.064171123,0.1
1.5797E-4,9.013985928,0.276344571,0.172769216,0.064171123,0.1125
1.61603E-4,9.254173401,0.28170777,0.171296751,0.064171123,0.1125
1.6681E-4,9.501083443,0.289324596,0.169824286,0.064171123,0.1125
1.71759E-4,9.755733015,0.296489498,0.168351821,0.064171123,0.1125
1.74997E-4,10.016104813,0.301138009,0.166879356,0.064171123,0.1125
1.76762E-4,10.262480167,0.303659389,0.165505055,0.064171123,0.1125
1.79972E-4,10.512647714,0.308220483,0.164130755,0.064171123,0.1125
1.82369E-4,10.76612708,0.311607843,0.162756454,0.064171123,0.1125
1.85655E-4,11.00554156,0.316223645,0.161480318,0.069518717,0.1125
1.88462E-4,11.267466742,0.320142405,0.160106017,0.069518717,0.1125
1.92184E-4,11.514747004,0.325302857,0.158829881,0.069518717,0.1125
1.96007E-4,11.767498837,0.330564477,0.157553745,0.069518717,0.1125
1.99868E-4,12.004946465,0.335835885,0.156375773,0.07486631,0.1125
2.02826E-4,12.266669494,0.339845667,0.155099637,0.07486631,0.1125
2.05683E-4,12.511721038,0.343695479,0.153921665,0.07486631,0.1125
2.09378E-4,12.761322785,0.348642984,0.152743693,0.07486631,0.1125
2.12363E-4,13.014309841,0.352610727,0.151565721,0.07486631,0.1125
2.15152E-4,13.270743399,0.356298022,0.150387749,0.07486631,0.1125
