x,y,species cloglog values
1.0,1.0,9.465605E-4
2.0,2.0,0.030096898
3.0,3.0,0.59738857
4.0,4.0,0.40585586
5.0,5.0,1.8412706E-4
6.0,6.0,0.25783634
7.0,7.0,1.6326405E-4
8.0,8.0,1.9221856E-4
9.0,9.0,3.1050792E-4
10.0,10.0,0.70473045
11.0,11.0,1.14885035E-4
12.0,12.0,1.9408531E-4
13.0,13.0,2.8178564E-4
14.0,14.0,0.0014098989
15.0,15.0,0.0011606038
16.0,16.0,0.0016012228
17.0,17.0,0.0043248897
18.0,18.0,0.0010551478
19.0,19.0,0.15395601
20.0,20.0,0.8902166
21.0,21.0,1.3748718E-4
22.0,22.0,0.0018123594
23.0,23.0,0.037035152
24.0,24.0,0.018345619
25.0,25.0,1.1411072E-4
26.0,26.0,0.87040156
27.0,27.0,3.691602E-4
28.0,28.0,0.35568175
29.0,29.0,0.0013327212
30.0,30.0,8.536635E-5
31.0,31.0,2.2275207E-4
32.0,32.0,0.00799478
33.0,33.0,2.1445041E-4
34.0,34.0,1.8239759E-4
35.0,35.0,0.16402715
36.0,36.0,1.1142035E-4
37.0,37.0,0.0149371615
38.0,38.0,0.15878378
39.0,39.0,0.0070926226
40.0,40.0,6.786243E-4
41.0,41.0,1.086557E-4
42.0,42.0,0.0011661167
43.0,43.0,0.020930216
44.0,44.0,0.046778243
45.0,45.0,6.7593117E-4
46.0,46.0,1.4012128E-4
47.0,47.0,0.071694195
48.0,48.0,0.005089312
49.0,49.0,0.0042997166
50.0,50.0,5.7796965E-4
51.0,51.0,0.0036947813
52.0,52.0,7.1338855E-4
53.0,53.0,0.34022275
54.0,54.0,1.919498E-4
55.0,55.0,4.1326482E-5
56.0,56.0,1.6777477E-7
57.0,57.0,2.2644487E-8
58.0,58.0,0.39625913
59.0,59.0,0.0044498798
60.0,60.0,2.5789152E-4
61.0,61.0,0.51153374
62.0,62.0,8.689079E-4
63.0,63.0,0.0013355538
64.0,64.0,0.0056773303
65.0,65.0,0.58093685
66.0,66.0,8.253472E-4
67.0,67.0,1.9031139E-4
68.0,68.0,0.1209979
69.0,69.0,0.0017509656
70.0,70.0,0.0073398305
71.0,71.0,2.9028644E-4
72.0,72.0,0.50722677
73.0,73.0,7.353229E-5
74.0,74.0,0.0016793356
75.0,75.0,3.2644413E-4
76.0,76.0,0.019836117
77.0,77.0,0.0023387296
78.0,78.0,7.8672625E-4
79.0,79.0,3.2846016E-4
80.0,80.0,0.05527038
81.0,81.0,0.039894953
82.0,82.0,0.0010355909
83.0,83.0,0.007822119
84.0,84.0,0.010568726
85.0,85.0,0.006094095
86.0,86.0,3.114822E-4
87.0,87.0,2.6509602E-4
88.0,88.0,2.4744414E-4
89.0,89.0,8.263171E-5
90.0,90.0,0.011017425
91.0,91.0,0.013514078
92.0,92.0,9.261661E-5
93.0,93.0,0.12640958
94.0,94.0,0.0033293527
95.0,95.0,1.2913758E-4
96.0,96.0,4.818268E-6
97.0,97.0,6.490181E-4
98.0,98.0,0.0040788413
99.0,99.0,6.095533E-4
100.0,100.0,1.3894674E-4
101.0,101.0,0.14672734
102.0,102.0,0.001998719
103.0,103.0,0.6895845
104.0,104.0,0.67058486
105.0,105.0,0.003926141
106.0,106.0,0.011660601
107.0,107.0,0.0012106247
108.0,108.0,0.0011432461
109.0,109.0,2.803732E-4
110.0,110.0,0.0019641684
111.0,111.0,0.7034156
112.0,112.0,0.17361744
113.0,113.0,3.9803438E-4
114.0,114.0,1.7683122E-4
