Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.49778E-13,0.000000001,0.000000001,0.993717483,0,0
1.28837E-12,0.000000003,0.000000002,0.992245018,0,0
1.71522E-11,0.000000012,0.000000031,0.989987239,0,0
2.53211E-11,0.000000026,0.000000046,0.989398253,0,0
6.70575E-11,0.000000103,0.000000121,0.987729459,0,0
2.49999E-10,0.000000271,0.000000452,0.986649652,0,0
1.47248E-9,0.000001128,0.000002662,0.985569844,0,0
2.80178E-9,0.000002568,0.000005066,0.984882694,0,0
6.27792E-9,0.000010356,0.000011351,0.983017571,0,0
9.52441E-9,0.000025733,0.000017221,0.981250614,0,0
1.35438E-8,0.000050038,0.000024488,0.979287327,0,0
1.82764E-8,0.000100815,0.000033045,0.976146069,0,0
2.32821E-8,0.000250557,0.000042095,0.969176401,0,0
3.13272E-8,0.00050159,0.00005664,0.960243448,0,0
4.17861E-8,0.001003015,0.00007555,0.947089428,0,0
5.62502E-8,0.002500413,0.0001017,0.917051144,0,0
7.19173E-8,0.005005297,0.000130024,0.878668892,0,0
9.84801E-8,0.01000799,0.000178044,0.820457446,0,0
1.87357E-7,0.025007257,0.000338699,0.711789536,0,0
3.33454E-7,0.050021712,0.00060273,0.614410523,0,0
6.31014E-7,0.10003978,0.001140272,0.505938942,0,0.0125
1.8647E-6,0.200174958,0.003365844,0.413958967,0,0.0375
3.19241E-6,0.300266468,0.0057555,0.374595072,0,0.0375
4.55615E-6,0.400335737,0.008204048,0.34867969,0,0.0375
5.93359E-6,0.500314133,0.010671046,0.329832139,0,0.0375
7.36589E-6,0.600723973,0.013229817,0.315009326,0.005347594,0.0375
8.96534E-6,0.700069539,0.01607936,0.302935113,0.005347594,0.0375
9.71416E-6,0.750696177,0.017410625,0.29763424,0.005347594,0.0375
1.06664E-5,0.800808388,0.019100869,0.292824188,0.005347594,0.0375
1.27384E-5,0.90017081,0.022768884,0.284382056,0.005347594,0.0375
1.44421E-5,1.00041768,0.025774562,0.277117895,0.005347594,0.0375
1.64222E-5,1.100576438,0.029256211,0.270737214,0.016042781,0.05
1.80694E-5,1.2008705,0.032142983,0.265043683,0.021390374,0.05
2.0427E-5,1.300715885,0.036259865,0.259939138,0.021390374,0.05
2.25643E-5,1.400389152,0.039977072,0.255423579,0.021390374,0.05
2.63305E-5,1.500639353,0.046492203,0.251398842,0.021390374,0.05
3.25558E-5,1.75042066,0.057164547,0.243054874,0.026737968,0.075
3.94928E-5,2.003659463,0.068916269,0.236183371,0.032085561,0.075
4.44589E-5,2.251865904,0.077239115,0.230391676,0.042780749,0.075
4.95994E-5,2.501295947,0.085775991,0.225188966,0.042780749,0.075
5.44313E-5,2.752662464,0.093728219,0.220477079,0.048128342,0.075
6.00106E-5,3.00074522,0.102824524,0.216256013,0.048128342,0.0875
6.35506E-5,3.254589285,0.108548786,0.212231275,0.048128342,0.0875
6.67909E-5,3.502420179,0.113756244,0.208501031,0.053475936,0.0875
7.12405E-5,3.750704546,0.120857717,0.204967115,0.053475936,0.1
7.50557E-5,4.007313664,0.126901328,0.201531364,0.053475936,0.1
8.00382E-5,4.25568733,0.134731516,0.198390105,0.053475936,0.1
8.48892E-5,4.502754373,0.14228756,0.195445175,0.053475936,0.1
8.8472E-5,4.754746385,0.147825864,0.19259841,0.053475936,0.1
9.18334E-5,5.007496631,0.152989328,0.189849809,0.053475936,0.1
9.47751E-5,5.258792113,0.157482491,0.187199372,0.053475936,0.1
9.77631E-5,5.508949839,0.162021958,0.184647099,0.058823529,0.1
1.00943E-4,5.757517276,0.166825456,0.182192991,0.058823529,0.1
1.04013E-4,6.003925713,0.171437965,0.179837047,0.058823529,0.1
1.06735E-4,6.257253644,0.175505817,0.177481103,0.064171123,0.1
1.10567E-4,6.507691363,0.181198058,0.175223324,0.064171123,0.1125
1.14354E-4,6.755086101,0.18678675,0.173063709,0.064171123,0.1125
1.18073E-4,7.011107625,0.192235671,0.170904093,0.064171123,0.1125
1.21791E-4,7.25178168,0.19764829,0.168940807,0.064171123,0.1125
