"OccurrenceID","GUID","Herbarium","Collection","Dataset","Accession","Catalog","Barcode","Other Catalog Numbers","Information Withheld","Basis of Record","Family","Accepted Name","Scientific Name","Notho Genus","Genus","Notho Species","Specific Epithet","Specific Authors","Infraspecific Rank","Notho Infraspecies","Infraspecific Epithet","Infraspecific Authors","Hybrid Symbol","2nd Notho Genus","2nd Genus","2nd Notho Species","2nd Specific Epithet","2nd Specific Authors","2nd Infraspecific Rank","2nd Notho Infraspecies","2nd Infraspecific Epithet","2nd Infraspecific Authors","Cultivar","Name Qualifier","Qualifier Position","Type Specimen?","Type Status","Specimen Notes","Phenology","Origin","Cultivated?","Imaged?","Site Number","Collector","Collector Number","Other Collectors","Day Collected","Month Collected","Year Collected","Verbatim Collection Date","Country","State or Province","County","Locality","Site Description","Verbatim Elevation","Minimum Elevation in Meters","Maximum Elevation in Meters","Verbatim Coordinates","Decimal Latitude","Decimal Longitude","Valid LatLng","Geodetic Datum","Coordinate Uncertainty in Meters","Georeferenced By","Georeference Sources","Georeference Remarks"
"1296116","","UBC","Algae","","A82697","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","Vol. 2, 1996, ser. #076.","","","N","N","","S. Enomoto","1073","","","","1990","2/4/1990","Japan","","","Megi-jima, kagawa-ken, seto inland sea.","On rocks.","","","","","34.41","134.06","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1276056","","UBC","Algae","","A68924","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","Jiro Tanaka","45","","13","3","1986","1986 Mar 13","Japan","Honshu","","Shizuoka prefecture, shimoda-shi, tohji.","On rocks.","","","","","34.6","138.8","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1263815","","UBC","Algae","","A28674","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Cystocarpic","","N","N","","D. Garbary","3493","M. W. Hawkes","21","1","1983","1983 Jan 21","Canada","British Columbia","","Lighthouse park, vancouver.","","","","","","49.25","-123.12","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273571","","UBC","Algae","","A9061","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","Sta.-83-4.","Cystocarpic","","N","N","","M.W. Hawkes","34669","T. Klinger","29","1","1983","1983 Jan 29","Canada","British Columbia","","West of the entrance to welcome harbour, henry island.","","","","","","54.04","-130.7","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273002","","UBC","Algae","","A66831","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","Robert F. Scagel","32941","","27","3","1982","1982 Mar 27","Canada","British Columbia","","Off Bamfield inlet, outer barkley sound.","","","","","","48.85","-125.38","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273006","","UBC","Algae","","A63360","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","L. Yip","s.n.","R. Lewis","14","2","1981","1981 Feb 14","Canada","British Columbia","","Dodger channel, diana island, Bamfield.","","","","","","48.83","-125.14","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273005","","UBC","Algae","","A60208","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","G. I. Hansen","s.n.","","27","1","1979","1979 Jan 27","Canada","British Columbia","","Near wizard islet, Bamfield.","","","","","","48.83","-125.14","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1272996","","UBC","Algae","","A57890","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","M.W. Hawkes","s.n.","","28","5","1978","1978 May 28","Canada","British Columbia","","Execution rock, Bamfield, Vancouver Island.","","","","","","48.8","-125.2","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273012","","UBC","Algae","","A59263","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","D. J. Garbary","s.n.","G. I. Hansen","3","12","1978","1978 Dec 03","Canada","British Columbia","","Off diana island, Bamfield.","","","","","","48.83","-125.14","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273013","","UBC","Algae","","A58865","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","B. Smith","s.n.","V. Seraphim","7","3","1978","1978 Mar 07","Canada","British Columbia","","Island south of warr bluff.","","","","","","50.63","-126.58","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273014","","UBC","Algae","","A58780","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","V. Seraphim","s.n.","B. Smith","9","3","1978","1978 Mar 09","Canada","British Columbia","","South side of island west of fox island.","","","","","","49.73","-124.21","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"2341894","6926f9dc-d976-48fd-abb8-d50efb4b5ad3","WTU","Algae","","310772","","WTU-A-008370","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","Bright red when collected. ","","","N","Y","","Robert Setzer","10096","","26","5","1978","","U.S.A.","California","Monterey","South end of Carmel Beach.","Cast ashore.","","","","","36.534902","-121.92909","Y","WGS 84","1893","Robin Lauber","Digital Map",""
"2341895","4991b281-ee81-476f-9771-d00eaab1d6a7","WTU","Algae","","310771","","WTU-A-008371","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","Y","","Robert B. Setzer","10096","","26","5","1978","","U.S.A.","California","Monterey","Monterey Peninsula. South end of Carmel Beach.","Cast ashore.","","","","","36.532812","-121.934509","Y","WGS 84","3019","Robin Lauber","Digital Map",""
"1272997","","UBC","Algae","","A58599","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","R. E. Foreman","s.n.","Crew","26","5","1977","1977 May 26","Canada","British Columbia","","North side of channe island, cordero channel.","","","","","","50.5","-125.3","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273004","","UBC","Algae","","A60278","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","Robert F. Scagel","s.n.","","23","5","1977","1977 May 23","Canada","British Columbia","","Bamfield marine station.","","","","","","48.83","-125.14","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273007","","UBC","Algae","","A57235","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","Zoology Class","s.n.","","25","5","1977","1977 May 25","Canada","British Columbia","","Off brady's beach, Bamfield, Vancouver Island.","","","","","","49.75","-126.49","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273008","","UBC","Algae","","A57454","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","B. Smith","s.n.","E. Cabot","13","4","1977","1977 Apr 13","Canada","British Columbia","","East of brittain river, jervis inlet.","","","","","","49.77","-124.21","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273015","","UBC","Algae","","A58564","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","R. E. Foreman","s.n.","Crew","26","5","1977","1977 May 26","Canada","British Columbia","","Hole in the wall.","","","","","","50.32","-125.17","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"2832418","976f0943-a69d-45e8-98c4-3f15b4cd9977","OSC","Algae","","","","OSC-A-016320","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","Y","","Eric Henry","s.n.","","25","5","1977","","Canada","British Columbia","","Brady's Beach ","Dredge, 20ft.","","","","","48.827127","-125.153444","Y","WGS 84","118","Heaven Roberts","Digital Map",""
"1272998","","UBC","Algae","","A55662","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","B. Smith","s.n.","","22","3","1976","1976 Mar 22","Canada","British Columbia","","West coast of lasqueti island.","","","","","","49.48","-124.36","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1272999","","UBC","Algae","","A56111","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","B. Smith","s.n.","","22","3","1976","1976 Mar 22","Canada","British Columbia","","West coast of lasqueti island.","","","","","","49.48","-124.36","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273000","","UBC","Algae","","A56099","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","B. Smith","s.n.","","22","3","1976","1976 Mar 22","Canada","British Columbia","","West coast of lasqueti island.","","","","","","49.48","-124.36","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273001","","UBC","Algae","","A55516","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Cystocarpic","","N","N","","B. Smith","s.n.","","1","4","1976","1976 Apr 01","Canada","British Columbia","","Flat rock island.","","","","","","52.13","-131.17","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273003","","UBC","Algae","","A56545","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","J. Root","s.n.","R. E. Foreman, E. Cabot, B. Smith","1","4","1976","1976 Apr 01","Canada","British Columbia","","Flatrock island, south entrance to houston stewart channel, queen charlotte.","","","","","","53.26","-132.09","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273016","","UBC","Algae","","A58832","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Spermatangial","","N","N","","R. E. Foreman","s.n.","Crew","24","3","1976","1976 Mar 24","Canada","British Columbia","","Central Coast, South side of Kynoch Inlet.","","","","","","52.74","-127.97","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273019","","UBC","Algae","","A55187","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","C. E. Tanner","31901","M. W. Hawkes","29","3","1976","1976 Mar 29","Canada","British Columbia","","Southeast side of cohoe point, east side of langara island.","","","","","","54.226","-132.96","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273020","","UBC","Algae","","A54957","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","M.W. Hawkes","31421","C. E. Tanner","22","3","1976","1976 Mar 22","Canada","British Columbia","","Southwest side of lasqueti island, strait of georgia.","","","","","","49.45","-124.29","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273021","","UBC","Algae","","A54986","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","M.W. Hawkes","31493","C. E. Tanner","23","3","1976","1976 Mar 23","Canada","British Columbia","","Central Coast, NE side of Kelp Head, south of Cranstown Point, Fitz Hugh Sound.","","","","","","51.37","-127.77","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273022","","UBC","Algae","","A54527","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Spermatangial","","N","N","","C. E. Tanner","31650","M. W. Hawkes","25","3","1976","1976 Mar 25","Canada","British Columbia","","Central Coast, North end of Campania Island, east side of Sharp Bay.","","","","","","53.18","-129.54","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273023","","UBC","Algae","","A55171","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","M.W. Hawkes","31885","C. E. Tanner","29","3","1976","1976 Mar 29","Canada","British Columbia","","Southeast side of cohoe point, east side of langara island.","","","","","","54.226","-132.96","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
