gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2236083516																										http://n2t.net/ark:/65665/3c298ddfa-268c-414b-84fd-109d3dfc3f3c																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			US	Botany	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/3c298ddfa-268c-414b-84fd-109d3dfc3f3c	223364	11-2-8	C. W. Schneider	1																														87	87	2011	3	28	28 Mar 2011										North America, United States, Connecticut, New London County	North America				United States		Connecticut	New London County		Pleasure Beach, Waterford												41.308	-72.1484						"41 18'28.9""N"	"72 08'54.1""W"																																	Schneider, C. W.													Dasysiphonia japonica							Plantae, Rhodophyta, Ceramiales, Dasyaceae	Plantae	Rhodophyta		Ceramiales	Dasyaceae	Dasysiphonia		japonica				(Yendo) H.-S. Kim					
2236047255																										http://n2t.net/ark:/65665/3ae6e8fb9-06b5-438c-871e-f9550dcc1994																												PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			US	Botany	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/3ae6e8fb9-06b5-438c-871e-f9550dcc1994	223376	09-38-4	C. W. Schneider	1																														224	224	2009	8	12	12 Aug 2009										North America, United States, Rhode Island, Washington County	North America				United States		Rhode Island	Washington County		Quonochontaug Central Beach, Charleston												41.3368	-71.7023						"41 20'12.6""N"	"71 42'08.1""W"																																	Schneider, C. W.													Dasysiphonia japonica							Plantae, Rhodophyta, Ceramiales, Dasyaceae	Plantae	Rhodophyta		Ceramiales	Dasyaceae	Dasysiphonia		japonica				(Yendo) H.-S. Kim					
1830384617																										1873									en				2017-12-25T18:47:57+09:00															text					SPMN	AL			PreservedSpecimen				9950651c-f89f-11e6-8f86-70e2840fc270	1978																															1991-04-03				1991	4	3											Japan|Shizuoka|Makinohara-shi|jitougata					Japan		Shizuoka	Makinohara-shi		jitougata																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384602																										1878									en				2017-12-25T18:48:15+09:00															text					SPMN	AL			PreservedSpecimen				99513762-f89f-11e6-a787-70e2840fc270	1983																															1994-02-11				1994	2	11											Japan|Shizuoka|Makinohara-shi|jitougata					Japan		Shizuoka	Makinohara-shi		jitougata																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384599																										1865									en				2017-12-25T18:47:28+09:00															text					SPMN	AL			PreservedSpecimen				994f23c8-f89f-11e6-b378-70e2840fc270	1970																															1991-04-02				1991	4	2											Japan|Shizuoka|Shizuoka-shi Shimizu-ku|miho					Japan		Shizuoka	Shizuoka-shi Shimizu-ku		miho																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384568																										1883									en				2017-12-25T18:48:33+09:00															text					SPMN	AL			PreservedSpecimen				9951f97c-f89f-11e6-91a7-70e2840fc270	1988																															2005-05-10				2005	5	10											Japan|Shizuoka|Omaezaki-shi|omaezaki					Japan		Shizuoka	Omaezaki-shi		omaezaki																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384558																										1882									en				2017-12-25T18:48:29+09:00															text					SPMN	AL			PreservedSpecimen				9951d23a-f89f-11e6-bc4a-70e2840fc270	1987																															2005-05-10				2005	5	10											Japan|Shizuoka|Omaezaki-shi|omaezaki					Japan		Shizuoka	Omaezaki-shi		omaezaki																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384546																										1884									en				2017-12-25T18:48:37+09:00															text					SPMN	AL			PreservedSpecimen				9952215e-f89f-11e6-9e4f-70e2840fc270	1989																															2005-05-10				2005	5	10											Japan|Shizuoka|Omaezaki-shi|omaezaki					Japan		Shizuoka	Omaezaki-shi		omaezaki																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384543																										1885									en				2017-12-25T18:48:40+09:00															text					SPMN	AL			PreservedSpecimen				99524684-f89f-11e6-bc84-70e2840fc270	1990																															2005-05-10				2005	5	10											Japan|Shizuoka|Omaezaki-shi|omaezaki					Japan		Shizuoka	Omaezaki-shi		omaezaki																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
1830384530																										1860									en				2017-12-25T18:47:10+09:00															text					SPMN	AL			PreservedSpecimen				994e5588-f89f-11e6-a07f-70e2840fc270	1965																															1991-02-03				1991	2	3											Japan|Shizuoka|Shizuoka-shi Shimizu-ku|miho					Japan		Shizuoka	Shizuoka-shi Shimizu-ku		miho																																																																		Heterosiphonia japonica Yendo							Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia		japonica				Yendo	イソハギ				
