gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated
2236083516,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3c298ddfa-268c-414b-84fd-109d3dfc3f3c,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:34871,,,US,Botany,NMNH Extant Biology,,PRESERVED_SPECIMEN,,,,http://n2t.net/ark:/65665/3c298ddfa-268c-414b-84fd-109d3dfc3f3c,223364,11/2/2008,C. W. Schneider,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-28T00:00:00Z,,87,87,2011,3,28,28-Mar-11,,,,,,,,,,"North America, United States, Connecticut, New London County",NORTH_AMERICA,,,,US,Connecticut,New London County,,"Pleasure Beach, Waterford",,,,,,,,41.308,-72.1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schneider, C. W.",,,,,,,,,,,,,Dasysiphonia japonica (Yendo) H.-S.Kim,,,,,,,"Plantae, Rhodophyta, Ceramiales, Dasyaceae",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,,,ACCEPTED,,,821cc27a-e3bb-4bc5-ac34-89ada245069d,US,2019-09-20T19:24:53.859Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,TRUE,FALSE,7682935,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Dasysiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2019-04-16T20:13:51.305Z,2019-09-09T21:42:27.375Z,TRUE
2236047255,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3ae6e8fb9-06b5-438c-871e-f9550dcc1994,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,PhysicalObject,,http://biocol.org/urn:lsid:biocol.org:col:34871,,,US,Botany,NMNH Extant Biology,,PRESERVED_SPECIMEN,,,,http://n2t.net/ark:/65665/3ae6e8fb9-06b5-438c-871e-f9550dcc1994,223376,09-38-4,C. W. Schneider,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-12T00:00:00Z,,224,224,2009,8,12,12-Aug-09,,,,,,,,,,"North America, United States, Rhode Island, Washington County",NORTH_AMERICA,,,,US,Rhode Island,Washington County,,"Quonochontaug Central Beach, Charleston",,,,,,,,41.3368,-71.7023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schneider, C. W.",,,,,,,,,,,,,Dasysiphonia japonica (Yendo) H.-S.Kim,,,,,,,"Plantae, Rhodophyta, Ceramiales, Dasyaceae",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,,,ACCEPTED,,,821cc27a-e3bb-4bc5-ac34-89ada245069d,US,2019-09-20T19:24:53.527Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,TRUE,FALSE,7682935,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Dasysiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2019-04-16T20:11:20.316Z,2019-09-09T21:31:53.382Z,TRUE
1830384617,,,,,,,,,,,,,,,,,,,,,,,,,,1873,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:47:57Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,9950651c-f89f-11e6-8f86-70e2840fc270,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-04-03T00:00:00Z,,,,1991,4,3,,,,,,,,,,,Japan|Shizuoka|Makinohara-shi|jitougata,,,,,JP,Shizuoka,Makinohara-shi,,jitougata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.005Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.295Z,2019-07-05T01:20:55.332Z,TRUE
1830384602,,,,,,,,,,,,,,,,,,,,,,,,,,1878,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:48:15Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,99513762-f89f-11e6-a787-70e2840fc270,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-02-11T00:00:00Z,,,,1994,2,11,,,,,,,,,,,Japan|Shizuoka|Makinohara-shi|jitougata,,,,,JP,Shizuoka,Makinohara-shi,,jitougata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.270Z,2019-07-05T01:20:55.251Z,TRUE
1830384599,,,,,,,,,,,,,,,,,,,,,,,,,,1865,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:47:28Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,994f23c8-f89f-11e6-b378-70e2840fc270,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-04-02T00:00:00Z,,,,1991,4,2,,,,,,,,,,,Japan|Shizuoka|Shizuoka-shi Shimizu-ku|miho,,,,,JP,Shizuoka,Shizuoka-shi Shimizu-ku,,miho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.114Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.273Z,2019-07-05T01:20:55.269Z,TRUE
1830384568,,,,,,,,,,,,,,,,,,,,,,,,,,1883,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:48:33Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,9951f97c-f89f-11e6-91a7-70e2840fc270,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-10T00:00:00Z,,,,2005,5,10,,,,,,,,,,,Japan|Shizuoka|Omaezaki-shi|omaezaki,,,,,JP,Shizuoka,Omaezaki-shi,,omaezaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.111Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.244Z,2019-07-05T01:20:55.244Z,TRUE
1830384558,,,,,,,,,,,,,,,,,,,,,,,,,,1882,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:48:29Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,9951d23a-f89f-11e6-bc4a-70e2840fc270,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-10T00:00:00Z,,,,2005,5,10,,,,,,,,,,,Japan|Shizuoka|Omaezaki-shi|omaezaki,,,,,JP,Shizuoka,Omaezaki-shi,,omaezaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.106Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.241Z,2019-07-05T01:20:55.259Z,TRUE
1830384546,,,,,,,,,,,,,,,,,,,,,,,,,,1884,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:48:37Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,9952215e-f89f-11e6-9e4f-70e2840fc270,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-10T00:00:00Z,,,,2005,5,10,,,,,,,,,,,Japan|Shizuoka|Omaezaki-shi|omaezaki,,,,,JP,Shizuoka,Omaezaki-shi,,omaezaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.102Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.205Z,2019-07-05T01:20:55.316Z,TRUE
1830384543,,,,,,,,,,,,,,,,,,,,,,,,,,1885,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:48:40Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,99524684-f89f-11e6-bc84-70e2840fc270,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-10T00:00:00Z,,,,2005,5,10,,,,,,,,,,,Japan|Shizuoka|Omaezaki-shi|omaezaki,,,,,JP,Shizuoka,Omaezaki-shi,,omaezaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.098Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.205Z,2019-07-05T01:20:55.403Z,TRUE
1830384530,,,,,,,,,,,,,,,,,,,,,,,,,,1860,,,,,,,,,en,CC_BY_4_0,,,2017-12-25T09:47:10Z,,,,,,,,,,,,,,,text,,,,,SPMN,AL,,,PRESERVED_SPECIMEN,,,,994e5588-f89f-11e6-a07f-70e2840fc270,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-02-03T00:00:00Z,,,,1991,2,3,,,,,,,,,,,Japan|Shizuoka|Shizuoka-shi Shimizu-ku|miho,,,,,JP,Shizuoka,Shizuoka-shi Shimizu-ku,,miho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterosiphonia japonica Yendo,,,,,,,Plantae|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|japonica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,,japonica,,SPECIES,,イソハギ,,SYNONYM,,,53dc4cdc-18f5-11e2-98fb-00145eb45e9a,JP,2019-09-20T20:03:40.094Z,,,,,,,,,FALSE,FALSE,2659055,7682935,6,106,342,665,4893,2658953,,7682935,Dasysiphonia japonica,Heterosiphonia,Dasysiphonia japonica (Yendo) H.-S.Kim,,DWC_ARCHIVE,2018-03-07T05:41:36.196Z,2019-07-05T01:20:55.239Z,TRUE
