gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
239228257,b929f23d-290f-4e85-8f17-764c55b3b284,ecc9d462-d89f-4110-a18e-1dab3288d991,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica,Yendo,JP,"Mimai-zaki, Ehime Prefecture",,,,90cc71b0-055b-11d8-b84e-b8a03c50a862,33.4167,132.123,,,,,,,1988-04-20T00:00:00Z,20,4,1988,2659055,7682935,PRESERVED_SPECIMEN,BPBM,BISH,650592,Collector Number: 0446-1,T.Yoshida,,CC0_1_0,Bernice Pauahi Bishop Museum,"Enomoto, S.",,,2019-09-20T20:03:48.088Z,,GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE
1989471710,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,e88f70b0-bc15-4eb2-8958-0709cbd7e9d4,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica,,JP,"Hando-jima, Heigun-to",Yamaguchi,,,174c6da2-e002-42fe-9f56-2f9d670240f4,33.775,132.175,,,,,,,1994-06-03T00:00:00Z,3,6,1994,2659055,7682935,PRESERVED_SPECIMEN,MICH,Algae,723068,,,,CC_BY_NC_4_0,,S. Enomoto,,,2019-09-20T20:03:39.351Z,,GEODETIC_DATUM_ASSUMED_WGS84
1057387901,7e380070-f762-11e1-a439-00145eb45e9a,b07bd7ec-0eaa-4e22-82cf-c0f6dcf5a8fb,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kagawa,,,19456090-b49a-11d8-abeb-b8a03c50a862,34.20704,133.980992,,,,,,,1990-04-01T00:00:00Z,,4,1990,2659055,7682935,PRESERVED_SPECIMEN,NHMUK,BOT,BM000569969,1073,,,CC0_1_0,,S. Enomoto,,,2019-09-20T20:03:39.761Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
209893812,962e2f2e-f762-11e1-a439-00145eb45e9a,MGC:MGC-Algae:4329-1,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,Kagawa-ken. Megi-jima,37,,1,7fadb370-f921-11dd-af50-b8a03c50a862,34.403,134.054,,,,,,,1990-04-02T00:00:00Z,2,4,1990,2659055,7682935,PRESERVED_SPECIMEN,MGC,MGC-Algae,4329-1,,T. Yoshida,,CC_BY_NC_4_0,,S. Enomoto,,,2019-09-20T20:03:40.480Z,,GEODETIC_DATUM_ASSUMED_WGS84
436946228,fea77396-7b26-44cb-8580-aefadc8db276,http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0077723,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,Megi-jima,Kagawa-ken,,,2cd829bb-b713-433d-99cf-64bef11e5b3e,34.405,134.05667,,,,,,,1990-04-02T00:00:00Z,2,4,1990,2659055,7682935,PRESERVED_SPECIMEN,MNHN,PC,PC0077723,,Yoshida,,CC_BY_4_0,,"Enomoto, S.",,,2019-09-20T20:03:47.761Z,,GEODETIC_DATUM_ASSUMED_WGS84
436774495,fea77396-7b26-44cb-8580-aefadc8db276,http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0077724,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,Megi-jima,Kagawa-ken,,,2cd829bb-b713-433d-99cf-64bef11e5b3e,34.405,134.05667,,,,,,,1990-04-02T00:00:00Z,2,4,1990,2659055,7682935,PRESERVED_SPECIMEN,MNHN,PC,PC0077724,,Yoshida,,CC_BY_4_0,,"Enomoto, S.",,,2019-09-20T20:03:47.766Z,,GEODETIC_DATUM_ASSUMED_WGS84
1987703797,90302970-1bc6-4865-be76-9aef1dd707f9,304BC91A-D8FF-734B-A6C2-66A768410E23,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,"Megi-jima, kagawa-ken, seto inland sea",,,,b542788f-0dc2-4a2b-b652-fceced449591,34.41,134.06,923,,,,,,1990-01-01T00:00:00Z,,,1990,2659055,7682935,PRESERVED_SPECIMEN,ca.ubc,UBCAlgae,A82697,1073,T. Yoshida,,CC0_1_0,University of British Columbia,S. Enomoto,,,2019-09-20T20:03:45.608Z,,GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
2005010393,675bbffd-ff44-4b8a-a1b9-d520ec9220c9,7360618a-7417-46f2-840c-419e8d7cad36,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica,Yendo,US,"Naples Reef, SCUBA, Santa Barbara, CA",California,,,04070a2c-4604-4264-9c72-31d3f29a41f2,34.422222,-119.952774,2107,,9,3,,,1979-08-10T00:00:00Z,10,8,1979,2659055,7682935,PRESERVED_SPECIMEN,NHA,,NHA-728977,,,,CC_BY_4_0,,A. C. Mathieson,,,2019-09-20T20:03:45.187Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84
1987713171,90302970-1bc6-4865-be76-9aef1dd707f9,1952CE27-4897-B04B-B1B8-C587C14BD2B0,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,"Shizuoka prefecture, shimoda-shi, tohji",Honshu,,,b542788f-0dc2-4a2b-b652-fceced449591,34.6,138.8,9229,,,,,,1986-03-13T00:00:00Z,13,3,1986,2659055,7682935,PRESERVED_SPECIMEN,ca.ubc,UBCAlgae,A68924,45,Jiro Tanaka,,CC0_1_0,University of British Columbia,Jiro Tanaka,,,2019-09-20T20:03:39.522Z,,GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1321024110,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3a9059a13-e7c1-4e93-bf01-46e6d2d8fd1f,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica,Yendo,JP,"Tohji, Shimoda-shi",Shizuoka,,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,34.6333,138.833,,,,,,,1986-03-13T00:00:00Z,13,3,1986,2659055,7682935,PRESERVED_SPECIMEN,US,Botany,96240,45,"Tanaka, J.",,CC0_1_0,,J. Tanaka,,,2019-09-20T20:03:43.835Z,,GEODETIC_DATUM_ASSUMED_WGS84
2289072840,15f819bd-6612-4447-854b-14d12ee1022d,http://data.biodiversitydata.nl/naturalis/specimen/L.4067254,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,"Honshu: Shizuoka Pref. Shimoda-shi, Tohji, on rocks in the subtidal zone.",,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,34.633333,138.833333,,,,,,,1986-03-13T00:00:00Z,13,3,1986,2659055,7682935,PRESERVED_SPECIMEN,,Botany,L.4067254,,,,CC0_1_0,Naturalis Biodiversity Center,Tanaka J,,,2019-09-20T20:03:47.620Z,STILLIMAGE,
1989111173,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,892c28a1-bfff-429c-988f-0951e836903b,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,,JP,"Honshu, Shimoda-shi, Tohji",Shizuoka,,,174c6da2-e002-42fe-9f56-2f9d670240f4,34.633333,138.833333,,,,,,,1986-03-13T00:00:00Z,13,3,1986,7682935,7682935,PRESERVED_SPECIMEN,MICH,Algae,650758,,,,CC_BY_NC_4_0,,Jiro Tanaka,,,2019-09-20T19:24:53.809Z,,GEODETIC_DATUM_ASSUMED_WGS84
1989498569,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,efca318c-5351-465c-b5e6-1b2c0c88c052,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,,JP,Shichirigahama,Kanagawa,,,174c6da2-e002-42fe-9f56-2f9d670240f4,35.305117,139.510742,,,,,,,1971-01-28T00:00:00Z,28,1,1971,7682935,7682935,PRESERVED_SPECIMEN,MICH,Algae,650753,,,,CC_BY_NC_4_0,,Makoto Yoshizaki,,,2019-09-20T19:24:52.196Z,,GEODETIC_DATUM_ASSUMED_WGS84
1989150713,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,938b1000-cc80-4a34-aa08-f75eb65eb1eb,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,,JP,Yokohama,,,,174c6da2-e002-42fe-9f56-2f9d670240f4,35.458697,139.662422,,,,,,,1928-04-21T00:00:00Z,21,4,1928,7682935,7682935,PRESERVED_SPECIMEN,MICH,Algae,650756,,,,CC_BY_NC_4_0,,Michitaro Higashi,,,2019-09-20T19:24:54.358Z,,GEODETIC_DATUM_ASSUMED_WGS84
2250727618,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=JRPAA6272-15,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica (BOLD:AAD0438),,CN,,,,,b3bf3a83-1f68-4541-a03f-330d30d567f5,36.04,120.17,,,,,,,2011-10-13T00:00:00Z,13,10,2011,2659055,7682935,UNKNOWN,,,CQDMTJ20111029-R22,,,,CC_BY_4_0,Barcode of Life Datasystems,Wu F.-F.,,,2019-09-20T20:03:45.217Z,,GEODETIC_DATUM_ASSUMED_WGS84
1988747015,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,281ec905-8ca4-445e-b8b4-7b34565a428c,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,,JP,"Tsuma Bay, Oki Islands, Sea of Japan",Shimane,,,174c6da2-e002-42fe-9f56-2f9d670240f4,36.186944,133.240792,,,,,,,1991-04-22T00:00:00Z,22,4,1991,7682935,7682935,PRESERVED_SPECIMEN,MICH,Algae,650757,,,,CC_BY_NC_4_0,,Mitsuo Kajimura,,,2019-09-20T19:24:52.786Z,,GEODETIC_DATUM_ASSUMED_WGS84
1828822797,4e287c72-c3f3-492c-ba43-d0fe8a97bba1,d6fab968-f826-11e6-93c4-70e2840fc270,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,,JP,,Fukui,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,36.237643,136.125404,,,,,,,1953-08-01T00:00:00Z,1,8,1953,7682935,7682935,PRESERVED_SPECIMEN,KOM,p,13744,,,,CC_BY_4_0,,,,,2019-09-20T19:24:55.833Z,,GEODETIC_DATUM_ASSUMED_WGS84
380200854,81264d96-f762-11e1-a439-00145eb45e9a,039e01c2-fa4e-11e6-a8cb-70e2840fc270,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Ibaraki,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,36.72369,140.72125,,,,,,,2002-06-24T00:00:00Z,24,6,2002,2659055,7682935,PRESERVED_SPECIMEN,INM,Al,30750,,,,CC_BY_4_0,,,,,2019-09-20T20:03:42.518Z,,GEODETIC_DATUM_ASSUMED_WGS84
380200853,81264d96-f762-11e1-a439-00145eb45e9a,039dd6fc-fa4e-11e6-8c12-70e2840fc270,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Ibaraki,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,36.72369,140.72125,,,,,,,2002-06-24T00:00:00Z,24,6,2002,2659055,7682935,PRESERVED_SPECIMEN,INM,Al,30749,,,,CC_BY_4_0,,,,,2019-09-20T20:03:40.539Z,,GEODETIC_DATUM_ASSUMED_WGS84
