gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2381289813,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:fe7241fe-59a9-44a0-abeb-23027d7528da,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Vestre Åmøy, Rennesøy, Ro",Rogaland,present,100,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.046176,5.685339,100,,,,10,0,2014-08-05T00:00:00Z,5,8,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12745145,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:31:25.942Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2380462504,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:ff496a0e-79cb-4fc4-b7fa-b333346922e2,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Hallangsodden, Frogn, Ak",Akershus,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.682148,10.614772,100,,,,,,2012-09-01T00:00:00Z,1,9,2012,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12242579,,Jan Rueness,,CC_BY_4_0,,Kristoffer Bøhn|Magne Flåten|Jan Seland,,,2019-09-01T20:31:56.695Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2380166418,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:f7858b5e-70e7-43d0-b8cf-0520e0d96b49,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Haugesjøen, Haugesund, Ro",Rogaland,present,5,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.419008,5.256968,10,,,,1,1,2016-10-08T00:00:00Z,8,10,2016,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,15859524,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:26:39.312Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378994709,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:dcb5f784-70a3-4f80-b1c4-b99ff3792237,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Hommersåk, Sandnes, Ro",Rogaland,present,100,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,58.931198,5.849515,50,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12245733,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:06:04.282Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378904777,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:d0784646-0293-43b8-bc88-08c56d7aa834,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Hetlevik, Askøy, Ho",Hordaland,present,3,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.422422,5.149817,50,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12233883,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:58:43.549Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378729724,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:e72d7d73-8f1b-4412-8863-5e02528161c2,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Åstveit, Bergen, Ho",Hordaland,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.451063,5.296853,25,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12242607,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:13:59.344Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378457936,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:b360d5a6-ed20-434c-83df-7b2aed03536b,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Hjellestad, Bergen, Ho",Hordaland,present,50,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.256195,5.237753,50,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12244042,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:37:59.286Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378402766,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:a3a9f976-74f4-4d1e-acc5-a3692afb140d,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Obrestad, Hå, Ro",Rogaland,present,3,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,58.65187,5.567147,50,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12242199,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:28:20.079Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2378200348,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:aa783140-5dda-4a1f-a37f-2ddb8af441ae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Vågholmen, Austre Åmøy, Stavanger, Ro",Rogaland,present,100,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.034937,5.745562,10,,,,10,0,2014-08-04T00:00:00Z,4,8,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12740645,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:32:31.158Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2376786041,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:69cc14f5-7706-447b-bb6d-01d2f821c20d,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Dusavika, Randaberg, Ro",Rogaland,present,100,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.003734,5.664606,100,,,,20,10,2014-08-05T00:00:00Z,5,8,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12745226,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:42:13.543Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2376683175,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:8d0f6ca0-8043-4f3e-aa4e-2011f5644b3a,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Smedasundet, Haugesund, Ro",Rogaland,present,10,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.411649,5.267712,200,,,,,,2016-10-08T00:00:00Z,8,10,2016,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,15859581,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:06:26.413Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2375939221,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:504233cf-3aed-4e80-853f-eeccb7a42939,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Paradisbukta, Stavanger, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,58.959026,5.744331,100,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12244238,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:23:43.608Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2375336628,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:53f6ee10-94c2-4418-b4cb-2b45c3d1b6cd,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Kvernevika, Stavanger, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,58.973132,5.602074,50,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12243299,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:28:58.957Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2375197948,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:41143e38-5bfa-4710-9830-27d1eb1f444e,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Ula, Larvik, Ve",Vestfold,present,5,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.023736,10.185458,100,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12245599,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:10:42.880Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2374848327,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:1eba87a7-aabc-4cf0-93f6-0d31a98f55a6,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Lundsvågen, Stavanger, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.004576,5.757348,25,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12232539,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T17:43:52.229Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2374358513,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:3420ce24-a9f9-4875-bef0-deff598ba842,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Rørvikvågen, Giske, Mr",Møre og Romsdal,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,62.573687,6.097405,75,,,,,,2016-03-28T00:00:00Z,28,3,2016,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,14078346,,,,CC_BY_4_0,,Dag Holtan,,,2019-09-01T18:01:56.488Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2372825803,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:e88fc4e4-92c3-4abe-a792-f80dbaffd7f1,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Milde, Bergen, Ho",Hordaland,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.24933,5.266858,25,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12232996,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:14:52.502Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2372595719,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:d1533797-3908-4f82-a900-98516d948f0d,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Sandefjord indre, Sandefjord, Ve",Vestfold,present,5,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.123625,10.220942,50,,,,,,2014-10-30T00:00:00Z,30,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12233882,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:59:13.372Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2372135985,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:d2c0dc83-4a3a-4408-8797-0fd42a7e6fce,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Slåttevik, Tysvær, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.312459,5.462314,10,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12241642,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T20:00:05.388Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2371713284,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:c9cdc5e0-9e64-4eda-955d-88d9b93a1e7a,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Alvestad, Bokn, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.213674,5.461128,50,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12241643,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:54:45.143Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2371712223,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:a81a0b6f-7b31-43d2-b9d9-f7a170924983,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Mekjarvik, Randaberg, Ro",Rogaland,present,50,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.023875,5.613887,100,,,,10,0,2014-08-06T00:00:00Z,6,8,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12745183,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:31:01.698Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2370293387,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:85452d0a-ce10-4f13-aacb-c5fe58d2519f,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Knarrevik, Lindås, Ho",Hordaland,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.780206,5.082497,25,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12246551,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T19:01:38.817Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2369436481,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:65ce2bf1-ecc0-4904-9b1a-7931d1315364,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Nesvågen, Radøy, Ho",Hordaland,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.630999,5.044085,10,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,PRESERVED_SPECIMEN,nbf,so2-algae,12247585,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:39:49.508Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2369311589,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:628c80c4-0097-4f80-816e-7b28fec8a32f,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Nesvågen, Radøy, Ho",Hordaland,present,1,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,60.630999,5.044085,10,,,,,,2014-10-31T00:00:00Z,31,10,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12244237,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:37:50.194Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2368683950,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:4ae2e0ab-8888-49db-9906-b840db566ea5,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Sjølyst, Stavanger, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,58.975378,5.741034,100,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12242198,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T18:17:17.495Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2368232794,b124e1e0-4755-430f-9eab-894f25a9b59c,urn:uuid:2717d8ad-f6cb-48f5-b201-86dedbb7c2a5,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Dasysiphonia japonica (Yendo) H.-S.Kim,Dasysiphonia japonica,(Yendo) H.-S.Kim,NO,"Vikadal, Vindafjord, Ro",Rogaland,present,0,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,59.496002,5.897359,50,,,,,,2014-11-03T00:00:00Z,3,11,2014,7682935,7682935,HUMAN_OBSERVATION,nbf,so2-algae,12242751,,,,CC_BY_4_0,,Husa Vivian,,,2019-09-01T17:50:34.370Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
