Result #,KOPRI #,Coll. Number,Genus,Species,Year,Month,Day,Collector,Determination,Country,Location,Specific Locality,Habitat,Lattitude,Longitude,DecLatt,DecLong,Depth (-m),Image,Notes 1,Notes 2
1,KOPRI-AL00808,KOPRI-DCD3036,Heterosiphonia,japonica,1993,5,23,D.S. Choi & W.J. Lee,D.S. Choi & W.J. Lee,Korea,,Goheung,subtidal,"34°39'08.37""","127°11'59.41""",34.152325,127.0192806,5,Y,,
2,KOPRI-AL00807,KOPRI-DCD3035,Heterosiphonia,japonica,1994,6,24,H.-G. Choi,H.-G. Choi,Korea,Chunnam,Sangwangdeungdo,subtidal,"35°39'57,93""","126°06'29.25""",35.15194444,126.1025694,5,Y,,
3,KOPRI-AL00806,KOPRI-DCD3034,Heterosiphonia,japonica,1994,6,24,H.-G. Choi,H.-G. Choi,Korea,Chunnam,Sangwangdeungdo,subtidal,"35°39'57,93""","126°06'29.25""",35.15194444,126.1025694,5,Y,,
4,805,KOPRI-DCD3033,Heterosiphonia,japonica,1994,6,24,H.-G. Choi,H.-G. Choi,Korea,Chunnam,Sangwangdeungdo,subtidal,"35°39'57,93""","126°06'29.25""",35.15194444,126.1025694,5,Y,,
5,804,KOPRI-DCD3032,Heterosiphonia,japonica,1994,6,24,H.-G. Choi,H.-G. Choi,Korea,Chunnam,Sangwangdeungdo,subtidal,"35°39'57,93""","126°06'29.25""",35.15194444,126.1025694,5,y,,
6,803,KOPRI-DCD3031,Heterosiphonia,japonica,1994,12,15,H.-G. Choi,H.-G. Choi,Korea,Namhae,Mibeop,subtidal,"37°43'28.39""","126°15'33.43""",37.05233056,126.0842861,5,y,,
7,802,KOPRI-DCD3030,Heterosiphonia,japonica,1994,12,15,H.-G. Choi,H.-G. Choi,Korea,Namhae,Mibeop,subtidal,"37°43'28.39""","126°15'33.43""",37.05233056,126.0842861,5,y,,
8,801,KOPRI-DCD3029,Heterosiphonia,japonica,1994,12,15,H.-G. Choi,H.-G. Choi,Korea,Namhae,Mibeop,subtidal,"37°43'28.39""","126°15'33.43""",37.05233056,126.0842861,5,y,,
9,800,KOPRI-DCD3028,Heterosiphonia,japonica,1993,5,6,J. H. Ok,J. H. Ok,Korea,Donghae,Jeoncheon,subtidal,"37°29'19""","129°08'39""",37.1525,129.1358333,5,y,,
10,799,KOPRI-DCD3027,Heterosiphonia,japonica,1993,5,6,J. H. Ok,J. H. Ok,Korea,Donghae,Jeoncheon,subtidal,"37°29'19""","129°08'39""",37.1525,129.1358333,5,y,,
11,798,KOPRI-DCD3026,Heterosiphonia,japonica,1993,5,6,J. H. Ok,J. H. Ok,Korea,Donghae,Jeoncheon,subtidal,"37°29'19""","129°08'39""",37.1525,129.1358333,5,y,,
12,797,KOPRI-DCD3025,Heterosiphonia,japonica,1993,5,6,J. H. Ok,J. H. Ok,Korea,Donghae,Jeoncheon,subtidal,"37°29'19""","129°08'39""",37.1525,129.1358333,5,y,,
13,796,KOPRI-DCD3024,Heterosiphonia,japonica,1993,5,6,J. H. Ok,J. H. Ok,Korea,Donghae,Jeoncheon,subtidal,"37°29'19""","129°08'39""",37.1525,129.1358333,5,y,,
14,795,KOPRI-DCD3022,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,,
15,794,KOPRI-DCD3021,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,,
16,793,KOPRI-DCD3020,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,"database says subtidal, but the scanned pressing says intertidal",
17,792,KOPRI-DCD3018,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,"database says subtidal, but the scanned pressing says intertidal",
18,791,KOPRI-DCD3017,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,"database says subtidal, but the scanned pressing says intertidal",
19,790,KOPRI-DCD3016,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,"database says subtidal, but the scanned pressing says intertidal",
20,789,KOPRI-DCD3015,Heterosiphonia,japonica,1993,4,25,M.S. Hwang & W.J. Lee,M.S. Hwang & W.J. Lee,Korea,Donghae,Gamchusa,subtidal,"37°30'54.45""","129°07'34.87""",37.00123611,129.1180194,5,y,"database says subtidal, but the scanned pressing says intertidal","Honestly, some of these scans don't look very Dasy-like. This one in particular"
21,788,KOPRI-DCD3014,Heterosiphonia,japonica,1991,12,,D.S. Choi,D.S. Choi,Korea,Sinan,"Seongchon, Uido",subtidal,"34°36'36.94""","125°50'31.80""",34.10192778,125.0005,5,y,"database says subtidal, but the scanned pressing says intertidal","Honestly, some of these scans don't look very Dasy-like. This one in particular"
22,787,KOPRI-DCD3013,Heterosiphonia,japonica,1987,4,28,Han-Gu Choi & H.-S. Kim,Han-Gu Choi & H.-S. Kim,Korea,Jeju Island,Chagwido,subtidal,"33°18'41.29""","126°09'04.68""",33.13369167,126.1513,5,y,"database says subtidal, but the scanned pressing says intertidal",
