id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
724085,NHA,,,PreservedSpecimen,790b6f93-9513-4e4f-b458-e0140c5feadd,NHA-619603,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"R. Eriksen",,,,2014-01-15,2014,1,15,15,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Fort Stark, Newcastle, NH",,0,,43.058681,-70.712429,,369,,"hmt (2015-10-28 02:45:11)",,"georef batch tool 2015-10-28","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:790b6f93-9513-4e4f-b458-e0140c5feadd,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724085
724086,NHA,,,PreservedSpecimen,c1d5879d-bb9c-4c98-89cd-a9d0bca0b2fc,NHA-619604,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"R. Eriksen",,,,2014-01-15,2014,1,15,15,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Fort Stark, Newcastle, NH",,0,,43.058681,-70.712429,,369,,"hmt (2015-10-28 02:45:11)",,"georef batch tool 2015-10-28","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:c1d5879d-bb9c-4c98-89cd-a9d0bca0b2fc,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724086
724098,NHA,,,PreservedSpecimen,57405b73-68f9-40d1-a378-87847525758f,NHA-619616,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"H. Traggis",,,,2013-07-18,2013,7,18,199,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Rockingham,Rye,"Star Island, Isles of Shoals, SCUBA, Rye, NH",,0,,42.975754,-70.613498,,325,,"HMT (2015-11-03 14:37:25)",,"georef batch tool 2015-11-03","reviewed - high confidence",,6,,,,,"-19 feet",,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:57405b73-68f9-40d1-a378-87847525758f,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724098
724106,NHA,,,PreservedSpecimen,4494afc9-8687-483e-b481-d7f760b98472,NHA-619624,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2013-08-14,2013,8,14,226,,,,,,,,,,,,,,,,,,,,,"United States",Maine,York,,"Wood Island, mouth of the Saco River and at the entrance of Biddeford Pool, ME",,0,,43.456475,-70.333659,,642,,"HMT (2015-11-30 12:14:14)",,"georef batch tool 2015-11-30; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:4494afc9-8687-483e-b481-d7f760b98472,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724106
724109,NHA,,,PreservedSpecimen,a2b5e637-2bc9-4bec-8a09-bc4c56ad982f,NHA-619627,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2013-08-14,2013,8,14,226,,,,,,,,,,,,,,,,,,,,,"United States",Maine,York,,"Wood Island, mouth of the Saco River and at the entrance of Biddeford Pool, ME",,0,,43.456475,-70.333659,,642,,"HMT (2015-11-30 12:14:14)",,"georef batch tool 2015-11-30; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:a2b5e637-2bc9-4bec-8a09-bc4c56ad982f,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724109
724126,NHA,,,PreservedSpecimen,de116d01-a2b0-42c9-aab1-8945b13360fa,NHA-619644,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2013-03-07,2013,3,7,66,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Dover Point, Dover, NH",,0,,43.119935,-70.827653,,92,,"HMT (2015-11-02 11:48:14)",,"georef batch tool 2015-11-02","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:de116d01-a2b0-42c9-aab1-8945b13360fa,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724126
724171,NHA,,,PreservedSpecimen,668d7cc1-a39d-4ca0-ad7c-75501ec57fdd,NHA-619689,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"K. McKeton",,,,1012-07-20,1012,7,20,202,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Boston Harbor Road, Little Bay, Dover, NH",,0,,43.126475,-70.841723,,647,,"HMT (2015-11-02 13:21:18)",,"georef batch tool 2015-11-02; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:668d7cc1-a39d-4ca0-ad7c-75501ec57fdd,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724171
724172,NHA,,,PreservedSpecimen,57414b67-cd0d-4ac9-9e05-3fdf30315aa2,NHA-619690,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"K. McKeton",,,,2012-07-20,2012,7,20,202,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Boston Harbor Road, Little Bay, Dover, NH",,0,,43.126475,-70.841723,,647,,"HMT (2015-11-02 13:21:18)",,"georef batch tool 2015-11-02; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:57414b67-cd0d-4ac9-9e05-3fdf30315aa2,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724172
724173,NHA,,,PreservedSpecimen,6b75b529-1b64-4dc1-b24a-d8c38354d6b6,NHA-619691,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"K. McKeton",,,,2012-07-20,2012,7,20,202,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Boston Harbor Road, Little Bay, Dover, NH",,0,,43.126475,-70.841723,,647,,"HMT (2015-11-02 13:21:18)",,"georef batch tool 2015-11-02; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:6b75b529-1b64-4dc1-b24a-d8c38354d6b6,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724173
724174,NHA,,,PreservedSpecimen,f502cc73-3a16-4bce-b1df-1070b839fda0,NHA-619692,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"K. McKeton",,,,2012-07-20,2012,7,20,202,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",,,"Boston Harbor Road, Little Bay, Dover, NH",,0,,43.126475,-70.841723,,647,,"HMT (2015-11-02 13:21:18)",,"georef batch tool 2015-11-02; GeoLocate","reviewed - high confidence",,,,,,,,,,"Ryan Frazier","2018-09-24 08:34:20",,1,urn:uuid:f502cc73-3a16-4bce-b1df-1070b839fda0,https://macroalgae.org:443/portal/collections/individual/index.php?occid=724174
