id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
164785,NHA,,,PreservedSpecimen,7360618a-7417-46f2-840c-419e8d7cad36,NHA-728977,44200,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,A. C. Mathieson,,,,8/10/1979,1979,8,10,222,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,Santa Barbara,"Naples Reef, SCUBA, Santa Barbara, CA",,0,,34.422222,-119.952774,,2107,,hmt (2015-01-07 19:42:39),,georef batch tool 2015-01-07; GeoLocate,reviewed - high confidence,,6,12,,,,20-40 feet,,,James Lydecker,4/19/2017 11:57,NHA-728977,1,urn:uuid:7360618a-7417-46f2-840c-419e8d7cad36,https://macroalgae.org:443/portal/collections/individual/index.php?occid=164785
154594,NY,,,PreservedSpecimen,,2214171,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214171,2,urn:uuid:ad80891f-7448-42e3-bbd9-b5f11ace00cb,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154594
154595,NY,,,PreservedSpecimen,,2214170,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214170,2,urn:uuid:80731a95-e0c9-4ad7-ad13-c679ed3d2e9a,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154595
154596,NY,,,PreservedSpecimen,,2214169,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214169,2,urn:uuid:84e17958-0c78-4ea5-bdcd-b4d60534f690,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154596
154597,NY,,,PreservedSpecimen,,2214168,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214168,2,urn:uuid:50cf8e93-7ac4-455c-a41c-5f2631ed04fb,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154597
154598,NY,,,PreservedSpecimen,,2214167,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214167,2,urn:uuid:bf72385b-8f77-4c4a-be94-f9510375c063,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154598
559873,NY,,,PreservedSpecimen,,2347677,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,10/14/2015 14:34,2347677,2,urn:uuid:e97a433e-1c0d-4169-b642-016cd224c302,https://macroalgae.org:443/portal/collections/individual/index.php?occid=559873
272046,NCU,,,PreservedSpecimen,9d5dc249-5d2f-4080-9006-b16ca956ffbe,NCU-A-0016500,618115,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Yoshizaki, Makoto",1971,,,,,,"Yoshizaki, Makoto",,,7-090(2),4/25/1971,1971,4,25,115,,,,,,,,,,,,,,0,,,,,,,Japan,Chiba,,Ohara,"Ohara, Chiba",,0,,35.250561,140.405649,,3036,,liane (2015-05-17 17:54:12),,georef batch tool 2015-05-17; GeoLocate,reviewed - high confidence,,,,,,,,,,wpmarinello,10/12/2015 15:02,,3,urn:uuid:9d5dc249-5d2f-4080-9006-b16ca956ffbe,https://macroalgae.org:443/portal/collections/individual/index.php?occid=272046
272047,NCU,,,PreservedSpecimen,4d1519c2-bbe7-42ff-a939-c575e8a0f156,NCU-A-0016501,618116,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Yoshizaki, Makoto",1968,,,,,,"Yoshizaki, Makoto",,,7-090(1),3/17/1968,1968,3,17,77,,,,,,,,,,,,,,0,,,,,,,Japan,Aomori,,Shiranuka,"Shiranuka, Aomori, Shimokita",,0,,41.133333,141.4,,3036,,carol ann mccormick (2015-02-13 12:51:42),,georef batch tool 2015-02-13; GeoLocate,reviewed - high confidence,,,,,,,,,,wpmarinello,10/12/2015 15:02,,3,urn:uuid:4d1519c2-bbe7-42ff-a939-c575e8a0f156,https://macroalgae.org:443/portal/collections/individual/index.php?occid=272047
703013,MICH,,,PreservedSpecimen,8c8d6de7-d119-40cc-8a0e-bda0237dd549,723068,"Enomoto, Yoshida, Masuda & Kawai, Marine Benth. Algae Seto Japon. 046",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,S. Enomoto,,,3414,6/3/1994,1994,6,3,154,,,,,,,,,,,,,,,,,,,,,Japan,Yamaguchi-ken,,,"Hando-jima, Heigun-to",,0,,33.775,132.175,,,33? 46.5' N 132? 10.5' E,,,,,,,,,,,,,,C. Davey,6/29/2015 12:03,,5,urn:uuid:8c8d6de7-d119-40cc-8a0e-bda0237dd549,https://macroalgae.org:443/portal/collections/individual/index.php?occid=703013
817861,DUKE,,,PreservedSpecimen,7efb3e86-fa18-4911-87e7-df4d8d0a751e,212276,19384,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Schneider, C.W.",,,,,,,"Schneider, C. W.",,,09-47-2,8/26/2009,2009,8,26,238,,26-Aug-09,,drift,,,,,,,,,,,,,,,,,United States,Rhode Island,Washington,,"Watch Hill Point, Napatree Beach",,0,,41.3105556,-71.8630556,,,41.3105556? -71.8630556?,,,,,,,,,,,,,,,5/15/2017 07:15,212276,7,urn:uuid:7efb3e86-fa18-4911-87e7-df4d8d0a751e,https://macroalgae.org:443/portal/collections/individual/index.php?occid=817861
792113,UC,,,PreservedSpecimen,fb70a4e6-3acc-4d50-b5e1-a0026bed5465,UC794249,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,s.n.,1932-04-00,1932,4,,,,,,,,,,,,,,,,,,,,,,,Japan,Kanagawa-ken,,,"Yenoshima, Sagami province",,,,35.302538,139.48271,WGS84,1051,,emilyt (2016-04-18 14:14:43),,georef batch tool 2016-04-18; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:42,,8,urn:uuid:fb70a4e6-3acc-4d50-b5e1-a0026bed5465,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792113
792116,UC,,,PreservedSpecimen,21e8ae9c-9576-469a-8bc1-f582a3b944d0,UC1469106,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Jiro Tanaka,,,s.n.,3/13/1986,1986,3,13,72,,,,on rocks in the subtidal zone,,,,,,,,,,,,,,,,,Japan,Shizuoka-ken,,,"Honshu, Shizuoka prefecture, Shimoda-shi, Tohji",,,,34.633333,138.833333,,,"34 38'N, 138 50'E",,,,,,,,,,,,,,arondoni,4/7/2016 12:26,,8,urn:uuid:21e8ae9c-9576-469a-8bc1-f582a3b944d0,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792116
