done,locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),SAP Number,Genus,Species,Year,Month,Day,Collector,Determination
n,Echinaka Himi ,,,,,,,,,,,,81093,Heterosiphonia,japonica,1932,3,23,K. Okamura,K. Okamura
n,Goshi Shinobu ,,,,,,,,,,,,14053,Heterosiphonia,japonica,1932,2,11,K. Inagaki,
n,Goshi Shinobu ,,,,,,,,,,,,42704,Heterosiphonia,japonica,1949,8,20,M. Kurogi,M. Kurogi
n,Goshi Tomari ,,,,,,,,,,,,64277,Heterosiphonia,japonica,1997,3,21,Yasuhiro Yamada,Yasuhiro Yamada
n,Higo Amakusa Oyano ,,,,,,,,,,,,71362,Heterosiphonia,japonica,1955,3,20,S. Segawa,S. Segawa
n,Hitachi Kawajiri ,,,,,,,,,,,,72697,Heterosiphonia,japonica,1936,8,19,??????,??????
n,Hitachi Sugawara Otsu ,,,,,,,,,,,,81091,Heterosiphonia,japonica,1933,8,23,K. Okamura,K. Okamura
n,Hokkaido Moshiuchi ,,,,,,,,,,,,62565,Heterosiphonia,japonica,1996,5,14,T. Iwamoto,T.  Iwamoto
n,Iyo Nippou Island ,,,,,,,,,,,,81087,Heterosiphonia,japonica,1927,4,15,??,K. Okamura
n,"Okinoshima, Tanabe City, Wakayama Prefecture ",,,,,,,,,,,,59488,Heterosiphonia,japonica,1988,2,18,T. Yamamoto,T. Yamamoto
n,"Rungazaki, Hebei-cho, Rikuzen-gun ",,,,,,,,,,,,70771,Heterosiphonia,japonica,1999,3,19,T. Yoshida,T. Yoshida
n,Sagami Misaki ,,,,,,,,,,,,81083,Heterosiphonia,japonica,1933,5,12,K. Okamura,K. Okamura
n,Sagami Misaki ,,,,,,,,,,,,81084,Heterosiphonia,japonica,1933,5,12,K. Okamura,K. Okamura
n,Sagami Misaki ,,,,,,,,,,,,81085,Heterosiphonia,japonica,1933,5,12,K. Okamura,K. Okamura
n,Shigara Prefecture Sagara Chichigata,,,,,,,,,,,,60169,Heterosiphonia,japonica,1993,4,6,????,????
n,"Tanagi City, Iwate Prefecture, Yagi ",,,,,,,,,,,,27025,Heterosiphonia,japonica,1952,1,13,S. Kawashima,
n,"Tane City, Iwate Prefecture, Yagi ",,,,,,,,,,,,27024,Heterosiphonia,japonica,1952,1,13,S. Kawashima,
n,Ulsan Esashi ,,,,,,,,,,,,23593,Heterosiphonia,japonica,1940,4,,"Y.Yamada, Y.Nakamura et Karakawa ",
n,"Uryu-jima, Hiroshima Prefecture, Japan",,,,,,,,,,,,94835,Heterosiphonia,japonica,1960,5,8,M. Yamada,H. Tanaka
n,"Yeouido, Mie Prefecture ",,,,,,,,,,,,25466,Heterosiphonia,japonica,1944,5,,Y. Yamada,
y,Akimiyajima ,,,,34.271029,132.307083,,,,,5784,"POLYGON ((132.301605562047 34.3229725032207, 132.296169887559 34.3223784037488, 132.29081741981 34.3213932721788, 132.285588964212 34.3200246193103, 132.280524375623 34.3182828795395, 132.275662253111 34.3161813308947, 132.271039644527 34.3137359933011, 132.266691764033 34.3109655050605, 132.262651719089 34.3078909841103, 132.258950265837 34.3045358585144, 132.255615567882 34.3009256944555, 132.252672980934 34.2970879997695, 132.250144870629 34.2930520081873, 132.248050431862 34.2888484625431, 132.246405549985 34.284509376607, 132.24522268035 34.2800677914709, 132.244510755449 34.2755575235398, 132.244275119054 34.2710129067677, 132.244517487813 34.2664685311119, 132.24523594052 34.2619589792035, 132.246424935057 34.2575185632407, 132.248075352833 34.2531810641036, 132.250174570288 34.2489794746705, 132.252706556874 34.2449457492728, 132.255651999877 34.2411105618668, 132.258988446983 34.2375030700543, 132.262690489273 34.2341507004531, 132.26672994524 34.2310789355062, 132.271076076581 34.2283111194643, 132.275695829078 34.2258682891744, 132.280554075313 34.223769006717, 132.285613885213 34.2220292231604, 132.29083680491 34.2206621570938, 132.296183147748 34.2196781946994, 132.301612294422 34.2190848112518, 132.307083 34.2188865146292, 132.312553705578 34.2190848112518, 132.317982852252 34.2196781946994, 132.32332919509 34.2206621570938, 132.328552114787 34.2220292231604, 132.333611924687 34.223769006717, 132.338470170923 34.2258682891744, 132.343089923419 34.2283111194643, 132.34743605476 34.2310789355062, 132.351475510727 34.2341507004531, 132.355177553017 34.2375030700543, 132.358514000123 34.2411105618668, 132.361459443126 34.2449457492728, 132.363991429712 34.2489794746705, 132.366090647167 34.2531810641036, 132.367741064943 34.2575185632407, 132.36893005948 34.2619589792035, 132.369648512187 34.2664685311119, 132.369890880947 34.2710129067677, 132.369655244551 34.2755575235398, 132.36894331965 34.2800677914708, 132.367760450015 34.284509376607, 132.366115568138 34.2888484625431, 132.364021129371 34.2930520081873, 132.361493019066 34.2970879997695, 132.358550432118 34.3009256944555, 132.355215734163 34.3045358585144, 132.351514280911 34.3078909841103, 132.347474235967 34.3109655050605, 132.343126355473 34.3137359933011, 132.338503746889 34.3161813308947, 132.333641624377 34.3182828795395, 132.328577035788 34.3200246193103, 132.32334858019 34.3213932721788, 132.317996112441 34.3223784037488, 132.312560437953 34.3229725032207, 132.307083 34.32317104096, 132.301605562047 34.3229725032207))",81088,Heterosiphonia,japonica,1929,4,9,?????,K. Okamura
y,"Aomori Prefecture Shimokita, Oma ",,,,41.546392,140.912772,,,,,2375,"POLYGON ((140.910290319635 41.567694534035, 140.907827544882 41.5674509574734, 140.905402436925 41.5670470587405, 140.903033469194 41.5664859146076, 140.900738686273 41.5657717996172, 140.898535566094 41.5649101534464, 140.896440886514 41.5639075393731, 140.894470597282 41.5627715941635, 140.892639698389 41.5615109697639, 140.890962125746 41.5601352672477, 140.889450640798 41.558654965759, 140.88811674849 41.5570813340694, 140.886970590022 41.5554263563908, 140.886020877654 41.5537026337648, 140.885274826086 41.5519232896474, 140.884738097956 41.5501018698832, 140.884414761203 41.5482522394929, 140.884307258627 41.5463884770641, 140.884416389838 41.5445247675505, 140.88474130574 41.542675294298, 140.885279515554 41.5408541311194, 140.886026906317 41.5390751352396, 140.886977774704 41.5373518419218, 140.888124870887 41.5356973615779, 140.889459454115 41.5341242801382, 140.890971362175 41.532644565085, 140.89264907731 41.5312694673925, 140.894479833721 41.5300094478179, 140.896449699827 41.5288740890572, 140.89854368849 41.5278720252378, 140.900745870958 41.5270108764061, 140.903039497863 41.5262971907283, 140.905407126397 41.5257363948369, 140.907830752671 41.5253327526929, 140.910291948272 41.5250893332711, 140.912772 41.5250079873061, 140.915252051728 41.5250893332711, 140.917713247329 41.5253327526929, 140.920136873603 41.5257363948369, 140.922504502137 41.5262971907283, 140.924798129042 41.5270108764061, 140.92700031151 41.5278720252378, 140.929094300173 41.5288740890572, 140.931064166279 41.5300094478179, 140.93289492269 41.5312694673925, 140.934572637825 41.532644565085, 140.936084545885 41.5341242801382, 140.937419129113 41.5356973615779, 140.938566225296 41.5373518419218, 140.939517093683 41.5390751352396, 140.940264484446 41.5408541311194, 140.94080269426 41.542675294298, 140.941127610162 41.5445247675505, 140.941236741373 41.5463884770641, 140.941129238797 41.5482522394929, 140.940805902044 41.5501018698832, 140.940269173914 41.5519232896474, 140.939523122346 41.5537026337648, 140.938573409978 41.5554263563908, 140.93742725151 41.5570813340694, 140.936093359202 41.558654965759, 140.934581874254 41.5601352672477, 140.932904301611 41.5615109697639, 140.931073402718 41.5627715941635, 140.929103113486 41.5639075393731, 140.927008433906 41.5649101534464, 140.924805313727 41.5657717996172, 140.922510530806 41.5664859146076, 140.920141563075 41.5670470587405, 140.917716455118 41.5674509574734, 140.915253680365 41.567694534035, 140.912772 41.5677759329159, 140.910290319635 41.567694534035))",52800,Heterosiphonia,japonica,1988,1,21,T. Kitayama,
