locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.
Aomori,Japan,Aomori,,40.841235,140.755027,yes,High(81),,"40.783104,140.828275,AOMORI|Unavailable|301|High(81),40.83032,140.73465,AOMORI|Unavailable|301|High(81),40.77001,140.75423,AOMORI|Unavailable|301|High(81)",3052,,28810
Fukaura,Japan,Aomori,,40.650953,139.924813,yes,High(82),,"40.641315,139.932023,FUKAURA|Unavailable|3036|High(82)",3036,,168723
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4622,,28660
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13929,,166548
Ohma,Japan,Aomori,,41.547776,140.911823,yes,,,,5713,,44401
Tsuchiya,Japan,Aomori,,40.90895,140.864626,yes,High(83),,"40.906874,140.871407,TSUCHIYA|Unavailable|3036|High(83)",3036,,168729
Amatsu,Japan,Chiba,,35.119691,140.164205,yes,High(81),,"35.123131,140.164377,AMATSU|Unavailable|3036|High(81)",3036,,161376
Futtsu,Japan,Chiba,,35.302756,139.814148,yes,High(81),,"35.305278,139.818611,FUTTSU|Unavailable|3036|High(81),35.225962,139.900545,FUTTSU|Unavailable|301|High(81)",4596,,28669
Isumi,Japan,Chiba,,35.259473,140.408723,yes,,,,3830,,181468
Kominato,Japan,Chiba,,35.110488,140.197082,yes,High(83),,"35.116667,140.2,KOMINATO|Unavailable|3036|High(83)",3036,,158118
Ohara,Japan,Chiba,,35.249439,140.410799,yes,High(80),,"35.25,140.383333,OHARA|Unavailable|3036|High(80)",3036,,163566
Shirahama,Japan,Chiba,,34.901323,139.900717,yes,High(84),,"34.916667,139.933333,SHIRAHAMA|Unavailable|3036|High(84)",3036,,39343
Tateyama,Japan,Chiba,,34.99374,139.846239,yes,High(83),,"34.983333,139.866667,TATEYAMA|Unavailable|3036|High(83),34.971561,139.86163,TATEYAMA|Unavailable|301|High(83)",3983,,28749
,Japan,Chiba,,35.172308,140.481472,yes,,,,86062,,166546
,Japan,Ehime,,33.767636,132.628994,yes,,,,82663,,155604
Hiroshima,Japan,Hiroshima,,34.34118,132.431311,yes,High(84),Unavailable,"34.606726,132.785427,HIROSHIMA|Unavailable|301|High(84),34.39729,132.475943,HIROSHIMA|Unavailable|301|High(84),34.479415,132.453119,HIROSHIMA|Unavailable|301|High(84)",5467,,150009
Osakikamishima,Japan,Hiroshima,,34.248659,132.864981,yes,Low(26),,"34.233333,132.9,OSAKIKAMI|Unavailable|301|Low(26),35.336389,139.154722,KAMISHIMA|Unavailable|3036|Low(26),35.333333,132.85,KAMISHIMA|Unavailable|3036|Low(26),35.333333,132.85,KAMISHIMA|Unavailable|301|Low(26),33.75,133.55,MISHIMA|Unavailable|3036|Low(24),40.674371,140.618306,MISHIMA|Unavailable|3036|Low(24),34.766667,131.15,MISHIMA|Unavailable|301|Low(24),35.139395,138.948823,MISHIMA|Unavailable|301|Low(24),37.116667,140.866667,MISHIMA|Unavailable|3036|Low(24),34.683333,137.75,MISHIMA|Unavailable|3036|Low(24),34.6,135.85,MISHIMA|Unavailable|3036|Low(24),33.983333,133.55,MISHIMA|Unavailable|3036|Low(24),37.666667,140.416667,MISHIMA|Unavailable|3036|Low(24),34.898869,135.653253,MISHIMA|Unavailable|301|Low(24),35.116667,138.916667,MISHIMA|Unavailable|3036|Low(24),40.627744,140.409842,MISHIMA|Unavailable|3036|Low(24)",8450,,46444
Muroran,Japan,Hokkaido,,42.31316,140.962307,yes,High(82),,"42.317222,140.988056,MURORAN|Unavailable|3036|High(82),42.366585,140.98845,MURORAN|Unavailable|301|High(82),42.317825,140.976168,MURORAN|Unavailable|301|High(82)",3036,,179822
Rumoi,Japan,Hokkaido,,43.954725,141.633554,yes,High(80),,"43.94286,141.65175,RUMOI|Unavailable|301|High(80),43.934444,141.642778,RUMOI|Unavailable|3036|High(80)",2319,,169438
Hitachi,Japan,Ibaraki,,36.587861,140.670381,yes,High(82),,"36.633333,140.6,HITACHI|Unavailable|3036|High(82),36.62492,140.618756,HITACHI|Unavailable|301|High(82),36.6,140.65,HITACHI|Unavailable|3036|High(82)",4328,,158834
Kitaibaraki,Japan,Ibaraki,,36.803953,140.767509,yes,High(86),,"36.783333,140.75,KITAIBARAKI|Unavailable|3036|High(86),36.839869,140.687358,KITAIBARAKI|Unavailable|301|High(86),36.310353,140.316149,IBARAKI|Unavailable|301|Low(24)",3036,,163902
Takahagi,Japan,Ibaraki,,36.719419,140.73246,yes,High(83),Unavailable,"36.769183,140.620936,TAKAHAGI|Unavailable|301|High(83),36.716667,140.716667,TAKAHAGI|Unavailable|3036|High(83)",3036,,154597
Yamada,Japan,Iwate,,39.466932,141.990855,yes,High(81),Unavailable,"40.215248,141.233564,YAMADA|Unavailable|3036|High(81),38.962126,141.711493,YAMADA|Unavailable|3036|High(81),40.298722,141.457228,YAMADA|Unavailable|3036|High(81),39.466667,141.95,YAMADA|Unavailable|3036|High(81)",8007,,176285
Shido,Japan,Kagawa,,34.328437,134.173333,yes,High(80),,"34.323333,134.173333,SHIDO|Unavailable|3036|High(80)",3036,,162719
Takamatsu,Japan,Kagawa,,34.359969,134.040591,yes,High(84),,"34.268518,134.054496,TAKAMATSU|Unavailable|301|High(84)",4307,,162589
Uchinomi,Japan,Kagawa,,34.459612,134.274652,yes,,,,3402,,162754
,Japan,Kagawa,,34.208713,134.005143,yes,,,,52087,,163055
Chigasaki,Japan,Kanagawa,,35.312665,139.401142,yes,High(84),,"35.326111,139.403889,CHIGASAKI|Unavailable|3036|High(84),35.344288,139.40958,CHIGASAKI|Unavailable|301|High(84)",3036,,172989
Hayama,Japan,Kanagawa,,35.263163,139.57063,yes,High(81),,"35.266667,139.583333,HAYAMA|Unavailable|3036|High(81)",3036,,169776
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",969,,151866
Miura,Japan,Kanagawa,,35.133577,139.641383,yes,High(80),,"35.167544,139.64104,MIURA|Unavailable|301|High(80),35.14,139.619167,MIURA|Unavailable|3036|High(80)",6060,,159857
Yokohama,Japan,Kanagawa,,35.420096,139.692977,yes,High(83),Unavailable,"35.462245,139.576452,YOKOHAMA|Unavailable|301|High(83),35.465408,139.622253,YOKOHAMA|Unavailable|301|High(83)",7303,,158119
Yokosuka,Japan,Kanagawa,,35.284452,139.684045,yes,High(83),,"35.283611,139.667222,YOKOSUKA|Unavailable|3036|High(83),35.249854,139.660326,YOKOSUKA|Unavailable|301|High(83),35.28424,139.654813,YOKOSUKA|Unavailable|301|High(83)",3036,,172901
Zushi,Japan,Kanagawa,,35.287183,139.559463,yes,High(80),,"35.291667,139.585556,ZUSHI|Unavailable|3036|High(80),35.299002,139.591255,ZUSHI|Unavailable|301|High(80)",3036,,182583
,Japan,Kanagawa,,35.311869,139.257957,yes,,,,57575,,172900
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3036,,28814
Toba,Japan,Mie,,34.498613,136.841417,yes,High(79),,"34.483333,136.85,TOBA|Unavailable|3036|High(79)",3036,Shinju-jima,154261
,Japan,Mie,,34.392161,136.681429,yes,,,,64688,,28776
Onagawa,Japan,Miyagi,,38.439668,141.461703,yes,High(82),,"38.444912,141.432692,ONAGAWA|Unavailable|301|High(82),38.444038,141.445872,ONAGAWA|Unavailable|3036|High(82)",833,,172683
