locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.,Type status,Genus,Species epithet,Collector,Collection Date (Year),Collecting Date (Month),Collecting Date (Day),Country,Prefecture,Island,City/Town,Ward Name,Identifier
,,,,,,,,,,,,,,,,,,,,,,,,,
Aikawa,Japan,Niigata,,38.033333,138.234379,yes,High(81),,"38.033333,138.25,AIKAWA|Unavailable|3036|High(81)",3037,Sado,166824,,Heterosiphonia,japonica,M. Suzuki,2003,3,6,Japan,Niigata,Sado,Aikawa,,M. Suzuki
Aikawa,Japan,Niigata,,38.033333,138.234379,yes,High(81),,"38.033333,138.25,AIKAWA|Unavailable|3036|High(81)",3038,Sado,182582,,Heterosiphonia,japonica,M. Suzuki,2003,3,6,Japan,Niigata,Sado,Aikawa,,M. Suzuki
,,,,,,,,,,,,,,,,,,,,,,,,,
Amatsu,Japan,Chiba,,35.119691,140.164205,yes,High(81),,"35.123131,140.164377,AMATSU|Unavailable|3036|High(81)",3037,,161376,,Heterosiphonia,japonica,M. Chihara,1951,3,25,Japan,Chiba,,Amatsu,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,Japan,Aomori,,40.841235,140.755027,yes,High(81),,"40.783104,140.828275,AOMORI|Unavailable|301|High(81),40.83032,140.73465,AOMORI|Unavailable|301|High(81),40.77001,140.75423,AOMORI|Unavailable|301|High(81)",3053,,28810,,Heterosiphonia,japonica,M. Yoshizaki,1965,8,2,Japan,Aomori,,Aomori,,M. Yoshizaki
Aomori,Japan,Aomori,,40.841235,140.755027,yes,High(81),,"40.783104,140.828275,AOMORI|Unavailable|301|High(81),40.83032,140.73465,AOMORI|Unavailable|301|High(81),40.77001,140.75423,AOMORI|Unavailable|301|High(81)",3054,,28809,,Heterosiphonia,japonica,M. Yoshizaki,1965,8,2,Japan,Aomori,,Aomori,,M. Yoshizaki
Aomori,Japan,Aomori,,40.841235,140.755027,yes,High(81),,"40.783104,140.828275,AOMORI|Unavailable|301|High(81),40.83032,140.73465,AOMORI|Unavailable|301|High(81),40.77001,140.75423,AOMORI|Unavailable|301|High(81)",3055,,28665,,Heterosiphonia,japonica,M. Yoshizaki,1965,8,2,Japan,Aomori,,Aomori,,M. Yoshizaki
,,,,,,,,,,,,,,,,,,,,,,,,,
Chigasaki,Japan,Kanagawa,,35.312665,139.401142,yes,High(84),,"35.326111,139.403889,CHIGASAKI|Unavailable|3036|High(84),35.344288,139.40958,CHIGASAKI|Unavailable|301|High(84)",3037,,172989,,Heterosiphonia,japonica,S. Kato,1938,2,28,Japan,Kanagawa,,Chigasaki,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fukaura,Japan,Aomori,,40.650953,139.924813,yes,High(82),,"40.641315,139.932023,FUKAURA|Unavailable|3036|High(82)",3037,,168723,,Heterosiphonia,japonica,,1967,7,28,Japan,Aomori,,Fukaura,,M. Yoshizaki
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fukue,Japan,Nagasaki,,32.698819,128.862715,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3036,Fukue,153062,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,Fukue,Fukue,,T. Kitayama
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3036,,49459,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3037,,49470,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3038,,49471,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3039,,49472,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3040,,49473,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4622,,28660,,,,,0,,,,,,,,
