TNS No.,Type status,Genus,Species epithet,Collector,Collection Date (Year),Collecting Date (Month),Collecting Date (Day),Country,Prefecture,Island,City/Town,Ward Name,Identifier
158119,,Heterosiphonia,japonica,M. Higashi,1928,4,21,Japan,Kanagawa,,Yokohama,,
158118,,Heterosiphonia,japonica,M. Higashi,1933,4,,Japan,Chiba,,Kominato,,
159857,,Heterosiphonia,japonica,S. Ohashi,1933,5,11,Japan,Kanagawa,,Miura,,
159859,,Heterosiphonia,japonica,S. Ohashi,1933,5,11,Japan,Kanagawa,,Miura,,
172989,,Heterosiphonia,japonica,S. Kato,1938,2,28,Japan,Kanagawa,,Chigasaki,,
172900,,Heterosiphonia,japonica,S. Kato,1938,3,2,Japan,Kanagawa,,,,
172901,,Heterosiphonia,japonica,S. Kato,1938,3,2,Japan,Kanagawa,,Yokosuka,,
172898,,Heterosiphonia,japonica,S. Kato,1938,3,,Japan,Kanagawa,,Yokosuka,,
172904,,Heterosiphonia,japonica,,1941,4,14,Japan,Kanagawa,,,,
161376,,Heterosiphonia,japonica,M. Chihara,1951,3,25,Japan,Chiba,,Amatsu,,
161375,,Heterosiphonia,japonica,M. Chihara,1955,3,10,Japan,Shizuoka,,Shimoda,,
161377,,Heterosiphonia,japonica,M. Chihara,1956,3,1,Japan,Shizuoka,,Shimoda,,
166545,,Heterosiphonia,japonica,M. Chihara,1956,5,6,Japan,Shizuoka,,Shimoda,,
163449,,Heterosiphonia,japonica,M. Chihara,1959,4,12,Japan,Shizuoka,,Shimoda,,M. Chihara
169438,,Heterosiphonia,japonica,K. Inagaki,1963,3,26,Japan,Hokkaido,,Rumoi,,T. Kitayama
28674,,Heterosiphonia,japonica,T. Yamamoto,1963,4,1,Japan,Wakayama,,Hidaka,,
28675,,Heterosiphonia,japonica,T. Yamamoto,1963,4,1,Japan,Wakayama,,Hidaka,,
169414,,Heterosiphonia,japonica,K. Inagaki,1963,5,12,Japan,Hokkaido,,Rumoi,,T. Kitayama
151866,,Heterosiphonia,japonica,T. Kawase,1964,4,13,Japan,Kanagawa,,Kamakura,,
151867,,Heterosiphonia,japonica,T. Kawase,1964,4,13,Japan,Kanagawa,,Kamakura,,
28669,,Heterosiphonia,japonica,M. Chihara,1965,1,8,Japan,Chiba,,Futtsu,,M. Chihara
28763,,Heterosiphonia,japonica,M. Chihara,1965,4,2,Japan,Kanagawa,,Kamakura,,M. Yoshizaki
28762,,Heterosiphonia,japonica,M. Chihara,1965,4,2,Japan,Kanagawa,,Kamakura,,M. Yoshizaki
28710,,Heterosiphonia,japonica,M. Chihara,1965,4,5,Japan,Shizuoka,,Shimoda,,M. Chihara
28711,,Heterosiphonia,japonica,M. Chihara,1965,4,5,Japan,Shizuoka,,Shimoda,,M. Chihara
28690,,Heterosiphonia,japonica,M. Chihara,1965,4,5,Japan,Shizuoka,,Shimoda,,M. Chihara
28672,,Heterosiphonia,japonica,M. Chihara,1965,4,5,Japan,Shizuoka,,Shimoda,,M. Chihara
28673,,Heterosiphonia,japonica,M. Chihara,1965,4,5,Japan,Shizuoka,,Shimoda,,M. Chihara
28689,,Heterosiphonia,japonica,M. Chihara,1965,4,6,Japan,Shizuoka,,Shimoda,,M. Chihara
28688,,Heterosiphonia,japonica,M. Chihara,1965,4,6,Japan,Shizuoka,,Shimoda,,M. Chihara
