accession	termformatteddisplayname	family	collector	collectorverbatim	collectionnumber	collectiondate	earlycollectiondate	latecollectiondate	localityverbatim	localitynote	georeferencesource	georeferencesourceremarks	county	state	country	elevation	minelevation	maxelevation	elevationunit	habitat	latlong	L1	L2	trscoordinates	datum	coordinatesource	coordinateuncertainty	coordinateuncertaintyunit	updatedat	previousdeterminations	localname	briefdescription	associatedtaxa	typeassertions	othernumber	ucbgaccessionnumber	loanstatus	loannumber	labelheader	labelfooter	depth	mindepth	maxdepth	depthunit	cultivated	hastypeassertions	sex	phase	determinationdetails	blobs	comments	sheet
UC1469106	<i>Heterosiphonia japonica</i>		Jiro Tanaka	Jiro Tanaka	s.n.	1986-03-13			Honshu, Shizuoka prefecture, Shimoda-shi, Tohji					Shizuoka	Japan					on rocks in the subtidal zone	34.633333,138.833333	34.633333	138.833333						2019-04-25 02:25:08.617000+00:00																	no						
UC1854972	<i>Heterosiphonia japonica</i>		Jiro Tanaka	Jiro Tanaka	s.n.	1986-03-13			Honshu, Shizuoka prefecture, Shimoda-shi, Tohji					Shizuoka	Japan					on rocks in the subtidal zone	34.633333,138.833333	34.633333	138.833333						2019-04-25 02:25:12.858000+00:00																	no						
UC1854975	<i>Heterosiphonia japonica</i>		T. Segi	T. Segi	s.n.	1944-04-22			Onmaesaki, Toomi province [Omaezaki]					Shizuoka	Japan						34.648144,138.148127	34.648144	138.148127		WGS84		4377.0	meters	2019-08-01 12:16:36.410000+00:00																	no						
UC1854976	<i>Heterosiphonia japonica</i>		T. Kaneko	T. Kaneko	10112	1968-08-29			Rishiri Island, Hokkaido						Japan						45.180556,141.243056	45.180556	141.243056				20397.0	meters	2019-08-01 12:16:38.514000+00:00																	no						
UC1854977	<i>Heterosiphonia japonica</i>				s.n.	1932-04-00			Yenoshima, Sagami province					Kanagawa	Japan						35.302538,139.48271	35.302538	139.48271		WGS84		1238.0	meters	2019-08-01 12:16:39.177000+00:00																	no						
UC1854978	<i>Heterosiphonia japonica</i>		K. Inagaki	K. Inagaki	s.n.	1947-04-25			Toyohama, Owari province					Aichi	Japan						34.708256,136.92887	34.708256	136.92887		WGS84		3920.0	meters	2019-08-01 12:16:39.664000+00:00																	no						
UC1854979	<i>Heterosiphonia japonica</i>		K. Inagaki	K. Inagaki	s.n.	1947-05-25			Toyohama, Owari province					Aichi	Japan						34.712419,136.92578	34.712419	136.92578		WGS84		3031.0	meters	2019-08-01 12:16:40.164000+00:00																	no						
UC1854980	<i>Heterosiphonia japonica</i>		K. Inagaki	K. Inagaki	s.n.	1947-04-25			Toyohama, Owari province					Aichi	Japan						34.711854,136.930586	34.711854	136.930586		WGS84		2403.0	meters	2019-08-01 12:16:40.786000+00:00																	no						
UC418161	<i>Heterosiphonia japonica</i>		K. Okamura	K. Okamura	22	1929-05-04			Karatsu, Kyushu					Saga	Japan						33.4425,129.969722	33.4425	129.969722		WGS84		3964.0	meters	2019-08-01 12:16:35.804000+00:00																	no						
UC794249	<i>Heterosiphonia japonica</i>				s.n.	1932-04-00			Yenoshima, Sagami province					Kanagawa	Japan						35.302538,139.48271	35.302538	139.48271		WGS84		1051.0	meters	2019-08-01 12:16:35.203000+00:00																	no						
