variable,x,y
e08.SST.max,-4.778500771522522,4.668796407258924E-7
e08.SST.max,-4.693658017730712,4.668796407258924E-7
e08.SST.max,-4.6088152639389035,4.668796407258924E-7
e08.SST.max,-4.523972510147094,4.668796407258924E-7
e08.SST.max,-4.439129756355285,4.668796407258924E-7
e08.SST.max,-4.354287002563476,4.668796407258924E-7
e08.SST.max,-4.269444248771667,4.668796407258924E-7
e08.SST.max,-4.184601494979858,4.668796407258924E-7
e08.SST.max,-4.099758741188049,4.668796407258924E-7
e08.SST.max,-4.01491598739624,4.668796407258924E-7
e08.SST.max,-3.930073233604431,4.668796407258924E-7
e08.SST.max,-3.8452304798126216,4.668796407258924E-7
e08.SST.max,-3.7603877260208125,4.668796407258924E-7
e08.SST.max,-3.6755449722290034,4.668796407258924E-7
e08.SST.max,-3.5907022184371944,4.668796407258924E-7
e08.SST.max,-3.5058594646453853,4.668796407258924E-7
e08.SST.max,-3.4210167108535763,4.668796407258924E-7
e08.SST.max,-3.3361739570617672,4.668796407258924E-7
e08.SST.max,-3.251331203269958,4.668796407258924E-7
e08.SST.max,-3.166488449478149,4.668796407258924E-7
e08.SST.max,-3.08164569568634,4.668796407258924E-7
e08.SST.max,-2.996802941894531,4.668796407258924E-7
e08.SST.max,-2.9119601881027215,4.668796407258924E-7
e08.SST.max,-2.827117434310913,4.668796407258924E-7
e08.SST.max,-2.7422746805191034,4.668796407258924E-7
e08.SST.max,-2.657431926727295,4.668796407258924E-7
e08.SST.max,-2.5725891729354853,4.668796407258924E-7
e08.SST.max,-2.4877464191436762,4.668796407258924E-7
e08.SST.max,-2.402903665351867,4.668796407258924E-7
e08.SST.max,-2.3180609115600577,4.668796407258924E-7
e08.SST.max,-2.233218157768249,4.668796407258924E-7
e08.SST.max,-2.14837540397644,4.668796407258924E-7
e08.SST.max,-2.063532650184631,4.668796407258924E-7
e08.SST.max,-1.9786898963928214,4.668796407258924E-7
e08.SST.max,-1.8938471426010124,4.668796407258924E-7
e08.SST.max,-1.8090043888092038,4.668796407258924E-7
e08.SST.max,-1.7241616350173947,4.668796407258924E-7
e08.SST.max,-1.6393188812255852,4.668796407258924E-7
e08.SST.max,-1.5544761274337762,4.668796407258924E-7
e08.SST.max,-1.4696333736419671,4.668796407258924E-7
e08.SST.max,-1.3847906198501585,4.668796407258924E-7
e08.SST.max,-1.299947866058349,4.668796407258924E-7
e08.SST.max,-1.21510511226654,4.857843123318162E-7
e08.SST.max,-1.1302623584747309,5.470479322866595E-7
e08.SST.max,-1.0454196046829218,6.157536631690164E-7
e08.SST.max,-0.9605768508911123,6.927687650204462E-7
e08.SST.max,-0.8757340970993037,7.790570180077339E-7
e08.SST.max,-0.7908913433074947,8.756888973948662E-7
e08.SST.max,-0.7060485895156852,9.838527148531284E-7
e08.SST.max,-0.6212058357238766,1.1048672377000912E-6
e08.SST.max,-0.5363630819320679,1.2401941376083414E-6
e08.SST.max,-0.45152032814025755,1.391454247823276E-6
e08.SST.max,-0.36667757434844894,1.5604427971993573E-6
e08.SST.max,-0.28183482055663944,1.7491476000941475E-6
e08.SST.max,-0.19699206676483083,1.9597682694438845E-6
e08.SST.max,-0.11214931297302222,2.194737589888973E-6
e08.SST.max,-0.02730655918121272,2.4563432816648856E-6
e08.SST.max,0.05753619461059589,2.7485393729875796E-6
e08.SST.max,0.14237894840240628,3.0740741294721374E-6
e08.SST.max,0.2272217021942149,3.436298356973566E-6
e08.SST.max,0.3120644559860235,3.839432793029118E-6
e08.SST.max,0.396907209777833,4.287883257347858E-6
e08.SST.max,0.4817499635696416,4.786504632647848E-6
e08.SST.max,0.5665927173614511,5.340644293028163E-6
e08.SST.max,0.6514354711532597,5.956189397693379E-6
e08.SST.max,0.7362782249450683,6.63961600366747E-6
e08.SST.max,0.8211209787368787,7.398047273454722E-6
e08.SST.max,0.9059637325286873,8.239310773205943E-6
e08.SST.max,0.9908064863204968,9.172004865831695E-6
e08.SST.max,1.0756492401123054,1.0205572834820487E-5
e08.SST.max,1.160491993904114,1.1350371096341405E-5
e08.SST.max,1.2453347476959236,1.2617765605682507E-5
e08.SST.max,1.3301775014877322,1.4020208254805766E-5
e08.SST.max,1.4150202552795417,1.5571342373732477E-5
e08.SST.max,1.4998630090713512,1.7286112779402174E-5
e08.SST.max,1.5847057628631598,1.918086491059512E-5
e08.SST.max,1.6695485166549693,2.1273488528095186E-5
e08.SST.max,1.754391270446778,2.358353231102228E-5
e08.SST.max,1.8392340242385874,2.6132356651942246E-5
e08.SST.max,1.924076778030396,2.8943291908944957E-5
e08.SST.max,2.0089195318222046,3.204179665772244E-5
e08.SST.max,2.093762285614015,3.5455654142424464E-5
e08.SST.max,2.1786050394058236,3.9215123251779005E-5
e08.SST.max,2.263447793197633,4.3353215005481616E-5
e08.SST.max,2.3482905469894417,4.790585080627352E-5
e08.SST.max,2.4331333007812512,5.2912164392182603E-5
e08.SST.max,2.51797605457306,5.841466918354854E-5
e08.SST.max,2.6028188083648685,6.445963663281873E-5
e08.SST.max,2.687661562156678,7.10973545210436E-5
e08.SST.max,2.7725043159484875,7.838238525437191E-5
e08.SST.max,2.857347069740297,8.637399150757119E-5
e08.SST.max,2.9421898235321056,9.513649274595082E-5
e08.SST.max,3.027032577323914,1.0473953443579376E-4
e08.SST.max,3.1118753311157237,1.1525867012096569E-4
e08.SST.max,3.1967180849075323,1.2677570339292288E-4
e08.SST.max,3.281560838699342,1.3937920448370278E-4
e08.SST.max,3.3664035924911513,1.531649031676352E-4
e08.SST.max,3.451246346282961,1.6823637997731566E-4
e08.SST.max,3.5360891000747685,1.8470559734851122E-4
e08.SST.max,3.620931853866578,2.0269330707378685E-4
e08.SST.max,3.7057746076583857,2.2232999617699534E-4
e08.SST.max,3.790617361450197,2.437564398860559E-4
e08.SST.max,3.8754601152420065,2.6712424005381763E-4
e08.SST.max,3.9603028690338142,2.9259687289595604E-4
e08.SST.max,4.045145622825624,3.2035037293098867E-4
e08.SST.max,4.1299883766174315,3.505741769913584E-4
e08.SST.max,4.214831130409243,3.83472244720906E-4
e08.SST.max,4.2996738842010505,4.192632040940225E-4
e08.SST.max,4.38451663799286,4.5818256330676377E-4
e08.SST.max,4.4693593917846695,5.004829727113247E-4
e08.SST.max,4.554202145576477,5.464354762807488E-4
e08.SST.max,4.6390448993682885,5.963309085927904E-4
e08.SST.max,4.723887653160096,6.504807970486581E-4
e08.SST.max,4.808730406951906,7.092192536219954E-4
e08.SST.max,4.893573160743713,7.729028584435582E-4
e08.SST.max,4.978415914535523,8.419142686761916E-4
e08.SST.max,5.063258668327334,9.166619274765253E-4
e08.SST.max,5.148101422119142,9.975825669243932E-4
e08.SST.max,5.232944175910951,0.001085142488591373
e08.SST.max,5.317786929702759,0.0011798391351476312
e08.SST.max,5.402629683494569,0.0012822035932913423
e08.SST.max,5.487472437286378,0.001392800360918045
e08.SST.max,5.572315191078188,0.0015122322365641594
e08.SST.max,5.657157944869995,0.0016411403194069862
e08.SST.max,5.742000698661805,0.0017802065704017878
e08.SST.max,5.826843452453614,0.0019301559077575803
e08.SST.max,5.911686206245424,0.00209175911732018
e08.SST.max,5.996528960037233,0.0022658321540802717
e08.SST.max,6.081371713829041,0.0024532428942620754
e08.SST.max,6.166214467620851,0.00265491078607738
e08.SST.max,6.251057221412658,0.00287180976010859
e08.SST.max,6.33589997520447,0.003104970557615161
e08.SST.max,6.420742728996279,0.0033554842229932547
e08.SST.max,6.505585482788087,0.003624505130574107
e08.SST.max,6.590428236579896,0.003913248423486948
e08.SST.max,6.675270990371704,0.004223001189529896
e08.SST.max,6.760113744163515,0.004555119201540947
e08.SST.max,6.844956497955323,0.004911031574010849
e08.SST.max,6.9297992517471325,0.005292243789881468
e08.SST.max,7.014642005538942,0.005700342357158661
e08.SST.max,7.09948475933075,0.00613698735833168
e08.SST.max,7.184327513122561,0.006603931542485952
e08.SST.max,7.269170266914369,0.0071030110120773315
e08.SST.max,7.354013020706178,0.00763615220785141
e08.SST.max,7.438855774497986,0.008205374702811241
e08.SST.max,7.5236985282897955,0.008812791667878628
e08.SST.max,7.608541282081605,0.009460617788136005
e08.SST.max,7.6933840358734145,0.010151158086955547
e08.SST.max,7.778226789665224,0.010886827483773232
e08.SST.max,7.863069543457032,0.011670144274830818
e08.SST.max,7.947912297248841,0.012503731064498425
e08.SST.max,8.03275505104065,0.013390319421887398
e08.SST.max,8.11759780483246,0.01433274894952774
e08.SST.max,8.202440558624268,0.015333970077335835
e08.SST.max,8.287283312416077,0.01639704592525959
e08.SST.max,8.372126066207887,0.017525147646665573
e08.SST.max,8.456968819999696,0.018721580505371094
