Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.26424E-8,0.000005264,0.000233667,1,0,0
5.57113E-8,0.000010835,0.000247287,0.999906959,0,0
5.76216E-8,0.000028108,0.000255765,0.999627838,0,0
5.82911E-8,0.000051371,0.000258737,0.999255675,0,0
6.04988E-8,0.000105208,0.000268535,0.99841831,0,0
7.07201E-8,0.000256856,0.000313897,0.996278377,0,0
7.88988E-8,0.000507802,0.000350192,0.993114998,0,0
8.54921E-8,0.001001698,0.000379451,0.987532564,0,0
1.07919E-7,0.002508125,0.000478966,0.972925195,0,0
1.34807E-7,0.005009427,0.000598264,0.953665798,0,0
1.86184E-7,0.010014442,0.000826178,0.92426498,0,0
3.18154E-7,0.025021456,0.001411377,0.867603275,0,0
5.43311E-7,0.050092559,0.002408999,0.813453666,0,0
9.33547E-7,0.100042511,0.004135696,0.748046148,0,0
2.01585E-6,0.200114863,0.008908974,0.680684779,0,0
3.61462E-6,0.300343562,0.015918215,0.646166729,0,0
5.08222E-6,0.400306019,0.02230876,0.624488277,0,0
6.43848E-6,0.500145137,0.028177582,0.608299218,0,0
7.93806E-6,0.600357386,0.034625533,0.595180499,0,0
9.73596E-6,0.700487372,0.042299875,0.584666915,0,0
9.92352E-6,0.750729009,0.04309697,0.579921846,0,0
1.00143E-5,0.800595542,0.04348232,0.575269818,0,0
1.01355E-5,0.900322597,0.043996998,0.566058802,0,0
1.02114E-5,1.000995523,0.044319067,0.556847786,0,0
1.03263E-5,1.100716193,0.044806584,0.547822851,0,0
1.036E-5,1.200019877,0.044949402,0.538890956,0,0
1.04039E-5,1.300696629,0.045135592,0.529866022,0,0
1.04997E-5,1.402006366,0.045541375,0.520841087,0,0
1.0825E-5,1.500852511,0.046918667,0.512188314,0,0
1.25572E-5,1.750500114,0.054219418,0.491998511,0,0
1.54598E-5,2.000022151,0.066328092,0.47534425,0,0
1.76752E-5,2.250552745,0.075465699,0.461295125,0,0
2.11361E-5,2.500991505,0.089561579,0.449292892,0,0
2.42227E-5,2.751473777,0.101951678,0.439058429,0,0
2.70028E-5,3.001446713,0.112966797,0.429940454,0,0
3.02379E-5,3.251934098,0.125614853,0.421845925,0,0
3.33468E-5,3.500639946,0.137599511,0.414588761,0,0
3.64509E-5,3.75254124,0.149401872,0.40788984,0.001312336,0
3.98612E-5,4.000217651,0.162182136,0.401842203,0.001312336,0
4.31089E-5,4.253889502,0.174174909,0.396166729,0.001312336,0
4.67724E-5,4.504022836,0.187496932,0.390956457,0.002624672,0
5.0544E-5,4.7501906,0.200987454,0.386211388,0.002624672,0
5.3638E-5,5.001215634,0.21188693,0.381745441,0.003937008,0
5.61312E-5,5.253247322,0.220561645,0.377465575,0.011811024,0.005263158
5.93273E-5,5.500708551,0.231542398,0.373464831,0.011811024,0.005263158
6.1908E-5,5.754568365,0.240296213,0.369557127,0.022309711,0.010526316
6.3805E-5,6.000312379,0.246666871,0.365928545,0.034120735,0.010526316
6.59748E-5,6.253495801,0.253888403,0.362299963,0.038057743,0.015789474
6.83126E-5,6.502540527,0.261591708,0.358857462,0.040682415,0.015789474
7.13405E-5,6.754026715,0.271450794,0.355508001,0.043307087,0.015789474
7.50325E-5,7.003720844,0.283294081,0.352344622,0.043307087,0.015789474
7.89815E-5,7.251019991,0.29574887,0.349367324,0.045931759,0.015789474
8.23837E-5,7.501452332,0.306305722,0.346483067,0.045931759,0.015789474
8.44753E-5,7.751468832,0.312716805,0.34369185,0.047244094,0.015789474
8.75503E-5,8.00009299,0.322034983,0.340993673,0.04855643,0.015789474
9.05347E-5,8.258604558,0.330957848,0.338295497,0.04855643,0.015789474
9.3031E-5,8.506373054,0.338331259,0.335783402,0.04855643,0.015789474
9.54641E-5,8.751157486,0.345439578,0.333364347,0.049868766,0.015789474
9.75914E-5,9.00265225,0.351591873,0.330945292,0.05511811,0.015789474
1.00523E-4,9.259965881,0.35997506,0.328526237,0.057742782,0.015789474
1.02549E-4,9.503813006,0.365705577,0.326293264,0.059055118,0.015789474
1.0486E-4,9.752691378,0.372179632,0.32406029,0.059055118,0.015789474
1.06587E-4,10.0063543,0.376974541,0.321827317,0.065616798,0.026315789
1.08974E-4,10.252919154,0.383543462,0.319687384,0.06824147,0.026315789
1.10815E-4,10.507587792,0.388560319,0.317547451,0.077427822,0.047368421
1.12145E-4,10.752950664,0.39215882,0.315500558,0.081364829,0.047368421
1.13821E-4,11.001328703,0.396665934,0.313453666,0.086614173,0.047368421
1.16051E-4,11.254347873,0.40260757,0.311406773,0.087926509,0.052631579
1.17826E-4,11.52354676,0.407296092,0.30926684,0.093175853,0.052631579
1.19728E-4,11.761277471,0.412280841,0.307406029,0.093175853,0.052631579
1.22549E-4,12.004017306,0.419593584,0.305545218,0.098425197,0.078947368
1.24788E-4,12.252045111,0.425334858,0.303684406,0.101049869,0.078947368
1.27527E-4,12.504522254,0.432280995,0.301823595,0.102362205,0.078947368
1.29577E-4,12.761326439,0.437423743,0.299962784,0.107611549,0.084210526
1.32018E-4,13.009887389,0.443487784,0.298195013,0.1167979,0.105263158
1.34045E-4,13.26326979,0.448471665,0.296427242,0.12335958,0.110526316
1.34697E-4,13.505452887,0.450064673,0.294752512,0.140419948,0.126315789
1.36351E-4,13.763399676,0.45408965,0.292984741,0.145669291,0.126315789
1.37652E-4,14.010138538,0.457232224,0.291310011,0.148293963,0.126315789
1.38331E-4,14.259046657,0.458866282,0.28954224,0.148293963,0.126315789
1.39607E-4,14.509038635,0.46192203,0.287960551,0.17191601,0.131578947
1.41914E-4,14.762495484,0.467406432,0.286285821,0.17191601,0.131578947
1.42826E-4,15.004494082,0.469557755,0.284704131,0.177165354,0.136842105
1.44271E-4,15.263036755,0.47294935,0.283029401,0.181102362,0.142105263
1.46123E-4,15.510260423,0.477265741,0.281447711,0.182414698,0.142105263
1.48225E-4,15.760772279,0.482120522,0.279866022,0.182414698,0.142105263
1.49602E-4,16.013792778,0.485276996,0.278284332,0.182414698,0.142105263
1.50845E-4,16.254417191,0.488107196,0.276795683,0.183727034,0.142105263
1.52106E-4,16.51178672,0.490966437,0.275213993,0.18503937,0.142105263
1.53873E-4,16.756437955,0.494942183,0.273725344,0.18503937,0.147368421
1.55221E-4,17.003846507,0.497956466,0.272236695,0.187664042,0.147368421
1.56751E-4,17.253734616,0.501355032,0.270748046,0.187664042,0.147368421
1.58006E-4,17.505318451,0.504125963,0.269259397,0.19160105,0.147368421
1.6048E-4,17.760006073,0.509540873,0.267770748,0.19160105,0.147368421
1.61732E-4,18.001660969,0.512258845,0.26637514,0.19160105,0.147368421
1.63272E-4,18.261591006,0.515583965,0.264886491,0.19160105,0.147368421
1.64635E-4,18.507618389,0.518504463,0.263490882,0.19160105,0.147368421
1.65722E-4,18.755434359,0.520823667,0.262095274,0.192913386,0.147368421
1.67098E-4,19.004829873,0.523742067,0.260699665,0.192913386,0.147368421
1.69092E-4,19.257249052,0.527937842,0.259304057,0.192913386,0.147368421
1.70401E-4,19.511825663,0.530673349,0.257908448,0.192913386,0.147368421
1.71904E-4,19.751491188,0.533794975,0.25660588,0.192913386,0.147368421
1.73711E-4,20.011014737,0.537520111,0.255210272,0.195538058,0.152631579
1.74682E-4,20.254863365,0.539508064,0.253907704,0.195538058,0.152631579
1.75956E-4,20.500505906,0.542104669,0.252605136,0.195538058,0.152631579
1.77422E-4,20.765620117,0.545075924,0.251209527,0.195538058,0.152631579
1.79086E-4,21.01523516,0.548423288,0.249906959,0.195538058,0.152631579
1.80904E-4,21.267550427,0.552054725,0.248604392,0.195538058,0.152631579
1.82351E-4,21.503608966,0.55492194,0.247394864,0.195538058,0.152631579
1.8395E-4,21.760054896,0.558070722,0.246092296,0.195538058,0.152631579
1.84902E-4,22.01839428,0.559934517,0.244789728,0.195538058,0.152631579
1.86136E-4,22.259486361,0.562337162,0.243580201,0.195538058,0.152631579
1.87381E-4,22.502278527,0.564749379,0.242370674,0.195538058,0.152631579
1.89413E-4,22.766015338,0.568658214,0.241068106,0.195538058,0.152631579
1.90711E-4,23.013099649,0.571136874,0.239858578,0.195538058,0.152631579
1.91788E-4,23.568493589,0.573183422,0.237160402,0.221784777,0.215789474
1.92352E-4,23.760576527,0.574250646,0.236229996,0.221784777,0.215789474
1.93218E-4,24.011180922,0.575884459,0.235020469,0.221784777,0.215789474
1.94848E-4,24.263640312,0.578941258,0.233810942,0.224409449,0.215789474
1.9599E-4,24.517837016,0.581070743,0.232601414,0.224409449,0.215789474
1.97548E-4,24.754274925,0.583958084,0.231484927,0.224409449,0.215789474
1.98667E-4,25.011716571,0.586020321,0.2302754,0.225721785,0.215789474
2.0031E-4,25.250851545,0.589027622,0.229158913,0.225721785,0.215789474
2.02472E-4,25.513069118,0.59295386,0.227949386,0.225721785,0.215789474
2.03316E-4,25.756755749,0.594476056,0.226832899,0.229658793,0.231578947
2.04453E-4,26.001502946,0.596516971,0.225716412,0.229658793,0.231578947
2.05269E-4,26.267976329,0.59797697,0.224506885,0.233595801,0.231578947
2.06409E-4,26.51502506,0.600006325,0.223390398,0.233595801,0.231578947
2.07507E-4,26.763540561,0.601950935,0.222273911,0.234908136,0.231578947
2.07834E-4,27.033586788,0.602527587,0.221064384,0.24671916,0.236842105
2.08974E-4,27.262949021,0.604535437,0.220040938,0.24671916,0.236842105
2.10265E-4,27.514569933,0.606795351,0.218924451,0.248031496,0.236842105
2.11264E-4,27.76748131,0.608534779,0.217807964,0.248031496,0.236842105
2.12804E-4,28.000758027,0.611201916,0.216784518,0.248031496,0.236842105
2.14035E-4,28.257029048,0.613320212,0.215668031,0.249343832,0.236842105
2.1487E-4,28.514465306,0.614751037,0.214551544,0.249343832,0.236842105
2.15944E-4,28.751420755,0.616584444,0.213528098,0.249343832,0.236842105
2.17266E-4,29.011407673,0.618827211,0.212411611,0.249343832,0.236842105
2.17613E-4,29.685697615,0.619413513,0.209527354,0.286089239,0.284210526
2.17808E-4,29.751018376,0.619743091,0.209248232,0.286089239,0.284210526
2.19124E-4,30.013116159,0.621958966,0.208131745,0.286089239,0.284210526
2.19798E-4,30.254557085,0.623088034,0.207108299,0.286089239,0.284210526
2.21099E-4,30.519025839,0.625258849,0.205991812,0.295275591,0.284210526
