x,y,species cloglog values
1.0,1.0,3.229658E-5
2.0,2.0,0.005448539
3.0,3.0,3.5949473E-4
4.0,4.0,1.0085202E-5
5.0,5.0,0.10703077
6.0,6.0,7.847987E-5
7.0,7.0,5.1923213E-5
8.0,8.0,5.1442687E-5
9.0,9.0,1.574467E-4
10.0,10.0,0.83530855
11.0,11.0,1.6322552E-5
12.0,12.0,2.9739105E-5
13.0,13.0,1.6694769E-4
14.0,14.0,0.5766772
15.0,15.0,0.31507283
16.0,16.0,9.527705E-4
17.0,17.0,0.73022574
18.0,18.0,0.43492338
19.0,19.0,1.988042E-5
20.0,20.0,3.6733178E-4
21.0,21.0,9.3226656E-5
22.0,22.0,4.6799096E-4
23.0,23.0,0.20487973
24.0,24.0,0.79644865
25.0,25.0,0.20014478
26.0,26.0,7.0969916E-5
27.0,27.0,0.20890091
28.0,28.0,0.17914541
29.0,29.0,0.8027008
30.0,30.0,0.52988404
31.0,31.0,2.9578878E-5
32.0,32.0,0.58395404
33.0,33.0,0.06883647
34.0,34.0,0.0030878491
35.0,35.0,0.5465122
36.0,36.0,0.011607499
37.0,37.0,1.3831556E-4
38.0,38.0,0.6389278
39.0,39.0,0.09487761
40.0,40.0,1.6686148E-5
41.0,41.0,0.8049469
42.0,42.0,1.5854766E-5
43.0,43.0,1.34502825E-5
44.0,44.0,1.9963923E-5
45.0,45.0,3.717028E-5
46.0,46.0,9.969411E-4
47.0,47.0,0.0042563896
48.0,48.0,5.605828E-4
49.0,49.0,8.519E-5
50.0,50.0,0.36124784
51.0,51.0,0.32912427
52.0,52.0,8.0848095E-4
53.0,53.0,1.12009926E-4
54.0,54.0,0.07015025
55.0,55.0,0.68170524
56.0,56.0,0.003582791
57.0,57.0,0.14586054
58.0,58.0,8.3366106E-4
59.0,59.0,0.75860023
60.0,60.0,8.108546E-5
61.0,61.0,0.5529413
62.0,62.0,0.015645212
63.0,63.0,0.433404
64.0,64.0,1.42468E-4
65.0,65.0,0.21833502
66.0,66.0,0.0053423587
67.0,67.0,4.6939962E-4
68.0,68.0,0.827536
69.0,69.0,6.5373635E-5
70.0,70.0,4.5081262E-5
71.0,71.0,0.8283483
72.0,72.0,0.7761842
73.0,73.0,4.6169801E-4
74.0,74.0,1.4202812E-4
75.0,75.0,0.0134031745
76.0,76.0,0.101503246
77.0,77.0,0.098706
78.0,78.0,1.1919215E-5
79.0,79.0,1.317631E-5
80.0,80.0,0.36834925
81.0,81.0,4.346826E-4
82.0,82.0,0.0038019314
83.0,83.0,0.0022950321
84.0,84.0,4.61654E-4
85.0,85.0,0.6092273
86.0,86.0,2.83983E-4
87.0,87.0,0.095754266
88.0,88.0,0.42601314
89.0,89.0,0.09311216
90.0,90.0,0.21206059
91.0,91.0,0.7781578
92.0,92.0,0.0013361502
93.0,93.0,4.5799813E-4
94.0,94.0,0.0050069806
95.0,95.0,7.7377365E-5
96.0,96.0,0.3555616
97.0,97.0,3.867917E-4
98.0,98.0,2.2467479E-5
99.0,99.0,0.0016971219
100.0,100.0,3.8140013E-5
101.0,101.0,0.02191338
102.0,102.0,1.5498407E-4
103.0,103.0,0.08831627
104.0,104.0,0.40585607
105.0,105.0,0.79841727
106.0,106.0,0.571148
107.0,107.0,0.5969063
108.0,108.0,3.0719493E-5
109.0,109.0,0.28124872
110.0,110.0,1.6700787E-5
111.0,111.0,0.8010308
112.0,112.0,0.0039112144
113.0,113.0,0.02565288
114.0,114.0,0.68805164
115.0,115.0,2.2288258E-4
116.0,116.0,0.31899756
117.0,117.0,3.939829E-5
118.0,118.0,0.0013033259
119.0,119.0,1.757764E-4
120.0,120.0,1.5369731E-4
121.0,121.0,2.8200897E-5
122.0,122.0,5.8658037E-4
123.0,123.0,0.0018005758
124.0,124.0,3.2685578E-4
125.0,125.0,0.33937114
126.0,126.0,0.0026513739
127.0,127.0,4.4766442E-5
128.0,128.0,0.8358272
129.0,129.0,0.13403217
130.0,130.0,0.025863323
131.0,131.0,0.240513
132.0,132.0,0.0028368735
133.0,133.0,1.4810936E-4
134.0,134.0,0.5778303
135.0,135.0,1.1071201E-4
136.0,136.0,0.09828203
137.0,137.0,0.001921435
138.0,138.0,0.82184064
139.0,139.0,3.5231373E-5
140.0,140.0,0.036628302
141.0,141.0,0.14571612
142.0,142.0,0.096437074
143.0,143.0,1.3655024E-4
144.0,144.0,0.33322096
145.0,145.0,2.3881141E-4
146.0,146.0,8.8285095E-5
147.0,147.0,9.690233E-5
148.0,148.0,0.014205569
149.0,149.0,1.0452203E-4
150.0,150.0,7.854475E-5
151.0,151.0,0.5472538
152.0,152.0,4.6293964E-5
153.0,153.0,0.76372516
154.0,154.0,3.907666E-4
155.0,155.0,7.839508E-5
156.0,156.0,0.14099534
157.0,157.0,1.2570564E-5
158.0,158.0,0.0011099546
159.0,159.0,4.5469922E-5
160.0,160.0,0.6023548
161.0,161.0,0.09218415
162.0,162.0,3.8186874E-5
163.0,163.0,0.0024832808
164.0,164.0,0.002911446
165.0,165.0,0.044121075
166.0,166.0,4.920437E-4
167.0,167.0,0.002820508
168.0,168.0,0.1086023
169.0,169.0,0.0015426301
170.0,170.0,0.0037574316
171.0,171.0,0.30349383
172.0,172.0,0.10496255
173.0,173.0,0.10077897
174.0,174.0,5.638013E-4
175.0,175.0,0.44505107
176.0,176.0,0.0106480485
177.0,177.0,4.232514E-5
178.0,178.0,3.3701226E-4
179.0,179.0,0.8317166
180.0,180.0,2.3536164E-5
181.0,181.0,1.1485179E-4
182.0,182.0,3.0320447E-5
183.0,183.0,0.14054327
184.0,184.0,0.6159965
185.0,185.0,0.22312316
186.0,186.0,3.431502E-4
187.0,187.0,0.01529888
188.0,188.0,0.119194046
189.0,189.0,0.0029509938
190.0,190.0,5.853091E-4
191.0,191.0,4.4756848E-4
192.0,192.0,0.0017632882
193.0,193.0,0.09815378
194.0,194.0,4.4554923E-5
195.0,195.0,2.514106E-4
196.0,196.0,6.503216E-4
197.0,197.0,5.5329103E-5
198.0,198.0,0.02504408
199.0,199.0,0.09951177
200.0,200.0,0.3330705
201.0,201.0,0.77259296
202.0,202.0,0.8273657
203.0,203.0,0.010166726
204.0,204.0,0.0073975422
205.0,205.0,1.0361228E-4
206.0,206.0,0.5623046
207.0,207.0,6.3949854E-5
208.0,208.0,2.994992E-4
209.0,209.0,0.004620719
210.0,210.0,0.30701277
211.0,211.0,1.3385102E-4
212.0,212.0,9.130553E-6
213.0,213.0,0.83535427
214.0,214.0,1.145313E-4
215.0,215.0,4.280849E-4
216.0,216.0,4.126024E-4
217.0,217.0,1.160767E-5
218.0,218.0,1.9848154E-5
219.0,219.0,0.2501167
220.0,220.0,2.6708098E-5
221.0,221.0,8.181044E-4
222.0,222.0,4.7988287E-4
223.0,223.0,0.56804454
224.0,224.0,0.09813549
225.0,225.0,0.09263348
226.0,226.0,0.5707987
227.0,227.0,1.0699479E-4
228.0,228.0,2.4499427E-4
229.0,229.0,0.09844836
