Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.10461E-9,0.00000021,0.000006617,1,0,0
2.10738E-9,0.000000421,0.000006625,0.999901739,0,0
2.23711E-9,0.000001073,0.000007033,0.999606957,0,0
2.38791E-9,0.00000272,0.000007507,0.998919131,0,0
2.82229E-9,0.0000102,0.000008873,0.996069569,0,0
3.4745E-9,0.000025116,0.000010923,0.991451312,0,0
3.87285E-9,0.000050163,0.000012176,0.984769578,0,0
4.55984E-9,0.000100014,0.000014336,0.973076545,0,0
6.89126E-9,0.000250107,0.000021665,0.946939177,0,0
9.64464E-9,0.000500868,0.000030321,0.91726442,0,0
1.41735E-8,0.001001229,0.000044559,0.875798369,0,0
3.00578E-8,0.002502667,0.000094495,0.803871475,0,0
5.2042E-8,0.005002587,0.000163602,0.743539353,0,0
1.01588E-7,0.010004072,0.000319333,0.67544463,0,0
2.87719E-7,0.025001025,0.000904157,0.586813403,0,0
7.21245E-7,0.050002731,0.002264965,0.534440405,0,0
1.58188E-6,0.100040666,0.004960955,0.487275228,0,0
4.63947E-6,0.200368244,0.014480229,0.451606564,0,0
8.42712E-6,0.300831469,0.026146265,0.435983099,0,0
1.25326E-5,0.40115467,0.038635193,0.426550064,0,0
1.60492E-5,0.500174322,0.049205643,0.419671809,0,0
2.05672E-5,0.601145793,0.062615259,0.414267466,0,0
2.34718E-5,0.700652945,0.071136349,0.409845731,0,0
2.52104E-5,0.751879574,0.076199682,0.407782254,0,0
2.63898E-5,0.800614362,0.079618796,0.405915299,0,0
2.86928E-5,0.900150376,0.086258712,0.402377911,0,0
3.10497E-5,1.00206684,0.093004474,0.399037044,0,0
3.17073E-5,1.102653134,0.094877608,0.395892699,0,0
3.20257E-5,1.201493683,0.095783119,0.392846615,0,0
3.23504E-5,1.301394398,0.096705638,0.389800531,0,0
3.26148E-5,1.402088572,0.097456321,0.386754446,0,0
3.27351E-5,1.500194281,0.097797742,0.383806623,0,0
3.28549E-5,1.752761448,0.098137499,0.376240542,0,0
3.29826E-5,2.002861421,0.098499329,0.368772723,0,0
3.3348E-5,2.251246041,0.09953446,0.361403164,0,0
3.45563E-5,2.502165567,0.102948559,0.354131866,0,0
3.61E-5,2.752403813,0.107291752,0.34715535,0,0
3.99144E-5,3.001268014,0.117933112,0.340670139,0,0
4.47425E-5,3.253664693,0.13122123,0.334774492,0,0
4.82183E-5,3.504569781,0.140663067,0.329468409,0,0
5.20855E-5,3.751210576,0.151047766,0.324653631,0,0.013333333
5.50251E-5,4.002403639,0.158857572,0.320035374,0,0.013333333
5.963E-5,4.255750893,0.170947515,0.315711899,0,0.013333333
6.32114E-5,4.501107717,0.180229975,0.311781468,0,0.013333333
6.67316E-5,4.754356015,0.18925237,0.307949297,0,0.013333333
6.96316E-5,5.006203684,0.196610713,0.304313648,0,0.013333333
7.33181E-5,5.255698451,0.20586822,0.300874521,0,0.013333333
7.66411E-5,5.50332468,0.214121488,0.297631915,0,0.013333333
7.86728E-5,5.751545667,0.21912542,0.29448757,0,0.013333333
8.04864E-5,6.006693671,0.223565037,0.291343225,0,0.013333333
8.38568E-5,6.253826435,0.231748907,0.288395401,0.005649718,0.013333333
8.61352E-5,6.508579081,0.237232346,0.285447578,0.005649718,0.013333333
8.87669E-5,6.753172078,0.243517488,0.282696276,0.005649718,0.013333333
9.03721E-5,7.003890529,0.247325524,0.279944974,0.005649718,0.013333333
9.2576E-5,7.251180219,0.252522526,0.277291933,0.005649718,0.013333333
9.5016E-5,7.504484683,0.258234687,0.274638892,0.005649718,0.013333333
9.76842E-5,7.754797682,0.264431116,0.272084111,0.005649718,0.013333333
1.00239E-4,8.002101531,0.270316162,0.269627592,0.005649718,0.013333333
1.02769E-4,8.255988905,0.276096776,0.267171072,0.011299435,0.013333333
1.04873E-4,8.505347741,0.280870192,0.264812813,0.011299435,0.013333333
1.07614E-4,8.760695269,0.287039001,0.262454554,0.011299435,0.013333333
1.10867E-4,9.00083939,0.294294278,0.260292817,0.011299435,0.013333333
1.13139E-4,9.258608489,0.299316133,0.258032819,0.011299435,0.013333333
1.15931E-4,9.511082027,0.305439632,0.255871082,0.011299435,0.013333333
1.17898E-4,9.756489815,0.309721581,0.253807605,0.011299435,0.013333333
1.19869E-4,10.006230656,0.313985777,0.251744129,0.011299435,0.013333333
1.22779E-4,10.261887746,0.320234556,0.249680652,0.011299435,0.04
1.24751E-4,10.509645916,0.324435402,0.247715437,0.011299435,0.053333333
1.27124E-4,10.761487487,0.329457661,0.245750221,0.011299435,0.066666667
1.30663E-4,11.00693634,0.336875432,0.243883266,0.011299435,0.066666667
1.32817E-4,11.257008463,0.341351427,0.242016311,0.011299435,0.066666667
1.34915E-4,11.511492629,0.345682445,0.240149356,0.016949153,0.066666667
1.37974E-4,11.75743733,0.351944109,0.238380662,0.016949153,0.093333333
1.41393E-4,12.008864216,0.358872773,0.236611968,0.02259887,0.093333333
1.43391E-4,12.251061679,0.362888477,0.234941535,0.02259887,0.093333333
1.46085E-4,12.511636397,0.36826059,0.233172841,0.028248588,0.106666667
