X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,2.5126808226954086E-4,25.690320654532407,0.5461396945629814
3.0,3.0,train,3.334621857746926E-4,39.254105814981465,0.6494939141487649
4.0,4.0,train,8.298402833825645E-5,6.1898309231594,0.2296380744084201
5.0,5.0,train,3.6024956087569765E-4,42.73911082947137,0.6778037590649648
7.0,7.0,train,1.962598312549894E-4,17.933394770821224,0.4604525181112553
8.0,8.0,train,2.2079428318845108E-4,21.15797699645132,0.5005055295760747
9.0,9.0,train,1.7346496116243316E-4,15.313075044914472,0.42036652975161126
10.0,10.0,train,2.0179249739454873E-4,18.43466372216464,0.4697563847526761
11.0,11.0,train,2.048790832296265E-4,18.881822777822787,0.4748769664493513
12.0,12.0,train,2.215559913872888E-4,21.277061891474887,0.5017002612700329
13.0,13.0,train,4.0066168873454766E-4,47.909468654516814,0.7162457759113797
14.0,14.0,train,4.6454524689566387E-4,56.90473117604764,0.7678778146551157
16.0,16.0,train,4.661388843633865E-4,57.179648389112884,0.7690378992257887
17.0,17.0,train,4.886177425943589E-4,61.45321925254554,0.7847969541403819
18.0,18.0,train,2.1954141330222005E-4,20.996281456991916,0.49853418183219556
19.0,19.0,train,2.9820181243303177E-4,33.419761372797815,0.6084028107573558
20.0,20.0,train,2.850092717479613E-4,31.57011100922533,0.5918192965265444
21.0,21.0,train,3.270120567928322E-4,38.086739838865014,0.6423135604364861
25.0,25.0,train,2.680695063028211E-4,28.898029828656952,0.5694914509324949
26.0,26.0,train,2.6540229724476193E-4,28.421803482207945,0.5658662509191663
27.0,27.0,train,2.670876661847984E-4,28.768554915816726,0.5681604940088312
29.0,29.0,train,2.7437551092615565E-4,29.863059770932423,0.5779424702117832
31.0,31.0,train,1.0062328829992059E-4,8.040665146543779,0.27119654958383865
32.0,32.0,train,3.328176231570463E-4,39.15575266870093,0.6487829105996001
33.0,33.0,train,3.209236904778199E-4,36.800539736561575,0.6354010254491662
36.0,36.0,train,3.2254423513031937E-4,37.14660202743873,0.6372538809843782
37.0,37.0,train,3.2386126236314905E-4,37.38521967427289,0.6387527707484955
39.0,39.0,train,3.129087833086173E-4,35.27303458267514,0.6260970591861572
40.0,40.0,train,2.9738370548337975E-4,33.32107565089227,0.6073943029563198
43.0,43.0,train,5.521003226671096E-4,77.78617229574961,0.8237333223772748
44.0,44.0,train,5.527084459864404E-4,78.21597919712417,0.824070002719196
45.0,45.0,train,1.639922611988305E-4,14.255360120959008,0.40284462929008513
46.0,46.0,train,5.446462251960352E-4,74.00904411054657,0.8195537190980263
48.0,48.0,train,1.7285524840719547E-4,15.260580742986589,0.41925437293618817
49.0,49.0,train,1.5493031020695288E-4,13.303580851672436,0.3855869955972905
50.0,50.0,train,1.7394699887426587E-4,15.353671789945395,0.42124429100928085
51.0,51.0,train,2.5308959858180626E-4,26.25611918482066,0.5487313860491809
52.0,52.0,train,1.5242413840867993E-4,13.068752498810824,0.38072679398418496
53.0,53.0,train,1.8700210662530174E-4,16.99900968634153,0.4445179455553806
54.0,54.0,train,1.6366274203755525E-4,14.211562895045411,0.40222566730794185
55.0,55.0,train,5.171772979564341E-4,66.95910772533782,0.8032776921478172
56.0,56.0,train,1.801573547644154E-4,16.191337028397232,0.4324348012411364
57.0,57.0,train,2.4344608776800445E-4,24.400666203511403,0.5348401315505549
58.0,58.0,train,2.4711139229988946E-4,24.89501477097029,0.5401695940124545
62.0,62.0,train,1.54979902554996E-4,13.307486258980564,0.3856827838372042
63.0,63.0,train,1.44714203663547E-4,12.37904735883865,0.365532584161247
65.0,65.0,train,2.9231932083111073E-4,32.51079595399964,0.6010932044934427
66.0,66.0,train,2.9948605704926403E-4,33.58020457663578,0.6099807193779858
67.0,67.0,train,3.134747543270494E-4,35.34955700830683,0.6267617776243695
68.0,68.0,train,2.963275687779339E-4,33.15917636471421,0.6060885262141182
69.0,69.0,train,3.043613783975966E-4,34.20681231577025,0.6159131983441571
70.0,70.0,train,3.167991340205421E-4,35.97131879319776,0.6306423890550621
71.0,71.0,train,2.729780619682635E-4,29.665567429319484,0.5760840968859346
72.0,72.0,train,3.2839088621532646E-4,38.34026169503359,0.6438607481919156
74.0,74.0,train,1.8447015815996074E-4,16.684110548593313,0.4400785324151397
75.0,75.0,train,2.699096925524454E-4,29.152655093433214,0.5719749206221953
76.0,76.0,train,2.736581416552768E-4,29.75847483885687,0.5769895089743262
77.0,77.0,train,2.814816005858112E-4,31.08955288499341,0.5872670886621593
78.0,78.0,train,2.073810943974607E-4,19.293090330665905,0.47899144029074725
79.0,79.0,train,1.487719487325406E-4,12.724827861417767,0.3735752090267259
80.0,80.0,train,1.5686016305218692E-4,13.455557148476021,0.3893035350039825
81.0,81.0,train,1.820138021109212E-4,16.424840569360402,0.4357377558553319
82.0,82.0,train,1.3811496395412385E-4,11.767803556388888,0.3522314936694456
83.0,83.0,train,1.9754554959860478E-4,18.03334376732679,0.46262907004373144
86.0,86.0,train,3.630959357197085E-4,43.15964989878181,0.6806741548921207
89.0,89.0,train,4.2399894218638287E-4,51.02601980872977,0.7363195157424067
90.0,90.0,train,4.345256677243043E-4,52.24531167634193,0.7449032362165509
91.0,91.0,train,5.618064533088371E-4,83.1579925305284,0.8290309066613478
92.0,92.0,train,5.514049979916636E-4,77.31618916876926,0.8233475744343426
94.0,94.0,train,2.2787899958994355E-4,22.320341698014055,0.5115081575027749
95.0,95.0,train,5.710426248082828E-4,90.50917822161207,0.8339240773582843
