x,y,species cloglog values
1.0,1.0,0.90895164
2.0,2.0,0.042701215
3.0,3.0,3.4508153E-5
4.0,4.0,0.21577056
5.0,5.0,0.07202734
6.0,6.0,5.64154E-4
7.0,7.0,0.21490268
8.0,8.0,0.023429148
9.0,9.0,0.64014393
10.0,10.0,4.1669828E-5
11.0,11.0,2.4870466E-4
12.0,12.0,1.313411E-4
13.0,13.0,3.9058934E-5
14.0,14.0,1.7547455E-4
15.0,15.0,0.0067416495
16.0,16.0,0.09948139
17.0,17.0,0.049489543
18.0,18.0,2.4726806E-4
19.0,19.0,6.749856E-4
20.0,20.0,0.16217074
21.0,21.0,9.3794335E-4
22.0,22.0,1.0303525E-4
23.0,23.0,0.20465633
24.0,24.0,1.27285E-4
25.0,25.0,0.84085536
26.0,26.0,1.1751518E-5
27.0,27.0,0.004114744
28.0,28.0,2.1270696E-4
29.0,29.0,2.6622674E-4
30.0,30.0,1.21311285E-4
31.0,31.0,0.18371333
32.0,32.0,7.178681E-4
33.0,33.0,0.0034944392
34.0,34.0,5.6117244E-9
35.0,35.0,9.5140253E-4
36.0,36.0,0.019251194
37.0,37.0,0.08776784
38.0,38.0,1.6674549E-5
39.0,39.0,5.7878153E-4
40.0,40.0,0.019213729
41.0,41.0,0.9687397
42.0,42.0,0.19891018
43.0,43.0,5.6091598E-5
44.0,44.0,0.06348123
45.0,45.0,3.763283E-4
46.0,46.0,0.007870435
47.0,47.0,0.14293374
48.0,48.0,0.37780708
49.0,49.0,0.23711812
50.0,50.0,0.017333899
51.0,51.0,0.0022335595
52.0,52.0,0.1294058
53.0,53.0,0.037925407
54.0,54.0,1.2467483E-4
55.0,55.0,1.6081086E-4
56.0,56.0,3.9354505E-5
57.0,57.0,1.1699179E-4
58.0,58.0,3.2558476E-4
59.0,59.0,0.16919334
60.0,60.0,0.0011559066
61.0,61.0,0.011012765
62.0,62.0,9.739181E-4
63.0,63.0,0.0024849826
64.0,64.0,0.017645787
65.0,65.0,5.01746E-4
66.0,66.0,3.7354566E-4
67.0,67.0,3.3284712E-5
68.0,68.0,0.19935465
69.0,69.0,0.038830765
70.0,70.0,0.12490314
71.0,71.0,1.7174934E-4
72.0,72.0,4.6376084E-4
73.0,73.0,3.877003E-4
74.0,74.0,0.0030881972
75.0,75.0,5.5443983E-5
76.0,76.0,8.247349E-4
77.0,77.0,0.76171565
78.0,78.0,0.052158546
79.0,79.0,1.6403162E-4
80.0,80.0,0.9455078
81.0,81.0,0.03482637
82.0,82.0,3.456196E-4
83.0,83.0,0.59833986
84.0,84.0,2.6665698E-4
85.0,85.0,9.1651495E-4
86.0,86.0,0.021891695
87.0,87.0,1.765649E-4
88.0,88.0,8.629156E-4
89.0,89.0,0.22493315
90.0,90.0,2.54026E-5
91.0,91.0,2.7616652E-6
92.0,92.0,3.852956E-5
93.0,93.0,0.15884876
94.0,94.0,1.9149214E-4
95.0,95.0,0.027683709
