X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.576554654171908E-4,49.053581059004586,0.7574849009800191
3.0,3.0,train,9.53061643538564E-4,55.3108128715768,0.7928443865590105
4.0,4.0,train,1.4846298802311745E-4,12.089977494294489,0.21747854216221885
5.0,5.0,train,1.8036535331654164E-4,15.227918156655043,0.25764733372896464
7.0,7.0,train,3.608105769372349E-4,29.280674548362406,0.4489852197497537
8.0,8.0,train,6.724545490923711E-4,40.80641664873234,0.6706956816787533
9.0,9.0,train,2.510148261290303E-4,21.049572330338997,0.33941599237084497
10.0,10.0,train,3.146137794656842E-4,26.5449831016605,0.4052920970673556
11.0,11.0,train,3.299119466810363E-4,27.720874029342756,0.42013195594476305
12.0,12.0,train,3.432262641345649E-4,28.219025444711725,0.43274568567561167
13.0,13.0,train,0.0013926407597273651,74.33514998484428,0.8997802497605567
14.0,14.0,train,1.3722884850489412E-4,10.94833724979887,0.20282190898212937
16.0,16.0,train,1.405040469780476E-4,11.250299889517832,0.2071230244552188
17.0,17.0,train,9.359596906794092E-4,54.27277051498799,0.7869089388373902
18.0,18.0,train,1.6715473960084412E-4,14.00117629253232,0.24127001732866893
19.0,19.0,train,8.067217115328213E-4,46.81092187523121,0.7361984020166586
20.0,20.0,train,6.396125292896645E-4,39.59604347430014,0.6523377841568434
21.0,21.0,train,0.001298895227902355,70.81730536478587,0.8829950903540686
25.0,25.0,train,0.0013449434574172334,72.27357394217087,0.8915648203722712
26.0,26.0,train,0.0012193550468208064,67.29758606236472,0.8665666833246362
27.0,27.0,train,0.0011534397572494249,64.18348720056119,0.8512180281464979
29.0,29.0,train,0.001108686548068687,62.93944947030241,0.8398027057868245
31.0,31.0,train,2.699273892432896E-4,22.870246680686993,0.35973370289585904
32.0,32.0,train,0.0012937666813383304,70.55766927956948,0.8819996812603358
33.0,33.0,train,0.0012195697185126656,67.32000653130164,0.866613990218305
36.0,36.0,train,0.0012733147313389133,69.64469408325712,0.8779451860618999
37.0,37.0,train,0.0012842382399108256,70.04170238475618,0.8801277511179862
39.0,39.0,train,0.0013125038500216844,71.33942338734943,0.8855958996330885
40.0,40.0,train,0.0012235129289449474,67.73904384900453,0.8674799724683038
43.0,43.0,train,7.304380610326885E-4,43.04968696036635,0.7007725293344655
44.0,44.0,train,8.468031629581277E-4,48.305993830670886,0.7530983675273444
45.0,45.0,train,8.503010909386338E-4,48.5229569568634,0.7545208375869598
46.0,46.0,train,0.0018111998268055937,87.69767532090958,0.9498016781079122
48.0,48.0,train,8.969656332052314E-4,51.64445671467144,0.7727318259825975
49.0,49.0,train,7.602564075660986E-4,44.47280567488074,0.7151537519352156
50.0,50.0,train,8.997278208491959E-4,51.94623872348272,0.7737664052802223
51.0,51.0,train,8.882727896702739E-4,50.87507593131829,0.769444940273334
52.0,52.0,train,7.564507957107346E-4,44.30785820374231,0.7133575171357003
53.0,53.0,train,9.847413408650286E-4,57.122386493249095,0.8034059090170397
54.0,54.0,train,7.972583280454474E-4,46.32889464199767,0.732042310966444
55.0,55.0,train,0.0010610242346213896,61.54454069305467,0.8266806852073009
56.0,56.0,train,9.358564249551664E-4,54.2624559767677,0.7868725874628383
57.0,57.0,train,6.287144199335839E-4,39.04148751557829,0.6460226016165374
58.0,58.0,train,8.439300315499871E-4,48.20587703435649,0.7519238140756336
62.0,62.0,train,7.017111274134444E-4,41.8448723279496,0.686231409660448
63.0,63.0,train,4.2376042346500505E-4,31.37913957116596,0.5034024687761218
65.0,65.0,train,7.901299182965885E-4,45.90267619601068,0.7288685031057067
66.0,66.0,train,0.0010269921159923882,59.778831334266314,0.8166585003289714
67.0,67.0,train,9.929851634031927E-4,57.674857353536474,0.8060648448706746
68.0,68.0,train,9.94312269006763E-4,57.77626900242969,0.8064895118221125
69.0,69.0,train,0.0010329897184062646,60.062930158443926,0.8184658880616147
70.0,70.0,train,0.0010032587809944717,58.543645446185145,0.8093281861667688
71.0,71.0,train,9.396618576720707E-4,54.65468769316753,0.7882080800506284
72.0,72.0,train,9.974013310846959E-4,58.04395793668059,0.8074743978491294
74.0,74.0,train,4.0618772988433805E-4,30.91922219477585,0.4887765344077942
75.0,75.0,train,9.884894641851558E-4,57.386249998073865,0.8046193062166804
76.0,76.0,train,9.760649216261396E-4,56.75835135724788,0.8005680605519848
77.0,77.0,train,9.83788895856049E-4,57.05255667420485,0.8030963707013481
78.0,78.0,train,5.507273137963772E-4,35.500764477002804,0.5973556676279307
79.0,79.0,train,2.574404735685326E-4,21.52308552437617,0.34639035548501496
80.0,80.0,train,2.717344382430126E-4,23.00008238616061,0.36164199535754504
81.0,81.0,train,2.8548227235795465E-4,24.159662640933202,0.3759750617183819
82.0,82.0,train,2.0744858519094523E-4,17.152210993985598,0.2901257556001411
83.0,83.0,train,3.016296546813496E-4,25.521409355671032,0.39239938357755877
86.0,86.0,train,8.705331909130409E-4,50.10434811503481,0.7625891213901773
89.0,89.0,train,0.0010331963896072676,60.072719911272564,0.8185278502074069
90.0,90.0,train,0.00103841569474109,60.280344305056765,0.8200856594801025
91.0,91.0,train,0.002130459397460734,93.80466377584125,0.9703748791233099
92.0,92.0,train,0.0015857494307007893,82.53749909712027,0.9271512939840246
94.0,94.0,train,0.0013316292945380255,71.74263814623887,0.8891536337844956
95.0,95.0,train,0.001817506418538653,87.91729882162824,0.9503218970379288
97.0,97.0,train,8.813155502718583E-4,50.5832287150525,0.7667800959580666
98.0,98.0,train,9.612557210322933E-4,55.87746593236931,0.7956293746433807
99.0,99.0,train,9.535660228944693E-4,55.35094350216796,0.7930169049806206
100.0,100.0,train,4.6079521191462854E-4,32.59135735696799,0.5328711419725012
101.0,101.0,train,4.998939938851317E-4,33.75699006647037,0.5620866547117771
103.0,103.0,train,8.12192241205595E-4,46.94527782637509,0.7385714604615172
104.0,104.0,train,9.913032894214085E-4,57.546335845327576,0.8055253146560764
106.0,106.0,train,0.0010236871857311452,59.491491358933686,0.8156548754324519
107.0,107.0,train,9.621157717813037E-4,55.911882679905,0.7959195072022703
108.0,108.0,train,8.044107829070961E-4,46.689548118043035,0.7351894849016734
109.0,109.0,train,8.021201035256143E-4,46.569237884334854,0.7341856002828522
110.0,110.0,train,8.059133020633165E-4,46.76846288555579,0.7358459003437869
111.0,111.0,train,5.106316205921608E-4,34.075963118275034,0.5697852783292794
112.0,112.0,train,0.001908842246623679,89.60266039098614,0.9572788537463683
114.0,114.0,train,0.0010984301030222848,62.51072117312154,0.8370655566601699
116.0,116.0,train,3.605674408811658E-4,29.27137460416407,0.4487638785812559
117.0,117.0,train,9.78765200512171E-4,56.86120643138158,0.8014556201104803
118.0,118.0,train,3.54514589345565E-4,28.971052070252018,0.44322485833416236
120.0,120.0,train,8.961062148982715E-4,51.52827493235252,0.7724089662431135
121.0,121.0,train,7.791238595298091E-4,45.48139337514893,0.7238942498932042
124.0,124.0,train,0.002170723570125373,94.66808621945458,0.9722811255925589
125.0,125.0,train,0.0011901646241009374,66.09385687234439,0.8599752577154036
127.0,127.0,train,0.001949736425273578,90.3772242256417,0.9600693476429704
130.0,130.0,train,4.747229087015782E-4,33.14786894144694,0.5434952444762466
