x,y,species cloglog values
1.0,1.0,0.83108616
2.0,2.0,0.20630217
3.0,3.0,3.7170041E-4
4.0,4.0,3.8004492E-4
5.0,5.0,0.0032963748
6.0,6.0,0.7344572
7.0,7.0,0.29584414
8.0,8.0,3.1595144E-5
9.0,9.0,1.7671305E-4
10.0,10.0,5.7072105E-4
11.0,11.0,0.01485675
12.0,12.0,0.5494974
13.0,13.0,0.024296494
14.0,14.0,0.7543644
15.0,15.0,8.026866E-4
16.0,16.0,0.0020792002
17.0,17.0,5.1754905E-5
18.0,18.0,0.09415422
19.0,19.0,0.27106097
20.0,20.0,0.09504342
21.0,21.0,0.8345421
22.0,22.0,0.014173319
23.0,23.0,3.9079352E-4
24.0,24.0,9.1711245E-6
25.0,25.0,0.33332086
26.0,26.0,0.092362374
27.0,27.0,3.1996344E-5
28.0,28.0,8.870572E-5
29.0,29.0,0.8340914
30.0,30.0,1.2491592E-4
31.0,31.0,0.13158688
32.0,32.0,0.15020196
33.0,33.0,0.11748276
34.0,34.0,0.5492596
35.0,35.0,0.0014038527
36.0,36.0,0.10059556
37.0,37.0,0.8391087
38.0,38.0,0.13734646
39.0,39.0,4.225442E-4
40.0,40.0,0.33161962
41.0,41.0,0.5721998
42.0,42.0,0.0010598756
43.0,43.0,0.07509631
44.0,44.0,3.8765965E-4
45.0,45.0,2.9736804E-4
46.0,46.0,1.4058537E-5
47.0,47.0,0.013084611
48.0,48.0,0.7245345
49.0,49.0,0.3220181
50.0,50.0,3.4476016E-4
51.0,51.0,1.6372926E-4
52.0,52.0,0.32735032
53.0,53.0,0.28381333
54.0,54.0,0.25741735
55.0,55.0,0.2816436
56.0,56.0,3.0811667E-4
57.0,57.0,1.8178769E-4
58.0,58.0,0.83770376
59.0,59.0,0.6190459
60.0,60.0,2.5757556E-5
61.0,61.0,4.8262265E-4
62.0,62.0,0.577081
63.0,63.0,0.1482296
64.0,64.0,6.50928E-5
65.0,65.0,2.3727246E-4
66.0,66.0,1.8123661E-5
67.0,67.0,0.010969256
68.0,68.0,5.209902E-5
69.0,69.0,1.4016154E-4
70.0,70.0,0.4975854
71.0,71.0,0.79225117
72.0,72.0,0.5408033
73.0,73.0,0.10208034
74.0,74.0,0.069352455
75.0,75.0,2.1363954E-5
76.0,76.0,2.6958827E-5
77.0,77.0,5.220273E-6
78.0,78.0,2.2499373E-5
79.0,79.0,0.8241363
80.0,80.0,1.5405241E-5
81.0,81.0,0.34158245
82.0,82.0,0.12503079
83.0,83.0,0.8345696
84.0,84.0,1.7511923E-4
85.0,85.0,0.02571166
86.0,86.0,0.105178505
87.0,87.0,6.295202E-5
88.0,88.0,0.0016547113
89.0,89.0,0.58217245
90.0,90.0,1.8004315E-5
91.0,91.0,0.8007958
92.0,92.0,0.48034832
93.0,93.0,5.6757954E-6
94.0,94.0,0.05052792
95.0,95.0,0.2687076
96.0,96.0,0.088706076
97.0,97.0,0.0035256979
98.0,98.0,0.14559099
99.0,99.0,2.5399745E-4
100.0,100.0,4.0222723E-5
101.0,101.0,0.0026717873
102.0,102.0,7.640588E-4
103.0,103.0,0.7229796
104.0,104.0,0.2075332
105.0,105.0,1.6464926E-5
106.0,106.0,0.0016671731
107.0,107.0,0.027449256
108.0,108.0,1.9457696E-4
109.0,109.0,0.45340323
110.0,110.0,1.0897426E-5
111.0,111.0,5.666841E-5
112.0,112.0,0.25482848
113.0,113.0,0.64861697
114.0,114.0,0.75310224
115.0,115.0,1.4698453E-4
116.0,116.0,3.0695515E-5
117.0,117.0,0.008479255
118.0,118.0,4.736421E-4
119.0,119.0,0.009365325
120.0,120.0,0.0016986746
121.0,121.0,8.3096595E-5
122.0,122.0,0.02641794
123.0,123.0,2.5216897E-4
124.0,124.0,1.323703E-4
125.0,125.0,2.655057E-4
126.0,126.0,0.2307743
127.0,127.0,3.4673008E-4
128.0,128.0,0.025813024
129.0,129.0,1.7102431E-5
130.0,130.0,1.69846E-5
131.0,131.0,0.5084744
132.0,132.0,2.006081E-5
133.0,133.0,7.020868E-5
134.0,134.0,3.8123035E-5
135.0,135.0,3.719879E-5
136.0,136.0,9.63038E-6
137.0,137.0,1.3305282E-4
138.0,138.0,0.0951306
139.0,139.0,4.435435E-5
140.0,140.0,0.0031651456
141.0,141.0,0.8381643
142.0,142.0,0.089444876
143.0,143.0,8.317615E-6
144.0,144.0,2.7295355E-5
145.0,145.0,0.11189054
146.0,146.0,0.0010848086
147.0,147.0,0.84053653
148.0,148.0,0.67795163
149.0,149.0,0.092097595
150.0,150.0,5.4587156E-4
151.0,151.0,0.6495755
152.0,152.0,0.0013471994
153.0,153.0,1.6559211E-4
154.0,154.0,0.28357878
155.0,155.0,0.09270571
156.0,156.0,0.0013414065
157.0,157.0,2.0469111E-5
158.0,158.0,2.826569E-5
159.0,159.0,0.08600783
160.0,160.0,8.753931E-5
161.0,161.0,2.3668634E-5
162.0,162.0,0.63208705
163.0,163.0,0.7135665
164.0,164.0,0.8112244
165.0,165.0,5.072329E-5
166.0,166.0,4.223529E-5
167.0,167.0,0.7386946
168.0,168.0,0.8268653
169.0,169.0,1.6050256E-4
170.0,170.0,0.1731804
171.0,171.0,1.9396402E-5
172.0,172.0,0.82914597
173.0,173.0,5.5448746E-4
174.0,174.0,0.002232317
175.0,175.0,0.0069140824
176.0,176.0,7.749282E-5
177.0,177.0,1.5733766E-4
178.0,178.0,0.26462752
179.0,179.0,9.579134E-6
180.0,180.0,0.8207131
181.0,181.0,3.1164323E-4
182.0,182.0,0.0026750644
183.0,183.0,3.4153916E-5
184.0,184.0,3.8661292E-5
185.0,185.0,4.761227E-4
186.0,186.0,3.069501E-4
187.0,187.0,0.09679943
188.0,188.0,2.105368E-5
189.0,189.0,4.5626695E-4
190.0,190.0,2.5218611E-5
191.0,191.0,0.03720636
192.0,192.0,0.3843387
193.0,193.0,2.5250061E-5
194.0,194.0,0.09421227
195.0,195.0,3.7538382E-5
196.0,196.0,0.254727
197.0,197.0,0.06473824
198.0,198.0,0.16059895
199.0,199.0,2.499868E-4
200.0,200.0,0.25384283
201.0,201.0,0.0026695253
202.0,202.0,1.450699E-4
203.0,203.0,1.6428884E-4
204.0,204.0,2.9498403E-4
205.0,205.0,0.2503826
206.0,206.0,0.23889667
207.0,207.0,1.0844233E-4
208.0,208.0,3.103779E-4
209.0,209.0,0.56798255
210.0,210.0,4.3780758E-5
211.0,211.0,2.5982223E-4
212.0,212.0,3.4862827E-4
213.0,213.0,1.581941E-5
214.0,214.0,0.72881013
215.0,215.0,0.08924683
216.0,216.0,0.16765295
217.0,217.0,9.652034E-5
218.0,218.0,1.5346115E-4
219.0,219.0,0.14200936
220.0,220.0,0.09543656
221.0,221.0,3.2806096E-5
222.0,222.0,9.725408E-5
223.0,223.0,0.3841801
224.0,224.0,0.8337552
225.0,225.0,0.7520504
