Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.55844E-9,0.000000156,0.000004735,1,0,0
1.59781E-9,0.000000316,0.000004855,0.999901739,0,0
1.72864E-9,0.000001169,0.000005252,0.999410435,0,0
1.78662E-9,0.000002577,0.000005428,0.998624349,0,0
2.32754E-9,0.000010111,0.000007072,0.9949887,0,0
2.74641E-9,0.000025192,0.000008345,0.989191314,0,0
3.09847E-9,0.000050154,0.000009414,0.980839147,0,0
3.94014E-9,0.000100014,0.000011972,0.966886116,0,0
5.73456E-9,0.000250314,0.000017424,0.936720055,0,0
8.05136E-9,0.000500232,0.000024463,0.901346173,0,0
1.30747E-8,0.00100088,0.000039725,0.854377518,0,0
2.90065E-8,0.002500911,0.000088129,0.781074973,0,0
4.78452E-8,0.005003082,0.000145361,0.71681242,0,0
9.96649E-8,0.010003675,0.000302774,0.646457699,0,0
3.16063E-7,0.025016039,0.000959859,0.560381252,0,0
7.47384E-7,0.050063398,0.002268264,0.511643903,0,0
1.78984E-6,0.100176937,0.00542346,0.467917854,0,0
5.58409E-6,0.200313728,0.016823498,0.438832662,0,0
9.35642E-6,0.300546153,0.028028119,0.425665717,0,0
1.32536E-5,0.400696433,0.039469483,0.416822246,0,0
1.82063E-5,0.501193671,0.053815665,0.410435295,0,0
2.20238E-5,0.601572207,0.064727058,0.405522256,0,0
2.44166E-5,0.701048819,0.071502092,0.401297042,0,0
2.68396E-5,0.752520279,0.078312591,0.399331827,0,0
2.89855E-5,0.800176885,0.084302354,0.397661393,0,0
3.09969E-5,0.902652741,0.089881575,0.394320527,0,0
3.16344E-5,1.000002343,0.091642804,0.391274442,0,0
3.19602E-5,1.101802091,0.092541337,0.388130097,0,0
3.21915E-5,1.201245973,0.093178852,0.385084013,0,0
3.23143E-5,1.301238591,0.093517247,0.382037929,0,0
3.24983E-5,1.401708956,0.094023894,0.378991844,0,0
3.28117E-5,1.503021475,0.094886227,0.37594576,0,0
3.2972E-5,1.753003311,0.095326905,0.36847794,0,0
3.31142E-5,2.000744234,0.095717647,0.361108382,0,0
3.36408E-5,2.250576196,0.097163405,0.353738823,0,0
3.48944E-5,2.500476386,0.100595565,0.346565786,0,0
3.67993E-5,2.750058839,0.105786343,0.339687531,0,0
4.09562E-5,3.000559832,0.117009341,0.33330058,0,0
4.42608E-5,3.251926147,0.125830756,0.327503193,0,0
4.78041E-5,3.501224012,0.135191629,0.322197111,0,0
5.10287E-5,3.75459195,0.143623066,0.317185811,0,0.013333333
5.36329E-5,4.000075988,0.150372567,0.312567554,0,0.013333333
5.71323E-5,4.255130815,0.15935844,0.308047558,0,0.013333333
6.12916E-5,4.50459917,0.169915111,0.303920605,0,0.013333333
