X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,2.53349168078725E-4,25.034645358481278,0.5384354069545914
3.0,3.0,train,3.3937865999780184E-4,37.84447661337641,0.6450098607373327
4.0,4.0,train,8.095771084258329E-5,6.164962684836784,0.21890202484040744
5.0,5.0,train,3.676288420339538E-4,41.60399937573987,0.6743313957916844
7.0,7.0,train,1.96363389956876E-4,18.09763573948652,0.45076702123390244
8.0,8.0,train,2.217168243791519E-4,21.040758741467414,0.4916587955732602
9.0,9.0,train,1.729060929586513E-4,15.185508652678548,0.4100096343282187
10.0,10.0,train,2.0207145304145525E-4,18.68745333886556,0.4602512768587119
11.0,11.0,train,2.0525828031709128E-4,18.979756712198032,0.46547493763446746
12.0,12.0,train,2.225056274612236E-4,21.222280052725125,0.4928809784415181
13.0,13.0,train,4.1044642294488367E-4,47.50115463447315,0.7142217974944451
14.0,14.0,train,4.786633287379272E-4,57.032234062362164,0.7679293624491634
16.0,16.0,train,4.8037452278953274E-4,57.2108729486297,0.7691380690554639
17.0,17.0,train,5.122958473260574E-4,62.40971033515824,0.7905663286633998
18.0,18.0,train,2.287113032050985E-4,22.08163294709168,0.502394210972583
19.0,19.0,train,3.1171352674090174E-4,33.50662624588483,0.6137385981420203
20.0,20.0,train,2.9778614337033505E-4,31.926892493097522,0.5969680407472414
21.0,21.0,train,3.4213003639589124E-4,38.141845947044004,0.6479779655499925
25.0,25.0,train,2.799052355220188E-4,29.02039286409699,0.5743650072077654
26.0,26.0,train,2.770901919804141E-4,28.637311979145696,0.5706928262985659
27.0,27.0,train,2.7886896240810724E-4,28.8999940237638,0.5730168724305951
29.0,29.0,train,2.8656117648806506E-4,30.0525081017498,0.5829231301928661
31.0,31.0,train,1.0373515982081902E-4,8.065367016238868,0.2713512709541316
32.0,32.0,train,3.482589456785508E-4,38.83728063162568,0.6545007478523703
33.0,33.0,train,3.3570235328037946E-4,37.139489723590366,0.6410048718215282
36.0,36.0,train,3.3741323175001106E-4,37.35922466604094,0.6428743024912964
37.0,37.0,train,3.388036652086582E-4,37.67529026288738,0.6443864185889459
39.0,39.0,train,3.2724055174704016E-4,35.576865017432254,0.6316140064578111
40.0,40.0,train,3.108498196229027E-4,33.3245446796156,0.6127191734239273
43.0,43.0,train,5.781866099480359E-4,79.35041770208099,0.8287145496045666
44.0,44.0,train,5.78807389197638E-4,79.5648795675591,0.8290387258942633
45.0,45.0,train,1.702135522990136E-4,14.995302168115849,0.4051418926248853
