x,y,species cloglog values
1.0,1.0,0.002623361
2.0,2.0,1.02589496E-4
3.0,3.0,1.5011044E-4
4.0,4.0,5.710591E-5
5.0,5.0,0.00980166
6.0,6.0,0.00102881
7.0,7.0,7.096346E-5
8.0,8.0,5.8532853E-5
9.0,9.0,0.29534167
10.0,10.0,0.57333374
11.0,11.0,0.14403209
12.0,12.0,3.844552E-4
13.0,13.0,0.030543838
14.0,14.0,1.4320761E-4
15.0,15.0,0.32990965
16.0,16.0,0.0012954354
17.0,17.0,0.0011151911
18.0,18.0,1.1624534E-5
19.0,19.0,1.9754907E-5
20.0,20.0,0.16058764
21.0,21.0,3.1506785E-4
22.0,22.0,0.0010380592
23.0,23.0,7.6783635E-4
24.0,24.0,0.020928381
25.0,25.0,0.0043699853
26.0,26.0,0.38027906
27.0,27.0,0.04289142
28.0,28.0,0.036380067
29.0,29.0,2.9968252E-4
30.0,30.0,3.4205208E-5
31.0,31.0,1.9443243E-4
32.0,32.0,0.006131395
33.0,33.0,1.7297771E-4
34.0,34.0,0.001646209
35.0,35.0,0.0909849
36.0,36.0,1.2113557E-4
37.0,37.0,0.0019587409
38.0,38.0,0.30045137
39.0,39.0,0.4838453
40.0,40.0,0.18264943
41.0,41.0,5.3082797E-4
42.0,42.0,2.844452E-4
43.0,43.0,0.8478822
44.0,44.0,1.1192646E-7
45.0,45.0,0.006897712
46.0,46.0,0.036753766
47.0,47.0,6.488269E-5
48.0,48.0,3.874943E-4
49.0,49.0,6.122264E-5
50.0,50.0,0.021437878
51.0,51.0,2.5928454E-4
52.0,52.0,2.9593034E-4
53.0,53.0,1.3997202E-4
54.0,54.0,0.02149132
55.0,55.0,0.08520483
56.0,56.0,4.132734E-5
57.0,57.0,9.842665E-4
58.0,58.0,0.28905573
59.0,59.0,0.017076002
60.0,60.0,1.3339389E-4
61.0,61.0,5.4138014E-4
62.0,62.0,1.5085706E-4
63.0,63.0,0.93651474
64.0,64.0,5.143547E-5
65.0,65.0,0.0868136
66.0,66.0,0.0013783245
67.0,67.0,0.016519083
68.0,68.0,0.08344975
69.0,69.0,7.204253E-4
70.0,70.0,7.0231654E-5
71.0,71.0,0.40408567
72.0,72.0,1.7662779E-4
73.0,73.0,3.5374287E-5
74.0,74.0,1.5612869E-4
75.0,75.0,5.5672217E-4
76.0,76.0,0.2973317
77.0,77.0,0.2897881
78.0,78.0,0.0022255962
79.0,79.0,0.0056468123
80.0,80.0,4.7421668E-4
81.0,81.0,6.421232E-5
82.0,82.0,7.7422324E-4
83.0,83.0,2.4319346E-5
84.0,84.0,1.6406362E-4
85.0,85.0,0.002611542
86.0,86.0,0.04348512
87.0,87.0,2.1132291E-4
88.0,88.0,0.16911338
89.0,89.0,0.5854299
90.0,90.0,0.028172547
