Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.91128E-12,0.000000002,0.00000002,0.999705218,0,0
1.21159E-11,0.000000003,0.000000024,0.999606957,0,0
2.92162E-11,0.000000012,0.000000058,0.999213914,0,0
3.82863E-11,0.000000026,0.000000076,0.998820871,0,0
1.33001E-10,0.000000108,0.000000263,0.997641741,0,0
2.39824E-10,0.000000257,0.000000475,0.996953916,0,0
4.03414E-10,0.000001005,0.000000799,0.994792178,0,0
6.66476E-10,0.000002537,0.00000132,0.991942616,0,0
3.1122E-9,0.000010071,0.000006164,0.987029576,0,0
5.82615E-9,0.000025169,0.00001154,0.983492188,0,0
6.80245E-9,0.000050099,0.000013473,0.979660018,0,0
8.41702E-9,0.00010042,0.000016671,0.973273067,0,0
1.25234E-8,0.000250161,0.000024804,0.959320035,0,0
1.64637E-8,0.000500892,0.000032608,0.942517441,0,0
2.29995E-8,0.001001453,0.000045553,0.917559202,0,0
3.82959E-8,0.00250181,0.000075848,0.867839245,0,0
6.36733E-8,0.005005787,0.000126107,0.819986243,0,0
9.55393E-8,0.010003763,0.000189212,0.757099342,0,0
2.05987E-7,0.025005159,0.000407905,0.655988995,0,0
4.49954E-7,0.050004101,0.000890807,0.576201238,0,0
1.07211E-6,0.100067195,0.002121228,0.506534342,0,0
2.61132E-6,0.200198312,0.005158767,0.448265697,0,0
4.54718E-6,0.300082115,0.008965943,0.420556156,0,0
6.48125E-6,0.40016221,0.012755058,0.402672693,0,0
8.22541E-6,0.500386087,0.016159688,0.389309227,0,0
9.35245E-6,0.600417676,0.01835345,0.378205758,0,0
1.0581E-5,0.700342452,0.020739289,0.368281419,0,0
1.13809E-5,0.750905342,0.022289523,0.363761423,0,0
1.20948E-5,0.800236218,0.023670902,0.35963447,0,0
1.3294E-5,0.900412593,0.025987127,0.351871868,0,0
1.45029E-5,1.000667605,0.028316559,0.344797091,0,0
1.58456E-5,1.101009947,0.030897164,0.33831188,0,0
1.70512E-5,1.201544658,0.033208666,0.332317972,0,0
1.82414E-5,1.300376976,0.035485069,0.326815368,0,0
1.91048E-5,1.400952955,0.03713306,0.321509286,0,0
2.02851E-5,1.501311741,0.039381281,0.316497986,0,0
2.3048E-5,1.752131848,0.044623727,0.305197995,0,0
2.58457E-5,2.000316227,0.049903205,0.295175395,0,0
2.85898E-5,2.250669089,0.055052947,0.286135403,0,0
3.16687E-5,2.502943969,0.060798022,0.277881497,0,0
3.50642E-5,2.753474186,0.067093315,0.270511939,0,0
3.89391E-5,3.001472441,0.074225688,0.263928466,0,0
4.21097E-5,3.253785424,0.080021234,0.257836298,0,0
4.60517E-5,3.503527623,0.087176157,0.252235433,0,0
4.92582E-5,3.751493247,0.092955235,0.247125872,0,0
5.25733E-5,4.00443014,0.098891444,0.242212833,0,0
5.6627E-5,4.255247066,0.106097306,0.237692837,0,0
6.26372E-5,4.504474084,0.116675346,0.233565884,0,0
6.60858E-5,4.755046571,0.122688392,0.229733713,0,0
7.035E-5,5.000347793,0.130066859,0.226196325,0,0
7.4593E-5,5.253689225,0.137347048,0.222757198,0,0
7.87398E-5,5.507542612,0.144403293,0.219514592,0,0
8.21575E-5,5.757085773,0.15017553,0.216468507,0,0
8.60488E-5,6.000501403,0.156700277,0.213618945,0,0.013333333
8.94572E-5,6.255276468,0.162374082,0.210769382,0,0.013333333
9.33602E-5,6.501622969,0.168824358,0.208116341,0,0.013333333
9.62542E-5,6.757602801,0.173575121,0.2054633,0,0.013333333
9.84832E-5,7.000633041,0.177215562,0.20300678,0,0.013333333
1.02479E-4,7.251584657,0.183701738,0.20055026,0,0.013333333
1.05503E-4,7.50170226,0.188575676,0.198192002,0,0.013333333
1.07792E-4,7.75733467,0.192246114,0.195833743,0,0.013333333
1.09666E-4,8.007554931,0.1952394,0.193573745,0,0.013333333
1.1274E-4,8.252040308,0.200124502,0.191412007,0,0.013333333
1.15531E-4,8.503653784,0.204534484,0.18925027,0,0.013333333
1.17769E-4,8.760156881,0.208052059,0.187088533,0,0.013333333
1.19994E-4,9.009504077,0.211533648,0.185025056,0,0.013333333
1.21452E-4,9.250955809,0.213808223,0.183059841,0,0.013333333
1.23634E-4,9.508296198,0.217198347,0.180996364,0,0.013333333
1.25764E-4,9.757302629,0.220493385,0.179031149,0,0.013333333
1.27454E-4,10.010364412,0.223099614,0.177065933,0,0.013333333
1.28792E-4,10.254048876,0.225154407,0.175198978,0,0.013333333
1.30935E-4,10.500466618,0.228436161,0.173332023,0,0.013333333
1.32249E-4,10.750616496,0.230442948,0.171465068,0,0.013333333
1.33993E-4,11.003505549,0.233095405,0.169598113,0,0.013333333
1.36058E-4,11.260086072,0.236226936,0.167731158,0.005649718,0.013333333
1.38522E-4,11.507197894,0.239943941,0.165962464,0.005649718,0.013333333
1.41277E-4,11.75903037,0.244081309,0.16419377,0.005649718,0.013333333
1.44047E-4,12.001742869,0.248216596,0.162523337,0.005649718,0.013333333
1.48429E-4,12.264586486,0.254712971,0.160754643,0.005649718,0.013333333
1.52422E-4,12.504967475,0.260584744,0.15918247,0.005649718,0.013333333
1.54319E-4,12.750116557,0.263356653,0.157610298,0.005649718,0.013333333
1.57919E-4,13.015772211,0.268590529,0.155939864,0.005649718,0.013333333
1.60265E-4,13.254552374,0.271981399,0.154465953,0.005649718,0.013333333
1.62838E-4,13.512722528,0.275682653,0.15289378,0.005649718,0.013333333
1.65062E-4,13.758294285,0.278866112,0.151419868,0.005649718,0.013333333
1.6742E-4,14.007333909,0.282225713,0.149945957,0.005649718,0.013333333
1.7036E-4,14.260249582,0.286393588,0.148472045,0.005649718,0.013333333
1.76183E-4,14.50322136,0.294577066,0.147096394,0.005649718,0.013333333
1.78868E-4,14.752104031,0.298318901,0.145720743,0.005649718,0.013333333
1.81652E-4,15.004393648,0.302176882,0.144345092,0.005649718,0.013333333
1.85578E-4,15.261580177,0.307581832,0.142969441,0.005649718,0.013333333
1.8864E-4,15.504896083,0.311768521,0.141692051,0.005649718,0.013333333
1.93622E-4,15.753619299,0.318526979,0.140414661,0.005649718,0.013333333
1.98176E-4,16.00781846,0.324645569,0.13913727,0.005649718,0.013333333
2.02722E-4,16.268914097,0.330699525,0.13785988,0.005649718,0.013333333
2.07045E-4,16.514841536,0.33640507,0.136680751,0.005649718,0.026666667
2.10384E-4,16.765869225,0.340779599,0.135501621,0.005649718,0.026666667
2.13544E-4,17.020037427,0.34489229,0.134322492,0.005649718,0.026666667
2.17668E-4,17.25694449,0.350222703,0.133241623,0.011299435,0.026666667
2.21349E-4,17.520160569,0.354942574,0.132062494,0.011299435,0.026666667
2.25273E-4,17.766015913,0.359936947,0.130981625,0.011299435,0.04
2.27592E-4,18.014895204,0.362869519,0.129900757,0.011299435,0.04
2.29931E-4,18.267082705,0.365814846,0.128819888,0.011299435,0.04
2.31775E-4,18.521064227,0.368125796,0.127739019,0.011299435,0.04
2.34928E-4,18.754452315,0.372060094,0.126756412,0.011299435,0.053333333
2.37537E-4,19.014646157,0.3752965,0.125675543,0.016949153,0.066666667
2.40224E-4,19.254125589,0.37861251,0.124692935,0.016949153,0.066666667
2.42944E-4,19.52048474,0.38195171,0.123612066,0.02259887,0.066666667
2.46526E-4,19.765474365,0.386320911,0.122629459,0.02259887,0.066666667
2.49218E-4,20.013186462,0.389584273,0.121646851,0.02259887,0.066666667
2.53296E-4,20.26472623,0.394494032,0.120664243,0.02259887,0.066666667
2.57359E-4,20.519604733,0.399347141,0.119681635,0.02259887,0.093333333
2.58725E-4,20.751966626,0.400970266,0.118797288,0.02259887,0.093333333
2.6299E-4,21.013142694,0.406009527,0.11781468,0.02259887,0.093333333
2.6541E-4,21.25070064,0.408850215,0.116930333,0.02259887,0.093333333
2.67814E-4,21.517468196,0.411657731,0.115947725,0.028248588,0.093333333
2.7058E-4,21.760161981,0.414872757,0.115063378,0.028248588,0.093333333
2.72842E-4,22.004834991,0.417487942,0.114179031,0.028248588,0.093333333
2.76896E-4,22.251768045,0.422146948,0.113294684,0.028248588,0.093333333
2.79298E-4,22.502201007,0.424888908,0.112410337,0.028248588,0.093333333
2.81771E-4,22.754966786,0.427699452,0.11152599,0.028248588,0.106666667
2.84993E-4,23.010599208,0.431339358,0.110641643,0.033898305,0.106666667
2.86126E-4,23.267645689,0.43261463,0.109757296,0.039548023,0.106666667
2.88923E-4,23.526607618,0.435748638,0.108872949,0.039548023,0.106666667
2.90806E-4,23.758874188,0.437849525,0.108086863,0.04519774,0.106666667
2.93384E-4,24.021743634,0.440712796,0.107202515,0.056497175,0.12
2.95118E-4,24.257432894,0.442629815,0.106416429,0.062146893,0.12
2.96759E-4,24.523870107,0.444438866,0.105532082,0.062146893,0.12
2.99497E-4,24.762527281,0.447443618,0.104745996,0.073446328,0.133333333
3.01969E-4,25.003413294,0.450142451,0.10395991,0.073446328,0.133333333
3.0515E-4,25.277042214,0.453596178,0.103075563,0.079096045,0.133333333
3.08597E-4,25.522713829,0.457313293,0.102289476,0.09039548,0.133333333
3.12128E-4,25.771211646,0.46109611,0.10150339,0.09039548,0.16
3.1438E-4,26.021928493,0.463493692,0.100717304,0.09039548,0.16
3.17385E-4,26.27443028,0.466677664,0.099931217,0.096045198,0.173333333
3.20107E-4,26.529752783,0.469545261,0.099145131,0.096045198,0.186666667
3.22718E-4,26.75458075,0.472281754,0.098457306,0.101694915,0.213333333
3.23695E-4,27.013245973,0.473301709,0.097671219,0.11299435,0.213333333
3.25635E-4,27.273119077,0.475321751,0.096885133,0.124293785,0.213333333
3.28748E-4,27.502505466,0.478546673,0.096197308,0.13559322,0.253333333
3.31307E-4,27.766758015,0.481183376,0.095411221,0.152542373,0.28
3.32927E-4,28.032430968,0.482845419,0.094625135,0.163841808,0.28
3.35177E-4,28.266525644,0.485144858,0.09393731,0.163841808,0.28
3.39559E-4,28.503068609,0.489593959,0.093249484,0.163841808,0.28
3.41485E-4,28.775624688,0.491536987,0.092463398,0.175141243,0.28
3.43478E-4,29.015690934,0.493540195,0.091775572,0.18079096,0.28
3.46365E-4,29.257140412,0.496428003,0.091087747,0.186440678,0.28
3.47491E-4,29.500060448,0.497549767,0.090399921,0.203389831,0.28
3.52013E-4,29.779701856,0.5020304,0.089613835,0.209039548,0.293333333
3.55996E-4,30.027496177,0.505943353,0.08892601,0.209039548,0.293333333
3.57778E-4,30.277632874,0.507684145,0.088238184,0.214689266,0.293333333
3.60068E-4,30.52888544,0.509911726,0.087550359,0.225988701,0.293333333
3.62871E-4,30.782171062,0.512624946,0.086862533,0.225988701,0.32
3.64751E-4,31.000467319,0.5144364,0.086272968,0.231638418,0.32
3.68493E-4,31.257029576,0.518022042,0.085585143,0.237288136,0.32
3.73017E-4,31.516446221,0.522321926,0.084897317,0.242937853,0.32
3.77189E-4,31.77899293,0.52625257,0.084209492,0.254237288,0.32
3.80717E-4,32.006597204,0.529551126,0.083619927,0.254237288,0.32
3.83202E-4,32.274263625,0.531861376,0.082932102,0.254237288,0.32
3.86225E-4,32.505200833,0.534656057,0.082342537,0.254237288,0.333333333
3.88867E-4,32.776536271,0.537084139,0.081654712,0.265536723,0.333333333
3.92439E-4,33.010940479,0.540348316,0.081065147,0.265536723,0.333333333
3.94582E-4,33.286372394,0.542295202,0.080377321,0.271186441,0.333333333
3.97309E-4,33.524253556,0.544760694,0.079787757,0.271186441,0.333333333
3.98064E-4,33.762956883,0.545440587,0.079198192,0.276836158,0.333333333
4.00919E-4,34.002820622,0.548003399,0.078608627,0.276836158,0.333333333
4.04798E-4,34.284584912,0.551462941,0.077920802,0.276836158,0.333333333
4.09124E-4,34.528750332,0.555290289,0.077331237,0.276836158,0.333333333
4.11503E-4,34.775039248,0.557380068,0.076741672,0.276836158,0.333333333
4.1398E-4,35.02294659,0.559546416,0.076152108,0.276836158,0.333333333
4.16216E-4,35.272102415,0.561493008,0.075562543,0.276836158,0.333333333
4.21779E-4,35.523736202,0.566298168,0.074972978,0.276836158,0.333333333
4.24299E-4,35.777787956,0.568457082,0.074383414,0.282485876,0.333333333
4.26323E-4,36.033252558,0.570183692,0.073793849,0.282485876,0.333333333
4.2793E-4,36.289564175,0.571549689,0.073204284,0.282485876,0.333333333
4.30342E-4,36.504256139,0.573591713,0.07271298,0.282485876,0.333333333
4.33021E-4,36.763397097,0.575848825,0.072123416,0.282485876,0.346666667
4.35337E-4,37.024046422,0.577789557,0.071533851,0.288135593,0.346666667
4.38393E-4,37.286013008,0.580337453,0.070944286,0.293785311,0.346666667
4.39163E-4,37.505484955,0.58097689,0.070452982,0.293785311,0.346666667
4.41248E-4,37.769781856,0.582704129,0.069863418,0.293785311,0.346666667
4.42921E-4,38.03510547,0.584084372,0.069273853,0.305084746,0.346666667
4.45837E-4,38.25731309,0.586479901,0.068782549,0.310734463,0.36
4.49876E-4,38.52598472,0.589774531,0.068192984,0.322033898,0.36
4.51732E-4,38.751406424,0.591279879,0.06770168,0.333333333,0.373333333
4.53617E-4,39.023124156,0.592802882,0.067112116,0.333333333,0.373333333
4.57626E-4,39.251044041,0.596023074,0.066620812,0.333333333,0.373333333
4.61512E-4,39.527093187,0.599121167,0.066031247,0.333333333,0.373333333
4.64077E-4,39.75859909,0.601152012,0.065539943,0.338983051,0.373333333
4.67127E-4,40.038111221,0.603554451,0.064950378,0.338983051,0.386666667
4.69335E-4,40.272497149,0.605284656,0.064459074,0.350282486,0.386666667
4.71846E-4,40.507922411,0.607242309,0.06396777,0.355932203,0.413333333
4.75118E-4,40.791922028,0.6097797,0.063378206,0.355932203,0.413333333
4.79956E-4,41.030525894,0.61350084,0.062886902,0.355932203,0.413333333
4.82482E-4,41.271357934,0.615429976,0.062395598,0.361581921,0.413333333
4.87255E-4,41.51426336,0.619048561,0.061904294,0.361581921,0.413333333
4.9078E-4,41.758971938,0.621698737,0.06141299,0.367231638,0.413333333
4.92737E-4,42.004906943,0.623162078,0.060921686,0.372881356,0.413333333
4.9458E-4,42.252058096,0.624535373,0.060430382,0.372881356,0.413333333
4.96821E-4,42.516921818,0.62619816,0.059840818,0.378531073,0.413333333
5.00082E-4,42.799076846,0.628604832,0.059349514,0.384180791,0.426666667
5.0271E-4,43.049821592,0.630533102,0.05885821,0.384180791,0.426666667
5.04208E-4,43.251265779,0.631627861,0.058465167,0.384180791,0.426666667
