x,y,species cloglog values
1.0,1.0,0.0016784206
2.0,2.0,0.14874953
3.0,3.0,0.0040525016
4.0,4.0,6.608564E-5
5.0,5.0,1.2611726E-4
6.0,6.0,3.2376996E-4
7.0,7.0,0.956889
8.0,8.0,0.001932914
9.0,9.0,8.81854E-5
10.0,10.0,0.003009214
11.0,11.0,3.412995E-4
12.0,12.0,7.326199E-4
13.0,13.0,1.0648758E-4
14.0,14.0,0.36298397
15.0,15.0,6.616654E-4
16.0,16.0,0.18993324
17.0,17.0,5.9096585E-4
18.0,18.0,5.648815E-5
19.0,19.0,2.9735582E-5
20.0,20.0,0.14923292
21.0,21.0,1.696264E-4
22.0,22.0,1.8728957E-6
23.0,23.0,7.287098E-5
24.0,24.0,0.01515315
25.0,25.0,3.8804847E-5
26.0,26.0,0.93791926
27.0,27.0,0.3348063
28.0,28.0,4.1719148E-5
29.0,29.0,1.14641785E-4
30.0,30.0,0.5888911
31.0,31.0,7.0570956E-4
32.0,32.0,3.0313194E-4
33.0,33.0,0.32446352
34.0,34.0,1.2978855E-4
35.0,35.0,1.878377E-4
36.0,36.0,0.44122273
37.0,37.0,0.21304342
38.0,38.0,0.002434794
39.0,39.0,0.020307368
40.0,40.0,4.180372E-4
41.0,41.0,0.0022119237
42.0,42.0,0.0025246488
43.0,43.0,5.145516E-4
44.0,44.0,0.22745559
45.0,45.0,0.6397607
46.0,46.0,0.0036006595
47.0,47.0,0.16479972
48.0,48.0,7.6296514E-5
49.0,49.0,0.04585813
50.0,50.0,1.3221955E-4
51.0,51.0,1.2637257E-4
52.0,52.0,2.7404132E-4
53.0,53.0,0.014644444
54.0,54.0,0.7960376
55.0,55.0,1.2197588E-4
56.0,56.0,0.06445378
57.0,57.0,2.1385243E-4
58.0,58.0,1.0217121E-4
59.0,59.0,0.48677745
60.0,60.0,0.008837388
61.0,61.0,0.6498831
62.0,62.0,4.20991E-5
63.0,63.0,8.153161E-4
64.0,64.0,5.886765E-5
65.0,65.0,0.6027147
66.0,66.0,1.38927935E-5
67.0,67.0,0.37326464
68.0,68.0,0.7339767
69.0,69.0,0.0012887395
70.0,70.0,2.8432254E-4
71.0,71.0,0.005149011
72.0,72.0,0.4136259
73.0,73.0,0.0015347495
74.0,74.0,3.0633467E-4
75.0,75.0,0.87596333
76.0,76.0,7.267776E-5
77.0,77.0,0.073530026
78.0,78.0,0.16585541
79.0,79.0,0.0012393523
80.0,80.0,0.55981725
81.0,81.0,0.008875414
82.0,82.0,0.0012636964
83.0,83.0,0.8521999
84.0,84.0,0.91480243
85.0,85.0,0.0010586447
86.0,86.0,0.0058843284
87.0,87.0,0.9298699
88.0,88.0,0.060600404
89.0,89.0,0.82341486
90.0,90.0,2.4455445E-4
91.0,91.0,1.2555156E-5
92.0,92.0,3.4471764E-4
93.0,93.0,1.7114259E-4
94.0,94.0,6.1465405E-5
95.0,95.0,6.533006E-4
96.0,96.0,0.006879831
97.0,97.0,6.0812603E-5
98.0,98.0,8.350697E-5
99.0,99.0,0.0030144611
100.0,100.0,5.818065E-4
101.0,101.0,2.3061126E-4
102.0,102.0,0.03441758
103.0,103.0,2.2642806E-4
104.0,104.0,3.7885873E-4
105.0,105.0,2.574293E-4
106.0,106.0,0.001366074
107.0,107.0,0.90911156
108.0,108.0,0.002173896
109.0,109.0,3.7964561E-4
110.0,110.0,0.0015556002
111.0,111.0,4.3810833E-5
112.0,112.0,0.0059188628
113.0,113.0,0.007914896
114.0,114.0,0.02121176
115.0,115.0,6.144913E-4
116.0,116.0,4.0879593E-5
117.0,117.0,8.288476E-4
118.0,118.0,1.2475622E-4
119.0,119.0,4.8730537E-5
120.0,120.0,1.4496388E-4
121.0,121.0,4.1411735E-5
122.0,122.0,0.010094973
123.0,123.0,0.18384382
124.0,124.0,0.042663228
125.0,125.0,0.5964717
126.0,126.0,0.44240806
127.0,127.0,5.22866E-4
128.0,128.0,8.8378154E-5
129.0,129.0,6.998672E-5
130.0,130.0,3.8064577E-4
131.0,131.0,3.2174337E-4
132.0,132.0,0.79169816
133.0,133.0,0.004358346
134.0,134.0,9.671868E-4
135.0,135.0,1.8746189E-4
136.0,136.0,3.1923562E-5
137.0,137.0,6.0740673E-5
138.0,138.0,0.031242914
139.0,139.0,2.8562512E-5
140.0,140.0,8.588012E-5
141.0,141.0,0.7021831
142.0,142.0,0.05698808
143.0,143.0,0.5148428
144.0,144.0,2.9221285E-4
145.0,145.0,7.755525E-4
146.0,146.0,0.00187191
147.0,147.0,0.014689678
148.0,148.0,5.640546E-4
149.0,149.0,1.2972919E-4
150.0,150.0,0.0049699177
151.0,151.0,0.0020574795
152.0,152.0,0.17687327
153.0,153.0,0.0042736335
154.0,154.0,8.9928886E-4
155.0,155.0,0.5985153
156.0,156.0,3.2845253E-4
157.0,157.0,9.424139E-5
158.0,158.0,0.3499603
159.0,159.0,3.5067656E-4
160.0,160.0,0.13525563
161.0,161.0,0.030072423
162.0,162.0,3.309402E-4
163.0,163.0,1.8519965E-4
164.0,164.0,1.4823177E-5
165.0,165.0,6.501826E-4
166.0,166.0,0.0020763485
167.0,167.0,0.35661748
168.0,168.0,0.20979424
169.0,169.0,3.9704522E-5
170.0,170.0,2.5656354E-4
171.0,171.0,3.583369E-4
172.0,172.0,0.438297
173.0,173.0,0.0017309735
174.0,174.0,1.3707478E-4
175.0,175.0,1.348762E-4
176.0,176.0,0.0024987771
177.0,177.0,0.037252862
178.0,178.0,0.046881177
179.0,179.0,0.0010428772
180.0,180.0,2.4128665E-4
181.0,181.0,0.0019533087
182.0,182.0,0.43363953
183.0,183.0,1.074669E-4
184.0,184.0,0.002749492
185.0,185.0,0.30439067
186.0,186.0,0.0032484161
187.0,187.0,0.44735277
188.0,188.0,0.18494377
189.0,189.0,0.021117937
190.0,190.0,8.563507E-4
191.0,191.0,0.001663577
192.0,192.0,0.002026797
193.0,193.0,0.74971664
194.0,194.0,3.5126007E-4
195.0,195.0,0.2933752
196.0,196.0,0.6925454
197.0,197.0,0.124819465
198.0,198.0,0.022371521
199.0,199.0,0.16716652
200.0,200.0,6.352331E-4
201.0,201.0,0.0011185188
202.0,202.0,9.933426E-5
203.0,203.0,9.452386E-5
204.0,204.0,0.13085851
205.0,205.0,0.025615335
206.0,206.0,0.82157505
207.0,207.0,2.5625057E-5
208.0,208.0,0.01858889
