Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.93143E-11,0.000000003,0.000000039,0.999803478,0,0
3.30442E-11,0.000000011,0.000000066,0.999508696,0,0
4.38551E-11,0.000000027,0.000000088,0.999115653,0,0
1.00187E-10,0.000000108,0.000000202,0.998034784,0,0
2.20619E-10,0.00000026,0.000000444,0.997150437,0,0
4.91282E-10,0.000001041,0.000000988,0.995185222,0,0
7.53941E-10,0.000002537,0.000001517,0.992826963,0,0
3.47835E-9,0.000010202,0.000006997,0.987619141,0,0
5.20749E-9,0.000025195,0.000010475,0.984573057,0,0
6.2408E-9,0.000050174,0.000012554,0.980249582,0,0
7.46114E-9,0.000100398,0.000015008,0.972978284,0,0
1.07637E-8,0.000250425,0.000021651,0.957158298,0,0
1.42116E-8,0.000500026,0.000028587,0.937604402,0,0
2.02703E-8,0.001001383,0.000040774,0.909010514,0,0
3.55693E-8,0.002503193,0.000071547,0.853787953,0,0
5.77703E-8,0.005000367,0.000116201,0.801611477,0,0
9.18829E-8,0.010008326,0.00018481,0.733811536,0,0
2.0782E-7,0.025002461,0.000417951,0.629360322,0,0
4.64007E-7,0.050013003,0.000932937,0.551832564,0,0
1.15026E-6,0.100094208,0.002311125,0.485703056,0,0
2.91678E-6,0.2001832,0.005850069,0.431364842,0,0
5.23614E-6,0.300340949,0.010477475,0.406406603,0,0
7.0176E-6,0.40040846,0.014017073,0.390291835,0,0
8.72895E-6,0.500615564,0.017405436,0.377714454,0,0
1.01529E-5,0.600362714,0.020215905,0.367298811,0,0
1.12631E-5,0.700899422,0.022401461,0.358062297,0,0
1.19205E-5,0.750702231,0.023693435,0.353837084,0,0
1.25424E-5,0.800733759,0.024914116,0.349808391,0,0
1.36096E-5,0.900346778,0.027004949,0.342340572,0,0
1.5235E-5,1.001135331,0.030181111,0.335462317,0,0
1.67126E-5,1.100012384,0.033059385,0.329370148,0,0
1.76681E-5,1.201705587,0.034916044,0.323572762,0,0
1.90906E-5,1.300733149,0.037673592,0.31826668,0,0
2.01534E-5,1.400746352,0.039728801,0.31325538,0,0
2.12349E-5,1.500098453,0.041815491,0.308538862,0,0
2.45263E-5,1.750305446,0.048138582,0.297828437,0,0
2.80752E-5,2.00073045,0.054909487,0.288493662,0,0
3.15586E-5,2.252735763,0.061508659,0.280239756,0,0
3.46943E-5,2.500495855,0.067409721,0.272870198,0,0
3.76433E-5,2.753646953,0.072925469,0.265991943,0,0
4.18524E-5,3.00218584,0.080741599,0.259801513,0,0
4.59106E-5,3.25215161,0.088215328,0.254200649,0,0
5.03048E-5,3.501348717,0.096239103,0.249091088,0,0
5.43993E-5,3.752394266,0.103652217,0.24437457,0,0
5.93529E-5,4.002165274,0.112539372,0.240051096,0,0
6.47765E-5,4.252777527,0.122168869,0.236120664,0,0
6.91248E-5,4.506659695,0.12981358,0.232386754,0,0
7.38865E-5,4.757237293,0.138108735,0.228947627,0,0
7.79158E-5,5.000162191,0.145066209,0.225803282,0,0
8.19534E-5,5.256294972,0.151981701,0.222658937,0,0.013333333
8.54147E-5,5.507676585,0.157865575,0.219711113,0,0.013333333
