X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,4.50922713137323E-4,38.95670960207746,0.5962875172134401
3.0,3.0,train,5.898756454400342E-4,49.44493916111661,0.6947312416688654
4.0,4.0,train,1.2797394180261506E-4,9.449437105317367,0.2269608826154379
5.0,5.0,train,3.7122083116656945E-4,32.20622335909699,0.5260854422463928
7.0,7.0,train,3.357320241591767E-4,28.806634150717205,0.49101708067584704
8.0,8.0,train,4.723706920866617E-4,40.75949422677725,0.6133347522283714
9.0,9.0,train,2.8477297703496685E-4,23.82521665310844,0.436075155428691
10.0,10.0,train,3.51487202935919E-4,30.764544503692907,0.5068949805383158
11.0,11.0,train,3.6628328235490125E-4,31.72523687470252,0.5213550168274195
12.0,12.0,train,3.79020057452261E-4,32.746521647596566,0.5334624381042199
13.0,13.0,train,7.626237363740299E-4,59.076848207554505,0.784340317517767
14.0,14.0,train,2.897943583609327E-4,24.364808000393115,0.441742546230355
16.0,16.0,train,2.951105397981872E-4,25.074952667802997,0.4476806052286877
17.0,17.0,train,9.186711720887963E-4,69.55265096914053,0.8424402367600998
18.0,18.0,train,9.921798153099005E-4,73.76683353698485,0.8640973625275298
19.0,19.0,train,0.0012505286469340268,84.61228643300844,0.9191773010214024
20.0,20.0,train,0.001240365075855377,84.4839072475491,0.9175079143528392
21.0,21.0,train,0.0011988214654491335,83.1862898006065,0.9103180707379935
25.0,25.0,train,8.417692888387509E-4,63.86942774728266,0.8160807863393869
26.0,26.0,train,8.292638452015493E-4,62.85765701688369,0.8113955630943284
27.0,27.0,train,8.189641660887771E-4,62.20941922710258,0.807447241500749
29.0,29.0,train,8.204735990551009E-4,62.30530215561949,0.8080310019282142
31.0,31.0,train,2.1832254633545234E-4,17.658040255473818,0.35542630032802036
32.0,32.0,train,9.389938847471495E-4,71.50641516031658,0.8487514153385158
33.0,33.0,train,9.042352842895037E-4,68.27574892553935,0.8377978648266173
36.0,36.0,train,8.9920246100008E-4,67.63708771876277,0.8361474288482185
37.0,37.0,train,8.958697663717374E-4,67.35330392146366,0.8350452919177613
39.0,39.0,train,9.083511919610884E-4,68.54787080475064,0.8391352479147441
40.0,40.0,train,8.888023013387625E-4,67.05769653063153,0.8326834579962722
43.0,43.0,train,3.905628032015273E-4,33.81260815581722,0.5441700800193247
44.0,44.0,train,3.639809374652037E-4,31.519562602447124,0.5191331389673464
45.0,45.0,train,6.002444252471202E-4,50.25620516623726,0.7010323799894795
46.0,46.0,train,0.0010059903216776294,74.34265860819558,0.8678208442749558
48.0,48.0,train,6.327947827335284E-4,52.08965713059689,0.7199806544334661
49.0,49.0,train,5.676046723195871E-4,48.03033798008764,0.6807445143945963
50.0,50.0,train,6.365338214346747E-4,52.28916739896633,0.7220788503290125
51.0,51.0,train,4.966309137411248E-4,42.85326590140835,0.6317512192485446
52.0,52.0,train,5.571940787799338E-4,47.349090478352956,0.6739883626698446
53.0,53.0,train,6.822006304747415E-4,54.5452655610703,0.7464714357046408
54.0,54.0,train,5.982805247623934E-4,50.0971306720908,0.699848978854213
55.0,55.0,train,9.724304335724176E-4,73.09108009734294,0.8585897072729991
56.0,56.0,train,6.589854697591185E-4,53.554863613302494,0.7343512656908843
57.0,57.0,train,4.3553512799083264E-4,37.6763545221728,0.5835960584504002
58.0,58.0,train,4.672951737880023E-4,40.328195623838255,0.609366816277817
62.0,62.0,train,4.1251114893732266E-4,35.507110809099494,0.5638572388595781
63.0,63.0,train,2.698037431397949E-4,22.2018484773071,0.418836395078263
65.0,65.0,train,5.125457600967827E-4,44.22213281513855,0.6433534342653924
66.0,66.0,train,5.339284628192969E-4,45.776229064109465,0.6583684000993903
67.0,67.0,train,6.159340694304995E-4,51.153193828866605,0.710320594530263
68.0,68.0,train,5.260295621123594E-4,45.20592976911746,0.6528968580015637
69.0,69.0,train,5.35127414530568E-4,45.835285878700326,0.6591913366648077
70.0,70.0,train,6.094519809262693E-4,50.76123394930351,0.7065187244275957
71.0,71.0,train,5.192965953108422E-4,44.774548802404716,0.6481638248940607
72.0,72.0,train,5.941730600095877E-4,49.82357513638394,0.6973587498533742
74.0,74.0,train,3.448331863139425E-4,29.788284584428382,0.5002504658449585
75.0,75.0,train,5.421094853478346E-4,46.45460396977115,0.6639444579357046
76.0,76.0,train,5.474307140120881E-4,47.02222094674189,0.6675223807410371
77.0,77.0,train,5.532150196915587E-4,47.207665094588066,0.6713684733559036
78.0,78.0,train,4.1676931382054376E-4,35.95658250332799,0.5675770657352477
79.0,79.0,train,2.5665084120788506E-4,21.02076509453678,0.40325493672816626
80.0,80.0,train,2.7560408483008565E-4,22.706309167877986,0.42557781037518216
81.0,81.0,train,3.31925995816684E-4,28.548616015738997,0.4871053495144787
82.0,82.0,train,2.2815075140685028E-4,18.547716322821167,0.36804431757591083
83.0,83.0,train,3.385525401645676E-4,29.193686580905023,0.4938966701981867
86.0,86.0,train,7.971848536719223E-4,61.028209106997245,0.7988239688454752
89.0,89.0,train,9.373076944204224E-4,71.29223379416179,0.8482375315888386
90.0,90.0,train,9.473304227260633E-4,72.03385658288893,0.8512666062631198
91.0,91.0,train,0.001178257858074062,82.07618717263662,0.9065306141567825
92.0,92.0,train,0.0012202724158299723,84.0383000552267,0.914105509222316
94.0,94.0,train,9.041465313868041E-4,68.2529188502617,0.837768904188109
95.0,95.0,train,0.0010782070977100183,77.55894483720449,0.8856926597902378
97.0,97.0,train,9.043857913954205E-4,68.2856985057378,0.8378469644390076
98.0,98.0,train,9.329946434257431E-4,70.90548417857866,0.8469151264813349
99.0,99.0,train,8.848552652244353E-4,66.92167530096792,0.8313497356547527
100.0,100.0,train,4.981916761579928E-4,43.029295440421635,0.6329055407433014
101.0,101.0,train,5.043671668688556E-4,43.42834696110091,0.6374374881434341
103.0,103.0,train,7.962334904561674E-4,60.99740461879259,0.798438607235909
104.0,104.0,train,8.505671671499938E-4,64.33132168167842,0.8193070363690009
106.0,106.0,train,8.235320528705041E-4,62.5719221951078,0.8092084126967163
107.0,107.0,train,7.708545986244834E-4,59.7356997088522,0.7878815483032962
108.0,108.0,train,6.961946404423499E-4,55.4250214745271,0.7535086542163612
109.0,109.0,train,7.098230837187456E-4,56.22092531760248,0.760174247769554
110.0,110.0,train,7.12869041132148E-4,56.422661720663726,0.7616391885664375
111.0,111.0,train,5.816232639619646E-4,48.72037823091279,0.6896214695697243
112.0,112.0,train,0.001063277115320162,76.85987946787769,0.8822076707778073
114.0,114.0,train,8.723676640955447E-4,66.07898014411364,0.8270596861576367
116.0,116.0,train,2.289044523264225E-4,18.63032240807734,0.3690017028081547
117.0,117.0,train,9.232821747945387E-4,70.0134350379447,0.8438948863559872
118.0,118.0,train,3.027096238840289E-4,25.966820562585024,0.45605911363394847
120.0,120.0,train,8.721484101405585E-4,66.05166334831033,0.82698339579398
121.0,121.0,train,4.205647965829461E-4,36.167394402510375,0.5708659542751648
124.0,124.0,train,0.0011881858804070424,82.526271593917,0.9083787462315522
125.0,125.0,train,0.001097380581097601,78.35438688880424,0.8900173726305091
127.0,127.0,train,0.0010970544026333148,78.32268280767373,0.8899451867780901
130.0,130.0,train,3.821031096456896E-4,33.055593724577314,0.536346813202025
132.0,132.0,train,3.8700366956536156E-4,33.39113572852282,0.5408949170179083
135.0,135.0,train,6.140695689154092E-4,51.03640226959019,0.709232103054655
136.0,136.0,train,3.364926282534417E-4,28.943076633320103,0.4917952245598345
137.0,137.0,train,3.2591912785129615E-4,28.102739635840475,0.4808704000036016
138.0,138.0,train,7.77546349007119E-4,60.122200176156966,0.790717695207702
140.0,140.0,train,0.0019694860231863716,96.01659559078018,0.9809695345157172
141.0,141.0,train,0.0011899282208939835,82.63867174098904,0.908699298353198
142.0,142.0,train,0.001667882119366156,91.80296149883442,0.9650914551888382
144.0,144.0,train,0.0010813406357972593,77.77513858015419,0.8864109026426212
146.0,146.0,train,3.6024900624792805E-4,31.320752863894555,0.515509709214756
148.0,148.0,train,8.053380919522913E-4,61.434753761212974,0.802096472349198
149.0,149.0,train,5.947288674125568E-4,49.85773289022895,0.6976969236289637
151.0,151.0,train,0.0011735198598185684,81.60646940104489,0.9056355261703724
153.0,153.0,train,5.560430363490719E-4,47.29832419016198,0.6732326485390774
154.0,154.0,train,9.095158881509223E-4,68.81526372168264,0.8395116873720602
155.0,155.0,train,2.8046161776468616E-4,23.3564977674461,0.4311632471748542
156.0,156.0,train,0.0011612872270857786,81.18302793655148,0.9032847413065781
158.0,158.0,train,9.267781693999782E-4,70.162438357256,0.8449888224537985
159.0,159.0,train,9.031831745504645E-4,68.00452110314637,0.8374542218404195
160.0,160.0,train,9.602206259591709E-4,72.5621254799587,0.855073582665981
162.0,162.0,train,9.376907623002429E-4,71.3186220326752,0.8483544285005735
163.0,163.0,train,4.886409836020372E-4,42.308143320578694,0.6257848624277553
164.0,164.0,train,4.961023592477557E-4,42.793653238516406,0.6313594843953566
167.0,167.0,train,4.788280688254652E-4,41.33849448409961,0.6183247914182586
169.0,169.0,train,7.656413460442184E-4,59.31189470089023,0.7856454206303076
170.0,170.0,train,3.406978129935657E-4,29.382410060622263,0.4960759612553747
171.0,171.0,train,9.226187515947853E-4,69.93504789222492,0.843686423908043
172.0,172.0,train,8.274441547340183E-4,62.75669327412748,0.8107039316270739
173.0,173.0,train,7.672464565071582E-4,59.42448340487693,0.7863364030486927
174.0,174.0,train,7.356888916384656E-4,57.49553365695217,0.7723333874432693
176.0,176.0,train,7.816698999702344E-4,60.3172275149953,0.7924464531088596
177.0,177.0,train,8.468087534339998E-4,64.16209745284239,0.8179357796323371
