Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.41471E-11,0.000000003,0.000000095,1,0,0
3.9656E-11,0.000000011,0.000000111,0.999816598,0,0
4.33476E-11,0.000000028,0.000000121,0.999449794,0,0
5.67988E-11,0.000000103,0.000000159,0.998074278,0,0
7.39067E-11,0.000000255,0.000000207,0.995965154,0,0
1.80053E-10,0.000001017,0.000000503,0.989821183,0,0
5.88481E-10,0.000002507,0.000001645,0.986153141,0,0
2.60731E-9,0.000010191,0.000007287,0.980467675,0,0
6.25494E-9,0.000025109,0.000017481,0.977166437,0,0
1.4787E-8,0.000051308,0.000041325,0.975057313,0,0
3.16033E-8,0.00010047,0.00008832,0.972948189,0,0
4.43917E-8,0.000250976,0.000124057,0.969463549,0,0
5.31717E-8,0.00050035,0.000148592,0.964786795,0,0
6.81967E-8,0.001004566,0.000190576,0.957267309,0,0
8.91067E-8,0.002508705,0.000249002,0.939935809,0,0
1.16633E-7,0.005005148,0.000325909,0.917652453,0,0
1.55474E-7,0.010011356,0.000434421,0.883906465,0,0
2.61937E-7,0.025021793,0.000731787,0.818340211,0,0
3.9395E-7,0.050035069,0.001100395,0.746721687,0,0
6.52082E-7,0.100046642,0.001820762,0.658321871,0,0
1.61996E-6,0.200096718,0.004517188,0.569096745,0,0
2.7337E-6,0.300195954,0.007610964,0.52608895,0,0
3.63797E-6,0.400368772,0.010115784,0.497111417,0,0
4.61146E-6,0.500064485,0.0128053,0.474644658,0.003236246,0
5.52478E-6,0.600099674,0.015321934,0.456396149,0.003236246,0
6.50031E-6,0.700040275,0.01800289,0.441173773,0.003236246,0
6.92343E-6,0.750390575,0.019163417,0.434296194,0.003236246,0
7.50924E-6,0.800479155,0.02076795,0.427968822,0.003236246,0
8.46944E-6,0.900829763,0.023392242,0.416414489,0.003236246,0
9.65858E-6,1.000456861,0.026632496,0.406327373,0.003236246,0
1.1202E-5,1.100943151,0.03082211,0.39743237,0.003236246,0
1.24835E-5,1.200691265,0.034287104,0.389637781,0.003236246,0
1.40704E-5,1.301264792,0.038560407,0.382668501,0.003236246,0
1.54076E-5,1.401083178,0.042146798,0.376432829,0.003236246,0
1.64952E-5,1.500437117,0.045053895,0.370747364,0.003236246,0
1.9195E-5,1.751908934,0.05223206,0.357725814,0.003236246,0
2.25737E-5,2.001896138,0.061139525,0.346629986,0.003236246,0
2.5707E-5,2.250552549,0.069325061,0.337184778,0.003236246,0
2.87511E-5,2.50045157,0.077209388,0.328748281,0.003236246,0
