Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.39952E-10,0.000000044,0.000001288,1,0,0
7.59468E-10,0.00000012,0.000002223,0.999908307,0,0
9.73431E-10,0.000000295,0.000002849,0.999724922,0,0
2.14365E-9,0.000001076,0.000006274,0.999358151,0,0
2.48512E-9,0.000002521,0.000007273,0.998807996,0,0
3.44803E-9,0.000010087,0.000010091,0.996515679,0,0
6.37149E-9,0.000025249,0.000018647,0.993673207,0,0
8.07502E-9,0.000050121,0.000023633,0.990555657,0,0
1.32961E-8,0.000101181,0.000038912,0.98615441,0,0
2.43875E-8,0.000252407,0.000071371,0.978727306,0,0
3.62005E-8,0.0005,0.000105941,0.971300202,0,0
5.13551E-8,0.001002051,0.000150288,0.96084724,0,0
7.23238E-8,0.002501233,0.000211645,0.938841005,0,0
9.61783E-8,0.005007147,0.000281441,0.911791674,0,0
1.3723E-7,0.010006499,0.000401545,0.872363836,0,0
2.25825E-7,0.025012513,0.000660695,0.796167247,0,0
3.65255E-7,0.05003024,0.001068406,0.716761416,0,0
7.3216E-7,0.1000374,0.002140487,0.624885384,0,0
2.02582E-6,0.200100858,0.005911331,0.55162296,0,0
3.13336E-6,0.300156216,0.009128346,0.516046213,0.002155172,0.004329004
4.3953E-6,0.40040354,0.012781165,0.491289199,0.002155172,0.004329004
5.52125E-6,0.50008511,0.016028949,0.472858977,0.002155172,0.004329004
6.76167E-6,0.600476096,0.019594587,0.457821383,0.002155172,0.004329004
8.31617E-6,0.700188506,0.024044792,0.445626261,0.002155172,0.004329004
9.24294E-6,0.750316225,0.026688331,0.44039978,0.002155172,0.004329004
1.00505E-5,0.800537564,0.028985906,0.435631762,0.002155172,0.004329004
1.15709E-5,0.900397419,0.033297165,0.427196039,0.002155172,0.004329004
1.26489E-5,1.000547329,0.036342133,0.419585549,0.002155172,0.004329004
1.35307E-5,1.100605192,0.038825832,0.412616908,0.002155172,0.004329004
1.44416E-5,1.200177467,0.041384887,0.40610673,0.002155172,0.004329004
1.5345E-5,1.301292655,0.043916104,0.39987163,0.002155172,0.004329004
1.63589E-5,1.401380792,0.046749007,0.394094994,0.002155172,0.004329004
1.73423E-5,1.500904092,0.049488552,0.388685127,0.002155172,0.004329004
1.9707E-5,1.751496282,0.05604381,0.37630662,0.002155172,0.004329004
2.20673E-5,2.000345334,0.062542083,0.365395195,0.002155172,0.004329004
2.48704E-5,2.250595451,0.070201199,0.355675775,0.002155172,0.004329004
2.71438E-5,2.500364916,0.076367081,0.346873281,0.002155172,0.004329004
2.96192E-5,2.752224147,0.083034441,0.338712635,0.002155172,0.004329004
3.20013E-5,3.001638351,0.089404893,0.331285531,0.003232759,0.008658009
3.48064E-5,3.252444562,0.096849861,0.324408582,0.004310345,0.008658009
3.87266E-5,3.503200736,0.107152514,0.318173482,0.004310345,0.008658009
4.21195E-5,3.751041915,0.115974604,0.312580231,0.004310345,0.008658009
4.52834E-5,4.00301221,0.124122402,0.307262058,0.004310345,0.008658009
4.96767E-5,4.25045713,0.13531205,0.30249404,0.004310345,0.008658009
5.36226E-5,4.50380412,0.145240455,0.2980011,0.004310345,0.008658009
5.6995E-5,4.752463391,0.153635324,0.293874931,0.004310345,0.008658009
6.06238E-5,5.004846256,0.162576212,0.289932147,0.004310345,0.008658009
6.41822E-5,5.254115106,0.171252185,0.286264442,0.004310345,0.008658009
6.69932E-5,5.503286685,0.178042188,0.282780121,0.004310345,0.008658009
6.98886E-5,5.755926775,0.18497795,0.279387493,0.004310345,0.008658009
7.32254E-5,6.005371357,0.192898407,0.276178251,0.004310345,0.008658009
7.5792E-5,6.252027253,0.198938307,0.273152393,0.004310345,0.008658009
7.87585E-5,6.506833448,0.205862935,0.270126536,0.004310345,0.008658009
8.11116E-5,6.755128963,0.211313154,0.267284064,0.007543103,0.008658009
8.40379E-5,7.003317454,0.218038804,0.264533284,0.007543103,0.008658009
8.5585E-5,7.257488034,0.221571357,0.261782505,0.007543103,0.008658009
8.77085E-5,7.500045889,0.226394092,0.259215111,0.007543103,0.008658009
8.98364E-5,7.757648745,0.231196945,0.256556024,0.007543103,0.008658009
9.38285E-5,8.004491723,0.240126892,0.254080323,0.007543103,0.008658009
9.61452E-5,8.251603413,0.245261699,0.251696314,0.007543103,0.008658009
9.9193E-5,8.505240714,0.251963866,0.249312305,0.007543103,0.008658009
1.01552E-4,8.75606109,0.257109717,0.247019989,0.010775862,0.008658009
1.04766E-4,9.004301491,0.264065566,0.244819365,0.010775862,0.008658009
1.07123E-4,9.258177307,0.269123865,0.242618742,0.016163793,0.008658009
1.10933E-4,9.509313704,0.277229347,0.240509811,0.016163793,0.008658009
1.12735E-4,9.75524957,0.281031324,0.238492573,0.017241379,0.008658009
1.1683E-4,10.043267369,0.289595378,0.236200257,0.021551724,0.008658009
1.18544E-4,10.25522781,0.293149823,0.234549789,0.021551724,0.008658009
1.2178E-4,10.507580864,0.299814094,0.232624244,0.021551724,0.008658009
1.24926E-4,10.754439418,0.306231232,0.230790391,0.021551724,0.008658009
1.27227E-4,11.006944347,0.310886763,0.228864845,0.021551724,0.008658009
1.28774E-4,11.250275634,0.31399952,0.227214377,0.023706897,0.012987013
1.3128E-4,11.510170963,0.319013458,0.225380524,0.023706897,0.012987013
1.3305E-4,11.761479811,0.322532028,0.223638364,0.023706897,0.012987013
1.33941E-4,12.001819204,0.324295905,0.221987897,0.030172414,0.012987013
1.35795E-4,12.258234699,0.327951855,0.220245736,0.030172414,0.012987013
1.38183E-4,12.505056629,0.332632818,0.218595269,0.030172414,0.012987013
1.39812E-4,12.755470656,0.335807079,0.216944801,0.030172414,0.012987013
1.41912E-4,13.009420758,0.339875663,0.215294333,0.03125,0.025974026
1.44101E-4,13.266878928,0.34409239,0.213643866,0.033405172,0.025974026
1.455E-4,13.513332034,0.346772718,0.212085091,0.033405172,0.025974026
1.47034E-4,13.762205671,0.34969805,0.210526316,0.035560345,0.025974026
1.49175E-4,14.013971064,0.35376003,0.208967541,0.035560345,0.025974026
1.50966E-4,14.254444996,0.357138554,0.207500458,0.035560345,0.025974026
1.53006E-4,14.512965358,0.36096518,0.205941683,0.035560345,0.025974026
1.5543E-4,14.759919691,0.365482606,0.204474601,0.035560345,0.025974026
1.57577E-4,15.010284641,0.369456991,0.203007519,0.037715517,0.025974026
1.59208E-4,15.32771882,0.372459488,0.201081973,0.037715517,0.025974026
1.60632E-4,15.503782346,0.375068711,0.200165047,0.050646552,0.034632035
1.627E-4,15.762829316,0.378840162,0.198697964,0.050646552,0.034632035
1.65045E-4,16.008998553,0.38308853,0.197322575,0.058189655,0.043290043
1.66852E-4,16.257690162,0.386343,0.195947185,0.066810345,0.043290043
1.68522E-4,16.509352922,0.389335348,0.194571795,0.068965517,0.047619048
1.7029E-4,16.763410726,0.392485904,0.193196406,0.068965517,0.047619048
1.71626E-4,17.002774253,0.394857667,0.191912709,0.070043103,0.047619048
1.73732E-4,17.261943987,0.398575522,0.190537319,0.070043103,0.047619048
1.76512E-4,17.506863273,0.403449591,0.189253622,0.070043103,0.047619048
1.78366E-4,17.75550158,0.406677817,0.187969925,0.070043103,0.047619048
1.80023E-4,18.006546059,0.409547599,0.186686228,0.070043103,0.047619048
1.81633E-4,18.259620191,0.412322519,0.185402531,0.070043103,0.047619048
1.8493E-4,18.516762958,0.417966413,0.184118834,0.070043103,0.047619048
1.85052E-4,18.979352706,0.418173715,0.181826518,0.094827586,0.056277056
1.85318E-4,19.016403213,0.418626315,0.181643132,0.094827586,0.056277056
1.86642E-4,19.25840887,0.420874818,0.180451128,0.094827586,0.056277056
