Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.22999E-12,0.000000001,0.000000008,0.999706458,0,0
1.88805E-11,0.000000003,0.000000025,0.999608611,0,0
6.10309E-11,0.000000014,0.00000008,0.999315068,0,0
6.99954E-11,0.000000027,0.000000092,0.999119374,0,0
9.03195E-11,0.000000107,0.000000118,0.9981409,0,0
1.23028E-10,0.000000258,0.000000161,0.996771037,0,0
3.89863E-10,0.000001019,0.00000051,0.993248532,0,0
1.0132E-9,0.000002546,0.000001326,0.990900196,0,0
2.96489E-9,0.00001016,0.00000388,0.987181996,0,0
5.17113E-9,0.000025194,0.000006767,0.983757339,0,0
6.01997E-9,0.00005034,0.000007878,0.979354207,0,0
7.66393E-9,0.000100054,0.00001003,0.97221135,0,0
1.13182E-8,0.000250162,0.000014812,0.956947162,0,0
1.48903E-8,0.000500635,0.000019487,0.938258317,0,0
2.05078E-8,0.001001838,0.000026838,0.910861057,0,0
3.40911E-8,0.002500775,0.000044614,0.85518591,0,0
5.27024E-8,0.005003123,0.000068969,0.799021526,0,0
8.24513E-8,0.010004131,0.000107898,0.723874755,0,0
1.67751E-7,0.02501543,0.000219512,0.600978474,0,0
4.5968E-7,0.050027765,0.000601403,0.513013699,0,0
1.15553E-6,0.100019185,0.001511106,0.449315068,0,0
2.65357E-6,0.200126417,0.003466707,0.395107632,0,0.010638298
4.17519E-6,0.300054667,0.005449181,0.365655577,0,0.010638298
5.76787E-6,0.400138857,0.007520008,0.345988258,0,0.010638298
7.15527E-6,0.500261334,0.009320413,0.330821918,0,0.010638298
8.49494E-6,0.600622286,0.011055781,0.318297456,0,0.010638298
9.9692E-6,0.700781618,0.012961986,0.307632094,0,0.010638298
1.10082E-5,0.750161697,0.014303233,0.303033268,0,0.010638298
1.19151E-5,0.800981728,0.015472387,0.298727984,0,0.010638298
1.33454E-5,0.900819334,0.017313584,0.290998043,0,0.010638298
1.47077E-5,1.001413301,0.019064002,0.283953033,0,0.010638298
1.64332E-5,1.101007477,0.021276587,0.277690802,0,0.010638298
1.79232E-5,1.201524106,0.023183144,0.271917808,0,0.010638298
1.93511E-5,1.300149991,0.025006895,0.266731898,0,0.010638298
2.05562E-5,1.400004967,0.026543372,0.26183953,0.004545455,0.010638298
2.22475E-5,1.500263876,0.028695552,0.257240705,0.004545455,0.010638298
2.51277E-5,1.751230359,0.032349889,0.246868885,0.009090909,0.010638298
2.89451E-5,2.000487456,0.037172031,0.237866928,0.009090909,0.010638298
3.20554E-5,2.250917965,0.041083221,0.229843444,0.009090909,0.010638298
3.77649E-5,2.50024659,0.048221533,0.222798434,0.009090909,0.010638298
4.26646E-5,2.750416519,0.054305099,0.216731898,0.009090909,0.010638298
4.74638E-5,3.000998831,0.060226134,0.211252446,0.009090909,0.010638298
5.16933E-5,3.254528927,0.065413553,0.206262231,0.013636364,0.010638298
5.59715E-5,3.50222643,0.070631592,0.201761252,0.013636364,0.010638298
6.14058E-5,3.750013599,0.077217736,0.197651663,0.013636364,0.010638298
6.70797E-5,4.001120736,0.084044428,0.193835616,0.018181818,0.010638298
7.18791E-5,4.252351224,0.089779481,0.190313112,0.022727273,0.010638298
7.68296E-5,4.504941101,0.09565745,0.186986301,0.022727273,0.010638298
8.06408E-5,4.756652668,0.100156853,0.183855186,0.022727273,0.010638298
8.43892E-5,5.004093116,0.104560344,0.180919765,0.022727273,0.010638298
8.86037E-5,5.255947347,0.1094855,0.178082192,0.022727273,0.021276596
9.36285E-5,5.501059845,0.11532233,0.175440313,0.022727273,0.021276596
9.72163E-5,5.759159126,0.119466428,0.172798434,0.027272727,0.021276596
1.00393E-4,6.005583312,0.123119148,0.17035225,0.027272727,0.021276596
1.04396E-4,6.251481575,0.127701579,0.168003914,0.027272727,0.021276596
1.07007E-4,6.504859424,0.130677123,0.165655577,0.027272727,0.031914894
1.10103E-4,6.754153421,0.134192523,0.163405088,0.027272727,0.042553191
1.13488E-4,7.011055422,0.138019552,0.161154599,0.027272727,0.042553191
1.17485E-4,7.252854797,0.142516247,0.159099804,0.027272727,0.042553191
1.22312E-4,7.504602702,0.147916407,0.15704501,0.031818182,0.053191489
1.25169E-4,7.752374471,0.15109586,0.155088063,0.031818182,0.053191489
1.3006E-4,8.007792102,0.156512329,0.153131115,0.031818182,0.063829787
1.331E-4,8.257877119,0.159861616,0.151272016,0.031818182,0.063829787
1.35902E-4,8.500388403,0.162936626,0.149510763,0.031818182,0.063829787
1.40254E-4,8.763194254,0.167690085,0.147651663,0.036363636,0.063829787
1.42768E-4,9.004198627,0.170424319,0.145988258,0.036363636,0.063829787
1.45095E-4,9.263583758,0.172946937,0.144227006,0.036363636,0.063829787
1.49362E-4,9.514465171,0.177552878,0.142563601,0.036363636,0.063829787
1.52122E-4,9.755211512,0.180517573,0.140998043,0.036363636,0.063829787
1.56751E-4,10.003236904,0.185467548,0.139432485,0.036363636,0.063829787
1.62182E-4,10.258616594,0.191236144,0.137866928,0.036363636,0.063829787
1.65609E-4,10.504444661,0.194855572,0.136399217,0.036363636,0.063829787
1.67978E-4,10.755168199,0.197346917,0.134931507,0.036363636,0.063829787
1.70374E-4,11.008799318,0.199860463,0.133463796,0.036363636,0.063829787
1.72625E-4,11.266019092,0.2022143,0.131996086,0.036363636,0.063829787
1.76346E-4,11.510825923,0.206089487,0.130626223,0.036363636,0.063829787
1.78918E-4,11.759880528,0.208757432,0.12925636,0.036363636,0.063829787
1.81733E-4,12.013050143,0.211667005,0.127886497,0.036363636,0.063829787
1.85036E-4,12.251329806,0.215066974,0.126614481,0.036363636,0.063829787
1.87889E-4,12.512053189,0.217992564,0.125244618,0.036363636,0.063829787
1.90838E-4,12.758354496,0.221004957,0.123972603,0.036363636,0.063829787
1.9398E-4,13.008769636,0.224201332,0.122700587,0.036363636,0.063829787
1.97879E-4,13.263994113,0.228150088,0.121428571,0.036363636,0.063829787
1.99327E-4,13.502506271,0.229610846,0.120254403,0.036363636,0.063829787
2.03914E-4,13.764482562,0.23422153,0.118982387,0.036363636,0.063829787
