x,y,species cloglog values
1.0,1.0,6.106057E-4
2.0,2.0,2.1835598E-5
3.0,3.0,7.1868196E-4
4.0,4.0,0.010274759
5.0,5.0,2.7075306E-5
6.0,6.0,2.2555985E-4
7.0,7.0,0.034845468
8.0,8.0,0.07497229
9.0,9.0,0.07815724
10.0,10.0,0.1584819
11.0,11.0,5.7103833E-5
12.0,12.0,5.8304246E-5
13.0,13.0,1.5665237E-4
14.0,14.0,1.5863068E-4
15.0,15.0,9.0895085E-8
16.0,16.0,5.504117E-4
17.0,17.0,0.44445014
18.0,18.0,0.055301446
19.0,19.0,7.9399726E-4
20.0,20.0,7.508128E-5
21.0,21.0,0.24104294
22.0,22.0,0.64091915
23.0,23.0,1.469784E-4
24.0,24.0,0.023698634
25.0,25.0,2.4145385E-5
26.0,26.0,0.14157753
27.0,27.0,1.1312625E-5
28.0,28.0,0.0077794734
29.0,29.0,3.3250784E-5
30.0,30.0,0.10934865
31.0,31.0,0.4176634
32.0,32.0,2.601193E-5
33.0,33.0,0.17048657
34.0,34.0,0.03525114
35.0,35.0,0.9214491
36.0,36.0,0.002273879
37.0,37.0,9.97155E-4
38.0,38.0,0.41527897
39.0,39.0,0.5451077
40.0,40.0,1.5706712E-5
41.0,41.0,1.6192746E-4
42.0,42.0,5.673751E-4
43.0,43.0,0.025213767
44.0,44.0,0.101789035
45.0,45.0,1.2756686E-4
46.0,46.0,8.37631E-6
47.0,47.0,0.018582914
48.0,48.0,2.5449837E-5
49.0,49.0,0.48395184
50.0,50.0,0.3680832
51.0,51.0,0.01440559
52.0,52.0,0.004171659
53.0,53.0,2.4148374E-5
54.0,54.0,0.01359425
55.0,55.0,0.15275297
56.0,56.0,0.0066069
57.0,57.0,3.9470172E-4
58.0,58.0,3.8807928E-5
59.0,59.0,1.053303E-4
60.0,60.0,2.184441E-4
61.0,61.0,1.6308186E-4
62.0,62.0,1.12342386E-4
63.0,63.0,0.07245916
64.0,64.0,1.8548386E-4
65.0,65.0,0.26978314
66.0,66.0,0.005224529
67.0,67.0,0.07445177
68.0,68.0,0.004140175
69.0,69.0,9.8378805E-5
70.0,70.0,0.4416559
71.0,71.0,1.726264E-4
72.0,72.0,9.668356E-4
73.0,73.0,0.16284572
74.0,74.0,3.000298E-4
75.0,75.0,0.4416871
76.0,76.0,9.9596895E-5
77.0,77.0,2.6383653E-4
78.0,78.0,0.38214764
79.0,79.0,0.23643383
80.0,80.0,1.3870246E-5
81.0,81.0,6.40158E-5
82.0,82.0,0.119758
83.0,83.0,8.836959E-5
84.0,84.0,9.217412E-5
85.0,85.0,5.8198155E-5
86.0,86.0,1.8888856E-4
87.0,87.0,1.4386828E-4
88.0,88.0,9.783454E-5
89.0,89.0,7.2854586E-5
90.0,90.0,1.2750164E-4
91.0,91.0,2.0424336E-4
92.0,92.0,0.05143994
93.0,93.0,0.30763113
94.0,94.0,3.339402E-5
95.0,95.0,0.2651451
96.0,96.0,0.0143238995
97.0,97.0,3.5088498E-4
98.0,98.0,0.048118424
99.0,99.0,4.9423886E-4
100.0,100.0,3.0265172E-4
101.0,101.0,3.83847E-4
102.0,102.0,2.5398054E-4
103.0,103.0,7.929682E-5
104.0,104.0,1.307762E-4
105.0,105.0,0.29863307
106.0,106.0,6.550304E-4
107.0,107.0,0.3835116
108.0,108.0,0.31043112
109.0,109.0,0.00532303
110.0,110.0,1.7744311E-4
111.0,111.0,2.4453511E-6
112.0,112.0,0.38045558
113.0,113.0,3.7654897E-7
114.0,114.0,0.0013120311
115.0,115.0,0.0012182309
116.0,116.0,1.0222509E-4
117.0,117.0,2.246121E-4
118.0,118.0,0.3987495
119.0,119.0,0.005156952
120.0,120.0,2.0456412E-4
121.0,121.0,5.064661E-4
122.0,122.0,1.1973752E-4
123.0,123.0,9.202358E-4
124.0,124.0,2.4825116E-4
125.0,125.0,0.0032220106
126.0,126.0,0.0045385775
127.0,127.0,3.155058E-4
128.0,128.0,0.025960796
129.0,129.0,3.640151E-5
130.0,130.0,2.2459932E-5
131.0,131.0,3.413421E-4
132.0,132.0,7.11091E-5
133.0,133.0,1.0700629E-4
134.0,134.0,5.3291293E-5
135.0,135.0,0.33852786
136.0,136.0,3.8355614E-5
137.0,137.0,2.3996824E-4
138.0,138.0,0.36139196
139.0,139.0,0.0014957744
140.0,140.0,8.74196E-5
141.0,141.0,5.2567473E-5
142.0,142.0,6.855775E-5
143.0,143.0,0.00536015
144.0,144.0,2.3781946E-4
145.0,145.0,0.02471466
146.0,146.0,1.21912264E-4
147.0,147.0,0.5677412
148.0,148.0,0.1488282
149.0,149.0,2.8207133E-4
150.0,150.0,3.5236928E-5
151.0,151.0,0.09728401
152.0,152.0,1.9516965E-4
153.0,153.0,5.0211187E-5
154.0,154.0,7.612183E-5
155.0,155.0,0.016371163
156.0,156.0,0.0033083367
157.0,157.0,1.4226559E-4
158.0,158.0,7.3154643E-4
159.0,159.0,3.8472914E-5
160.0,160.0,0.019148588
161.0,161.0,1.9574758E-5
162.0,162.0,0.003828406
163.0,163.0,9.014767E-5
164.0,164.0,2.963174E-5
165.0,165.0,9.682632E-4
166.0,166.0,0.0017689136
167.0,167.0,2.0555206E-4
168.0,168.0,0.3890557
169.0,169.0,0.1952918
170.0,170.0,4.9137314E-5
171.0,171.0,0.16614422
172.0,172.0,2.763285E-4
173.0,173.0,0.46030292
174.0,174.0,3.71819E-4
175.0,175.0,1.9069498E-4
176.0,176.0,1.44349215E-5
177.0,177.0,4.1368083E-4
178.0,178.0,0.016213572
179.0,179.0,0.04026468
180.0,180.0,6.9411955E-4
181.0,181.0,0.021835327
182.0,182.0,4.9608698E-5
183.0,183.0,7.754607E-4
184.0,184.0,2.645057E-4
185.0,185.0,0.051282417
186.0,186.0,5.7093496E-4
187.0,187.0,0.11773311
188.0,188.0,4.6468278E-5
189.0,189.0,0.004613092
190.0,190.0,2.3636405E-5
191.0,191.0,1.5909734E-5
192.0,192.0,0.82395756
193.0,193.0,1.619251E-4
194.0,194.0,9.678438E-5
195.0,195.0,1.2728592E-4
196.0,196.0,0.0033137777
197.0,197.0,1.4103498E-4
198.0,198.0,0.30188072
199.0,199.0,0.09648515
200.0,200.0,0.0033131822
201.0,201.0,0.0051945727
202.0,202.0,0.109208465
203.0,203.0,2.5198126E-4
204.0,204.0,1.8016981E-4
205.0,205.0,0.01751879
206.0,206.0,2.1910788E-4
207.0,207.0,0.01617315
208.0,208.0,0.01710006
209.0,209.0,0.006929647
210.0,210.0,0.0030596228
211.0,211.0,3.9383932E-4
212.0,212.0,0.009567639
213.0,213.0,9.924695E-4
214.0,214.0,0.016779607
215.0,215.0,0.016360402
216.0,216.0,4.16531E-5
217.0,217.0,7.682093E-5
218.0,218.0,0.3420074
219.0,219.0,4.308462E-4
220.0,220.0,8.379044E-5
221.0,221.0,0.014838927
222.0,222.0,0.08333961
223.0,223.0,1.7545673E-4
224.0,224.0,6.563678E-5
225.0,225.0,3.079129E-5
226.0,226.0,9.050983E-5
227.0,227.0,0.05833017
228.0,228.0,0.0038352576
229.0,229.0,0.13053137
230.0,230.0,1.7922623E-5
231.0,231.0,4.0941362E-4
232.0,232.0,3.3975617E-4
233.0,233.0,5.4785336E-4
234.0,234.0,0.4752734
235.0,235.0,3.688837E-5
236.0,236.0,0.011066524
237.0,237.0,0.003971942
238.0,238.0,0.6246317
239.0,239.0,7.883453E-5
240.0,240.0,0.0022170525
241.0,241.0,0.0010132759
242.0,242.0,4.4821113E-4
243.0,243.0,0.2671323
244.0,244.0,8.0852595E-5
245.0,245.0,0.071904734
246.0,246.0,9.999705E-4
247.0,247.0,6.8433E-5
248.0,248.0,8.422149E-4
249.0,249.0,0.27867025
250.0,250.0,0.0037708895
251.0,251.0,0.0013549721
252.0,252.0,4.4653725E-4
253.0,253.0,0.009851492
254.0,254.0,2.782555E-5
255.0,255.0,0.087500684
256.0,256.0,0.37722185
257.0,257.0,2.3149565E-5
258.0,258.0,2.3519166E-4
259.0,259.0,5.093022E-5
260.0,260.0,0.011637449
261.0,261.0,0.5101582
262.0,262.0,0.444665
263.0,263.0,0.0031106754
264.0,264.0,6.2127976E-5
265.0,265.0,1.8115988E-4
266.0,266.0,0.1498242
267.0,267.0,0.027592264
268.0,268.0,0.0013124322
269.0,269.0,1.9806817E-5
270.0,270.0,0.56177545
271.0,271.0,9.04632E-5
272.0,272.0,0.06920132
273.0,273.0,1.5663136E-6
274.0,274.0,3.3894292E-4
275.0,275.0,0.33731064
276.0,276.0,2.46345E-4
277.0,277.0,0.061506644
278.0,278.0,9.432097E-4
279.0,279.0,0.052092686
280.0,280.0,0.0076924483
281.0,281.0,0.013543085
282.0,282.0,7.01742E-5
283.0,283.0,2.033681E-4
284.0,284.0,0.10902302
285.0,285.0,0.019466728
286.0,286.0,3.488528E-5
287.0,287.0,4.3832104E-5
288.0,288.0,1.541885E-4
289.0,289.0,1.5623384E-4
290.0,290.0,4.4797358E-4
291.0,291.0,0.1885969
292.0,292.0,6.9853413E-4
293.0,293.0,1.347033E-4
294.0,294.0,1.3471906E-4
295.0,295.0,0.004739863
296.0,296.0,0.4567507
297.0,297.0,6.9018314E-4
298.0,298.0,0.0023103722
299.0,299.0,0.0054991976
300.0,300.0,2.679748E-4
301.0,301.0,1.2097144E-4
302.0,302.0,6.2765356E-4
303.0,303.0,0.22353253
304.0,304.0,0.004424158
305.0,305.0,1.2289699E-5
306.0,306.0,0.030375708
307.0,307.0,7.4658246E-4
308.0,308.0,4.1236702E-4
309.0,309.0,4.1539723E-5
310.0,310.0,1.2103459E-5
311.0,311.0,0.06972484
312.0,312.0,0.019815736
313.0,313.0,0.012118729
314.0,314.0,0.705477
315.0,315.0,1.7426185E-4
316.0,316.0,0.016248636
317.0,317.0,2.2883663E-5
318.0,318.0,0.37265453
319.0,319.0,0.00730114
320.0,320.0,7.591386E-5
321.0,321.0,1.3487231E-7
322.0,322.0,0.51539075
323.0,323.0,0.01326917
324.0,324.0,0.4989423
325.0,325.0,0.40752158
326.0,326.0,0.14131422
327.0,327.0,3.7136656E-4
328.0,328.0,2.3948432E-4
329.0,329.0,0.0030618606
330.0,330.0,0.02879247
331.0,331.0,2.0300088E-4
332.0,332.0,0.022024276
333.0,333.0,2.5814914E-4
334.0,334.0,0.08241042
335.0,335.0,7.380921E-5
336.0,336.0,0.005686134
337.0,337.0,0.35400885
338.0,338.0,6.911741E-5
339.0,339.0,0.0010302808
340.0,340.0,2.7703561E-5
341.0,341.0,1.4133276E-4
342.0,342.0,3.685165E-5
343.0,343.0,4.4625558E-5
344.0,344.0,1.4105687E-4
345.0,345.0,3.4967874E-4
346.0,346.0,0.17908134
347.0,347.0,3.4517952E-4
348.0,348.0,1.6493445E-4
349.0,349.0,0.06987289
350.0,350.0,0.31734818
351.0,351.0,0.048662562
352.0,352.0,2.0053395E-4
353.0,353.0,9.799385E-5
354.0,354.0,0.07406262
355.0,355.0,0.018546388
356.0,356.0,7.963141E-5
357.0,357.0,0.026020361
358.0,358.0,4.562153E-8
359.0,359.0,0.18963347
360.0,360.0,0.28526247
361.0,361.0,0.30725816
362.0,362.0,6.145244E-5
363.0,363.0,4.4060434E-5
364.0,364.0,2.539002E-4
365.0,365.0,0.058068525
366.0,366.0,0.0017544072
367.0,367.0,0.18410651
368.0,368.0,0.0023067102
369.0,369.0,1.833238E-4
370.0,370.0,0.0014296909
371.0,371.0,0.015782861
372.0,372.0,1.1700607E-5
373.0,373.0,1.9837428E-4
374.0,374.0,1.3491853E-4
375.0,375.0,2.1399288E-5
376.0,376.0,0.0075581027
377.0,377.0,0.060670715
378.0,378.0,0.0062198853
379.0,379.0,0.010466209
380.0,380.0,1.5525795E-4
381.0,381.0,0.0033520823
382.0,382.0,0.026441984
383.0,383.0,0.0042926706
384.0,384.0,7.005496E-5
385.0,385.0,8.808008E-5
386.0,386.0,7.973966E-5
387.0,387.0,6.5598136E-4
388.0,388.0,1.7630255E-4
389.0,389.0,0.018627102
390.0,390.0,4.5063838E-4
391.0,391.0,1.7204786E-4
392.0,392.0,0.008319603
393.0,393.0,5.2422467E-5
394.0,394.0,9.45681E-5
395.0,395.0,2.1759324E-5
396.0,396.0,3.3904426E-4
397.0,397.0,0.05579772
398.0,398.0,4.0095058E-4
399.0,399.0,0.03623857
400.0,400.0,1.00786354E-4
401.0,401.0,9.647067E-5
402.0,402.0,0.0020698833
403.0,403.0,0.011811654
404.0,404.0,5.0908467E-4
405.0,405.0,0.02355029
406.0,406.0,2.2742958E-4
407.0,407.0,2.0798037E-4
408.0,408.0,0.32192472
409.0,409.0,0.030878088
410.0,410.0,1.1683074E-4
411.0,411.0,1.3018902E-4
412.0,412.0,2.9518208E-4
413.0,413.0,1.1671566E-4
414.0,414.0,0.115042835
415.0,415.0,2.8657927E-5
416.0,416.0,0.041926328
417.0,417.0,0.0042688246
418.0,418.0,2.1019023E-5
419.0,419.0,7.3780866E-5
420.0,420.0,0.0239699
421.0,421.0,0.061142627
422.0,422.0,0.03553059
423.0,423.0,7.414411E-4
424.0,424.0,0.4058751
425.0,425.0,1.3380079E-4
426.0,426.0,0.11506037
427.0,427.0,2.2492402E-5
428.0,428.0,0.40454352
429.0,429.0,1.20669785E-4
430.0,430.0,2.8829376E-4
431.0,431.0,1.8646786E-4
432.0,432.0,3.9783958E-5
433.0,433.0,2.1760057E-4
434.0,434.0,0.002030737
435.0,435.0,0.45200327
436.0,436.0,0.07924763
437.0,437.0,3.1356065E-4
438.0,438.0,5.18478E-6
439.0,439.0,0.018989423
440.0,440.0,0.0014741563
441.0,441.0,4.2504648E-4
442.0,442.0,5.529882E-4
443.0,443.0,0.0122563
444.0,444.0,0.0247964
445.0,445.0,0.41019052
446.0,446.0,4.888164E-4
447.0,447.0,4.7728525E-5
448.0,448.0,2.1212276E-4
449.0,449.0,0.4234387
450.0,450.0,0.47975805
451.0,451.0,4.111308E-5
452.0,452.0,2.5605227E-4
453.0,453.0,8.585359E-5
454.0,454.0,6.9390854E-4
455.0,455.0,0.5841238
456.0,456.0,0.0061952034
457.0,457.0,1.707865E-4
458.0,458.0,0.81849265
459.0,459.0,0.24434473
460.0,460.0,6.349764E-5
461.0,461.0,0.35862446
462.0,462.0,3.0305086E-5
463.0,463.0,3.0274355E-4
464.0,464.0,0.0021799272
465.0,465.0,0.0012063895
466.0,466.0,0.5933137
467.0,467.0,4.711291E-4
468.0,468.0,0.0051882383
469.0,469.0,0.015751215
470.0,470.0,1.5097191E-4
471.0,471.0,5.6117024E-5
472.0,472.0,0.016393915
473.0,473.0,5.3291844E-4
474.0,474.0,5.0002546E-4
475.0,475.0,0.0013295591
476.0,476.0,1.8060971E-5
477.0,477.0,8.434976E-5
478.0,478.0,0.14556651
479.0,479.0,0.05967587
480.0,480.0,4.7609225E-5
481.0,481.0,3.3719008E-4
482.0,482.0,0.14631191
483.0,483.0,2.667153E-5
484.0,484.0,0.0033571061
485.0,485.0,0.1814208
486.0,486.0,0.39722654
487.0,487.0,0.0017685092
488.0,488.0,0.018819543
489.0,489.0,2.4659483E-4
490.0,490.0,1.8944847E-4
491.0,491.0,0.15877302
492.0,492.0,0.007947804
493.0,493.0,2.2508553E-5
494.0,494.0,6.54407E-4
495.0,495.0,5.904214E-5
496.0,496.0,0.007082813
497.0,497.0,9.279232E-5
498.0,498.0,1.3020012E-4
499.0,499.0,2.4493027E-4
500.0,500.0,0.05706273
501.0,501.0,2.131238E-5
502.0,502.0,1.8038921E-4
503.0,503.0,0.16810597
504.0,504.0,2.0786597E-4
505.0,505.0,0.0010301152
506.0,506.0,0.036762282
507.0,507.0,7.004382E-5
508.0,508.0,3.9542778E-4
509.0,509.0,8.435129E-5
510.0,510.0,0.4325148
511.0,511.0,0.021741424
512.0,512.0,9.6374075E-4
513.0,513.0,0.01774069
514.0,514.0,0.019606728
515.0,515.0,0.0061473553
516.0,516.0,0.2886547
517.0,517.0,6.412881E-5
518.0,518.0,0.012938806
519.0,519.0,0.007140802
520.0,520.0,0.5944416
521.0,521.0,0.14840609
522.0,522.0,0.033592377
523.0,523.0,3.3335277E-4
524.0,524.0,0.11053509
525.0,525.0,0.21717337
526.0,526.0,1.8747113E-4
527.0,527.0,1.711689E-4
528.0,528.0,0.81616265
529.0,529.0,1.1719405E-4
530.0,530.0,0.029984787
531.0,531.0,0.001989176
532.0,532.0,0.0054975166
533.0,533.0,0.14271158
534.0,534.0,2.4425884E-5
535.0,535.0,1.9852695E-4
536.0,536.0,0.0060255104
537.0,537.0,9.3961845E-4
538.0,538.0,0.03647464
539.0,539.0,0.007151124
540.0,540.0,0.5613151
541.0,541.0,0.028074913
542.0,542.0,1.3161775E-4
543.0,543.0,2.5940011E-5
544.0,544.0,0.00865422
545.0,545.0,2.3459343E-4
546.0,546.0,0.54644465
547.0,547.0,0.07751897
548.0,548.0,1.3119196E-4
549.0,549.0,5.8134827E-8
550.0,550.0,8.69694E-5
551.0,551.0,0.004427101
552.0,552.0,2.8157645E-4
553.0,553.0,0.9944803
554.0,554.0,1.05004015E-4
555.0,555.0,1.4498775E-4
556.0,556.0,6.9011214E-5
557.0,557.0,0.0029880258
558.0,558.0,7.9469534E-4
559.0,559.0,3.175256E-5
560.0,560.0,0.01164216
561.0,561.0,0.0019760975
562.0,562.0,2.900773E-5
563.0,563.0,0.072068736
564.0,564.0,7.648253E-5
565.0,565.0,6.482384E-4
566.0,566.0,4.4045282E-5
567.0,567.0,5.832908E-7
568.0,568.0,0.18095504
569.0,569.0,3.214397E-4
570.0,570.0,0.01874492
571.0,571.0,1.0000028E-4
572.0,572.0,7.694614E-5
573.0,573.0,4.032131E-5
574.0,574.0,1.8907247E-5
575.0,575.0,8.5503605E-5
576.0,576.0,0.0013103058
577.0,577.0,3.63379E-5
578.0,578.0,2.0358944E-5
579.0,579.0,5.923915E-7
580.0,580.0,8.426259E-5
581.0,581.0,6.6472494E-5
582.0,582.0,0.4825858
583.0,583.0,0.04717288
584.0,584.0,0.4074913
585.0,585.0,8.769814E-4
586.0,586.0,0.0026190341
587.0,587.0,3.2326623E-4
588.0,588.0,1.6559372E-4
589.0,589.0,1.4273994E-4
590.0,590.0,5.815972E-4
591.0,591.0,1.8824096E-4
592.0,592.0,5.553082E-5
593.0,593.0,1.2378074E-4
594.0,594.0,0.16005416
595.0,595.0,6.801952E-5
596.0,596.0,0.017523512
597.0,597.0,1.9023137E-5
598.0,598.0,2.8291918E-4
599.0,599.0,0.0017587236
600.0,600.0,7.3256466E-5
601.0,601.0,1.7820105E-4
602.0,602.0,0.05236663
603.0,603.0,2.8451934E-5
604.0,604.0,3.6511815E-4
605.0,605.0,4.7910959E-4
606.0,606.0,1.2636765E-4
607.0,607.0,0.004300008
608.0,608.0,5.2326085E-4
609.0,609.0,4.7581366E-4
610.0,610.0,1.1313314E-4
611.0,611.0,0.014394302
612.0,612.0,5.737357E-4
613.0,613.0,0.032224115
614.0,614.0,6.137843E-5
615.0,615.0,3.1956247E-4
616.0,616.0,0.015389676
617.0,617.0,4.4999008E-5
618.0,618.0,3.5834622E-5
619.0,619.0,0.00200919
620.0,620.0,0.026479179
621.0,621.0,4.1535906E-5
622.0,622.0,0.009252168
623.0,623.0,0.026553638
624.0,624.0,0.064876795
625.0,625.0,0.4716382
626.0,626.0,1.8194287E-4
627.0,627.0,0.33737615
628.0,628.0,1.8216048E-4
629.0,629.0,0.09918477
630.0,630.0,6.937563E-5
631.0,631.0,0.22348864
632.0,632.0,2.2566424E-5
633.0,633.0,0.001071781
634.0,634.0,0.012505178
635.0,635.0,0.0043834294
636.0,636.0,0.017562307
637.0,637.0,1.3286156E-4
638.0,638.0,8.446785E-5
639.0,639.0,0.3762797
640.0,640.0,2.2632063E-5
641.0,641.0,6.4929767E-4
642.0,642.0,9.830888E-5
643.0,643.0,2.1362743E-4
644.0,644.0,0.0050933426
645.0,645.0,0.001653549
646.0,646.0,0.0031626935
647.0,647.0,0.48830172
648.0,648.0,0.18876311
649.0,649.0,0.030002266
650.0,650.0,0.0044470634
651.0,651.0,0.0093724625
652.0,652.0,3.8517028E-5
653.0,653.0,2.9823066E-5
654.0,654.0,0.02597354
655.0,655.0,4.319448E-4
