Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.87378E-12,0.000000001,0.000000006,0.999706458,0,0
3.20301E-12,0.000000003,0.000000007,0.999217221,0,0
3.58931E-12,0.00000001,0.000000007,0.997064579,0,0
4.93957E-12,0.000000025,0.00000001,0.993639922,0,0
7.30554E-12,0.0000001,0.000000015,0.981898239,0,0
1.02766E-11,0.000000251,0.000000021,0.964872798,0,0
2.16523E-11,0.000001001,0.000000044,0.918688845,0,0
3.77125E-11,0.000002501,0.000000077,0.867710372,0,0
1.4942E-10,0.000010002,0.000000304,0.776027397,0,0
3.24603E-10,0.000025021,0.000000661,0.711448141,0,0
6.65787E-10,0.00005006,0.000001356,0.658806262,0,0
1.41343E-9,0.000100096,0.000002878,0.609099804,0,0
4.62227E-9,0.000250387,0.000009412,0.553228963,0,0
1.1281E-8,0.000500292,0.00002297,0.519863014,0,0
2.42886E-8,0.00100206,0.000049455,0.490117417,0,0.010638298
7.38697E-8,0.002501614,0.000150403,0.455381605,0,0.010638298
1.57642E-7,0.005013178,0.000320941,0.433072407,0,0.010638298
4.067E-7,0.010001285,0.000827784,0.413209393,0,0.010638298
1.06408E-6,0.025017152,0.002164344,0.391878669,0,0.010638298
2.1249E-6,0.050113008,0.004317399,0.376125245,0,0.010638298
3.83141E-6,0.100244623,0.007771212,0.359099804,0,0.010638298
6.58433E-6,0.200610986,0.013317612,0.339726027,0.004545455,0.010638298
9.24835E-6,0.300100247,0.018655384,0.327103718,0.004545455,0.010638298
1.29166E-5,0.400784633,0.025958049,0.318101761,0.004545455,0.010638298
1.5889E-5,0.500919062,0.031835514,0.311252446,0.004545455,0.010638298
1.9293E-5,0.600944435,0.038522889,0.305772994,0.004545455,0.010638298
2.14512E-5,0.700030144,0.042738904,0.300978474,0.004545455,0.010638298
2.27337E-5,0.750678458,0.045235509,0.298727984,0.009090909,0.010638298
2.37559E-5,0.801914264,0.047220698,0.296575342,0.009090909,0.010638298
2.5358E-5,0.900153517,0.05032381,0.292661448,0.009090909,0.010638298
2.712E-5,1.002252673,0.053724932,0.288845401,0.009090909,0.010638298
2.85338E-5,1.102640063,0.056445259,0.285322896,0.009090909,0.010638298
3.09136E-5,1.201208872,0.061006474,0.282093933,0.009090909,0.010638298
3.29417E-5,1.300193529,0.064876118,0.279060665,0.009090909,0.010638298
3.49446E-5,1.401745023,0.068682118,0.276125245,0.009090909,0.010638298
3.69509E-5,1.502470438,0.072478983,0.273385519,0.009090909,0.021276596
4.21667E-5,1.753826608,0.082277581,0.267221135,0.009090909,0.021276596
4.55948E-5,2.003970137,0.088661243,0.261643836,0.009090909,0.031914894
4.87076E-5,2.254844775,0.094419409,0.256457926,0.013636364,0.042553191
5.20575E-5,2.5025203,0.100575327,0.251663405,0.013636364,0.042553191
5.45254E-5,2.753487607,0.105083798,0.247064579,0.013636364,0.042553191
5.69492E-5,3.004761927,0.109489637,0.242661448,0.013636364,0.042553191
5.92576E-5,3.254671836,0.113665534,0.238454012,0.013636364,0.042553191
6.20603E-5,3.503182145,0.11870933,0.23444227,0.013636364,0.042553191
6.46788E-5,3.750100037,0.123395818,0.230626223,0.013636364,0.053191489
6.74621E-5,4.000972813,0.128349799,0.226908023,0.013636364,0.053191489
7.09153E-5,4.25675659,0.134457287,0.223287671,0.013636364,0.063829787
7.39785E-5,4.502424075,0.139839164,0.219960861,0.018181818,0.063829787
7.69104E-5,4.753077437,0.144958986,0.216731898,0.027272727,0.085106383
8.03821E-5,5.005567094,0.150982042,0.213600783,0.027272727,0.085106383
8.44288E-5,5.252490908,0.157949133,0.210665362,0.027272727,0.095744681
8.75887E-5,5.501546494,0.163349669,0.207827789,0.027272727,0.095744681
9.04109E-5,5.750861842,0.168143663,0.205088063,0.027272727,0.095744681
9.38E-5,6.008510221,0.173864538,0.202348337,0.027272727,0.095744681
9.8124E-5,6.257931405,0.181106401,0.199804305,0.027272727,0.095744681
1.0198E-4,6.507854138,0.187510829,0.197358121,0.031818182,0.095744681
1.06372E-4,6.757976612,0.194744137,0.195009785,0.031818182,0.095744681
1.0954E-4,7.006265391,0.199922782,0.192759295,0.031818182,0.095744681
1.11633E-4,7.260340284,0.203325065,0.190508806,0.036363636,0.095744681
1.13779E-4,7.508108713,0.206798688,0.188356164,0.040909091,0.095744681
1.16526E-4,7.761375417,0.21122343,0.186203523,0.045454545,0.095744681
1.19443E-4,8.009834174,0.215894491,0.184148728,0.045454545,0.117021277
1.22524E-4,8.252310924,0.220797709,0.182191781,0.05,0.117021277
1.2603E-4,8.500220504,0.22634129,0.180234834,0.05,0.127659574
1.28227E-4,8.754640573,0.229794395,0.178277886,0.054545455,0.127659574
1.3108E-4,9.001064895,0.234255938,0.176418787,0.059090909,0.127659574
1.33827E-4,9.253197585,0.238526466,0.174559687,0.059090909,0.138297872
1.36196E-4,9.509827455,0.242190715,0.172700587,0.063636364,0.138297872
1.40102E-4,9.757859789,0.248194589,0.170939335,0.063636364,0.138297872
1.4236E-4,10.012079564,0.251643203,0.169178082,0.063636364,0.138297872
1.4614E-4,10.257059907,0.257380304,0.167514677,0.063636364,0.138297872
1.48908E-4,10.507835554,0.261554476,0.165851272,0.068181818,0.138297872
1.51507E-4,10.763137919,0.265452213,0.164187867,0.068181818,0.138297872
1.54787E-4,11.008078343,0.2703412,0.162622309,0.068181818,0.138297872
1.59629E-4,11.259185267,0.277500912,0.161056751,0.068181818,0.138297872
1.61809E-4,11.500527401,0.280699788,0.159589041,0.072727273,0.138297872
1.65042E-4,11.761962752,0.285420539,0.158023483,0.072727273,0.138297872
1.68181E-4,12.011498813,0.28997249,0.156555773,0.072727273,0.138297872
1.71512E-4,12.266552808,0.294772842,0.155088063,0.072727273,0.14893617
1.73436E-4,12.50833421,0.297530372,0.1537182,0.072727273,0.14893617
1.78604E-4,12.754638262,0.304883059,0.152348337,0.072727273,0.14893617
1.81278E-4,13.007071341,0.308657535,0.150978474,0.072727273,0.14893617
1.87423E-4,13.265088437,0.317253881,0.149608611,0.072727273,0.14893617
1.90364E-4,13.510751481,0.32133062,0.148336595,0.072727273,0.14893617
1.93023E-4,13.760015198,0.324994593,0.147064579,0.072727273,0.14893617
1.97854E-4,14.014304814,0.331602973,0.145792564,0.072727273,0.14893617
2.02916E-4,14.255210487,0.338457209,0.144618395,0.072727273,0.14893617
2.06122E-4,14.50075083,0.342761742,0.143444227,0.072727273,0.159574468
2.09395E-4,14.750659581,0.347127225,0.142270059,0.072727273,0.159574468
2.13378E-4,15.004351305,0.352400067,0.14109589,0.072727273,0.159574468
2.17026E-4,15.262628378,0.35719333,0.139921722,0.072727273,0.180851064
2.20132E-4,15.502925546,0.361245923,0.138845401,0.072727273,0.191489362
2.23242E-4,15.76910803,0.365278091,0.137671233,0.072727273,0.191489362
2.25579E-4,16.016518396,0.368291473,0.136594912,0.081818182,0.191489362
2.29028E-4,16.266713783,0.372712303,0.135518591,0.081818182,0.20212766
2.3104E-4,16.51972974,0.375276045,0.13444227,0.086363636,0.20212766
2.3409E-4,16.752130127,0.379144304,0.133463796,0.090909091,0.20212766
2.37236E-4,17.01117875,0.38310842,0.132387476,0.095454545,0.212765957
2.40456E-4,17.273912594,0.387139606,0.131311155,0.095454545,0.212765957
2.44314E-4,17.516448322,0.391936315,0.130332681,0.095454545,0.223404255
2.48235E-4,17.763473399,0.396771181,0.129354207,0.1,0.244680851
2.51994E-4,18.013327174,0.40137094,0.128375734,0.109090909,0.244680851
2.54126E-4,18.266405683,0.403964345,0.12739726,0.113636364,0.244680851
2.56616E-4,18.521873245,0.406978036,0.126418787,0.122727273,0.244680851
2.58636E-4,18.75382454,0.409412096,0.12553816,0.140909091,0.244680851
2.62921E-4,19.013989651,0.414542599,0.124559687,0.15,0.255319149
2.66423E-4,19.252250755,0.418703198,0.123679061,0.15,0.265957447
