x,y,species cloglog values
1.0,1.0,0.30105865
2.0,2.0,0.14115754
3.0,3.0,0.005008782
4.0,4.0,0.66329783
5.0,5.0,0.06342139
6.0,6.0,0.030092899
7.0,7.0,2.4453257E-5
8.0,8.0,0.2778209
9.0,9.0,5.158274E-6
10.0,10.0,1.0171799E-7
11.0,11.0,1.01774944E-7
12.0,12.0,2.9499247E-6
13.0,13.0,8.2043175E-7
14.0,14.0,3.7932376E-5
15.0,15.0,4.916716E-6
16.0,16.0,4.1475115E-4
17.0,17.0,1.6908636E-5
18.0,18.0,1.15340825E-7
19.0,19.0,7.779605E-8
20.0,20.0,1.2912928E-6
21.0,21.0,0.073559344
22.0,22.0,2.3416607E-7
23.0,23.0,0.60817707
24.0,24.0,6.298602E-7
25.0,25.0,0.45967618
26.0,26.0,8.950229E-7
27.0,27.0,0.13295014
28.0,28.0,0.13361482
29.0,29.0,0.26758885
30.0,30.0,3.9809825E-6
31.0,31.0,6.9726445E-4
32.0,32.0,0.4474404
33.0,33.0,1.4930627E-6
34.0,34.0,0.36562216
35.0,35.0,2.6895702E-7
36.0,36.0,0.42591545
37.0,37.0,5.2647284E-8
38.0,38.0,4.9439794E-4
39.0,39.0,0.779297
40.0,40.0,0.22478813
41.0,41.0,3.0572034E-4
42.0,42.0,0.045326117
43.0,43.0,2.1690414E-6
44.0,44.0,3.6852683E-8
45.0,45.0,0.24825987
46.0,46.0,0.26906443
47.0,47.0,2.2622683E-7
48.0,48.0,0.012425075
49.0,49.0,1.3141994E-6
50.0,50.0,0.5514689
51.0,51.0,1.3068711E-6
52.0,52.0,0.121497445
53.0,53.0,0.060002245
54.0,54.0,3.07119E-5
55.0,55.0,0.080527514
56.0,56.0,6.35779E-5
57.0,57.0,8.62906E-6
58.0,58.0,0.016168522
59.0,59.0,1.1072483E-5
60.0,60.0,6.0939296E-6
61.0,61.0,0.19621924
62.0,62.0,0.75370955
63.0,63.0,0.010180278
64.0,64.0,1.6884929E-8
65.0,65.0,6.648237E-6
66.0,66.0,0.7536038
67.0,67.0,1.6882556E-6
68.0,68.0,0.66567796
69.0,69.0,0.43847272
70.0,70.0,0.017662693
71.0,71.0,2.2512073E-7
72.0,72.0,0.015033045
73.0,73.0,1.2561017E-6
74.0,74.0,0.09097502
75.0,75.0,2.4835922E-8
76.0,76.0,1.1622913E-5
77.0,77.0,5.202794E-7
78.0,78.0,1.0361959E-7
79.0,79.0,0.8560125
80.0,80.0,2.4470586E-7
81.0,81.0,1.2929887E-6
82.0,82.0,3.059361E-7
83.0,83.0,0.05693413
84.0,84.0,2.4772846E-6
85.0,85.0,0.50900686
86.0,86.0,9.485289E-6
87.0,87.0,0.35599834
88.0,88.0,4.9231255E-7
89.0,89.0,1.5202392E-5
90.0,90.0,1.8055532E-7
91.0,91.0,0.035372797
92.0,92.0,4.0168126E-7
93.0,93.0,1.1777608E-7
94.0,94.0,2.1519268E-6
95.0,95.0,9.102713E-8
96.0,96.0,0.8827093
97.0,97.0,0.010227664
98.0,98.0,0.3931198
99.0,99.0,0.7350296
100.0,100.0,0.0037615756
101.0,101.0,3.7350635E-8
102.0,102.0,0.082897
103.0,103.0,1.1129724E-7
104.0,104.0,0.90607804
105.0,105.0,0.07153917
106.0,106.0,0.06614232
107.0,107.0,7.301779E-8
108.0,108.0,2.6949554E-5
109.0,109.0,4.484741E-8
110.0,110.0,0.60557145
111.0,111.0,9.676974E-7
112.0,112.0,0.17342201
113.0,113.0,7.674177E-5
114.0,114.0,0.78454834
115.0,115.0,1.7040146E-4
116.0,116.0,0.262705
117.0,117.0,0.5063944
118.0,118.0,2.5367897E-6
119.0,119.0,4.9620675E-4
120.0,120.0,1.7401564E-4
121.0,121.0,3.5460326E-7
122.0,122.0,3.2941202E-6
123.0,123.0,0.02180053
124.0,124.0,2.7750453E-8
125.0,125.0,0.074805096
126.0,126.0,0.21502414
127.0,127.0,1.2390925E-6
128.0,128.0,7.3092343E-7
129.0,129.0,2.7546483E-7
130.0,130.0,0.25459823
131.0,131.0,1.5642238E-6
132.0,132.0,2.9676272E-7
133.0,133.0,1.0143938E-7
134.0,134.0,0.23702979
135.0,135.0,1.3261829E-6
136.0,136.0,1.6102446E-6
137.0,137.0,0.30082065
138.0,138.0,7.978592E-8
139.0,139.0,3.6439196E-6
140.0,140.0,0.8013617
141.0,141.0,3.2327552E-8
142.0,142.0,0.25781277
143.0,143.0,2.5904715E-6
144.0,144.0,0.9028676
145.0,145.0,1.032128E-7
146.0,146.0,9.4620646E-7
147.0,147.0,0.020445596
148.0,148.0,0.0024331566
149.0,149.0,7.6331926E-4
150.0,150.0,0.6207721
151.0,151.0,2.5185745E-4
152.0,152.0,4.7590613E-5
153.0,153.0,9.276633E-7
154.0,154.0,0.7547966
155.0,155.0,1.6323297E-4
156.0,156.0,3.3877682E-6
157.0,157.0,2.6856085E-6
158.0,158.0,5.2569167E-6
159.0,159.0,3.3368837E-4
160.0,160.0,1.27605435E-5
161.0,161.0,0.83580524
162.0,162.0,0.005533888
163.0,163.0,9.133412E-6
164.0,164.0,0.12404374
165.0,165.0,3.375451E-8
