x,y,species cloglog values
1.0,1.0,1.7426956E-4
2.0,2.0,0.32348916
3.0,3.0,1.339466E-5
4.0,4.0,0.0014070317
5.0,5.0,9.162414E-5
6.0,6.0,1.341731E-4
7.0,7.0,0.004320916
8.0,8.0,1.6314886E-4
9.0,9.0,0.0027381587
10.0,10.0,0.012575735
11.0,11.0,7.863992E-5
12.0,12.0,0.015413572
13.0,13.0,0.0070901024
14.0,14.0,0.077942304
15.0,15.0,0.06620437
16.0,16.0,6.446702E-5
17.0,17.0,0.008016228
18.0,18.0,2.738371E-4
19.0,19.0,0.34809482
20.0,20.0,0.3650504
21.0,21.0,4.17139E-5
22.0,22.0,0.6687894
23.0,23.0,0.008049067
24.0,24.0,1.2464472E-4
25.0,25.0,0.26453906
26.0,26.0,8.3242304E-4
27.0,27.0,3.8844228E-4
28.0,28.0,0.0016368462
29.0,29.0,0.0077374014
30.0,30.0,0.13387011
31.0,31.0,0.06328815
32.0,32.0,0.17769098
33.0,33.0,2.5423488E-4
34.0,34.0,0.1771731
35.0,35.0,0.40600535
36.0,36.0,4.66965E-4
37.0,37.0,0.15967384
38.0,38.0,2.5010866E-5
39.0,39.0,0.17534855
40.0,40.0,5.5182332E-5
41.0,41.0,0.019018672
42.0,42.0,2.6568236E-5
43.0,43.0,0.33474058
44.0,44.0,0.26698464
45.0,45.0,0.00365778
46.0,46.0,0.6273084
47.0,47.0,0.0015028762
48.0,48.0,0.0721207
49.0,49.0,0.0018864747
50.0,50.0,1.7862698E-7
51.0,51.0,0.0012323849
52.0,52.0,0.0048578694
53.0,53.0,3.2659675E-4
54.0,54.0,2.2460212E-5
55.0,55.0,6.897591E-4
56.0,56.0,1.2309874E-4
57.0,57.0,2.2404882E-4
58.0,58.0,0.011085729
59.0,59.0,0.0067693223
60.0,60.0,6.574769E-4
61.0,61.0,4.2898074E-4
62.0,62.0,1.3641056E-4
63.0,63.0,3.4656594E-5
64.0,64.0,7.171488E-5
65.0,65.0,0.050732072
66.0,66.0,0.15936466
67.0,67.0,0.97108936
68.0,68.0,0.0261558
69.0,69.0,8.849606E-5
70.0,70.0,7.204142E-5
71.0,71.0,6.762168E-4
72.0,72.0,1.11727E-4
73.0,73.0,0.0027712986
74.0,74.0,0.018323101
75.0,75.0,0.18620798
76.0,76.0,1.1224562E-4
77.0,77.0,0.0042555495
78.0,78.0,0.0017204662
79.0,79.0,0.49455786
80.0,80.0,2.5144801E-4
81.0,81.0,0.0037691437
82.0,82.0,3.238706E-5
83.0,83.0,4.911297E-4
84.0,84.0,0.0033878179
85.0,85.0,0.003323663
86.0,86.0,3.4395527E-4
87.0,87.0,0.14548713
88.0,88.0,6.7959883E-4
89.0,89.0,1.0547806E-4
90.0,90.0,3.2467546E-4
